"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00012","","","","30","9","5.16","18","9.36","0.41","168.35","52.22","5","9.77","14.93","0.52","2","0.6","1.085555556","0.325666667","0.573333333","0.172","65.438714","30","31.01871102","3.030528067","13.86666667","46.22222222","14.47407407","48.24691358","7.644444444","25.48148148","4.48967121","14.9655707","22.11851852","73.72839506","7.23"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00013","","","","30","18","2.68","27","9.47","2.75","194.44","44.13","5","12.22","14.9","0.350740741","1.5","0.9","0.678888889","0.407333333","0.148888889","0.089333333","82.01342282","60","22.69594734","2.773444764","14.02962963","23.38271605","18.1037037","30.17283951","3.97037037","6.617283951","4.108807058","6.848011764","22.07407407","36.79012346","7.76"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00014","","","","30","3","0.8","3","0.52","0.16","162","34.78","6","0.68","1.48","0.173333333","1","0.1","0.226666667","0.022666667","0.266666667","0.026666667","45.94594595","10","21.4691358","0.145990123","0.77037037","7.703703704","1.007407407","10.07407407","1.185185185","11.85185185","0.216281664","2.162816644","2.192592593","21.92592593","4.92"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00015","","","","30","19","3.35","33","7.68","1.94","190.72","55.28","4","9.62","12.97","0.232727273","1.736842105","1.1","0.506315789","0.320666667","0.176315789","0.111666667","74.17116423","63.33333333","28.98489933","2.788347315","11.37777778","17.96491228","14.25185185","22.50292398","4.962962963","7.83625731","4.130884912","6.522449861","19.21481481","30.33918129","6.12"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00016","","","","30","21","4.87","38","8.68","3.09","172.11","39.72","6","11.77","16.64","0.228421053","1.80952381","1.266666667","0.56047619","0.392333333","0.231904762","0.162333333","70.73317308","70","23.0782639","2.716311661","12.85925926","18.37037037","17.43703704","24.91005291","7.214814815","10.30687831","4.024165424","5.748807748","24.65185185","35.21693122","7.23"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00017","","","","30","21","4.47","49","13.85","1.91","186.23","52.79","5","15.76","20.23","0.282653061","2.333333333","1.633333333","0.75047619","0.525333333","0.212857143","0.149","77.90410282","70","28.3466681","4.467434892","20.51851852","29.31216931","23.34814815","33.35449735","6.622222222","9.46031746","6.618422063","9.454888661","29.97037037","42.81481481","1.38"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00018","","","","30","14","1.61","12","2.04","1.48","170.41","32.48","6","3.52","5.13","0.17","0.857142857","0.4","0.251428571","0.117333333","0.115","0.053666667","68.61598441","46.66666667","19.05991432","0.670908984","3.022222222","6.476190476","5.214814815","11.17460317","2.385185185","5.111111111","0.993939236","2.129869791","7.6","16.28571429","7.23"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00019","","","","30","19","7.42","20","3.89","1.81","173.09","45.15","5","5.7","13.12","0.1945","1.052631579","0.666666667","0.3","0.19","0.390526316","0.247333333","43.44512195","63.33333333","26.08469582","1.486827662","5.762962963","9.099415205","8.444444444","13.33333333","10.99259259","17.35672515","2.202707647","3.477959443","19.43703704","30.69005848","4.92"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00020","","","","30","24","5.06","43","8.79","4.14","188.76","50.61","3","12.93","17.99","0.204418605","1.791666667","1.433333333","0.53875","0.431","0.210833333","0.168666667","71.87326292","80","26.81182454","3.466768913","13.02222222","16.27777778","19.15555556","23.94444444","7.496296296","9.37037037","5.135953945","6.419942431","26.65185185","33.31481481","7.76"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00021","","","","30","15","4.45","31","8.47","1.82","162.82","31.52","4","10.29","14.74","0.273225806","2.066666667","1.033333333","0.686","0.343","0.296666667","0.148333333","69.81004071","50","19.35880113","1.992020636","12.54814815","25.0962963","15.24444444","30.48888889","6.592592593","13.18518519","2.951141683","5.902283367","21.83703704","43.67407407","7.23"
