"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00001","","","","3","3","9.85","11","6.77","0","5","29.9","6.77","16.62","0.615454545","3.666666667","3.666666667","2.256666667","2.256666667","3.283333333","3.283333333","40.73405535","100","2.02423","100.2962963","100.2962963","100.2962963","100.2962963","145.9259259","145.9259259","29.98859259","29.98859259","246.2222222","246.2222222","4.41"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00002","","","","3","1","5.83","0","0","0.07","7","","0.07","5.9","","0","0","0.07","0.023333333","5.83","1.943333333","1.186440678","33.33333333","","0","0","1.037037037","3.111111111","86.37037037","259.1111111","","","87.40740741","262.2222222","10.5"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00003","","","","3","1","3.34","3","1.05","0.02","5","32.9","1.07","4.41","0.35","3","1","1.07","0.356666667","3.34","1.113333333","24.26303855","33.33333333","0.35203","15.55555556","46.66666667","15.85185185","47.55555556","49.48148148","148.4444444","5.215259259","15.64577778","65.33333333","196","1.17"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00004","","","","3","3","8.58","6","4.15","0.27","5","25.5","4.42","13","0.691666667","2","2","1.473333333","1.473333333","2.86","2.86","34","100","1.1271","61.48148148","61.48148148","65.48148148","65.48148148","127.1111111","127.1111111","16.69777778","16.69777778","192.5925926","192.5925926","4.61"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00005","","","","3","2","11.8","10","1.82","0.42","6","28.1","2.24","14.04","0.182","5","3.333333333","1.12","0.746666667","5.9","3.933333333","15.95441595","66.66666667","0.62944","26.96296296","40.44444444","33.18518519","49.77777778","174.8148148","262.2222222","9.325037037","13.98755556","208","312","7.76"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00006","","","","3","2","15.51","0","0","0.11","7","","0.11","15.62","","0","0","0.055","0.036666667","7.755","5.17","0.704225352","66.66666667","","0","0","1.62962963","2.444444444","229.7777778","344.6666667","","","231.4074074","347.1111111","3.96"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00007","","","","3","3","6.74","1","0.4","0","5","26.7","0.4","7.14","0.4","0.333333333","0.333333333","0.133333333","0.133333333","2.246666667","2.246666667","5.602240896","100","0.1068","5.925925926","5.925925926","5.925925926","5.925925926","99.85185185","99.85185185","1.582222222","1.582222222","105.7777778","105.7777778","4.41"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00008","","","","3","2","1.83","3","2.97","0","6","21.7","2.97","4.8","0.99","1.5","1","1.485","0.99","0.915","0.61","61.875","66.66666667","0.64449","44","66","44","66","27.11111111","40.66666667","9.548","14.322","71.11111111","106.6666667","10.5"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00009","","","","3","1","14.16","2","0.41","0","6","30.9","0.41","14.57","0.205","2","0.666666667","0.41","0.136666667","14.16","4.72","2.814001373","33.33333333","0.12669","6.074074074","18.22222222","6.074074074","18.22222222","209.7777778","629.3333333","1.876888889","5.630666667","215.8518519","647.5555556","0.12"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00010","","","","3","1","5.02","4","0.68","0.2","6","38.2","0.88","5.9","0.17","4","1.333333333","0.88","0.293333333","5.02","1.673333333","14.91525424","33.33333333","0.33616","10.07407407","30.22222222","13.03703704","39.11111111","74.37037037","223.1111111","4.980148148","14.94044444","87.40740741","262.2222222","0"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00011","","","","3","1","2.48","1","0.48","0.05","6","33.9","0.53","3.01","0.48","1","0.333333333","0.53","0.176666667","2.48","0.826666667","17.60797342","33.33333333","0.17967","7.111111111","21.33333333","7.851851852","23.55555556","36.74074074","110.2222222","2.661777778","7.985333333","44.59259259","133.7777778","0"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00012","","","","3","3","5.11","7","2.05","0.57","5","33.2","2.62","7.73","0.292857143","2.333333333","2.333333333","0.873333333","0.873333333","1.703333333","1.703333333","33.89391979","100","0.86984","30.37037037","30.37037037","38.81481481","38.81481481","75.7037037","75.7037037","12.88651852","12.88651852","114.5185185","114.5185185","1.74"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00013","","","","3","2","8.43","2","0.4","0.16","6","26.1","0.56","8.99","0.2","1","0.666666667","0.28","0.186666667","4.215","2.81","6.229143493","66.66666667","0.14616","5.925925926","8.888888889","8.296296296","12.44444444","124.8888889","187.3333333","2.165333333","3.248","133.1851852","199.7777778","4.92"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00014","","","","3","1","6.98","1","0.09","0.11","6","","0.2","7.18","0.09","1","0.333333333","0.2","0.066666667","6.98","2.326666667","2.78551532","33.33333333","","1.333333333","4","2.962962963","8.888888889","103.4074074","310.2222222","","","106.3703704","319.1111111","5.49"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00015","","","","3","2","4.81","3","0.7","0.24","6","","0.94","5.75","0.233333333","1.5","1","0.47","0.313333333","2.405","1.603333333","16.34782609","66.66666667","","10.37037037","15.55555556","13.92592593","20.88888889","71.25925926","106.8888889","","","85.18518519","127.7777778","1.17"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00016","","","","3","1","6.94","2","0.55","0.33","6","17.9","0.88","7.82","0.275","2","0.666666667","0.88","0.293333333","6.94","2.313333333","11.25319693","33.33333333","0.15752","8.148148148","24.44444444","13.03703704","39.11111111","102.8148148","308.4444444","2.33362963","7.000888889","115.8518519","347.5555556","6.12"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00017","","","","3","1","8.02","2","0.99","0.16","6","30.2","1.15","9.17","0.495","2","0.666666667","1.15","0.383333333","8.02","2.673333333","12.54089422","33.33333333","0.3473","14.66666667","44","17.03703704","51.11111111","118.8148148","356.4444444","5.145185185","15.43555556","135.8518519","407.5555556","0"
