"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2013PIC-AT01","","","","","","","","","PEP2013PIC-AT01-00001","","","","20","5.28","16","40","17","4.41","0.53","6","29.42345924","3.3452644","1.080204","0.9062767","97.3881836","93.2229919","0.3627014","65.5026474","5.9306402","9.2653332","4.7849865","0.1186886","4.94","10.22","57","0.11025","0.031176471","0.086666667","3.5625","2.85","2.5","2","0.30875","0.247","0.33","0.264","70.1754386","48.33659491","80","1.453518886","9.8","12.25","10.97777778","13.72222222","11.73333333","14.66666667","3.23004197","4.037552462","22.71111111","28.38888889"
"","","PEP2013PIC-AT01","","","","","","","","","PEP2013PIC-AT01-00002","","","","20","4.34","14","22","35","3.04","0.87","5","30.90551181","4.6037846","1.4631186","1.0646558","144.1098633","110.7181091","0","68.7332077","4.5448275","7.5108504","3.4136875","0.4594269","3.91","8.25","57","0.138181818","0.024857143","0.068596491","4.071428571","2.85","1.571428571","1.1","0.279285714","0.1955","0.31","0.217","38.59649123","47.39393939","70","1.208405512","6.755555556","9.650793651","8.688888889","12.41269841","9.644444444","13.77777778","2.685345582","3.836207974","18.33333333","26.19047619"
"","","PEP2013PIC-AT01","","","","","","","","","PEP2013PIC-AT01-00003","","","","20","0.5","7","0","18","0","0.3","7","","","","","","","","","","","","","0.3","0.8","18","","0.016666667","0.016666667","2.571428571","0.9","0","0","0.042857143","0.015","0.071428571","0.025","0","37.5","35","","0","0","0.666666667","1.904761905","1.111111111","3.174603175","","","1.777777778","5.079365079"
"","","PEP2013PIC-AT01","","","","","","","","","PEP2013PIC-AT01-00004","","","","20","4.8","6","0","12","0","0.82","5","36.63366337","8.8167429","2.1753983","1.4808078","56.2817383","107.5029144","","63.1174698","0.9833088","2.7402787","11.0557117","0.5527325","0.82","5.62","12","","0.068333333","0.068333333","2","0.6","0","0","0.136666667","0.041","0.8","0.24","0","14.59074733","30","0.30039604","0","0","1.822222222","6.074074074","10.66666667","35.55555556","0.667546755","2.225155849","12.48888889","41.62962963"
"","","PEP2013PIC-AT01","","","","","","","","","PEP2013PIC-AT01-00005","","","","20","6.96","14","15","44","1.46","1.25","4","26.04373757","4.1441479","1.7340212","1.1517415","250.1689453","149.2309875","26.295578","57.9453278","5.6371374","8.9644537","9.7703152","0.9182692","2.71","9.67","59","0.097333333","0.028409091","0.045932203","4.214285714","2.95","1.071428571","0.75","0.193571429","0.1355","0.497142857","0.348","25.42372881","28.02481903","70","0.705785288","3.244444444","4.634920635","6.022222222","8.603174603","15.46666667","22.0952381","1.568411751","2.240588216","21.48888889","30.6984127"
"","","PEP2013PIC-AT01","","","","","","","","","PEP2013PIC-AT01-00006","","","","20","1.88","14","20","18","2.25","0.7","5","30.93812375","3.2156944","1.2724328","0.7973442","78.4130859","84.9946594","34.9951172","62.9601707","4.8872919","7.5772386","9.5179081","0.6715994","2.95","4.83","38","0.1125","0.038888889","0.077631579","2.714285714","1.9","1.428571429","1","0.210714286","0.1475","0.134285714","0.094","52.63157895","61.07660455","70","0.912674651","5","7.142857143","6.555555556","9.365079365","4.177777778","5.968253968","2.02816589","2.897379843","10.73333333","15.33333333"
"","","PEP2013PIC-AT01","","","","","","","","","PEP2013PIC-AT01-00007","","","","20","0.8","3","0","10","0","0.28","5","","","","","","","","","","","","","0.28","1.08","10","","0.028","0.028","3.333333333","0.5","0","0","0.093333333","0.014","0.266666667","0.04","0","25.92592593","15","","0","0","0.622222222","4.148148148","1.777777778","11.85185185","","","2.4","16"
"","","PEP2013PIC-AT01","","","","","","","","","PEP2013PIC-AT01-00008","","","","20","0.44","3","0","10","0","0.29","7","","","","","","","","","","","","","0.29","0.73","10","","0.029","0.029","3.333333333","0.5","0","0","0.096666667","0.0145","0.146666667","0.022","0","39.7260274","15","","0","0","0.644444444","4.296296296","0.977777778","6.518518519","","","1.622222222","10.81481481"
"","","PEP2013PIC-AT01","","","","","","","","","PEP2013PIC-AT01-00009","","","","20","0.65","7","10","16","0.85","0.5","5","29.74051896","4.1802311","1.6019874","0.9735217","115.1763916","94.9203186","28.008667","59.2438164","4.9562206","7.4198518","8.2812033","0.8054466","1.35","2","26","0.085","0.03125","0.051923077","3.714285714","1.3","1.428571429","0.5","0.192857143","0.0675","0.092857143","0.0325","38.46153846","67.5","35","0.401497006","1.888888889","5.396825397","3","8.571428571","1.444444444","4.126984127","0.892215569","2.549187339","4.444444444","12.6984127"
"","","PEP2013PIC-AT01","","","","","","","","","PEP2013PIC-AT01-00010","","","","20","1.39","9","18","19","1.77","0.43","5","27.57936508","3.0197754","1.2273808","0.7760983","33.0047607","85.3011169","33.3304977","57.5487938","5.8374805","8.9897423","12.7922554","0.8178244","2.2","3.59","37","0.098333333","0.022631579","0.059459459","4.111111111","1.85","2","0.9","0.244444444","0.11","0.154444444","0.0695","48.64864865","61.28133705","45","0.606746032","3.933333333","8.740740741","4.888888889","10.86419753","3.088888889","6.864197531","1.348324515","2.9962767","7.977777778","17.72839506"
"","","PEP2013PIC-AT01","","","","","","","","","PEP2013PIC-AT01-00011","","","","20","1.05","8","10","24","0.7","0.4","4","31.23772102","3.9662571","1.4962211","1.0261345","132.3084717","94.5561066","30.0382538","63.7055626","2.1654358","4.1496391","12.7081738","0.1564875","1.1","2.15","34","0.07","0.016666667","0.032352941","4.25","1.7","1.25","0.5","0.1375","0.055","0.13125","0.0525","29.41176471","51.1627907","40","0.343614931","1.555555556","3.888888889","2.444444444","6.111111111","2.333333333","5.833333333","0.763588736","1.90897184","4.777777778","11.94444444"
