"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00011","","","","20","7.33","16","35","21","6.21","1.02","30.61630219","3.315334","1.471385","1.038538","142.1113","88.19099","37.03403","62.0566","2.593454","4.607933","13.22054","0.140445","7.23","14.56","56","0.177428571","0.048571429","0.129107143","3.5","2.8","2.1875","1.75","0.451875","0.3615","0.458125","0.3665","62.5","49.65659341","80","2.213558648","13.8","17.25","16.06666667","20.08333333","16.28888889","20.36111111","4.919019219","6.148774023","32.35555556","40.44444444"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00012","","","","20","5.76","17","35","17","9.35","0.64","29.33070866","3.367378","1.495133","1.028593","158.05","94.43051","33.00275","61.85901","2.540171","4.356175","13.32887","0.252153","9.99","15.75","52","0.267142857","0.037647059","0.192115385","3.058823529","2.6","2.058823529","1.75","0.587647059","0.4995","0.338823529","0.288","67.30769231","63.42857143","85","2.930137795","20.77777778","24.44444444","22.2","26.11764706","12.8","15.05882353","6.511417323","7.660490968","35","41.17647059"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00013","","","","20","10.15","17","33","24","9.78","1","28.85375494","3.517706","1.6553","1.071365","119.0614","97.08569","44.0958","58.19471","3.828226","6.141718","12.33152","0.349951","10.78","20.93","57","0.296363636","0.041666667","0.189122807","3.352941176","2.85","1.941176471","1.65","0.634117647","0.539","0.597058824","0.5075","57.89473684","51.50501672","85","3.110434783","21.73333333","25.56862745","23.95555556","28.18300654","22.55555556","26.53594771","6.912077295","8.131855641","46.51111111","54.71895425"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00014","","","","20","7.35","16","26","17","6.57","0.72","28.06324111","4.00716","1.797419","1.081262","154.5701","110.2675","48.72701","59.40199","2.355935","3.998223","13.40353","0.468071","7.29","14.64","43","0.252692308","0.042352941","0.169534884","2.6875","2.15","1.625","1.3","0.455625","0.3645","0.459375","0.3675","60.46511628","49.79508197","80","2.045810277","14.6","18.25","16.2","20.25","16.33333333","20.41666667","4.54624506","5.682806325","32.53333333","40.66666667"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00015","","","","20","5.91","18","31","20","6.47","1.06","33.72319688","3.825096","1.443467","0.896107","101.7003","86.62799","29.16803","61.44969","5.542278","8.106383","6.137808","0.547122","7.53","13.44","51","0.208709677","0.053","0.147647059","2.833333333","2.55","1.722222222","1.55","0.418333333","0.3765","0.328333333","0.2955","60.78431373","56.02678571","90","2.539356725","14.37777778","15.97530864","16.73333333","18.59259259","13.13333333","14.59259259","5.643014945","6.270016605","29.86666667","33.18518519"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00016","","","","20","3.87","18","40","20","5.96","0.66","35.46511628","3.817778","1.388298","0.885603","114.4135","79.56787","29.42587","65.33273","4.38821","6.56747","6.190907","0.676529","6.62","10.49","60","0.149","0.033","0.110333333","3.333333333","3","2.222222222","2","0.367777778","0.331","0.215","0.1935","66.66666667","63.10772164","90","2.347790698","13.24444444","14.71604938","14.71111111","16.34567901","8.6","9.555555556","5.217312662","5.797014068","23.31111111","25.90123457"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00017","","","","20","6.21","17","25","24","4.61","0.81","31.4229249","4.081423","1.691857","1.002172","160.6627","128.2435","35.20922","60.40877","3.063323","5.180435","11.67945","0.433021","5.42","11.63","49","0.1844","0.03375","0.110612245","2.882352941","2.45","1.470588235","1.25","0.318823529","0.271","0.365294118","0.3105","51.02040816","46.60361135","85","1.70312253","10.24444444","12.05228758","12.04444444","14.16993464","13.8","16.23529412","3.784716732","4.45260792","25.84444444","30.40522876"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00018","","","","20","9.36","18","20","21","5.24","1.12","29.24901186","4.828886","1.847692","1.109494","127.2939","109.4349","39.24152","60.74189","2.134758","4.173366","12.52402","0.296153","6.36","15.72","41","0.262","0.053333333","0.155121951","2.277777778","2.05","1.111111111","1","0.353333333","0.318","0.52","0.468","48.7804878","40.45801527","90","1.860237154","11.64444444","12.9382716","14.13333333","15.7037037","20.8","23.11111111","4.133860343","4.593178159","34.93333333","38.81481481"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00019","","","","20","2.55","12","3","0","0.4","0","29.78303748","4.210945","1.856252","1.072075","145.0416","128.4601","37.43248","51.64655","6.587365","9.981486","11.21676","0.563644","0.4","2.95","3","0.133333333","","0.133333333","0.25","0.15","0.25","0.15","0.033333333","0.02","0.2125","0.1275","100","13.55932203","60","0.11913215","0.888888889","1.481481481","0.888888889","1.481481481","5.666666667","9.444444444","0.264738111","0.441230185","6.555555556","10.92592593"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00020","","","","20","7.99","17","4","15","0.62","0.49","28.23529412","3.064449","1.632348","0.987914","204.8793","131.3139","29.36798","55.75617","5.85024","9.004374","10.70559","0.438777","1.11","9.1","19","0.155","0.032666667","0.058421053","1.117647059","0.95","0.235294118","0.2","0.065294118","0.0555","0.47","0.3995","21.05263158","12.1978022","85","0.313411765","1.377777778","1.620915033","2.466666667","2.901960784","17.75555556","20.88888889","0.696470588","0.819377163","20.22222222","23.79084967"
