"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00011","","","","20","1.6","13","13","20","1.6","0.4","26.6798419","5.7507","2.039711","1.278608","113.1564","99.8109","32.36996","52.31765","4.624502","7.126079","16.29986","0.649146","2","3.6","33","0.123076923","0.02","0.060606061","2.538461538","1.65","1","0.65","0.153846154","0.1","0.123076923","0.08","39.39393939","55.55555556","65","0.533596838","3.555555556","5.47008547","4.444444444","6.837606838","3.555555556","5.47008547","1.185770751","1.824262694","8","12.30769231"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00012","","","","20","4.8","13","16","8","2.3","0.2","30.23255814","5.730284","1.8321","1.184453","135.8301","91.34048","38.48151","56.01706","3.108254","4.967802","15.73244","0.451677","2.5","7.3","24","0.14375","0.025","0.104166667","1.846153846","1.2","1.230769231","0.8","0.192307692","0.125","0.369230769","0.24","66.66666667","34.24657534","65","0.755813954","5.111111111","7.863247863","5.555555556","8.547008547","10.66666667","16.41025641","1.679586563","2.583979328","16.22222222","24.95726496"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00013","","","","20","1.1","8","0","4","0","0.2","","","","","","","","","","","","","0.2","1.3","4","","0.05","0.05","0.5","0.2","0","0","0.025","0.01","0.1375","0.055","0","15.38461538","40","","0","0","0.444444444","1.111111111","2.444444444","6.111111111","","","2.888888889","7.222222222"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00014","","","","20","1.5","8","0","13","0","0.3","","","","","","","","","","","","","0.3","1.8","13","","0.023076923","0.023076923","1.625","0.65","0","0","0.0375","0.015","0.1875","0.075","0","16.66666667","40","","0","0","0.666666667","1.666666667","3.333333333","8.333333333","","","4","10"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00015","","","","20","1","9","3","10","0.2","0.2","","","","","","","","","","","","","0.4","1.4","13","0.066666667","0.02","0.030769231","1.444444444","0.65","0.333333333","0.15","0.044444444","0.02","0.111111111","0.05","23.07692308","28.57142857","45","","0.444444444","0.987654321","0.888888889","1.975308642","2.222222222","4.938271605","","","3.111111111","6.913580247"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00016","","","","20","1","9","7","6","0.9","0.2","","","","","","","","","","","","","1.1","2.1","13","0.128571429","0.033333333","0.084615385","1.444444444","0.65","0.777777778","0.35","0.122222222","0.055","0.111111111","0.05","53.84615385","52.38095238","45","","2","4.444444444","2.444444444","5.432098765","2.222222222","4.938271605","","","4.666666667","10.37037037"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00017","","","","20","2.4","9","3","2","0.4","0.1","","","","","","","","","","","","","0.5","2.9","5","0.133333333","0.05","0.1","0.555555556","0.25","0.333333333","0.15","0.055555556","0.025","0.266666667","0.12","60","17.24137931","45","","0.888888889","1.975308642","1.111111111","2.469135802","5.333333333","11.85185185","","","6.444444444","14.32098765"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00018","","","","20","4","10","0","12","0","0.3","","","","","","","","","","","","","0.3","4.3","12","","0.025","0.025","1.2","0.6","0","0","0.03","0.015","0.4","0.2","0","6.976744186","50","","0","0","0.666666667","1.333333333","8.888888889","17.77777778","","","9.555555556","19.11111111"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00019","","","","20","2.8","11","12","8","0.6","0.3","27.8","5.415024","2.145738","1.264078","170.6462","136.029","37.28847","47.18893","4.292979","7.066498","18.3407","0.332418","0.9","3.7","20","0.05","0.0375","0.045","1.818181818","1","1.090909091","0.6","0.081818182","0.045","0.254545455","0.14","60","24.32432432","55","0.2502","1.333333333","2.424242424","2","3.636363636","6.222222222","11.31313131","0.556","1.010909091","8.222222222","14.94949495"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00020","","","","20","1","7","3","9","0.5","0.2","32.21343874","5.864006","1.87268","1.244806","102.4418","104.0382","42.88875","47.62518","3.970317","7.08317","21.3044","0.627601","0.7","1.7","12","0.166666667","0.022222222","0.058333333","1.714285714","0.6","0.428571429","0.15","0.1","0.035","0.142857143","0.05","25","41.17647059","35","0.225494071","1.111111111","3.174603175","1.555555556","4.444444444","2.222222222","6.349206349","0.501097936","1.431708388","3.777777778","10.79365079"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00021","","","","20","2.3","12","11","12","1.2","0.4","","","","","","","","","","","","","1.6","3.9","23","0.109090909","0.033333333","0.069565217","1.916666667","1.15","0.916666667","0.55","0.133333333","0.08","0.191666667","0.115","47.82608696","41.02564103","60","","2.666666667","4.444444444","3.555555556","5.925925926","5.111111111","8.518518519","","","8.666666667","14.44444444"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00022","","","","20","1.7","12","10","16","1.3","0.5","","","","","","","","","","","","","1.8","3.5","26","0.13","0.03125","0.069230769","2.166666667","1.3","0.833333333","0.5","0.15","0.09","0.141666667","0.085","38.46153846","51.42857143","60","","2.888888889","4.814814815","4","6.666666667","3.777777778","6.296296296","","","7.777777778","12.96296296"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00023","","","","20","2.3","10","3","14","0.1","0.2","31.74603175","4.350475","1.681372","1.224506","147.0487","97.51009","18.84375","58.32634","3.387878","5.230296","10.95254","0.119098","0.3","2.6","17","0.033333333","0.014285714","0.017647059","1.7","0.85","0.3","0.15","0.03","0.015","0.23","0.115","17.64705882","11.53846154","50","0.095238095","0.222222222","0.444444444","0.666666667","1.333333333","5.111111111","10.22222222","0.211640212","0.423280423","5.777777778","11.55555556"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00024","","","","20","2.1","12","5","9","0.5","0.2","33.39960239","4.816607","1.483541","1.042955","153.4458","95.51414","0.683685","63.29884","3.354937","5.637601","8.341066","0.504228","0.7","2.8","14","0.1","0.022222222","0.05","1.166666667","0.7","0.416666667","0.25","0.058333333","0.035","0.175","0.105","35.71428571","25","60","0.233797217","1.111111111","1.851851852","1.555555556","2.592592593","4.666666667","7.777777778","0.519549371","0.865915618","6.222222222","10.37037037"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00025","","","","20","1.2","7","5","5","0.5","0.2","30","5.330757","1.936567","1.22802","144.2069","110.6662","29.05669","56.92155","2.718776","4.648326","12.53622","0.01558","0.7","1.9","10","0.1","0.04","0.07","1.428571429","0.5","0.714285714","0.25","0.1","0.035","0.171428571","0.06","50","36.84210526","35","0.21","1.111111111","3.174603175","1.555555556","4.444444444","2.666666667","7.619047619","0.466666667","1.333333333","4.222222222","12.06349206"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00026","","","","20","1.1","10","9","4","1.4","0.2","30.0990099","7.216159","2.228775","1.425347","116.9011","113.8521","33.42948","59.08042","1.087562","2.622908","13.54777","0","1.6","2.7","13","0.155555556","0.05","0.123076923","1.3","0.65","0.9","0.45","0.16","0.08","0.11","0.055","69.23076923","59.25925926","50","0.481584158","3.111111111","6.222222222","3.555555556","7.111111111","2.444444444","4.888888889","1.070187019","2.140374037","6","12"
