"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_mid_season_drought","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00011","","","","84","69","1","7","53","33","48","16","19.8","1.2","40","5","7","21","61","0.4125","0.905660377","0.571428571","0.396226415","0.25","0.754716981","0.476190476","34.42622951","63.0952381","8.73015873","13.83647799","9.259259259","14.67505241","17.6366843","27.95248078","26.89594356","42.62753319","1","64","0.075","0.328125","1.20754717","0.761904762","75"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00012","","","","84","67","1","9","25","25","120","225","19.2","12.8","37","3","5","32","69","0.16","4.8","1.428571429","1.28","0.380952381","1.48","0.44047619","46.37681159","29.76190476","8.465608466","28.44444444","14.10934744","47.40740741","16.31393298","54.81481481","30.42328042","102.2222222","1","345","0.056888889","0.092753623","13.8","4.107142857","34.7826087"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00013","","","","84","45","1","5","43","43","94","100","15.8","4","35.8","5","3","19.8","55.6","0.168085106","2.186046512","1.119047619","0.460465116","0.235714286","0.83255814","0.426190476","35.61151079","51.19047619","6.9664903","13.6089578","8.73015873","17.05426357","15.78483245","30.83548665","24.51499118","47.88975022","1","194","0.04","0.102061856","4.511627907","2.30952381","48.45360825"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00014","","","","84","64","1","7","43","33","141","155","14","6.4","38","5","3","20.4","58.4","0.09929078","3.279069767","1.678571429","0.474418605","0.242857143","0.88372093","0.452380952","34.93150685","51.19047619","6.172839506","12.0585702","8.994708995","17.57105943","16.75485009","32.73040482","25.74955908","50.30146425","1","296","0.041290323","0.068918919","6.88372093","3.523809524","47.63513514"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00015","","","","84","65","1","9","32","29","83","72","12.4","3","42.6","7","3","15.4","58","0.14939759","2.59375","0.988095238","0.48125","0.183333333","1.33125","0.507142857","26.55172414","38.0952381","5.467372134","14.35185185","6.790123457","17.82407407","18.78306878","49.30555556","25.57319224","67.12962963","1","155","0.041666667","0.099354839","4.84375","1.845238095","53.5483871"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00016","","","","84","62","1","9","50","44","95","121","17","5.8","100.2","5","1","22.8","123","0.178947368","1.9","1.130952381","0.456","0.271428571","2.004","1.192857143","18.53658537","59.52380952","7.495590829","12.59259259","10.05291005","16.88888889","44.17989418","74.22222222","54.23280423","91.11111111","1","216","0.047933884","0.105555556","4.32","2.571428571","43.98148148"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00017","","","","84","65","1","5","24","12","9","14","1.2","0.8","17","5","5","2","19","0.133333333","0.375","0.107142857","0.083333333","0.023809524","0.708333333","0.202380952","10.52631579","28.57142857","0.529100529","1.851851852","0.881834215","3.086419753","7.495590829","26.2345679","8.377425044","29.32098765","1","23","0.057142857","0.086956522","0.958333333","0.273809524","39.13043478"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00018","","","","84","52","1","9","48","43","121","99","24.2","9.6","53.2","5","3","33.8","87","0.2","2.520833333","1.44047619","0.704166667","0.402380952","1.108333333","0.633333333","38.85057471","57.14285714","10.670194","18.67283951","14.90299824","26.08024691","23.45679012","41.04938272","38.35978836","67.12962963","1","220","0.096969697","0.153636364","4.583333333","2.619047619","55"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00019","","","","84","61","1","7","54","23","46","112","6.8","5","47.4","5","3","11.8","59.2","0.147826087","0.851851852","0.547619048","0.218518519","0.14047619","0.877777778","0.564285714","19.93243243","64.28571429","2.998236332","4.663923182","5.202821869","8.093278464","20.8994709","32.51028807","26.10229277","40.60356653","1","158","0.044642857","0.074683544","2.925925926","1.880952381","29.11392405"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00020","","","","84","63","1","7","33","10","18","46","1.6","3","88","3","5","4.6","92.6","0.088888889","0.545454545","0.214285714","0.139393939","0.054761905","2.666666667","1.047619048","4.967602592","39.28571429","0.705467372","1.795735129","2.028218695","5.162738496","38.80070547","98.7654321","40.82892416","103.9281706","1","64","0.065217391","0.071875","1.939393939","0.761904762","28.125"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00021","","","","84","63","1","7","63","44","80","200","14","8","53.8","5","1","22","75.8","0.175","1.26984127","0.952380952","0.349206349","0.261904762","0.853968254","0.64047619","29.0237467","75","6.172839506","8.230452675","9.700176367","12.93356849","23.72134039","31.62845385","33.42151675","44.56202234","1","280","0.04","0.078571429","4.444444444","3.333333333","28.57142857"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00022","","","","84","45","1","5","18","9","14","15","2","0.8","36.6","5","5","2.8","39.4","0.142857143","0.777777778","0.166666667","0.155555556","0.033333333","2.033333333","0.435714286","7.106598985","21.42857143","0.881834215","4.115226337","1.234567901","5.761316872","16.13756614","75.30864198","17.37213404","81.06995885","1","29","0.053333333","0.096551724","1.611111111","0.345238095","48.27586207"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00023","","","","84","70","1","9","44","41","125","90","37","5.2","47.6","5","3","42.2","89.8","0.296","2.840909091","1.488095238","0.959090909","0.502380952","1.081818182","0.566666667","46.99331849","52.38095238","16.31393298","31.14478114","18.60670194","35.52188552","20.98765432","40.06734007","39.59435626","75.58922559","1","215","0.057777778","0.19627907","4.886363636","2.55952381","58.13953488"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00024","","","","84","58","1","9","29","29","172","440","24.2","19.4","67","1","1","43.6","110.6","0.140697674","5.931034483","2.047619048","1.503448276","0.519047619","2.310344828","0.797619048","39.42133816","34.52380952","10.670194","30.90676884","19.22398589","55.68326948","29.54144621","85.56832695","48.7654321","141.2515964","1","612","0.044090909","0.07124183","21.10344828","7.285714286","28.10457516"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00025","","","","84","49","1","7","36","25","60","50","9.4","2.2","22.6","3","3","11.6","34.2","0.156666667","1.666666667","0.714285714","0.322222222","0.138095238","0.627777778","0.269047619","33.91812865","42.85714286","4.144620811","9.670781893","5.114638448","11.93415638","9.964726631","23.25102881","15.07936508","35.18518519","1","110","0.044","0.105454545","3.055555556","1.30952381","54.54545455"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00026","","","","84","61","1","7","32","25","130","66","36","3.8","64.2","7","5","39.8","104","0.276923077","4.0625","1.547619048","1.24375","0.473809524","2.00625","0.764285714","38.26923077","38.0952381","15.87301587","41.66666667","17.54850088","46.06481481","28.30687831","74.30555556","45.85537919","120.3703704","1","196","0.057575758","0.203061224","6.125","2.333333333","66.32653061"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00027","","","","84","73","1","9","34","34","165","71","47","6","68.4","5","3","53","121.4","0.284848485","4.852941176","1.964285714","1.558823529","0.630952381","2.011764706","0.814285714","43.65733114","40.47619048","20.72310406","51.19825708","23.3686067","57.73420479","30.15873016","74.50980392","53.52733686","132.2440087","1","236","0.084507042","0.224576271","6.941176471","2.80952381","69.91525424"
