"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00001","","","","37","37","36","27","43","7.5","8.7","79.1","1","5","5","31.38","3.65","2.35","1.32","59.23","1.39","3.45","16.51","16.2","95.3","70","0.277777778","0.202325581","0.231428571","1.891891892","0.72972973","0.437837838","2.137837838","38.57142857","16.99895068","5.08356","7.122507123","15.38461538","75.11870845","4.827692308","90.50332384","1.794871795","0.692307692","0.415384615","2.028205128","94.87179487","7.507507508","16.21621622","79.17917918","5.088648649","95.3953954"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00002","","","","34","34","34","28","47","7.2","9.5","29","3","3","3","44.27","4.07","2.3","1.22","62.22","0.91","2.55","17.07","16.7","45.7","75","0.257142857","0.20212766","0.222666667","2.205882353","0.823529412","0.491176471","0.852941176","37.33333333","36.54266958","7.39309","6.837606838","15.85944919","27.54036087","7.020978158","43.39981007","1.923076923","0.717948718","0.428205128","0.743589744","87.17948718","7.843137255","18.19172113","31.59041394","8.053474946","49.78213508"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00003","","","","37","37","36","19","39","5","7.2","72","1","5","5","41.96","4.15","2.37","1.27","62.37","0.69","2.22","13.76","12.2","84.2","58","0.263157895","0.184615385","0.210344828","1.567567568","0.513513514","0.32972973","1.945945946","32.75862069","14.48931116","5.11912","4.748338082","11.58594492","68.37606838","4.861462488","79.9620133","1.487179487","0.487179487","0.312820513","1.846153846","94.87179487","5.005005005","12.21221221","72.07207207","5.124244244","84.28428428"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00004","","","","30","30","30","15","21","4","5.2","43.1","5","7","5","37.29","3.81","2.59","1.31","58.91","0.77","2.39","20.22","9.2","52.3","36","0.266666667","0.247619048","0.255555556","1.2","0.5","0.306666667","1.436666667","41.66666667","17.59082218","3.43068","3.798670465","8.73694207","40.93067426","3.258005698","49.66761633","0.923076923","0.384615385","0.235897436","1.105128205","76.92307692","4.938271605","11.35802469","53.20987654","4.235407407","64.56790123"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00005","","","","38","38","26","17","28","5","6.5","21.5","3","5","5","36.6","3.54","2.04","1.11","64.95","2.24","4.43","12","11.5","33","45","0.294117647","0.232142857","0.255555556","1.184210526","0.447368421","0.302631579","0.565789474","37.77777778","34.84848485","4.209","4.748338082","10.92117759","20.41785375","3.997150997","31.33903134","1.153846154","0.435897436","0.294871795","0.551282051","97.43589744","4.873294347","11.208577","20.95516569","4.102339181","32.16374269"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00006","","","","36","36","35","24","43","5.5","8.2","30.2","3","5","5","40.26","3.72","2.18","1.16","59.23","1.39","3.47","21.35","13.7","43.9","67","0.229166667","0.190697674","0.204477612","1.861111111","0.666666667","0.380555556","0.838888889","35.82089552","31.20728929","5.51562","5.22317189","13.01044634","28.67996201","5.238005698","41.69040836","1.717948718","0.615384615","0.351282051","0.774358974","92.30769231","5.658436214","14.09465021","31.06995885","5.674506173","45.16460905"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00007","","","","34","34","33","10","16","3","4.2","25.2","5","7","7","35.62","5.5","3.14","1.71","55.23","0.49","1.86","22.12","7.2","32.4","26","0.3","0.2625","0.276923077","0.764705882","0.294117647","0.211764706","0.741176471","38.46153846","22.22222222","2.56464","2.849002849","6.837606838","23.93162393","2.435555556","30.76923077","0.666666667","0.256410256","0.184615385","0.646153846","87.17948718","3.267973856","7.843137255","27.45098039","2.79372549","35.29411765"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00008","","","","35","35","35","17","27","5","7","21.5","3","5","5","32.49","4.34","2.73","1.37","49.85","1.46","3.06","28.37","12","33.5","44","0.294117647","0.259259259","0.272727273","1.257142857","0.485714286","0.342857143","0.614285714","38.63636364","35.82089552","3.8988","4.748338082","11.3960114","20.41785375","3.702564103","31.81386515","1.128205128","0.435897436","0.307692308","0.551282051","89.74358974","5.291005291","12.6984127","22.75132275","4.125714286","35.44973545"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00009","","","","35","35","34","16","24","4.6","6.3","47.5","3","3","3","33.13","3.24","2.47","1.38","55.68","0.91","2.07","23.94","10.9","58.4","40","0.2875","0.2625","0.2725","1.142857143","0.457142857","0.311428571","1.357142857","40","18.66438356","3.61117","4.368471035","10.35137702","45.10921178","3.429411206","55.46058879","1.025641026","0.41025641","0.279487179","1.217948718","89.74358974","4.867724868","11.53439153","50.26455026","3.821343915","61.7989418"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00010","","","","30","30","30","15","22","4.3","5.7","22.5","1","7","7","","","","","","","","","10","32.5","37","0.286666667","0.259090909","0.27027027","1.233333333","0.5","0.333333333","0.75","40.54054054","30.76923077","","4.08357075","9.496676163","21.36752137","","30.86419753","0.948717949","0.384615385","0.256410256","0.576923077","76.92307692","5.308641975","12.34567901","27.77777778","","40.12345679"
