"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-AT03","","","","","","","","","MZP2018GUR-AT03-00001","","","","39","38","1","3","5","30","22","39","5.2","8","11","8","5","5","5","13.2","24.2","61","0.236363636","0.205128205","0.216393443","2.033333333","1.564102564","0.733333333","0.564102564","0.44","0.338461538","0.366666667","0.282051282","36.06557377","54.54545455","76.92307692","4.938271605","6.419753086","12.53561254","16.2962963","10.44634378","13.58024691","22.98195632","29.87654321"
"","","MZP2018GUR-AT03","","","","","","","","","MZP2018GUR-AT03-00002","","","","39","37","1","1","5","32","19","38","5","7.5","13.5","8","5","5","3","12.5","26","57","0.263157895","0.197368421","0.219298246","1.78125","1.461538462","0.59375","0.487179487","0.390625","0.320512821","0.421875","0.346153846","33.33333333","48.07692308","82.05128205","4.748338082","5.787037037","11.8708452","14.46759259","12.82051282","15.625","24.69135802","30.09259259"
"","","MZP2018GUR-AT03","","","","","","","","","MZP2018GUR-AT03-00003","","","","39","32","1","1","5","30","18","32","4.7","7.2","10.5","8","5","3","3","11.9","22.4","50","0.261111111","0.225","0.238","1.666666667","1.282051282","0.6","0.461538462","0.396666667","0.305128205","0.35","0.269230769","36","53.125","76.92307692","4.463437797","5.802469136","11.30104463","14.69135802","9.971509972","12.96296296","21.27255461","27.65432099"
"","","MZP2018GUR-AT03","","","","","","","","","MZP2018GUR-AT03-00004","","","","39","35","1","1","7","30","21","42","5.2","8.7","12.5","6","3","3","3","13.9","26.4","63","0.247619048","0.207142857","0.220634921","2.1","1.615384615","0.7","0.538461538","0.463333333","0.356410256","0.416666667","0.320512821","33.33333333","52.65151515","76.92307692","4.938271605","6.419753086","13.20037987","17.16049383","11.8708452","15.43209877","25.07122507","32.59259259"
"","","MZP2018GUR-AT03","","","","","","","","","MZP2018GUR-AT03-00005","","","","39","32","1","3","5","28","19","34","5","7.5","7.5","9","5","5","5","12.5","20","53","0.263157895","0.220588235","0.235849057","1.892857143","1.358974359","0.678571429","0.487179487","0.446428571","0.320512821","0.267857143","0.192307692","35.8490566","62.5","71.79487179","4.748338082","6.613756614","11.8708452","16.53439153","7.122507123","9.920634921","18.99335233","26.45502646"
"","","MZP2018GUR-AT03","","","","","","","","","MZP2018GUR-AT03-00006","","","","39","30","1","1","5","27","17","27","4","6.5","7.9","9","5","5","7","10.5","18.4","44","0.235294118","0.240740741","0.238636364","1.62962963","1.128205128","0.62962963","0.435897436","0.388888889","0.269230769","0.292592593","0.202564103","38.63636364","57.06521739","69.23076923","3.798670465","5.48696845","9.971509972","14.40329218","7.502374169","10.83676269","17.47388414","25.24005487"
"","","MZP2018GUR-AT03","","","","","","","","","MZP2018GUR-AT03-00007","","","","39","25","1","5","5","20","15","22","4","5","7.5","9","7","7","5","9","16.5","37","0.266666667","0.227272727","0.243243243","1.85","0.948717949","0.75","0.384615385","0.45","0.230769231","0.375","0.192307692","40.54054054","54.54545455","51.28205128","3.798670465","7.407407407","8.547008547","16.66666667","7.122507123","13.88888889","15.66951567","30.55555556"
"","","MZP2018GUR-AT03","","","","","","","","","MZP2018GUR-AT03-00008","","","","39","37","1","1","7","36","30","49","7.5","10.5","9.5","9","3","3","3","18","27.5","79","0.25","0.214285714","0.227848101","2.194444444","2.025641026","0.833333333","0.769230769","0.5","0.461538462","0.263888889","0.243589744","37.97468354","65.45454545","92.30769231","7.122507123","7.716049383","17.09401709","18.51851852","9.021842355","9.773662551","26.11585945","28.29218107"
"","","MZP2018GUR-AT03","","","","","","","","","MZP2018GUR-AT03-00009","","","","39","30","1","1","5","26","16","27","4","6.5","6","9","5","5","5","10.5","16.5","43","0.25","0.240740741","0.244186047","1.653846154","1.102564103","0.615384615","0.41025641","0.403846154","0.269230769","0.230769231","0.153846154","37.20930233","63.63636364","66.66666667","3.798670465","5.698005698","9.971509972","14.95726496","5.698005698","8.547008547","15.66951567","23.5042735"
"","","MZP2018GUR-AT03","","","","","","","","","MZP2018GUR-AT03-00010","","","","39","27","1","1","5","24","17","29","4.2","7","12.5","9","3","3","3","11.2","23.7","46","0.247058824","0.24137931","0.243478261","1.916666667","1.179487179","0.708333333","0.435897436","0.466666667","0.287179487","0.520833333","0.320512821","36.95652174","47.25738397","61.53846154","3.988603989","6.481481481","10.6362773","17.28395062","11.8708452","19.29012346","22.50712251","36.57407407"
