"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018CHL-MT02","","","","","","","","","MZP2018CHL-MT02-00001","","","","39","36","36","29","10","27","1.2","1.6","39.4","1","3","3","22.82","3.78","25.98","2.1","1.08","57.7","5.12","7.53","6.67","2.8","42.2","37","0.12","0.059259259","0.075675676","1.027777778","0.277777778","0.077777778","1.094444444","27.02702703","6.63507109","0.63896","1.13960114","2.659069326","37.41690408","0.60679962","40.07597341","0.948717949","0.256410256","0.071794872","1.01025641","92.30769231","1.234567901","2.880658436","40.53497942","0.657366255","43.41563786"
"","","MZP2018CHL-MT02","","","","","","","","","MZP2018CHL-MT02-00002","","","","39","32","32","29","26","24","3.6","2.6","52","1","3","3","20.85","3.17","","2.38","1.28","50.31","6.1","8.59","14.71","6.2","58.2","50","0.138461538","0.108333333","0.124","1.5625","0.8125","0.19375","1.625","52","10.65292096","1.2927","3.418803419","5.887939221","49.38271605","1.227635328","55.27065527","1.282051282","0.666666667","0.158974359","1.333333333","82.05128205","4.166666667","7.175925926","60.18518519","1.496180556","67.36111111"
"","","MZP2018CHL-MT02","","","","","","","","","MZP2018CHL-MT02-00003","","","","39","31","31","31","190","130","27.8","6.8","44.8","1","1","1","17.88","4.53","","2.45","1.32","55.79","3.07","4.64","13.95","34.6","79.4","320","0.146315789","0.052307692","0.108125","10.32258065","6.129032258","1.116129032","1.44516129","59.375","43.5768262","6.18648","26.40075973","32.85849953","42.54510921","5.875099715","75.40360874","8.205128205","4.871794872","0.887179487","1.148717949","79.48717949","33.21385902","41.33811231","53.52449223","7.39125448","94.86260454"
"","","MZP2018CHL-MT02","","","","","","","","","MZP2018CHL-MT02-00004","","","","39","38","38","19","65","33","2.4","6.4","64","1","3","3","16.45","4.1","29.73","2.32","1.11","45.73","8.19","12.2","13.84","8.8","72.8","98","0.036923077","0.193939394","0.089795918","2.578947368","1.710526316","0.231578947","1.684210526","66.32653061","12.08791209","1.4476","2.279202279","8.357075024","60.77872745","1.374738841","69.13580247","2.512820513","1.666666667","0.225641026","1.641025641","97.43589744","2.339181287","8.576998051","62.37816764","1.410916179","70.95516569"
"","","MZP2018CHL-MT02","","","","","","","","","MZP2018CHL-MT02-00005","","","","39","36","36","35","84","59","12.6","7.6","70.2","1","3","3","22.05","3.05","6.89","1.75","0.84","52.79","8.64","12.03","6.93","20.2","90.4","143","0.15","0.128813559","0.141258741","3.972222222","2.333333333","0.561111111","1.95","58.74125874","22.34513274","4.4541","11.96581197","19.18328585","66.66666667","4.22991453","85.84995252","3.666666667","2.153846154","0.517948718","1.8","92.30769231","12.96296296","20.781893","72.22222222","4.582407407","93.00411523"
"","","MZP2018CHL-MT02","","","","","","","","","MZP2018CHL-MT02-00006","","","","39","35","35","32","127","97","42.6","6.6","76.2","1","3","3","19","4.8","33.28","2.68","1.58","54.01","2.31","3.92","13.91","49.2","125.4","224","0.335433071","0.068041237","0.219642857","6.4","3.628571429","1.405714286","2.177142857","56.69642857","39.23444976","9.348","40.45584046","46.72364672","72.36467236","8.877492877","119.0883191","5.743589744","3.256410256","1.261538462","1.953846154","89.74358974","45.07936508","52.06349206","80.63492063","9.892063492","132.6984127"
"","","MZP2018CHL-MT02","","","","","","","","","MZP2018CHL-MT02-00007","","","","39","28","28","28","250","42","17.8","4.4","53","3","3","3","26.33","3.43","59.15","2.64","1.39","45.32","3.4","5.94","20.79","22.2","75.2","292","0.0712","0.104761905","0.076027397","10.42857143","8.928571429","0.792857143","1.892857143","85.61643836","29.5212766","5.84526","16.90408357","21.08262108","50.33238367","5.551054131","71.41500475","7.487179487","6.41025641","0.569230769","1.358974359","71.79487179","23.54497354","29.36507937","70.10582011","7.731825397","99.47089947"
"","","MZP2018CHL-MT02","","","","","","","","","MZP2018CHL-MT02-00008","","","","39","31","31","25","198","110","20.6","13","30.6","1","1","1","","","","","","","","","","33.6","64.2","308","0.104040404","0.118181818","0.109090909","9.935483871","6.387096774","1.083870968","0.987096774","64.28571429","52.3364486","","19.5631529","31.90883191","29.05982906","","60.96866097","7.897435897","5.076923077","0.861538462","0.784615385","79.48717949","24.61170848","40.14336918","36.55913978","","76.70250896"
"","","MZP2018CHL-MT02","","","","","","","","","MZP2018CHL-MT02-00009","","","","39","32","32","23","47","61","16.6","8","48","1","3","3","19.21","3.78","","2.04","0.97","55.67","7.61","11.05","4.51","24.6","72.6","108","0.353191489","0.131147541","0.227777778","3.375","1.46875","0.76875","1.5","43.51851852","33.88429752","4.72566","15.76448243","23.36182336","45.58404558","4.487806268","68.94586895","2.769230769","1.205128205","0.630769231","1.230769231","82.05128205","19.21296296","28.47222222","55.55555556","5.469513889","84.02777778"
"","","MZP2018CHL-MT02","","","","","","","","","MZP2018CHL-MT02-00010","","","","39","36","36","36","270","290","42","16.2","36.2","1","1","1","","","","","","","","","","58.2","94.4","560","0.155555556","0.055862069","0.103928571","15.55555556","7.5","1.616666667","1.005555556","48.21428571","61.65254237","","39.88603989","55.27065527","34.37796771","","89.64862298","14.35897436","6.923076923","1.492307692","0.928205128","92.30769231","43.20987654","59.87654321","37.24279835","","97.11934156"
"","","MZP2018CHL-MT02","","","","","","","","","MZP2018CHL-MT02-00011","","","","39","37","37","37","102","121","13.6","6.4","42.6","1","3","3","21.76","3.3","41.44","2.18","1.3","50.64","3.67","5.49","15.78","20","62.6","223","0.133333333","0.052892562","0.089686099","6.027027027","2.756756757","0.540540541","1.151351351","45.73991031","31.94888179","4.352","12.91547958","18.99335233","40.45584046","4.132953466","59.44919278","5.717948718","2.615384615","0.512820513","1.092307692","94.87179487","13.61361361","20.02002002","42.64264264","4.356356356","62.66266266"
