"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root dry matter content computing percent|CO_331:0000297","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00036","","","","39","35","1","1","8","18","9","2","0","4","0","0.3","2","5","","","","","","0.3","18.3","4","","0.075","0.075","0.444444444","0.102564103","0","0","0.033333333","0.007692308","2","0.461538462","0","1.639344262","23.07692308","","0","0","0.284900285","1.234567901","17.09401709","74.07407407","","","17.37891738","75.30864198"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00037","","","","39","39","1","1","8","25","12","10","20","36","3.5","2","3","4","30.5","","","","","5.5","30.5","56","0.175","0.055555556","0.098214286","4.666666667","1.435897436","1.666666667","0.512820513","0.458333333","0.141025641","2.083333333","0.641025641","35.71428571","18.03278689","30.76923077","1.6775","3.323836657","10.80246914","5.22317189","16.97530864","23.74169041","77.16049383","1.593067426","5.177469136","28.9648623","94.13580247"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00038","","","","39","38","1","1","9","20","12","9","9","28","1.1","1","2","3","30.64","5","2","4","4","2.1","22.1","37","0.122222222","0.035714286","0.056756757","3.083333333","0.948717949","0.75","0.230769231","0.175","0.053846154","1.666666667","0.512820513","24.32432432","9.502262443","30.76923077","0.64344","1.044634378","3.395061728","1.994301994","6.481481481","18.99335233","61.72839506","0.611054131","1.985925926","20.98765432","68.20987654"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00039","","","","39","36","2","3","9","30","19","14","32","61","7","2.5","4","5","30.25","5","3","3","3","9.5","39.5","93","0.21875","0.040983607","0.102150538","4.894736842","2.384615385","1.684210526","0.820512821","0.5","0.243589744","1.578947368","0.769230769","34.40860215","24.05063291","48.71794872","2.87375","6.647673314","13.64522417","9.021842355","18.51851852","28.49002849","58.47953216","2.729107312","5.601851852","37.51187085","76.99805068"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00040","","","","39","38","1","1","9","34","8","7","18","15","4.3","1.7","3","4","30.56","5","3","3","3","6","40","33","0.238888889","0.113333333","0.181818182","4.125","0.846153846","2.25","0.461538462","0.75","0.153846154","4.25","0.871794872","54.54545455","15","20.51282051","1.8336","4.08357075","19.90740741","5.698005698","27.77777778","32.28869896","157.4074074","1.741310541","8.488888889","37.98670465","185.1851852"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00041","","","","39","38","1","1","9","31","8","5","10","17","1.2","0.9","3","4","30.51","5","2","4","4","2.1","33.1","27","0.12","0.052941176","0.077777778","3.375","0.692307692","1.25","0.256410256","0.2625","0.053846154","3.875","0.794871795","37.03703704","6.344410876","20.51282051","0.64071","1.13960114","5.555555556","1.994301994","9.722222222","29.43969611","143.5185185","0.608461538","2.96625","31.4339981","153.2407407"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00042","","","","39","36","1","1","9","37","15","11","10","35","1.5","1.2","3","5","","5","3","3","3","2.7","39.7","45","0.15","0.034285714","0.06","3","1.153846154","0.666666667","0.256410256","0.18","0.069230769","2.466666667","0.948717949","22.22222222","6.801007557","38.46153846","","1.424501425","3.703703704","2.564102564","6.666666667","35.1377018","91.35802469","","","37.70180437","98.02469136"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00043","","","","39","33","1","1","9","30.7","10","7","13","31","2","1","3","5","30.28","5","3","4","4","3","33.7","44","0.153846154","0.032258065","0.068181818","4.4","1.128205128","1.3","0.333333333","0.3","0.076923077","3.07","0.787179487","29.54545455","8.902077151","25.64102564","0.9084","1.899335233","7.407407407","2.849002849","11.11111111","29.15479582","113.7037037","0.862678063","3.364444444","32.00379867","124.8148148"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00044","","","","39","12","1","1","7","10","7","6","8","15","1.2","0.5","3","5","30.45","5","2","3","3","1.7","11.7","23","0.15","0.033333333","0.073913043","3.285714286","0.58974359","1.142857143","0.205128205","0.242857143","0.043589744","1.428571429","0.256410256","34.7826087","14.52991453","17.94871795","0.51765","1.13960114","6.349206349","1.614434948","8.994708995","9.496676163","52.91005291","0.491595442","2.738888889","11.11111111","61.9047619"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00045","","","","39","37","1","1","8","30","10","3","1","2","1","0.2","2","4","","","","","","1.2","31.2","3","1","0.1","0.4","0.3","0.076923077","0.1","0.025641026","0.12","0.030769231","3","0.769230769","33.33333333","3.846153846","25.64102564","","0.949667616","3.703703704","1.13960114","4.444444444","28.49002849","111.1111111","","","29.62962963","115.5555556"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00046","","","","39","37","1","1","9","42","16","13","28","23","3.5","1.4","3","4","30.82","5","4","2","2","4.9","46.9","51","0.125","0.060869565","0.096078431","3.1875","1.307692308","1.75","0.717948718","0.30625","0.125641026","2.625","1.076923077","54.90196078","10.44776119","41.02564103","1.51018","3.323836657","8.101851852","4.65337132","11.34259259","39.88603989","97.22222222","1.434169041","3.495787037","44.53941121","108.5648148"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00047","","","","39","39","3","5","7","26.2","11","4","3","17","0.7","0.3","3","5","30.67","4","3","4","3","1","27.2","20","0.233333333","0.017647059","0.05","1.818181818","0.512820513","0.272727273","0.076923077","0.090909091","0.025641026","2.381818182","0.671794872","15","3.676470588","28.20512821","0.3067","0.664767331","2.356902357","0.949667616","3.367003367","24.88129155","88.21548822","0.291263058","1.032659933","25.83095916","91.58249158"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00048","","","","39","37","3","6","7","23","7","2","0","8","0","0.5","2","5","30.55","5","4","3","2","0.5","23.5","8","","0.0625","0.0625","1.142857143","0.205128205","0","0","0.071428571","0.012820513","3.285714286","0.58974359","0","2.127659574","17.94871795","0.15275","0","0","0.474833808","2.645502646","21.84235518","121.6931217","0.145061728","0.808201058","22.31718898","124.3386243"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00049","","","","39","39","1","1","9","34","19","11","14","13","1","0.5","2","4","30.86","5","3","4","3","1.5","35.5","27","0.071428571","0.038461538","0.055555556","1.421052632","0.692307692","0.736842105","0.358974359","0.078947368","0.038461538","1.789473684","0.871794872","51.85185185","4.225352113","48.71794872","0.4629","0.949667616","1.949317739","1.424501425","2.923976608","32.28869896","66.27680312","0.43960114","0.902339181","33.71320038","69.20077973"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00050","","","","39","29","5","6","8","10","12","10","17","8","2","0.3","3","4","30.32","4","3","3","3","2.3","12.3","25","0.117647059","0.0375","0.092","2.083333333","0.641025641","1.416666667","0.435897436","0.191666667","0.058974359","0.833333333","0.256410256","68","18.69918699","30.76923077","0.69736","1.899335233","6.172839506","2.184235518","7.098765432","9.496676163","30.86419753","0.662260209","2.152345679","11.68091168","37.96296296"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00051","","","","39","33","1","1","8","23.3","10","5","10","10","1.4","1.5","3","4","29.03","5","4","3","2","2.9","26.2","20","0.14","0.15","0.145","2","0.512820513","1","0.256410256","0.29","0.074358974","2.33","0.597435897","50","11.06870229","25.64102564","0.84187","1.329534663","5.185185185","2.754036087","10.74074074","22.12725546","86.2962963","0.799496676","3.118037037","24.88129155","97.03703704"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00052","","","","39","18","5","5","7","7","10","6","7","6","1","0.3","3","4","30.58","5","2","4","4","1.3","8.3","13","0.142857143","0.05","0.1","1.3","0.333333333","0.7","0.179487179","0.13","0.033333333","0.7","0.179487179","53.84615385","15.6626506","25.64102564","0.39754","0.949667616","3.703703704","1.234567901","4.814814815","6.647673314","25.92592593","0.377530864","1.47237037","7.882241216","30.74074074"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00053","","","","39","35","2","1","8","12","13","8","14","41","2","1.4","2","4","27.03","5","2","4","4","3.4","15.4","55","0.142857143","0.034146341","0.061818182","4.230769231","1.41025641","1.076923077","0.358974359","0.261538462","0.087179487","0.923076923","0.307692308","25.45454545","22.07792208","33.33333333","0.91902","1.899335233","5.698005698","3.228869896","9.686609687","11.3960114","34.18803419","0.872763533","2.618290598","14.62488129","43.87464387"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00054","","","","39","38","1","1","9","12","11","8","22","31","4.9","1.2","3","4","30.17","5","4","3","2","6.1","18.1","53","0.222727273","0.038709677","0.11509434","4.818181818","1.358974359","2","0.564102564","0.554545455","0.156410256","1.090909091","0.307692308","41.50943396","33.70165746","28.20512821","1.84037","4.65337132","16.4983165","5.79297246","20.53872054","11.3960114","40.4040404","1.747739791","6.196531987","17.18898386","60.94276094"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00055","","","","39","38","1","1","9","22","12","8","10","22","3","1.5","3","4","30.58","5","3","3","3","4.5","26.5","32","0.3","0.068181818","0.140625","2.666666667","0.820512821","0.833333333","0.256410256","0.375","0.115384615","1.833333333","0.564102564","31.25","16.98113208","30.76923077","1.3761","2.849002849","9.259259259","4.273504274","13.88888889","20.89268756","67.90123457","1.306837607","4.247222222","25.16619183","81.79012346"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00056","","","","39","36","1","1","7","27","12","","","","","","","","","","","","","","","","","","","","","","","","","2.25","0.692307692","","","30.76923077","","","","","","25.64102564","83.33333333","","","",""
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00057","","","","39","29","1","1","7","15.7","6","5","0","17","0","1","2","5","30.96","5","3","3","3","1","16.7","17","","0.058823529","0.058823529","2.833333333","0.435897436","0","0","0.166666667","0.025641026","2.616666667","0.402564103","0","5.988023952","15.38461538","0.3096","0","0","0.949667616","6.172839506","14.90978158","96.91358025","0.294017094","1.911111111","15.85944919","103.0864198"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00058","","","","39","37","3","5","6","30","16","5","9","16","1.2","0.9","3","4","30.43","5","4","3","2","2.1","32.1","25","0.133333333","0.05625","0.084","1.5625","0.641025641","0.5625","0.230769231","0.13125","0.053846154","1.875","0.769230769","36","6.542056075","41.02564103","0.63903","1.13960114","2.777777778","1.994301994","4.861111111","28.49002849","69.44444444","0.606866097","1.479236111","30.48433048","74.30555556"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00059","","","","39","38","1","1","9","11.2","5","2","0","4","0","0.2","1","5","","","","","","0.2","11.4","4","","0.05","0.05","0.8","0.102564103","0","0","0.04","0.005128205","2.24","0.287179487","0","1.754385965","12.82051282","","0","0","0.189933523","1.481481481","10.6362773","82.96296296","","","10.82621083","84.44444444"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00060","","","","39","34","1","1","9","20","10","8","10","11","1","1","3","5","","5","3","4","3","2","22","21","0.1","0.090909091","0.095238095","2.1","0.538461538","1","0.256410256","0.2","0.051282051","2","0.512820513","47.61904762","9.090909091","25.64102564","","0.949667616","3.703703704","1.899335233","7.407407407","18.99335233","74.07407407","","","20.89268756","81.48148148"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00061","","","","39","30","3","4","7","13","11","10","16","16","2.3","0.9","3","4","30.02","5","3","4","4","3.2","16.2","32","0.14375","0.05625","0.1","2.909090909","0.820512821","1.454545455","0.41025641","0.290909091","0.082051282","1.181818182","0.333333333","50","19.75308642","28.20512821","0.96064","2.184235518","7.744107744","3.038936372","10.77441077","12.34567901","43.77104377","0.912288699","3.234478114","15.38461538","54.54545455"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00062","","","","39","30","1","1","9","31","15","13","18","14","3.2","5.9","3","4","30.42","4","4","3","2","9.1","40.1","32","0.177777778","0.421428571","0.284375","2.133333333","0.820512821","1.2","0.461538462","0.606666667","0.233333333","2.066666667","0.794871795","56.25","22.69326683","38.46153846","2.76822","3.038936372","7.901234568","8.641975309","22.4691358","29.43969611","76.54320988","2.628888889","6.835111111","38.08167142","99.01234568"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00063","","","","39","33","1","1","8","19","17","13","26","16","4.6","0.9","3","4","30.44","5","3","3","3","5.5","24.5","42","0.176923077","0.05625","0.130952381","2.470588235","1.076923077","1.529411765","0.666666667","0.323529412","0.141025641","1.117647059","0.487179487","61.9047619","22.44897959","43.58974359","1.6742","4.368471035","10.02178649","5.22317189","11.98257081","18.04368471","41.39433551","1.589933523","3.647494553","23.2668566","53.37690632"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00064","","","","39","35","2","1","9","14.2","18","14","38","65","4.5","1.5","3","4","30.63","5","3","4","3","6","20.2","103","0.118421053","0.023076923","0.058252427","5.722222222","2.641025641","2.111111111","0.974358974","0.333333333","0.153846154","0.788888889","0.364102564","36.89320388","29.7029703","46.15384615","1.8378","4.273504274","9.259259259","5.698005698","12.34567901","13.48528015","29.218107","1.745299145","3.781481481","19.18328585","41.56378601"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00065","","","","39","19","1","1","6","9","8","5","14","12","1.9","0.4","3","4","30.05","5","2","3","4","2.3","11.3","26","0.135714286","0.033333333","0.088461538","3.25","0.666666667","1.75","0.358974359","0.2875","0.058974359","1.125","0.230769231","53.84615385","20.3539823","20.51282051","0.69115","1.804368471","8.796296296","2.184235518","10.64814815","8.547008547","41.66666667","0.656362773","3.199768519","10.73124406","52.31481481"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00066","","","","39","32","3","5","7","4.2","10","4","7","3","1.5","0.2","3","4","30.58","5","3","3","2","1.7","5.9","10","0.214285714","0.066666667","0.17","1","0.256410256","0.7","0.179487179","0.17","0.043589744","0.42","0.107692308","70","28.81355932","25.64102564","0.51986","1.424501425","5.555555556","1.614434948","6.296296296","3.988603989","15.55555556","0.493694207","1.925407407","5.603038936","21.85185185"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00067","","","","39","16","3","4","6","5.3","8","5","4","4","0.7","0.4","3","4","30.07","","","","","1.1","6.4","8","0.175","0.1","0.1375","1","0.205128205","0.5","0.102564103","0.1375","0.028205128","0.6625","0.135897436","50","17.1875","20.51282051","0.33077","0.664767331","3.240740741","1.044634378","5.092592593","5.033238367","24.53703704","0.314121557","1.531342593","6.077872745","29.62962963"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00068","","","","39","17","3","4","5","6.2","7","6","9","7","1.4","0.2","3","4","30.66","4","3","3","3","1.6","7.8","16","0.155555556","0.028571429","0.1","2.285714286","0.41025641","1.285714286","0.230769231","0.228571429","0.041025641","0.885714286","0.158974359","56.25","20.51282051","17.94871795","0.49056","1.329534663","7.407407407","1.519468186","8.465608466","5.887939221","32.8042328","0.465868946","2.595555556","7.407407407","41.26984127"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00069","","","","39","19","1","1","8","8","10","10","23","40","5.2","5.5","3","3","30.21","5","4","3","3","10.7","18.7","63","0.226086957","0.1375","0.16984127","6.3","1.615384615","2.3","0.58974359","1.07","0.274358974","0.8","0.205128205","36.50793651","57.21925134","25.64102564","3.23247","4.938271605","19.25925926","10.16144349","39.62962963","7.597340931","29.62962963","3.06977208","11.97211111","17.75878443","69.25925926"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00070","","","","39","37","1","1","9","14","12","8","22","32","2.2","2","3","4","30.48","5","3","3","3","4.2","18.2","54","0.1","0.0625","0.077777778","4.5","1.384615385","1.833333333","0.564102564","0.35","0.107692308","1.166666667","0.358974359","40.74074074","23.07692308","30.76923077","1.28016","2.089268756","6.790123457","3.988603989","12.96296296","13.29534663","43.20987654","1.215726496","3.951111111","17.28395062","56.17283951"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00071","","","","39","32","4","5","6","20","15","12","17","20","5","1.5","3","4","","5","3","4","3","6.5","26.5","37","0.294117647","0.075","0.175675676","2.466666667","0.948717949","1.133333333","0.435897436","0.433333333","0.166666667","1.333333333","0.512820513","45.94594595","24.52830189","38.46153846","","4.748338082","12.34567901","6.172839506","16.04938272","18.99335233","49.38271605","","","25.16619183","65.43209877"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00072","","","","39","37","4","6","6","22.1","17","9","11","30","0.9","1.4","3","4","30.14","5","4","4","2","2.3","24.4","41","0.081818182","0.046666667","0.056097561","2.411764706","1.051282051","0.647058824","0.282051282","0.135294118","0.058974359","1.3","0.566666667","26.82926829","9.426229508","43.58974359","0.69322","0.854700855","1.960784314","2.184235518","5.010893246","20.98765432","48.14814815","0.658328585","1.510283224","23.17188984","53.15904139"
