"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root dry matter content computing percent|CO_331:0000297","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00011","","","","39","35","1","1","8","25","16","9","7","9","1.1","1","1","4","30.54","5","3","4","3","2.1","27.1","16","0.157142857","0.111111111","0.13125","1","0.41025641","0.4375","0.179487179","0.13125","0.053846154","1.5625","0.641025641","43.75","7.749077491","41.02564103","0.64134","1.044634378","2.546296296","1.994301994","4.861111111","23.74169041","57.87037037","0.609059829","1.484583333","25.7359924","62.73148148"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00012","","","","39","30","1","1","7","28","6","2","0","5","0","0.5","2","4","","","","","","0.5","28.5","5","","0.1","0.1","0.833333333","0.128205128","0","0","0.083333333","0.012820513","4.666666667","0.717948718","0","1.754385965","15.38461538","","0","0","0.474833808","3.086419753","26.59069326","172.8395062","","","27.06552707","175.9259259"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00013","","","","39","34","3","6","8","7","8","4","0","6","0","1","2","5","30.49","5","4","4","3","1","8","6","","0.166666667","0.166666667","0.75","0.153846154","0","0","0.125","0.025641026","0.875","0.179487179","0","12.5","20.51282051","0.3049","0","0","0.949667616","4.62962963","6.647673314","32.40740741","0.289553656","1.411574074","7.597340931","37.03703704"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00014","","","","39","34","3","4","7","6","10","5","0","8","0","1.2","2","4","","5","2","4","4","1.2","7.2","8","","0.15","0.15","0.8","0.205128205","0","0","0.12","0.030769231","0.6","0.153846154","0","16.66666667","25.64102564","","0","0","1.13960114","4.444444444","5.698005698","22.22222222","","","6.837606838","26.66666667"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00015","","","","39","30","1","1","9","6.5","10","7","11","13","1.3","1.1","3","4","30.72","5","4","3","3","2.4","8.9","24","0.118181818","0.084615385","0.1","2.4","0.615384615","1.1","0.282051282","0.24","0.061538462","0.65","0.166666667","45.83333333","26.96629213","25.64102564","0.73728","1.234567901","4.814814815","2.279202279","8.888888889","6.172839506","24.07407407","0.70017094","2.730666667","8.452041785","32.96296296"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00016","","","","39","35","1","1","9","30.2","16","14","33","19","5","6.2","3","4","30.85","5","3","4","3","11.2","41.4","52","0.151515152","0.326315789","0.215384615","3.25","1.333333333","2.0625","0.846153846","0.7","0.287179487","1.8875","0.774358974","63.46153846","27.0531401","41.02564103","3.4552","4.748338082","11.57407407","10.6362773","25.92592593","28.67996201","69.90740741","3.281291548","7.998148148","39.31623932","95.83333333"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00017","","","","39","38","1","1","9","45","23","18","32","23","9","2.3","3","3","30.56","5","4","4","2","11.3","56.3","55","0.28125","0.1","0.205454545","2.391304348","1.41025641","1.391304348","0.820512821","0.491304348","0.28974359","1.956521739","1.153846154","58.18181818","20.07104796","58.97435897","3.45328","8.547008547","14.49275362","10.73124406","18.19645733","42.73504274","72.46376812","3.279468186","5.560837359","53.4662868","90.66022544"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00018","","","","39","38","1","1","8","29","12","9","22","16","3","1","3","4","30.25","5","2","3","3","4","33","38","0.136363636","0.0625","0.105263158","3.166666667","0.974358974","1.833333333","0.564102564","0.333333333","0.102564103","2.416666667","0.743589744","57.89473684","12.12121212","30.76923077","1.21","2.849002849","9.259259259","3.798670465","12.34567901","27.54036087","89.50617284","1.149097816","3.734567901","31.33903134","101.8518519"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00019","","","","39","36","1","1","9","28.1","18","7","6","11","2","1.9","4","4","30.44","5","3","4","3","3.9","32","17","0.333333333","0.172727273","0.229411765","0.944444444","0.435897436","0.333333333","0.153846154","0.216666667","0.1","1.561111111","0.720512821","35.29411765","12.1875","46.15384615","1.18716","1.899335233","4.115226337","3.703703704","8.024691358","26.68566002","57.81893004","1.127407407","2.442716049","30.38936372","65.8436214"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00020","","","","39","35","1","1","9","30","14","12","18","33","4.2","2","3","4","","5","3","3","3","6.2","36.2","51","0.233333333","0.060606061","0.121568627","3.642857143","1.307692308","1.285714286","0.461538462","0.442857143","0.158974359","2.142857143","0.769230769","35.29411765","17.12707182","35.8974359","","3.988603989","11.11111111","5.887939221","16.4021164","28.49002849","79.36507937","","","34.37796771","95.76719577"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00021","","","","39","33","1","1","9","20","11","8","22","12","4","0.3","4","3","30.73","5","2","4","4","4.3","24.3","34","0.181818182","0.025","0.126470588","3.090909091","0.871794872","2","0.564102564","0.390909091","0.11025641","1.818181818","0.512820513","64.70588235","17.69547325","28.20512821","1.32139","3.798670465","13.46801347","4.08357075","14.47811448","18.99335233","67.34006734","1.254881292","4.449124579","23.07692308","81.81818182"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00022","","","","39","38","1","1","9","22.1","12","7","11","20","1.8","1.5","3","4","28.75","5","3","4","3","3.3","25.4","31","0.163636364","0.075","0.106451613","2.583333333","0.794871795","0.916666667","0.282051282","0.275","0.084615385","1.841666667","0.566666667","35.48387097","12.99212598","30.76923077","0.94875","1.709401709","5.555555556","3.133903134","10.18518519","20.98765432","68.20987654","0.900997151","2.928240741","24.12155745","78.39506173"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00023","","","","39","20","1","1","8","7.3","11","9","6","18","0.5","0.5","3","5","30.43","5","4","3","2","1","8.3","24","0.083333333","0.027777778","0.041666667","2.181818182","0.615384615","0.545454545","0.153846154","0.090909091","0.025641026","0.663636364","0.187179487","25","12.04819277","28.20512821","0.3043","0.474833808","1.683501684","0.949667616","3.367003367","6.932573599","24.57912458","0.288983856","1.024579125","7.882241216","27.94612795"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00024","","","","39","35","1","1","9","11","11","7","21","23","2","1","2","3","30.29","5","4","3","3","3","14","44","0.095238095","0.043478261","0.068181818","4","1.128205128","1.909090909","0.538461538","0.272727273","0.076923077","1","0.282051282","47.72727273","21.42857143","28.20512821","0.9087","1.899335233","6.734006734","2.849002849","10.1010101","10.44634378","37.03703704","0.862962963","3.05959596","13.29534663","47.13804714"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00025","","","","39","39","1","1","9","57","20","12","18","19","3","2","3","4","30.69","5","4","3","3","5","62","37","0.166666667","0.105263158","0.135135135","1.85","0.948717949","0.9","0.461538462","0.25","0.128205128","2.85","1.461538462","48.64864865","8.064516129","51.28205128","1.5345","2.849002849","5.555555556","4.748338082","9.259259259","54.13105413","105.5555556","1.457264957","2.841666667","58.87939221","114.8148148"
