"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00014","","","","90","72","72","62","115","18.9","14","80.1","5","5","32.9","113","177","0.30483871","0.12173913","0.185875706","2.458333333","1.966666667","0.861111111","0.688888889","0.456944444","0.365555556","1.1125","0.89","35.02824859","29.11504425","80","7.777777778","9.722222222","13.53909465","16.92386831","32.96296296","41.2037037","46.50205761","58.12757202","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00035","","","","90","68","68","72","99","19","14","77","3","3","33","110","171","0.263888889","0.141414141","0.192982456","2.514705882","1.9","1.058823529","0.8","0.485294118","0.366666667","1.132352941","0.855555556","42.10526316","30","75.55555556","7.818930041","10.34858388","13.58024691","17.97385621","31.6872428","41.93899782","45.26748971","59.91285403","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00006","","","","90","55","55","108","110","13.2","15","60.1","7","3","28.2","88.3","218","0.122222222","0.136363636","0.129357798","3.963636364","2.422222222","1.963636364","1.2","0.512727273","0.313333333","1.092727273","0.667777778","49.5412844","31.93657984","61.11111111","5.432098765","8.888888889","11.60493827","18.98989899","24.73251029","40.47138047","36.33744856","59.46127946","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00043","","","","90","71","71","92","119","23","16.5","9.5","3","3","39.5","49","211","0.25","0.138655462","0.187203791","2.971830986","2.344444444","1.295774648","1.022222222","0.556338028","0.438888889","0.133802817","0.105555556","43.60189573","80.6122449","78.88888889","9.465020576","11.99791341","16.25514403","20.60511215","3.909465021","4.955659885","20.16460905","25.56077204","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00022","","","","90","77","77","89","102","18.7","14.7","88.5","3","5","33.4","121.9","191","0.21011236","0.144117647","0.17486911","2.480519481","2.122222222","1.155844156","0.988888889","0.433766234","0.371111111","1.149350649","0.983333333","46.59685864","27.39950779","85.55555556","7.695473251","8.994708995","13.74485597","16.06541607","36.41975309","42.56854257","50.16460905","58.63395863","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00064","","","","90","77","75","75","92","18.1","13.5","70.5","5","3","31.6","102.1","167","0.241333333","0.14673913","0.189221557","2.168831169","1.855555556","0.974025974","0.833333333","0.41038961","0.351111111","0.915584416","0.783333333","44.91017964","30.95004897","85.55555556","7.448559671","8.706108706","13.00411523","15.1996152","29.01234568","33.91053391","42.01646091","49.11014911","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00025","","","","90","71","70","57","83","15","12.1","70.9","5","5","27.1","98","140","0.263157895","0.145783133","0.193571429","1.971830986","1.555555556","0.802816901","0.633333333","0.381690141","0.301111111","0.998591549","0.787777778","40.71428571","27.65306122","78.88888889","6.172839506","7.824726135","11.15226337","14.13667188","29.17695473","36.9848722","40.32921811","51.12154408","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00048","","","","90","70","60","75","89","19.2","14","75","5","3","33.2","108.2","164","0.256","0.157303371","0.202439024","2.342857143","1.822222222","1.071428571","0.833333333","0.474285714","0.368888889","1.071428571","0.833333333","45.73170732","30.68391867","77.77777778","7.901234568","10.15873016","13.66255144","17.56613757","30.86419753","39.68253968","44.52674897","57.24867725","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00021","","","","90","75","75","66","97","16","14.1","122","3","3","30.1","152.1","163","0.242424242","0.145360825","0.184662577","2.173333333","1.811111111","0.88","0.733333333","0.401333333","0.334444444","1.626666667","1.355555556","40.49079755","19.7896121","83.33333333","6.58436214","7.901234568","12.38683128","14.86419753","50.20576132","60.24691358","62.59259259","75.11111111","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00041","","","","90","80","80","62","91","16.7","13.5","120.5","7","5","30.2","150.7","153","0.269354839","0.148351648","0.197385621","1.9125","1.7","0.775","0.688888889","0.3775","0.335555556","1.50625","1.338888889","40.52287582","20.0398142","88.88888889","6.872427984","7.731481481","12.42798354","13.98148148","49.58847737","55.78703704","62.01646091","69.76851852","1"
