"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012UMB-AT08","","","","","","","","","MZP2012UMB-AT08-00001","","","","26","22","2","4","3","12","11","50","24","8","3.6","7.8","3","3","5","50.2","10.8","1","1","5","5","3.27","1.95","1.27","36.46","3.03","33.67","7.15","10.81","28.31","11.6","19.4","74","0.16","0.15","0.156756757","6.166666667","2.846153846","4.166666667","1.923076923","0.966666667","0.446153846","0.65","0.3","67.56756757","59.79381443","46.15384615","21.51394422","2.49561753","11.3960114","24.69135802","16.52421652","35.80246914","11.11111111","24.07407407","3.555010726","7.70252324","27.63532764","59.87654321"
"","","MZP2012UMB-AT08","","","","","","","","","MZP2012UMB-AT08-00002","","","","26","7","2","1","3","7","7","18","24","3.4","3.2","4.5","3","3","3","50.8","14.3","1","3","3","3","2.71","1.66","1.04","23.28","7.23","58.77","4.75","7.42","10.33","6.6","11.1","42","0.188888889","0.133333333","0.157142857","6","1.615384615","2.571428571","0.692307692","0.942857143","0.253846154","0.642857143","0.173076923","42.85714286","59.45945946","26.92307692","28.1496063","1.857874016","4.843304843","17.98941799","9.401709402","34.92063492","6.41025641","23.80952381","2.646544182","9.830021247","15.81196581","58.73015873"
"","","MZP2012UMB-AT08","","","","","","","","","MZP2012UMB-AT08-00003","","","","26","15","1","1","2","15","15","42","19","21.8","4.9","22","5","5","1","","","1","1","9","7","","","","","","","","","","26.7","48.7","61","0.519047619","0.257894737","0.437704918","4.066666667","2.346153846","2.8","1.615384615","1.78","1.026923077","1.466666667","0.846153846","68.85245902","54.82546201","57.69230769","","","31.05413105","53.82716049","38.03418803","65.92592593","31.33903134","54.32098765","","","69.37321937","120.2469136"
"","","MZP2012UMB-AT08","","","","","","","","","MZP2012UMB-AT08-00004","","","","26","17","2","1","2","7","7","9","10","1.2","0.8","13","5","3","1","","","1","3","3","3","","","","","","","","","","2","15","19","0.133333333","0.08","0.105263158","2.714285714","0.730769231","1.285714286","0.346153846","0.285714286","0.076923077","1.857142857","0.5","47.36842105","13.33333333","26.92307692","","","1.709401709","6.349206349","2.849002849","10.58201058","18.51851852","68.78306878","","","21.36752137","79.36507937"
"","","MZP2012UMB-AT08","","","","","","","","","MZP2012UMB-AT08-00005","","","","26","25","1","1","3","17","17","26","15","6.4","3.8","12.1","5","3","3","","","1","1","1","5","","","","","","","","","","10.2","22.3","41","0.246153846","0.253333333","0.248780488","2.411764706","1.576923077","1.529411765","1","0.6","0.392307692","0.711764706","0.465384615","63.41463415","45.73991031","65.38461538","","","9.116809117","13.94335512","14.52991453","22.22222222","17.23646724","26.36165577","","","31.76638177","48.583878"
"","","MZP2012UMB-AT08","","","","","","","","","MZP2012UMB-AT08-00006","","","","26","11","2","1","5","11","10","8","6","1.4","0.4","9.2","5","3","1","","","1","7","1","3","","","","","","","","","","1.8","11","14","0.175","0.066666667","0.128571429","1.272727273","0.538461538","0.727272727","0.307692308","0.163636364","0.069230769","0.836363636","0.353846154","57.14285714","16.36363636","42.30769231","","","1.994301994","4.713804714","2.564102564","6.060606061","13.10541311","30.97643098","","","15.66951567","37.03703704"
"","","MZP2012UMB-AT08","","","","","","","","","MZP2012UMB-AT08-00007","","","","26","21","4","1","4","20","20","25","45","6.1","5.8","8.1","3","3","3","","","3","1","1","3","","","","","","","","","","11.9","20","70","0.244","0.128888889","0.17","3.5","2.692307692","1.25","0.961538462","0.595","0.457692308","0.405","0.311538462","35.71428571","59.5","76.92307692","","","8.689458689","11.2962963","16.95156695","22.03703704","11.53846154","15","","","28.49002849","37.03703704"
"","","MZP2012UMB-AT08","","","","","","","","","MZP2012UMB-AT08-00008","","","","26","21","3","4","4","21","20","65","25","7.2","3.1","13.2","3","3","3","50.2","12.7","1","3","5","5","2.3","1.52","1.18","27.72","6.12","51.91","3.9","6.11","19.07","10.3","23.5","90","0.110769231","0.124","0.114444444","4.285714286","3.461538462","3.095238095","2.5","0.49047619","0.396153846","0.628571429","0.507692308","72.22222222","43.82978723","80.76923077","25.29880478","2.605776892","10.25641026","12.6984127","14.67236467","18.16578483","18.8034188","23.28042328","3.711932895","4.595726442","33.47578348","41.44620811"
"","","MZP2012UMB-AT08","","","","","","","","","MZP2012UMB-AT08-00009","","","","26","21","1","3","3","21","21","39","31","6.2","3.2","14","1","3","3","50.1","14.9","1","1","3","7","3.64","1.95","1.33","24.06","4.92","56.59","4.3","6.83","9.14","9.4","23.4","70","0.158974359","0.103225806","0.134285714","3.333333333","2.692307692","1.857142857","1.5","0.447619048","0.361538462","0.666666667","0.538461538","55.71428571","40.17094017","80.76923077","29.74051896","2.795608782","8.831908832","10.93474427","13.39031339","16.57848325","19.94301994","24.69135802","3.982348693","4.930526953","33.33333333","41.26984127"
"","","MZP2012UMB-AT08","","","","","","","","","MZP2012UMB-AT08-00010","","","","26","16","1","1","1","16","16","20","13","7.4","1.4","13.1","3","3","3","33.2","13.8","5","1","7","5","2.9","1.19","1.09","2.8","0.12","72.19","1.33","3.06","3.1","8.8","21.9","33","0.37","0.107692308","0.266666667","2.0625","1.269230769","1.25","0.769230769","0.55","0.338461538","0.81875","0.503846154","60.60606061","40.1826484","61.53846154","41.56626506","3.657831325","10.54131054","17.12962963","12.53561254","20.37037037","18.66096866","30.32407407","5.210585933","8.467202142","31.1965812","50.69444444"
