"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-MT03","","","","","","","","","MZP2018GUR-MT03-00001","","","","39","30","30","28","17","32","5","7","33.5","1","5","5","36.8","4.74","40.76","2.77","1.58","53.93","0.8","2.39","17.57","12","45.5","49","0.294117647","0.21875","0.244897959","1.633333333","0.566666667","0.4","1.116666667","34.69387755","26.37362637","4.416","4.748338082","11.3960114","31.81386515","4.193732194","43.20987654","1.256410256","0.435897436","0.307692308","0.858974359","76.92307692","6.172839506","14.81481481","41.35802469","5.451851852","56.17283951"
"","","MZP2018GUR-MT03","","","","","","","","","MZP2018GUR-MT03-00002","","","","39","25","25","24","10","22","3","5.6","14.3","1","5","5","39.62","3.12","54.37","2.61","1.23","50.7","4.93","7.55","18.81","8.6","22.9","32","0.3","0.254545455","0.26875","1.28","0.4","0.344","0.572","31.25","37.55458515","3.40732","2.849002849","8.1671415","13.58024691","3.235821462","21.74738841","0.820512821","0.256410256","0.220512821","0.366666667","64.1025641","4.444444444","12.74074074","21.18518519","5.047881481","33.92592593"
"","","MZP2018GUR-MT03","","","","","","","","","MZP2018GUR-MT03-00003","","","","39","20","20","5","5","7","1","1.2","24.2","1","9","9","35.77","3.27","15.84","2.1","1.12","62.23","1.55","3.69","11.89","2.2","26.4","12","0.2","0.171428571","0.183333333","0.6","0.25","0.11","1.21","41.66666667","8.333333333","0.78694","0.949667616","2.089268756","22.98195632","0.747331434","25.07122507","0.307692308","0.128205128","0.056410256","0.620512821","51.28205128","1.851851852","4.074074074","44.81481481","1.457296296","48.88888889"
"","","MZP2018GUR-MT03","","","","","","","","","MZP2018GUR-MT03-00004","","","","39","38","38","37","21","36","5.5","8.1","9.4","5","1","1","24.51","3.8","27.35","2.33","1.39","44.04","5.95","9.21","19.15","13.6","23","57","0.261904762","0.225","0.238596491","1.5","0.552631579","0.357894737","0.247368421","36.84210526","59.13043478","3.33336","5.22317189","12.91547958","8.926875594","3.165584046","21.84235518","1.461538462","0.538461538","0.348717949","0.241025641","97.43589744","5.360623782","13.25536062","9.161793372","3.248888889","22.417154"
"","","MZP2018GUR-MT03","","","","","","","","","MZP2018GUR-MT03-00005","","","","39","39","39","10","6","13","1.4","3.2","70.2","5","5","5","31.21","5.96","33.79","2.9","1.8","52.67","1.27","3.45","21.76","4.6","74.8","19","0.233333333","0.246153846","0.242105263","0.487179487","0.153846154","0.117948718","1.8","31.57894737","6.14973262","1.43566","1.329534663","4.368471035","66.66666667","1.36339981","71.0351377","0.487179487","0.153846154","0.117948718","1.8","100","1.329534663","4.368471035","66.66666667","1.36339981","71.0351377"
"","","MZP2018GUR-MT03","","","","","","","","","MZP2018GUR-MT03-00006","","","","39","39","39","39","42","75","11.2","14.3","17.6","1","1","1","35.34","4.96","33.34","2.4","1.39","57.92","2.04","4.3","16.62","25.5","43.1","117","0.266666667","0.190666667","0.217948718","3","1.076923077","0.653846154","0.451282051","35.8974359","59.16473318","9.0117","10.6362773","24.21652422","16.71415005","8.558119658","40.93067426","3","1.076923077","0.653846154","0.451282051","100","10.6362773","24.21652422","16.71415005","8.558119658","40.93067426"
"","","MZP2018GUR-MT03","","","","","","","","","MZP2018GUR-MT03-00007","","","","39","39","39","39","51","108","12.5","17.5","39.8","5","1","1","27.12","4.09","54.31","2.85","1.75","43.19","3.69","6.82","21.55","30","69.8","159","0.245098039","0.162037037","0.188679245","4.076923077","1.307692308","0.769230769","1.020512821","32.0754717","42.97994269","8.136","11.8708452","28.49002849","37.79677113","7.726495726","66.28679962","4.076923077","1.307692308","0.769230769","1.020512821","100","11.8708452","28.49002849","37.79677113","7.726495726","66.28679962"
"","","MZP2018GUR-MT03","","","","","","","","","MZP2018GUR-MT03-00008","","","","39","38","38","38","12","114","3.1","27.1","55.2","1","1","3","31.18","5.55","36.22","2.75","1.47","51.55","2.74","4.7","17.67","30.2","85.4","126","0.258333333","0.237719298","0.23968254","3.315789474","0.315789474","0.794736842","1.452631579","9.523809524","35.36299766","9.41636","2.943969611","28.67996201","52.42165242","8.942412156","81.10161443","3.230769231","0.307692308","0.774358974","1.415384615","97.43589744","3.021442495","29.43469786","53.80116959","9.177738791","83.23586745"
"","","MZP2018GUR-MT03","","","","","","","","","MZP2018GUR-MT03-00009","","","","39","35","35","35","42","87","9.5","12.7","45.1","3","1","1","31.16","3.87","46.56","2.38","1.41","52.9","1.91","3.67","21.53","22.2","67.3","129","0.226190476","0.145977011","0.172093023","3.685714286","1.2","0.634285714","1.288571429","32.55813953","32.98662704","6.91752","9.021842355","21.08262108","42.8300095","6.569344729","63.91263058","3.307692308","1.076923077","0.569230769","1.156410256","89.74358974","10.05291005","23.49206349","47.72486772","7.320126984","71.21693122"
"","","MZP2018GUR-MT03","","","","","","","","","MZP2018GUR-MT03-00010","","","","39","37","37","36","29","53","7.5","11.9","40.2","1","3","1","29.71","5.58","38.58","2.87","1.73","47.67","0.9","2.94","24.3","19.4","59.6","82","0.25862069","0.224528302","0.236585366","2.216216216","0.783783784","0.524324324","1.086486486","35.36585366","32.55033557","5.76374","7.122507123","18.42355176","38.17663818","5.473637227","56.60018993","2.102564103","0.743589744","0.497435897","1.030769231","94.87179487","7.507507508","19.41941942","40.24024024","5.76950951","59.65965966"
