"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227"," Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184"," Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207"," Dry weight of storage root samples measuring g|CO_331:0000247","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00011","","","","14","14","3","3","5","14","4","29","1","3.5","2","5","3","3","3","22.1","5","3","4","4","4.5","6.5","33","0.25","0.120689655","0.136363636","2.357142857","2.357142857","0.285714286","0.285714286","0.321428571","0.321428571","0.142857143","0.142857143","12.12121212","69.23076923","100","2.645502646","2.645502646","11.9047619","11.9047619","5.291005291","5.291005291","17.1957672","17.1957672"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00012","","","","14","14","3","3","6","14","9","17","2","4","9.5","2","3","4","3","18.3","5","4","4","4","6","15.5","26","0.222222222","0.235294118","0.230769231","1.857142857","1.857142857","0.642857143","0.642857143","0.428571429","0.428571429","0.678571429","0.678571429","34.61538462","38.70967742","100","5.291005291","5.291005291","15.87301587","15.87301587","25.13227513","25.13227513","41.00529101","41.00529101"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00013","","","","14","14","1","3","5","14","5","23","3.5","3.9","4.5","2","4","4","3","21","5","3","4","4","7.4","11.9","28","0.7","0.169565217","0.264285714","2","2","0.357142857","0.357142857","0.528571429","0.528571429","0.321428571","0.321428571","17.85714286","62.18487395","100","9.259259259","9.259259259","19.57671958","19.57671958","11.9047619","11.9047619","31.48148148","31.48148148"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00014","","","","14","14","1","3","7","14","9","3","9","0.6","12","1","5","5","5","19.1","5","3","4","4","9.6","21.6","12","1","0.2","0.8","0.857142857","0.857142857","0.642857143","0.642857143","0.685714286","0.685714286","0.857142857","0.857142857","75","44.44444444","100","23.80952381","23.80952381","25.3968254","25.3968254","31.74603175","31.74603175","57.14285714","57.14285714"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00015","","","","14","14","1","3","6","14","24","25","10","2","4","2","4","3","4","22.8","5","3","4","4","12","16","49","0.416666667","0.08","0.244897959","3.5","3.5","1.714285714","1.714285714","0.857142857","0.857142857","0.285714286","0.285714286","48.97959184","75","100","26.45502646","26.45502646","31.74603175","31.74603175","10.58201058","10.58201058","42.32804233","42.32804233"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00016","","","","14","14","1","3","6","14","13","30","6","4","5","1","3","3","4","28.3","4","3","4","3","10","15","43","0.461538462","0.133333333","0.23255814","3.071428571","3.071428571","0.928571429","0.928571429","0.714285714","0.714285714","0.357142857","0.357142857","30.23255814","66.66666667","100","15.87301587","15.87301587","26.45502646","26.45502646","13.22751323","13.22751323","39.68253968","39.68253968"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00017","","","","14","14","3","3","5","14","10","22","10","5","2.5","2","4","4","3","17.3","5","3","4","4","15","17.5","32","1","0.227272727","0.46875","2.285714286","2.285714286","0.714285714","0.714285714","1.071428571","1.071428571","0.178571429","0.178571429","31.25","85.71428571","100","26.45502646","26.45502646","39.68253968","39.68253968","6.613756614","6.613756614","46.2962963","46.2962963"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00018","","","","14","13","2","2","5","13","4","12","2.5","1.9","10.2","1","3","3","4","18.9","5","3","4","4","4.4","14.6","16","0.625","0.158333333","0.275","1.230769231","1.142857143","0.307692308","0.285714286","0.338461538","0.314285714","0.784615385","0.728571429","25","30.1369863","92.85714286","6.613756614","7.122507123","11.64021164","12.53561254","26.98412698","29.05982906","38.62433862","41.5954416"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00019","","","","14","12","4","5","4","12","11","29","2.5","2","1.5","2","3","3","4","17.8","5","2","4","4","4.5","6","40","0.227272727","0.068965517","0.1125","3.333333333","2.857142857","0.916666667","0.785714286","0.375","0.321428571","0.125","0.107142857","27.5","75","85.71428571","6.613756614","7.716049383","11.9047619","13.88888889","3.968253968","4.62962963","15.87301587","18.51851852"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00020","","","","14","14","1","2","6","14","30","70","2","1.5","7.4","4","3","3","4","22","5","3","3","3","3.5","10.9","100","0.066666667","0.021428571","0.035","7.142857143","7.142857143","2.142857143","2.142857143","0.25","0.25","0.528571429","0.528571429","30","32.11009174","100","5.291005291","5.291005291","9.259259259","9.259259259","19.57671958","19.57671958","28.83597884","28.83597884"
