"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00017","","","","90","60","40","35","62","24.7","13.5","40.2","1","1","","","","","","38.2","78.4","97","0.705714286","0.217741935","0.393814433","1.616666667","1.077777778","0.583333333","0.388888889","0.636666667","0.424444444","0.67","0.446666667","36.08247423","48.7244898","66.66666667","","10.16460905","15.24691358","15.72016461","23.58024691","16.54320988","24.81481481","","","32.26337449","48.39506173","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00043","","","","90","49","46","51","71","26.8","17.6","41.5","3","3","32.8","2.11","65.34","1.15","12.46","44.4","85.9","122","0.525490196","0.247887324","0.363934426","2.489795918","1.355555556","1.040816327","0.566666667","0.906122449","0.493333333","0.846938776","0.461111111","41.80327869","51.68800931","54.44444444","14.5632","11.02880658","20.25699169","18.27160494","33.5600907","17.0781893","31.3681028","5.99308642","11.00770975","35.34979424","64.9281935","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00007","","","","90","42","42","29","52","31.2","11","31.5","1","3","35.91","1.92","59.34","1.21","13.83","42.2","73.7","81","1.075862069","0.211538462","0.520987654","1.928571429","0.9","0.69047619","0.322222222","1.004761905","0.468888889","0.75","0.35","35.80246914","57.25915875","46.66666667","15.15402","12.83950617","27.51322751","17.36625514","37.21340388","12.96296296","27.77777778","6.236222222","13.36333333","30.32921811","64.99118166","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00052","","","","90","40","40","39","75","24.5","12.5","47.3","1","3","37.68","2.03","62.28","1.25","7.28","37","84.3","114","0.628205128","0.166666667","0.324561404","2.85","1.266666667","0.975","0.433333333","0.925","0.411111111","1.1825","0.525555556","34.21052632","43.89086595","44.44444444","13.9416","10.08230453","22.68518519","15.22633745","34.25925926","19.46502058","43.7962963","5.737283951","12.90888889","34.69135802","78.05555556","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00026","","","","90","72","60","35","66","22.3","12.7","55.1","1","3","39.64","2.03","63.3","1.24","16.99","35","90.1","101","0.637142857","0.192424242","0.346534653","1.402777778","1.122222222","0.486111111","0.388888889","0.486111111","0.388888889","0.765277778","0.612222222","34.65346535","38.84572697","80","13.874","9.176954733","11.47119342","14.40329218","18.00411523","22.67489712","28.3436214","5.709465021","7.136831276","37.0781893","46.34773663","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00080","","","","90","68","68","43","68","12.3","10.3","70.2","3","3","43.41","2.17","64.54","1.14","29.24","22.6","92.8","111","0.286046512","0.151470588","0.203603604","1.632352941","1.233333333","0.632352941","0.477777778","0.332352941","0.251111111","1.032352941","0.78","38.73873874","24.35344828","75.55555556","9.81066","5.061728395","6.699346405","9.300411523","12.30936819","28.88888889","38.23529412","4.037308642","5.343496732","38.18930041","50.54466231","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00032","","","","90","55","50","28","46","13.9","8.7","40.8","1","3","28.27","2.55","53.74","1.8","17.19","22.6","63.4","74","0.496428571","0.189130435","0.305405405","1.345454545","0.822222222","0.509090909","0.311111111","0.410909091","0.251111111","0.741818182","0.453333333","37.83783784","35.6466877","61.11111111","6.38902","5.720164609","9.36026936","9.300411523","15.21885522","16.79012346","27.47474747","2.629226337","4.30237037","26.09053498","42.69360269","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00057","","","","90","48","48","40","57","16.4","12.6","47.5","7","3","32.2","2.48","55.98","1.29","30.38","29","76.5","97","0.41","0.221052632","0.298969072","2.020833333","1.077777778","0.833333333","0.444444444","0.604166667","0.322222222","0.989583333","0.527777778","41.2371134","37.90849673","53.33333333","9.338","6.748971193","12.65432099","11.93415638","22.37654321","19.5473251","36.65123457","3.842798354","7.205246914","31.48148148","59.02777778","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00024","","","","90","52","52","29","48","17.5","9.9","70.5","1","3","45.77","1.85","70.18","0.9","","27.4","97.9","77","0.603448276","0.20625","0.355844156","1.480769231","0.855555556","0.557692308","0.322222222","0.526923077","0.304444444","1.355769231","0.783333333","37.66233766","27.98774259","57.77777778","12.54098","7.201646091","12.46438746","11.27572016","19.51566952","29.01234568","50.21367521","5.160897119","8.932321937","40.28806584","69.72934473","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00049","","","","90","54","54","60","84","28.6","15.3","62.3","3","1","38.47","1.97","64.78","0.86","","43.9","106.2","144","0.476666667","0.182142857","0.304861111","2.666666667","1.6","1.111111111","0.666666667","0.812962963","0.487777778","1.153703704","0.692222222","41.66666667","41.33709981","60","16.88833","11.76954733","19.61591221","18.06584362","30.10973937","25.63786008","42.7297668","6.949930041","11.58321674","43.7037037","72.83950617","1"
