"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012GUR-AT16","","","","","","","","","MZP2012GUR-AT16-00001","","","","39","30","1","3","5","20","20","10","26","5","4.5","12","6","3","3","3","50.2","13.9","7","1","1","1","5.71","2.06","1.56","0","1.65","57.69","3.12","5.33","10.05","0.15","9.5","21.5","36","0.5","0.173076923","0.263888889","1.8","0.923076923","0.5","0.256410256","0.475","0.243589744","0.6","0.307692308","27.77777778","44.18604651","51.28205128","27.68924303","2.630478088","4.748338082","9.259259259","9.021842355","17.59259259","11.3960114","22.22222222","2.498079855","4.871255718","20.41785375","39.81481481"
"","","MZP2012GUR-AT16","","","","","","","","","MZP2012GUR-AT16-00002","","","","39","25","3","5","7","10","10","5","7","1.2","1.1","8","6","7","7","1","50.4","13.4","5","1","1","1","4.17","1.78","1.42","6.47","1.38","57.85","2.79","4.85","12.25","0.3","2.3","10.3","12","0.24","0.157142857","0.191666667","1.2","0.307692308","0.5","0.128205128","0.23","0.058974359","0.8","0.205128205","41.66666667","22.33009709","25.64102564","26.58730159","0.611507937","1.13960114","4.444444444","2.184235518","8.518518519","7.597340931","29.62962963","0.580729284","2.264844209","9.781576448","38.14814815"
"","","MZP2012GUR-AT16","","","","","","","","","MZP2012GUR-AT16-00003","","","","39","20","1","1","5","20","20","11","15","2","1.5","17.5","2","5","3","1","50.8","16.3","7","1","1","1","5.6","1.81","1.58","10.06","0.15","61.15","2.37","4.77","8.67","0.38","3.5","21","26","0.181818182","0.1","0.134615385","1.3","0.666666667","0.55","0.282051282","0.175","0.08974359","0.875","0.448717949","42.30769231","16.66666667","51.28205128","32.08661417","1.123031496","1.899335233","3.703703704","3.323836657","6.481481481","16.61918329","32.40740741","1.066506644","2.079687956","19.94301994","38.88888889"
"","","MZP2012GUR-AT16","","","","","","","","","MZP2012GUR-AT16-00004","","","","39","25","1","3","5","25","25","15","25","6.5","3.5","16.4","2","3","3","1","50.1","17.2","7","1","1","1","5.9","1.82","1.6","0","1.38","63.1","1.55","3.53","7.22","0.27","10","26.4","40","0.433333333","0.14","0.25","1.6","1.025641026","0.6","0.384615385","0.4","0.256410256","0.656","0.420512821","37.5","37.87878788","64.1025641","34.33133733","3.433133733","6.172839506","9.62962963","9.496676163","14.81481481","15.57454891","24.2962963","3.260335928","5.086124048","25.07122507","39.11111111"
"","","MZP2012GUR-AT16","","","","","","","","","MZP2012GUR-AT16-00005","","","","39","29","1","3","5","29","29","16","40","4","2.5","16.2","2","3","5","3","50","17","5","1","1","1","4.66","1.61","1.38","0","0.15","63.92","1.89","3.53","7.03","0.33","6.5","22.7","56","0.25","0.0625","0.116071429","1.931034483","1.435897436","0.551724138","0.41025641","0.224137931","0.166666667","0.55862069","0.415384615","28.57142857","28.63436123","74.35897436","34","2.21","3.798670465","5.108556833","6.172839506","8.301404853","15.38461538","20.68965517","2.098765432","2.82247765","21.55745489","28.99106003"
"","","MZP2012GUR-AT16","","","","","","","","","MZP2012GUR-AT16-00006","","","","39","26","1","5","7","24","20","6","15","1.3","2","9","6","5","3","1","33","10.1","7","1","1","1","5.81","1.93","1.59","80.94","","53.76","3.38","5.96","16.33","0.75","3.3","12.3","21","0.216666667","0.133333333","0.157142857","0.875","0.538461538","0.25","0.153846154","0.1375","0.084615385","0.375","0.230769231","28.57142857","26.82926829","61.53846154","30.60606061","1.01","1.234567901","2.00617284","3.133903134","5.092592593","8.547008547","13.88888889","0.959164292","1.558641975","11.68091168","18.98148148"
"","","MZP2012GUR-AT16","","","","","","","","","MZP2012GUR-AT16-00007","","","","39","25","1","3","7","25","25","10","42","2","5","20.1","6","5","5","1","50.4","17.4","1","5","3","3","5.72","1.94","1.38","3.73","6.12","63.39","2.03","4.13","5.35","0.24","7","27.1","52","0.2","0.119047619","0.134615385","2.08","1.333333333","0.4","0.256410256","0.28","0.179487179","0.804","0.515384615","19.23076923","25.8302583","64.1025641","34.52380952","2.416666667","1.899335233","2.962962963","6.647673314","10.37037037","19.08831909","29.77777778","2.295030073","3.580246914","25.7359924","40.14814815"
"","","MZP2012GUR-AT16","","","","","","","","","MZP2012GUR-AT16-00008","","","","39","30","1","3","7","24","9","11","0","4","0","37.3","8","3","3","1","50.2","16.5","3","1","1","1","4.92","1.86","1.21","156.42","","62.12","2.27","4.15","8.57","0.51","4","41.3","11","0.363636364","","0.363636364","0.458333333","0.282051282","0.458333333","0.282051282","0.166666667","0.102564103","1.554166667","0.956410256","100","9.685230024","61.53846154","32.8685259","1.314741036","3.798670465","6.172839506","3.798670465","6.172839506","35.42260209","57.5617284","1.248566986","2.028921352","39.22127255","63.7345679"
"","","MZP2012GUR-AT16","","","","","","","","","MZP2012GUR-AT16-00009","","","","39","24","1","5","7","13","1","1","0","0.2","0","33.5","6","5","5","1","50.3","15.9","5","1","1","1","5.74","2.07","1.52","105.09","","58.93","2.08","3.81","10.02","0.69","0.2","33.7","1","0.2","","0.2","0.076923077","0.025641026","0.076923077","0.025641026","0.015384615","0.005128205","2.576923077","0.858974359","100","0.59347181","33.33333333","31.61033797","0.063220676","0.189933523","0.56980057","0.189933523","0.56980057","31.81386515","95.44159544","0.060038629","0.180115886","32.00379867","96.01139601"
"","","MZP2012GUR-AT16","","","","","","","","","MZP2012GUR-AT16-00010","","","","39","23","1","1","5","20","20","25","25","8","4.5","12.9","6","3","1","1","50.9","13.7","3","1","1","1","5.52","1.78","1.37","0","0.02","57.88","2.2","3.76","13.15","0.18","12.5","25.4","50","0.32","0.18","0.25","2.5","1.282051282","1.25","0.641025641","0.625","0.320512821","0.645","0.330769231","50","49.21259843","51.28205128","26.91552063","3.364440079","7.597340931","14.81481481","11.8708452","23.14814815","12.25071225","23.88888889","3.19509979","6.23044459","24.12155745","47.03703704"
