"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00011","","","","39","30","1","1","9","21","21","19","25","6.5","8.5","13","4","3","3","3","1","5","5","3","15","28","44","0.342105263","0.34","0.340909091","2.095238095","1.128205128","0.904761905","0.487179487","0.714285714","0.384615385","0.619047619","0.333333333","43.18181818","53.57142857","53.84615385","6.172839506","11.4638448","14.24501425","26.45502646","12.34567901","22.92768959","26.59069326","49.38271605"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00012","","","","39","29","1","1","7","21","21","18","21","6.5","7.5","14","6","3","3","3","1","3","7","3","14","28","39","0.361111111","0.357142857","0.358974359","1.857142857","1","0.857142857","0.461538462","0.666666667","0.358974359","0.666666667","0.358974359","46.15384615","50","53.84615385","6.172839506","11.4638448","13.29534663","24.69135802","13.29534663","24.69135802","26.59069326","49.38271605"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00013","","","","39","30","1","1","5","22","21","19","27","6.5","8.7","15","4","3","3","3","1","5","5","3","15.2","30.2","46","0.342105263","0.322222222","0.330434783","2.090909091","1.179487179","0.863636364","0.487179487","0.690909091","0.38974359","0.681818182","0.384615385","41.30434783","50.33112583","56.41025641","6.172839506","10.94276094","14.43494777","25.58922559","14.24501425","25.25252525","28.67996201","50.84175084"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00014","","","","39","31","1","1","5","31","30","17","21","5.5","8","13","4","3","5","1","1","7","3","5","13.5","26.5","38","0.323529412","0.380952381","0.355263158","1.225806452","0.974358974","0.548387097","0.435897436","0.435483871","0.346153846","0.419354839","0.333333333","44.73684211","50.94339623","79.48717949","5.22317189","6.571087216","12.82051282","16.12903226","12.34567901","15.53166069","25.16619183","31.66069295"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00015","","","","39","30","1","1","5","29","29","18","23","6","7","17","4","3","3","3","1","7","3","5","13","30","41","0.333333333","0.304347826","0.317073171","1.413793103","1.051282051","0.620689655","0.461538462","0.448275862","0.333333333","0.586206897","0.435897436","43.90243902","43.33333333","74.35897436","5.698005698","7.662835249","12.34567901","16.60280971","16.14434948","21.71136654","28.49002849","38.31417625"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00016","","","","39","28","1","1","5","25","25","20","31","7","9","21.5","6","3","3","3","1","7","3","5","16","37.5","51","0.35","0.290322581","0.31372549","2.04","1.307692308","0.8","0.512820513","0.64","0.41025641","0.86","0.551282051","39.21568627","42.66666667","64.1025641","6.647673314","10.37037037","15.19468186","23.7037037","20.41785375","31.85185185","35.61253561","55.55555556"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00017","","","","39","30","1","1","5","25","25","21","19","7.6","6.5","10.5","6","3","3","3","1","7","3","5","14.1","24.6","40","0.361904762","0.342105263","0.3525","1.6","1.025641026","0.84","0.538461538","0.564","0.361538462","0.42","0.269230769","52.5","57.31707317","64.1025641","7.217473884","11.25925926","13.39031339","20.88888889","9.971509972","15.55555556","23.36182336","36.44444444"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00018","","","","39","31","1","1","7","9","9","10","14","3.3","4","13","2","3","3","3","3","1","9","1","7.3","20.3","24","0.33","0.285714286","0.304166667","2.666666667","0.615384615","1.111111111","0.256410256","0.811111111","0.187179487","1.444444444","0.333333333","41.66666667","35.96059113","23.07692308","3.133903134","13.58024691","6.932573599","30.04115226","12.34567901","53.49794239","19.27825261","83.53909465"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00019","","","","39","30","1","1","5","28","28","19","33","6","10","10.5","4","3","3","3","1","5","5","3","16","26.5","52","0.315789474","0.303030303","0.307692308","1.857142857","1.333333333","0.678571429","0.487179487","0.571428571","0.41025641","0.375","0.269230769","36.53846154","60.37735849","71.79487179","5.698005698","7.936507937","15.19468186","21.16402116","9.971509972","13.88888889","25.16619183","35.05291005"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00020","","","","39","31","1","1","5","16","16","18","27","5.5","7.5","11","2","3","5","5","1","3","7","3","13","24","45","0.305555556","0.277777778","0.288888889","2.8125","1.153846154","1.125","0.461538462","0.8125","0.333333333","0.6875","0.282051282","40","54.16666667","41.02564103","5.22317189","12.73148148","12.34567901","30.09259259","10.44634378","25.46296296","22.79202279","55.55555556"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00021","","","","39","29","1","3","9","20","20","27","43","9.5","12.9","22.5","2","3","3","3","1","7","3","5","22.4","44.9","70","0.351851852","0.3","0.32","3.5","1.794871795","1.35","0.692307692","1.12","0.574358974","1.125","0.576923077","38.57142857","49.88864143","51.28205128","9.021842355","17.59259259","21.27255461","41.48148148","21.36752137","41.66666667","42.64007597","83.14814815"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00022","","","","39","30","5","9","5","23","23","19","22","6","6","17","6","3","3","3","1","7","3","5","12","29","41","0.315789474","0.272727273","0.292682927","1.782608696","1.051282051","0.826086957","0.487179487","0.52173913","0.307692308","0.739130435","0.435897436","46.34146341","41.37931034","58.97435897","5.698005698","9.661835749","11.3960114","19.3236715","16.14434948","27.37520129","27.54036087","46.69887279"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00023","","","","39","31","1","1","7","10","10","18","28","5.5","9","16.3","2","3","3","3","3","3","9","1","14.5","30.8","46","0.305555556","0.321428571","0.315217391","4.6","1.179487179","1.8","0.461538462","1.45","0.371794872","1.63","0.417948718","39.13043478","47.07792208","25.64102564","5.22317189","20.37037037","13.77018044","53.7037037","15.47958215","60.37037037","29.24976258","114.0740741"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00024","","","","39","27","1","1","5","11","11","21","32","7","10.5","19.5","4","3","3","3","1","7","5","5","17.5","37","53","0.333333333","0.328125","0.330188679","4.818181818","1.358974359","1.909090909","0.538461538","1.590909091","0.448717949","1.772727273","0.5","39.62264151","47.2972973","28.20512821","6.647673314","23.56902357","16.61918329","58.92255892","18.51851852","65.65656566","35.1377018","124.5791246"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00025","","","","39","30","1","1","5","28","28","29","47","10.5","12","15.5","4","3","1","3","1","5","5","3","22.5","38","76","0.362068966","0.255319149","0.296052632","2.714285714","1.948717949","1.035714286","0.743589744","0.803571429","0.576923077","0.553571429","0.397435897","38.15789474","59.21052632","71.79487179","9.971509972","13.88888889","21.36752137","29.76190476","14.71984805","20.5026455","36.08736942","50.26455026"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00026","","","","39","28","1","1","5","27","27","18","28","6","9.5","13.5","2","3","3","3","1","3","7","3","15.5","29","46","0.333333333","0.339285714","0.336956522","1.703703704","1.179487179","0.666666667","0.461538462","0.574074074","0.397435897","0.5","0.346153846","39.13043478","53.44827586","69.23076923","5.698005698","8.230452675","14.71984805","21.26200274","12.82051282","18.51851852","27.54036087","39.78052126"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00027","","","","39","27","1","1","7","26","26","17","19","6","5.5","12","4","3","3","5","1","5","5","3","11.5","23.5","36","0.352941176","0.289473684","0.319444444","1.384615385","0.923076923","0.653846154","0.435897436","0.442307692","0.294871795","0.461538462","0.307692308","47.22222222","48.93617021","66.66666667","5.698005698","8.547008547","10.92117759","16.38176638","11.3960114","17.09401709","22.31718898","33.47578348"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00028","","","","39","30","1","1","5","17","17","18","27","6.1","7","15","2","3","3","3","1","5","7","3","13.1","28.1","45","0.338888889","0.259259259","0.291111111","2.647058824","1.153846154","1.058823529","0.461538462","0.770588235","0.335897436","0.882352941","0.384615385","40","46.61921708","43.58974359","5.79297246","13.28976035","12.44064577","28.54030501","14.24501425","32.67973856","26.68566002","61.22004357"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00029","","","","39","35","1","1","7","11","11","17","31","6.5","9.5","14.1","2","3","3","5","1","7","5","5","16","30.1","48","0.382352941","0.306451613","0.333333333","4.363636364","1.230769231","1.545454545","0.435897436","1.454545455","0.41025641","1.281818182","0.361538462","35.41666667","53.15614618","28.20512821","6.172839506","21.88552189","15.19468186","53.87205387","13.39031339","47.47474747","28.58499525","101.3468013"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00030","","","","39","32","1","1","5","29","29","10","35","3","8.5","7","2","3","5","5","1","3","5","3","11.5","18.5","45","0.3","0.242857143","0.255555556","1.551724138","1.153846154","0.344827586","0.256410256","0.396551724","0.294871795","0.24137931","0.179487179","22.22222222","62.16216216","74.35897436","2.849002849","3.831417625","10.92117759","14.68710089","6.647673314","8.939974457","17.5688509","23.62707535"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00031","","","","39","30","1","1","7","31","30","17","31","5.6","9.7","22.5","2","3","1","3","1","5","5","3","15.3","37.8","48","0.329411765","0.312903226","0.31875","1.548387097","1.230769231","0.548387097","0.435897436","0.493548387","0.392307692","0.725806452","0.576923077","35.41666667","40.47619048","79.48717949","5.318138651","6.690561529","14.52991453","18.27956989","21.36752137","26.88172043","35.8974359","45.16129032"
