"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","treatment_non_irrigation"
"","","MZP2013GUR-ST01","","","","","","","","","MZP2013GUR-ST01-00001","","","","26","21","1","1","5","15","11","8","12","2","3","4","7","5","5","1","7","5","3","5.04","2.29","1.39","0","76.93","31.86","56.4","2.26","4.14","12.12","5","9","20","0.25","0.25","0.25","1.333333333","0.769230769","0.533333333","0.307692308","0.333333333","0.192307692","0.266666667","0.153846154","40","55.55555556","57.69230769","2.849002849","4.938271605","7.122507123","12.34567901","5.698005698","9.87654321","12.82051282","22.22222222","1",""
"","","MZP2013GUR-ST01","","","","","","","","","MZP2013GUR-ST01-00002","","","","26","25","5","9","5","25","12","8","9","2.1","3","3.5","3","7","5","5","3","1","1","6.03","2.24","1.39","0","34.82","0","68.48","0.55","1.63","4.99","5.1","8.6","17","0.2625","0.333333333","0.3","0.68","0.653846154","0.32","0.307692308","0.204","0.196153846","0.14","0.134615385","47.05882353","59.30232558","96.15384615","2.991452991","3.111111111","7.264957265","7.555555556","4.985754986","5.185185185","12.25071225","12.74074074","1",""
"","","MZP2013GUR-ST01","","","","","","","","","MZP2013GUR-ST01-00003","","","","26","10","1","1","7","7","7","13","23","3.5","7.5","5.7","5","3","5","5","3","1","1","4.15","1.94","1.22","0","35.35","0","58.15","1.21","2.27","14.5","11","16.7","36","0.269230769","0.326086957","0.305555556","5.142857143","1.384615385","1.857142857","0.5","1.571428571","0.423076923","0.814285714","0.219230769","36.11111111","65.86826347","26.92307692","4.985754986","18.51851852","15.66951567","58.2010582","8.11965812","30.15873016","23.78917379","88.35978836","1",""
"","","MZP2013GUR-ST01","","","","","","","","","MZP2013GUR-ST01-00004","","","","26","11","1","3","3","2","0","0","0","0","0","1.5","","","","","","","","","","","","","","","","","","0","1.5","0","","","","0","0","0","0","0","0","0.75","0.057692308","","0","7.692307692","0","0","0","0","2.136752137","27.77777778","2.136752137","27.77777778","1",""
"","","MZP2013GUR-ST01","","","","","","","","","MZP2013GUR-ST01-00005","","","","26","21","1","3","5","21","21","12","18","3","3.5","3.5","7","7","3","3","3","1","1","4.24","1.54","1.22","0","30.28","0","67.8","0.75","1.93","6.61","6.5","10","30","0.25","0.194444444","0.216666667","1.428571429","1.153846154","0.571428571","0.461538462","0.30952381","0.25","0.166666667","0.134615385","40","65","80.76923077","4.273504274","5.291005291","9.259259259","11.4638448","4.985754986","6.172839506","14.24501425","17.6366843","1",""
"","","MZP2013GUR-ST01","","","","","","","","","MZP2013GUR-ST01-00006","","","","26","22","1","1","7","22","6","0","8","0","2.2","4.1","7","7","7","3","1","1","1","3.35","1.5","1.13","0","45.71","0","69.28","1.43","2.72","4.25","2.2","6.3","8","","0.275","0.275","0.363636364","0.307692308","0","0","0.1","0.084615385","0.186363636","0.157692308","0","34.92063492","84.61538462","0","0","3.133903134","3.703703704","5.84045584","6.902356902","8.974358974","10.60606061","1",""
"","","MZP2013GUR-ST01","","","","","","","","","MZP2013GUR-ST01-00007","","","","26","20","1","3","5","20","7","0","10","0","3","5","7","9","1","1","7","5","5","5.71","2.14","1.42","0","37.35","12.95","59.66","0.47","1.48","12.16","3","8","10","","0.3","0.3","0.5","0.384615385","0","0","0.15","0.115384615","0.25","0.192307692","0","37.5","76.92307692","0","0","4.273504274","5.555555556","7.122507123","9.259259259","11.3960114","14.81481481","1",""
"","","MZP2013GUR-ST01","","","","","","","","","MZP2013GUR-ST01-00008","","","","26","24","1","3","5","24","20","8","23","2","4.5","3.5","5","7","5","1","7","5","5","4.87","2.25","1.58","0","32.55","24.26","57.2","1.32","2.37","10.71","6.5","10","31","0.25","0.195652174","0.209677419","1.291666667","1.192307692","0.333333333","0.307692308","0.270833333","0.25","0.145833333","0.134615385","25.80645161","65","92.30769231","2.849002849","3.086419753","9.259259259","10.0308642","4.985754986","5.401234568","14.24501425","15.43209877","1",""
"","","MZP2013GUR-ST01","","","","","","","","","MZP2013GUR-ST01-00009","","","","26","17","1","3","5","17","17","19","20","7.5","6.5","7.5","1","1","3","1","7","5","5","6.5","2.76","1.74","123.61","113.85","30.33","42.34","4.2","7.22","19.32","14","21.5","39","0.394736842","0.325","0.358974359","2.294117647","1.5","1.117647059","0.730769231","0.823529412","0.538461538","0.441176471","0.288461538","48.71794872","65.11627907","65.38461538","10.68376068","16.33986928","19.94301994","30.50108932","10.68376068","16.33986928","30.62678063","46.84095861","1",""
"","","MZP2013GUR-ST01","","","","","","","","","MZP2013GUR-ST01-00010","","","","26","16","1","1","7","16","14","0","19","0","7","6","7","5","3","1","5","5","3","4.93","2.53","1.48","25.84","88.89","42.72","49.06","1.17","2.47","21.45","7","13","19","","0.368421053","0.368421053","1.1875","0.730769231","0","0","0.4375","0.269230769","0.375","0.230769231","0","53.84615385","61.53846154","0","0","9.971509972","16.2037037","8.547008547","13.88888889","18.51851852","30.09259259","1",""
