"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|CO_331:0000198","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00001","","","","26","18","5","5","5","1","1","11","10","20","5","0.6","0.6","10","1","1","2","50.7","13.8","1","5","7","5","3.47","1.54","0.95","62.87","68.15","43.44","12.39","59.27","3.66","5.14","13.69","0.37","1.2","11.2","25","0.03","0.12","0.048","2.272727273","0.961538462","1.818181818","0.769230769","0.109090909","0.046153846","0.909090909","0.384615385","80","10.71428571","42.30769231","27.21893491","0.326627219","0.854700855","2.02020202","1.709401709","4.04040404","14.24501425","33.67003367","0.465280939","1.099754946","15.95441595","37.71043771"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00002","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00003","","","","26","21","1","1","9","1","1","14","13","28","13","2","2","30","3","5","1","50.6","15.9","1","3","9","3","3.18","1.78","1.03","133.89","115.13","26.81","","54.27","6.68","9.3","8.17","1.17","4","34","41","0.071428571","0.153846154","0.097560976","2.928571429","1.576923077","2","1.076923077","0.285714286","0.153846154","2.142857143","1.153846154","68.29268293","11.76470588","53.84615385","31.4229249","1.256916996","2.849002849","5.291005291","5.698005698","10.58201058","42.73504274","79.36507937","1.790480051","3.325177238","48.43304843","89.94708995"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00004","","","","26","19","3","3","5","1","1","9","9","9","1","0.1","0.1","7","5","5","1","34.7","8.4","1","7","7","1","7","2.48","1.48","361.12","176.09","36.05","12.39","49.23","8.23","12.07","6.98","1.48","0.2","7.2","10","0.011111111","0.1","0.02","1.111111111","0.384615385","1","0.346153846","0.022222222","0.007692308","0.777777778","0.269230769","90","2.777777778","34.61538462","24.2074928","0.048414986","0.142450142","0.411522634","0.284900285","0.823045267","9.971509972","28.80658436","0.068967216","0.199238624","10.25641026","29.62962963"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00005","","","","26","16","3","3","5","1","1","10","6","7","2","","","9","1","3","1","50.2","14.2","1","5","5","5","2.7","1.72","1.11","186.76","115.35","16.02","4.41","59.88","8.01","11.23","0.6","0.21","","","9","","","","0.9","0.346153846","0.7","0.269230769","","","0.9","0.346153846","77.77777778","","38.46153846","28.28685259","","","","","","12.82051282","33.33333333","","","",""
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00006","","","","26","5","8","8","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00007","","","","26","17","7","7","6","1","1","12","12","30","8","1.6","1.6","8","1","3","1","50.6","11.4","1","5","5","5","4.08","2.03","1.3","170.9","124.21","45.69","14.37","45.38","7.56","10.67","16.37","1.16","3.2","11.2","38","0.053333333","0.2","0.084210526","3.166666667","1.461538462","2.5","1.153846154","0.266666667","0.123076923","0.666666667","0.307692308","78.94736842","28.57142857","46.15384615","22.52964427","0.720948617","2.279202279","4.938271605","4.558404558","9.87654321","11.3960114","24.69135802","1.026992331","2.225150051","15.95441595","34.56790123"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00008","","","","26","24","5","5","7","1","1","15","15","39","7","1.8","1.8","14","1","4","1","50.9","16.8","1","3","7","5","2.23","1.08","0.63","1.27","52.29","155.18","4.92","71.82","3.52","4.74","3.03","0.15","3.6","17.6","46","0.046153846","0.257142857","0.07826087","3.066666667","1.769230769","2.6","1.5","0.24","0.138461538","0.933333333","0.538461538","84.7826087","20.45454545","57.69230769","33.00589391","1.188212181","2.564102564","4.444444444","5.128205128","8.888888889","19.94301994","34.56790123","1.692609944","2.933857236","25.07122507","43.45679012"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00009","","","","26","20","6","6","8","1","1","16","16","57","9","2","2","15","3","2","1","50.5","11.8","1","5","5","5","2.84","1.62","0.8","46.29","77.97","11.38","6.12","51.84","12.96","17.51","","0.4","4","19","66","0.035087719","0.222222222","0.060606061","4.125","2.538461538","3.5625","2.192307692","0.25","0.153846154","0.9375","0.576923077","86.36363636","21.05263158","61.53846154","23.36633663","0.934653465","2.849002849","4.62962963","5.698005698","9.259259259","21.36752137","34.72222222","1.331415193","2.163549688","27.06552707","43.98148148"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00010","","","","26","21","1","1","6","1","1","14","13","22","5","1.8","1.8","7","1","3","1","","","1","3","9","3","","","","","","","","","","","","","3.6","10.6","27","0.081818182","0.36","0.133333333","1.928571429","1.038461538","1.571428571","0.846153846","0.257142857","0.138461538","0.5","0.269230769","81.48148148","33.96226415","53.84615385","","","2.564102564","4.761904762","5.128205128","9.523809524","9.971509972","18.51851852","","","15.0997151","28.04232804"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00011","","","","26","17","2","2","6","1","1","12","10","30","6","1.5","1.5","8","2","2","1","48.3","13.2","1","7","7","3","1.84","1.33","0.88","97.14","82.83","","12.39","66.03","6.53","9.16","","","3","11","36","0.05","0.25","0.083333333","3","1.384615385","2.5","1.153846154","0.25","0.115384615","0.666666667","0.307692308","83.33333333","27.27272727","46.15384615","27.32919255","0.819875776","2.136752137","4.62962963","4.273504274","9.259259259","11.3960114","24.69135802","1.167914211","2.530480791","15.66951567","33.95061728"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00012","","","","26","20","7","7","2","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.846153846","","","","","","","","","","","",""
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00013","","","","26","20","2","2","5","1","1","8","8","25","6","2","2","5","1","1","1","50.6","16.6","1","6","6","5","2.65","1.01","0.76","32.75","65.69","","12.39","67","4.3","6.22","3.63","0.09","4","9","31","0.08","0.333333333","0.129032258","3.875","1.192307692","3.125","0.961538462","0.5","0.153846154","0.625","0.192307692","80.64516129","44.44444444","30.76923077","32.80632411","1.312252964","2.849002849","9.259259259","5.698005698","18.51851852","7.122507123","23.14814815","1.869306217","6.075245206","12.82051282","41.66666667"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00014","","","","26","21","6","6","5","1","1","11","11","19","3","1.5","1.5","8","4","3","1","","","1","7","5","1","","","","","","","4.92","","","","","","3","11","22","0.078947368","0.5","0.136363636","2","0.846153846","1.727272727","0.730769231","0.272727273","0.115384615","0.727272727","0.307692308","86.36363636","27.27272727","42.30769231","","","2.136752137","5.050505051","4.273504274","10.1010101","11.3960114","26.93602694","","","15.66951567","37.03703704"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00015","","","","26","23","2","2","6","1","1","21","21","53","10","6","6","11","1","4","1","50.8","13.7","1","3","5","6","4.29","1.59","1.12","125.88","75.86","36.88","14.37","62.08","4.55","6.58","7.68","0.37","12","23","63","0.113207547","0.6","0.19047619","3","2.423076923","2.523809524","2.038461538","0.571428571","0.461538462","0.523809524","0.423076923","84.12698413","52.17391304","80.76923077","26.96850394","3.236220472","8.547008547","10.58201058","17.09401709","21.16402116","15.66951567","19.40035273","4.610000673","5.707619881","32.76353276","40.5643739"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00016","","","","26","16","3","3","6","1","1","12","4","5","2","1.2","1.2","13","5","5","1","50.8","10.6","1","7","6","3","3.55","1.77","1.02","60.88","74.27","31.39","6.12","50.38","11.08","15.07","2.45","0.59","2.4","15.4","7","0.24","0.6","0.342857143","0.583333333","0.269230769","0.416666667","0.192307692","0.2","0.092307692","1.083333333","0.5","71.42857143","15.58441558","46.15384615","20.86614173","0.500787402","1.709401709","3.703703704","3.418803419","7.407407407","18.51851852","40.12345679","0.713372367","1.545640128","21.93732194","47.5308642"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00017","","","","26","18","1","1","3","1","1","5","3","5","1","0.1","0.1","2","1","3","1","50.7","13.4","1","5","6","3","2.15","1.33","0.71","44.87","79.04","16.88","7.76","59.1","7.94","11.09","4.44","0.55","0.2","2.2","6","0.02","0.1","0.033333333","1.2","0.230769231","1","0.192307692","0.04","0.007692308","0.4","0.076923077","83.33333333","9.090909091","19.23076923","26.42998028","0.052859961","0.142450142","0.740740741","0.284900285","1.481481481","2.849002849","14.81481481","0.075299089","0.391555263","3.133903134","16.2962963"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00018","","","","26","22","1","1","7","1","1","17","13","26","3","2","2","19","3","1","1","50.5","13.1","3","5","7","3","3.3","1.52","1.1","121.03","83.57","35.28","14.37","62.6","4.37","6.26","6.58","0.06","4","23","29","0.076923077","0.666666667","0.137931034","1.705882353","1.115384615","1.529411765","1","0.235294118","0.153846154","1.117647059","0.730769231","89.65517241","17.39130435","65.38461538","25.94059406","1.037623762","2.849002849","4.357298475","5.698005698","8.71459695","27.06552707","41.39433551","1.478096528","2.260618219","32.76353276","50.10893246"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00019","","","","26","6","1","1","4","1","1","2","2","7","3","","","3","1","3","1","50.2","10.9","1","7","9","1","2.91","1.61","1.08","75.78","80.71","28.94","12.39","51.34","6.88","9.6","13.66","0.29","","","10","","","","5","0.384615385","3.5","0.269230769","","","1.5","0.115384615","70","","7.692307692","21.71314741","","","","","","4.273504274","55.55555556","","","",""
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00020","","","","26","20","4","4","5","1","1","11","8","19","4","1","1","2","3","1","2","50.1","12.6","1","9","7","1","3.62","1.56","0.82","40.41","62.59","18.7","14.37","52.67","9.55","12.72","5.79","0.7","2","4","23","0.052631579","0.25","0.086956522","2.090909091","0.884615385","1.727272727","0.730769231","0.181818182","0.076923077","0.181818182","0.076923077","82.60869565","50","42.30769231","25.1497006","0.502994012","1.424501425","3.367003367","2.849002849","6.734006734","2.849002849","6.734006734","0.716515687","1.693582532","5.698005698","13.46801347"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00021","","","","26","7","8","8","3","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0.038461538","","","","","","","3.846153846","","","","","","","","","","","",""
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00022","","","","26","21","2","2","7","1","1","11","6","3","2","1.2","1.2","22","7","5","2","50.9","14.2","3","7","7","3","2.44","1.35","0.79","6.25","62.68","12.61","14.37","63.03","4.08","5.71","8.36","0.42","2.4","24.4","5","0.4","0.6","0.48","0.454545455","0.192307692","0.272727273","0.115384615","0.218181818","0.092307692","2","0.846153846","60","9.836065574","42.30769231","27.8978389","0.669548134","1.709401709","4.04040404","3.418803419","8.080808081","31.33903134","74.07407407","0.95377227","2.25437082","34.75783476","82.15488215"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00023","","","","26","14","7","7","5","1","1","6","6","7","4","1","1","5","1","5","1","","","","","","","","","","","","","","","","","","","2","7","11","0.142857143","0.25","0.181818182","1.833333333","0.423076923","1.166666667","0.269230769","0.333333333","0.076923077","0.833333333","0.192307692","63.63636364","28.57142857","23.07692308","","","1.424501425","6.172839506","2.849002849","12.34567901","7.122507123","30.86419753","","","9.971509972","43.20987654"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00024","","","","26","10","3","3","5","1","1","4","3","5","3","","","8","5","3","1","50.5","12.7","3","5","7","5","4.01","1.82","0.98","65.78","89.54","15.15","7.76","51.73","10.02","13.65","2.22","0.71","","","8","","","","2","0.307692308","1.25","0.192307692","","","2","0.307692308","62.5","","15.38461538","25.14851485","","","","","","11.3960114","74.07407407","","","",""
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00025","","","","26","7","3","3","4","1","1","7","4","8","2","0.1","0.1","11","1","5","1","50.5","13.5","5","3","7","7","3.19","1.6","0.76","0","73.06","15.56","14.37","52.44","10.08","13.79","3.57","0.57","0.2","11.2","10","0.0125","0.05","0.02","1.428571429","0.384615385","1.142857143","0.307692308","0.028571429","0.007692308","1.571428571","0.423076923","80","1.785714286","26.92307692","26.73267327","0.053465347","0.142450142","0.529100529","0.284900285","1.058201058","15.66951567","58.2010582","0.076161462","0.282885431","15.95441595","59.25925926"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00026","","","","26","7","5","5","5","1","1","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.53846154","","","","","","","","","","","",""
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00027","","","","26","8","4","4","4","1","1","8","6","7","2","1","1","7","5","7","1","50.8","13.2","3","5","5","3","3.84","2.16","1.33","140.44","150.47","45.26","14.37","51.43","5.33","8.13","12","1.02","2","9","9","0.142857143","0.5","0.222222222","1.125","0.346153846","0.875","0.269230769","0.25","0.076923077","0.875","0.269230769","77.77777778","22.22222222","30.76923077","25.98425197","0.519685039","1.424501425","4.62962963","2.849002849","9.259259259","9.971509972","32.40740741","0.740292079","2.405949256","12.82051282","41.66666667"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00028","","","","26","20","2","2","5","1","1","14","13","22","8","2","2","8","1","3","1","","","","","","","","","","","","","","","","","","","4","12","30","0.090909091","0.25","0.133333333","2.142857143","1.153846154","1.571428571","0.846153846","0.285714286","0.153846154","0.571428571","0.307692308","73.33333333","33.33333333","53.84615385","","","2.849002849","5.291005291","5.698005698","10.58201058","11.3960114","21.16402116","","","17.09401709","31.74603175"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00029","","","","26","8","8","8","2","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.846153846","","","","","","","","","","","",""
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00030","","","","26","24","4","4","7","1","1","8","2","2","1","0.1","0.1","17","3","1","2","","","","","","","","","","","","","","","","","","","0.2","17.2","3","0.05","0.1","0.066666667","0.375","0.115384615","0.25","0.076923077","0.025","0.007692308","2.125","0.653846154","66.66666667","1.162790698","30.76923077","","","0.142450142","0.462962963","0.284900285","0.925925926","24.21652422","78.7037037","","","24.5014245","79.62962963"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00031","","","","26","21","1","1","9","1","1","10","9","12","4","2","2","13","1","5","1","50.5","14.3","5","5","7","7","3.58","1.73","0.99","14.71","61.74","","0.12","61.01","7.93","10.79","","0.34","4","17","16","0.166666667","0.5","0.25","1.6","0.615384615","1.2","0.461538462","0.4","0.153846154","1.3","0.5","75","23.52941176","38.46153846","28.31683168","1.132673267","2.849002849","7.407407407","5.698005698","14.81481481","18.51851852","48.14814815","1.613494683","4.195086175","24.21652422","62.96296296"
