"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00001","","","","39","31","4","5","4","23","9","4","5","2","0.4","5","6","3","3","3","5","3","4","5","3.03","9","0.5","0.08","0.266666667","0.391304348","0.230769231","0.173913043","0.102564103","0.104347826","0.061538462","0.217391304","0.128205128","44.44444444","32.43243243","58.97435897","1.899335233","3.220611916","2.279202279","3.8647343","4.748338082","8.051529791","7.027540361","11.91626409","2.4","7.4"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00002","","","","39","21","6","7","4","21","7","0","7","0","0.4","3","6","2","2","4","4","3","4","5","0.03","7","","0.057142857","0.057142857","0.333333333","0.179487179","0","0","0.019047619","0.01025641","0.142857143","0.076923077","0","11.76470588","53.84615385","0","0","0.379867047","0.705467372","2.849002849","5.291005291","3.228869896","5.996472663","0.4","3.4"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00003","","","","39","33","6","8","4","31","8","4","5","1","0.3","9","5","2","2","5","5","3","4","5","12.39","9","0.25","0.06","0.144444444","0.290322581","0.230769231","0.129032258","0.102564103","0.041935484","0.033333333","0.290322581","0.230769231","44.44444444","12.62135922","79.48717949","0.949667616","1.19474313","1.234567901","1.553166069","8.547008547","10.75268817","9.781576448","12.30585424","1.3","10.3"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00004","","","","39","17","4","5","6","17","17","20","13","9","1.5","12.6","5","4","2","4","5","3","3","3","11.03","33","0.45","0.115384615","0.318181818","1.941176471","0.846153846","1.176470588","0.512820513","0.617647059","0.269230769","0.741176471","0.323076923","60.60606061","45.45454545","43.58974359","8.547008547","19.60784314","9.971509972","22.87581699","11.96581197","27.45098039","21.93732194","50.32679739","10.5","23.1"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00005","","","","39","18","4","5","8","18","18","29","17","6.5","2","27.3","3","4","4","4","5","3","4","5","12.39","46","0.224137931","0.117647059","0.184782609","2.555555556","1.179487179","1.611111111","0.743589744","0.472222222","0.217948718","1.516666667","0.7","63.04347826","23.74301676","46.15384615","6.172839506","13.3744856","8.072174739","17.48971193","25.92592593","56.17283951","33.99810066","73.66255144","8.5","35.8"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00006","","","","39","24","8","9","5","24","6","0","7","0","1","14.5","2","1","1","5","4","3","4","5","3.03","7","","0.142857143","0.142857143","0.291666667","0.179487179","0","0","0.041666667","0.025641026","0.604166667","0.371794872","0","6.451612903","61.53846154","0","0","0.949667616","1.543209877","13.77018044","22.37654321","14.71984805","23.91975309","1","15.5"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00007","","","","39","36","8","9","5","32","0","0","0","0","0","29.6","","","","","","","","","","0","","","","0","0","0","0","0","0","0.925","0.758974359","","0","82.05128205","0","0","0","0","28.11016144","34.25925926","28.11016144","34.25925926","0","29.6"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00008","","","","39","35","9","9","4","14","0","0","0","0","0","3","","","","","","","","","","0","","","","0","0","0","0","0","0","0.214285714","0.076923077","","0","35.8974359","0","0","0","0","2.849002849","7.936507937","2.849002849","7.936507937","0","3"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00009","","","","39","33","7","9","4","19","11","5","7","1","1.2","12","5","3","4","5","5","3","3","5","12.39","12","0.2","0.171428571","0.183333333","0.631578947","0.307692308","0.263157895","0.128205128","0.115789474","0.056410256","0.631578947","0.307692308","41.66666667","15.49295775","48.71794872","0.949667616","1.949317739","2.089268756","4.288499025","11.3960114","23.39181287","13.48528015","27.68031189","2.2","14.2"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00010","","","","39","28","7","9","4","16","4","0","4","0","0.6","5.9","5","1","1","5","4","3","4","5","4.61","4","","0.15","0.15","0.25","0.102564103","0","0","0.0375","0.015384615","0.36875","0.151282051","0","9.230769231","41.02564103","0","0","0.56980057","1.388888889","5.603038936","13.65740741","6.172839506","15.0462963","0.6","6.5"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00011","","","","39","26","3","4","6","26","26","29","34","4","2","21.7","4","3","3","5","4","3","4","5","7.76","63","0.137931034","0.058823529","0.095238095","2.423076923","1.615384615","1.115384615","0.743589744","0.230769231","0.153846154","0.834615385","0.556410256","46.03174603","21.66064982","66.66666667","3.798670465","5.698005698","5.698005698","8.547008547","20.60778727","30.91168091","26.30579297","39.45868946","6","27.7"
