"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-MT01","","","","","","","","","MZP2018GUR-MT01-00001","","","","39","39","1","1","5","37","23","42","5.5","10.5","14.5","6","3","3","3","16","30.5","65","0.239130435","0.25","0.246153846","1.756756757","1.666666667","0.621621622","0.58974359","0.432432432","0.41025641","0.391891892","0.371794872","35.38461538","52.45901639","94.87179487","5.22317189","5.505505506","15.19468186","16.01601602","13.77018044","14.51451451","28.9648623","30.53053053"
"","","MZP2018GUR-MT01","","","","","","","","","MZP2018GUR-MT01-00002","","","","39","30","1","1","5","30","19","30","4.5","7","12","4","3","3","3","11.5","23.5","49","0.236842105","0.233333333","0.234693878","1.633333333","1.256410256","0.633333333","0.487179487","0.383333333","0.294871795","0.4","0.307692308","38.7755102","48.93617021","76.92307692","4.273504274","5.555555556","10.92117759","14.19753086","11.3960114","14.81481481","22.31718898","29.01234568"
"","","MZP2018GUR-MT01","","","","","","","","","MZP2018GUR-MT01-00003","","","","39","29","1","1","5","29","17","27","4.5","6.7","10.5","4","5","5","3","11.2","21.7","44","0.264705882","0.248148148","0.254545455","1.517241379","1.128205128","0.586206897","0.435897436","0.386206897","0.287179487","0.362068966","0.269230769","38.63636364","51.61290323","74.35897436","4.273504274","5.747126437","10.6362773","14.30395913","9.971509972","13.40996169","20.60778727","27.71392082"
"","","MZP2018GUR-MT01","","","","","","","","","MZP2018GUR-MT01-00004","","","","39","30","1","1","5","30","19","32","5","7","13.7","4","3","3","1","12","25.7","51","0.263157895","0.21875","0.235294118","1.7","1.307692308","0.633333333","0.487179487","0.4","0.307692308","0.456666667","0.351282051","37.25490196","46.692607","76.92307692","4.748338082","6.172839506","11.3960114","14.81481481","13.01044634","16.91358025","24.40645774","31.72839506"
"","","MZP2018GUR-MT01","","","","","","","","","MZP2018GUR-MT01-00005","","","","39","29","1","1","7","28","12","22","3.5","6","14","8","5","5","5","9.5","23.5","34","0.291666667","0.272727273","0.279411765","1.214285714","0.871794872","0.428571429","0.307692308","0.339285714","0.243589744","0.5","0.358974359","35.29411765","40.42553191","71.79487179","3.323836657","4.62962963","9.021842355","12.56613757","13.29534663","18.51851852","22.31718898","31.08465608"
"","","MZP2018GUR-MT01","","","","","","","","","MZP2018GUR-MT01-00006","","","","39","35","1","1","7","35","25","47","7","11.7","17.5","6","1","1","1","18.7","36.2","72","0.28","0.24893617","0.259722222","2.057142857","1.846153846","0.714285714","0.641025641","0.534285714","0.479487179","0.5","0.448717949","34.72222222","51.65745856","89.74358974","6.647673314","7.407407407","17.75878443","19.78835979","16.61918329","18.51851852","34.37796771","38.30687831"
"","","MZP2018GUR-MT01","","","","","","","","","MZP2018GUR-MT01-00007","","","","39","23","1","3","5","22","27","48","7.5","12.7","11.5","4","1","1","1","20.2","31.7","75","0.277777778","0.264583333","0.269333333","3.409090909","1.923076923","1.227272727","0.692307692","0.918181818","0.517948718","0.522727273","0.294871795","36","63.72239748","56.41025641","7.122507123","12.62626263","19.18328585","34.00673401","10.92117759","19.36026936","30.10446344","53.36700337"
"","","MZP2018GUR-MT01","","","","","","","","","MZP2018GUR-MT01-00008","","","","39","39","1","1","7","38","33","57","10.1","18.8","14.7","5","1","1","3","28.9","43.6","90","0.306060606","0.329824561","0.321111111","2.368421053","2.307692308","0.868421053","0.846153846","0.760526316","0.741025641","0.386842105","0.376923077","36.66666667","66.28440367","97.43589744","9.591642925","9.844054581","27.44539411","28.16764133","13.96011396","14.32748538","41.40550807","42.49512671"
"","","MZP2018GUR-MT01","","","","","","","","","MZP2018GUR-MT01-00009","","","","39","20","1","1","5","19","13","21","4","6","10","2","5","5","3","10","20","34","0.307692308","0.285714286","0.294117647","1.789473684","0.871794872","0.684210526","0.333333333","0.526315789","0.256410256","0.526315789","0.256410256","38.23529412","50","48.71794872","3.798670465","7.797270955","9.496676163","19.49317739","9.496676163","19.49317739","18.99335233","38.98635478"
"","","MZP2018GUR-MT01","","","","","","","","","MZP2018GUR-MT01-00010","","","","39","33","3","5","7","32","23","45","6.5","11.7","15","1","3","3","1","18.2","33.2","68","0.282608696","0.26","0.267647059","2.125","1.743589744","0.71875","0.58974359","0.56875","0.466666667","0.46875","0.384615385","33.82352941","54.81927711","82.05128205","6.172839506","7.523148148","17.28395062","21.06481481","14.24501425","17.36111111","31.52896486","38.42592593"
