"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|CO_331:0000198","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00011","","","","26","20","1","6","6","1","1","20","18","10","36","2","4","16","3","6","3","4","2","9","1","6","22","46","0.2","0.111111111","0.130434783","2.3","1.769230769","0.5","0.384615385","0.3","0.230769231","0.8","0.615384615","21.73913043","27.27272727","76.92307692","2.849002849","3.703703704","8.547008547","11.11111111","22.79202279","29.62962963","31.33903134","40.74074074"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00012","","","","26","17","1","7","4","1","1","17","17","22","70","5.2","6.5","6.5","3","3","5","1","2","9","1","11.7","18.2","92","0.236363636","0.092857143","0.127173913","5.411764706","3.538461538","1.294117647","0.846153846","0.688235294","0.45","0.382352941","0.25","23.91304348","64.28571429","65.38461538","7.407407407","11.32897603","16.66666667","25.49019608","9.259259259","14.16122004","25.92592593","39.65141612"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00013","","","","26","24","3","6","5","3","1","24","22","7","70","2","6","13","5","5","5","1","3","8","2","8","21","77","0.285714286","0.085714286","0.103896104","3.208333333","2.961538462","0.291666667","0.269230769","0.333333333","0.307692308","0.541666667","0.5","9.090909091","38.0952381","92.30769231","2.849002849","3.086419753","11.3960114","12.34567901","18.51851852","20.0617284","29.91452991","32.40740741"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00014","","","","26","17","4","8","5","1","4","17","10","7","14","2.5","3.2","8","6","6","5","1","4","9","4","5.7","13.7","21","0.357142857","0.228571429","0.271428571","1.235294118","0.807692308","0.411764706","0.269230769","0.335294118","0.219230769","0.470588235","0.307692308","33.33333333","41.60583942","65.38461538","3.561253561","5.446623094","8.11965812","12.41830065","11.3960114","17.4291939","19.51566952","29.84749455"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00015","","","","26","19","1","3","7","1","1","19","19","14","46","3.2","10","22","5","4","4","1","1","8","2","13.2","35.2","60","0.228571429","0.217391304","0.22","3.157894737","2.307692308","0.736842105","0.538461538","0.694736842","0.507692308","1.157894737","0.846153846","23.33333333","37.5","73.07692308","4.558404558","6.237816764","18.8034188","25.73099415","31.33903134","42.88499025","50.14245014","68.61598441"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00016","","","","26","17","6","9","3","1","2","17","15","5","18","1","3","5","3","4","4","1","1","7","2","4","9","23","0.2","0.166666667","0.173913043","1.352941176","0.884615385","0.294117647","0.192307692","0.235294118","0.153846154","0.294117647","0.192307692","21.73913043","44.44444444","65.38461538","1.424501425","2.178649237","5.698005698","8.71459695","7.122507123","10.89324619","12.82051282","19.60784314"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00017","","","","26","15","3","5","5","1","1","15","11","2","18","2.1","3.5","12","7","8","6","3","3","8","2","5.6","17.6","20","1.05","0.194444444","0.28","1.333333333","0.769230769","0.133333333","0.076923077","0.373333333","0.215384615","0.8","0.461538462","10","31.81818182","57.69230769","2.991452991","5.185185185","7.977207977","13.82716049","17.09401709","29.62962963","25.07122507","43.45679012"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00018","","","","26","16","1","8","6","1","2","16","16","12","51","3.5","7","18","3","3","4","1","3","8","2","10.5","28.5","63","0.291666667","0.137254902","0.166666667","3.9375","2.423076923","0.75","0.461538462","0.65625","0.403846154","1.125","0.692307692","19.04761905","36.84210526","61.53846154","4.985754986","8.101851852","14.95726496","24.30555556","25.64102564","41.66666667","40.5982906","65.97222222"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00019","","","","26","18","4","7","6","1","1","18","18","7","30","1.5","4.5","11","3","3","5","3","2","8","2","6","17","37","0.214285714","0.15","0.162162162","2.055555556","1.423076923","0.388888889","0.269230769","0.333333333","0.230769231","0.611111111","0.423076923","18.91891892","35.29411765","69.23076923","2.136752137","3.086419753","8.547008547","12.34567901","15.66951567","22.63374486","24.21652422","34.97942387"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00020","","","","26","19","2","6","5","1","1","19","19","6","92","1.4","10","10","3","4","6","3","2","8","2","11.4","21.4","98","0.233333333","0.108695652","0.116326531","5.157894737","3.769230769","0.315789474","0.230769231","0.6","0.438461538","0.526315789","0.384615385","6.12244898","53.27102804","73.07692308","1.994301994","2.729044834","16.23931624","22.22222222","14.24501425","19.49317739","30.48433048","41.71539961"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00021","","","","26","23","1","2","5","1","1","23","13","6","110","1.5","3.5","11","4","5","6","1","2","8","2","5","16","116","0.25","0.031818182","0.043103448","5.043478261","4.461538462","0.260869565","0.230769231","0.217391304","0.192307692","0.47826087","0.423076923","5.172413793","31.25","88.46153846","2.136752137","2.415458937","7.122507123","8.051529791","15.66951567","17.71336554","22.79202279","25.76489533"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00022","","","","26","15","1","4","6","1","1","15","15","42","74","12","7","16","3","4","4","1","1","8","2","19","35","116","0.285714286","0.094594595","0.163793103","7.733333333","4.461538462","2.8","1.615384615","1.266666667","0.730769231","1.066666667","0.615384615","36.20689655","54.28571429","57.69230769","17.09401709","29.62962963","27.06552707","46.91358025","22.79202279","39.50617284","49.85754986","86.41975309"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00023","","","","26","19","3","2","7","3","1","19","19","11","24","0.5","4.5","17","6","7","5","3","1","8","2","5","22","35","0.045454545","0.1875","0.142857143","1.842105263","1.346153846","0.578947368","0.423076923","0.263157895","0.192307692","0.894736842","0.653846154","31.42857143","22.72727273","73.07692308","0.712250712","0.974658869","7.122507123","9.746588694","24.21652422","33.13840156","31.33903134","42.88499025"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00024","","","","26","15","2","3","3","1","2","15","13","19","33","4","10","3.2","5","6","3","1","3","8","2","14","17.2","52","0.210526316","0.303030303","0.269230769","3.466666667","2","1.266666667","0.730769231","0.933333333","0.538461538","0.213333333","0.123076923","36.53846154","81.39534884","57.69230769","5.698005698","9.87654321","19.94301994","34.56790123","4.558404558","7.901234568","24.5014245","42.4691358"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00025","","","","26","20","3","6","3","3","1","20","20","18","72","2","9","3","5","6","3","1","1","8","2","11","14","90","0.111111111","0.125","0.122222222","4.5","3.461538462","0.9","0.692307692","0.55","0.423076923","0.15","0.115384615","20","78.57142857","76.92307692","2.849002849","3.703703704","15.66951567","20.37037037","4.273504274","5.555555556","19.94301994","25.92592593"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00026","","","","26","21","1","1","5","1","1","21","21","29","100","3","9","8","5","5","3","1","1","8","2","12","20","129","0.103448276","0.09","0.093023256","6.142857143","4.961538462","1.380952381","1.115384615","0.571428571","0.461538462","0.380952381","0.307692308","22.48062016","60","80.76923077","4.273504274","5.291005291","17.09401709","21.16402116","11.3960114","14.10934744","28.49002849","35.27336861"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00027","","","","26","18","3","5","5","1","1","18","13","8","22","1.5","2","10","6","5","4","1","2","8","2","3.5","13.5","30","0.1875","0.090909091","0.116666667","1.666666667","1.153846154","0.444444444","0.307692308","0.194444444","0.134615385","0.555555556","0.384615385","26.66666667","25.92592593","69.23076923","2.136752137","3.086419753","4.985754986","7.201646091","14.24501425","20.57613169","19.23076923","27.77777778"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00028","","","","26","21","5","8","3","1","1","21","18","16","86","2","5","2.4","6","6","4","5","2","8","2","7","9.4","102","0.125","0.058139535","0.068627451","4.857142857","3.923076923","0.761904762","0.615384615","0.333333333","0.269230769","0.114285714","0.092307692","15.68627451","74.46808511","80.76923077","2.849002849","3.527336861","9.971509972","12.34567901","3.418803419","4.232804233","13.39031339","16.57848325"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00029","","","","26","19","1","1","7","1","1","19","19","9","31","1.8","5.5","15","5","5","4","1","1","8","2","7.3","22.3","40","0.2","0.177419355","0.1825","2.105263158","1.538461538","0.473684211","0.346153846","0.384210526","0.280769231","0.789473684","0.576923077","22.5","32.73542601","73.07692308","2.564102564","3.50877193","10.3988604","14.23001949","21.36752137","29.23976608","31.76638177","43.46978558"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00030","","","","26","17","3","4","5","1","1","17","17","23","140","3.8","23","9.8","5","5","5","3","1","8","2","26.8","36.6","163","0.165217391","0.164285714","0.164417178","9.588235294","6.269230769","1.352941176","0.884615385","1.576470588","1.030769231","0.576470588","0.376923077","14.11042945","73.22404372","65.38461538","5.413105413","8.278867102","38.17663818","58.38779956","13.96011396","21.35076253","52.13675214","79.73856209"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00031","","","","26","24","3","5","5","1","1","24","20","6","100","0.8","6.5","7","5","6","6","3","2","8","3","7.3","14.3","106","0.133333333","0.065","0.068867925","4.416666667","4.076923077","0.25","0.230769231","0.304166667","0.280769231","0.291666667","0.269230769","5.660377358","51.04895105","92.30769231","1.13960114","1.234567901","10.3988604","11.2654321","9.971509972","10.80246914","20.37037037","22.06790123"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00032","","","","26","17","3","5","3","1","1","17","17","23","91","5","9.7","5","6","6","4","3","1","5","2","14.7","19.7","114","0.217391304","0.106593407","0.128947368","6.705882353","4.384615385","1.352941176","0.884615385","0.864705882","0.565384615","0.294117647","0.192307692","20.1754386","74.61928934","65.38461538","7.122507123","10.89324619","20.94017094","32.02614379","7.122507123","10.89324619","28.06267806","42.91938998"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00033","","","","26","15","4","9","1","1","1","15","15","9","66","1.6","6","1","5","5","6","1","2","8","1","7.6","8.6","75","0.177777778","0.090909091","0.101333333","5","2.884615385","0.6","0.346153846","0.506666667","0.292307692","0.066666667","0.038461538","12","88.37209302","57.69230769","2.279202279","3.950617284","10.82621083","18.7654321","1.424501425","2.469135802","12.25071225","21.2345679"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00034","","","","26","20","1","2","5","1","1","20","20","20","110","2","7","9","7","6","4","3","1","4","2","9","18","130","0.1","0.063636364","0.069230769","6.5","5","1","0.769230769","0.45","0.346153846","0.45","0.346153846","15.38461538","50","76.92307692","2.849002849","3.703703704","12.82051282","16.66666667","12.82051282","16.66666667","25.64102564","33.33333333"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00035","","","","26","23","1","1","4","1","1","23","23","20","120","6.5","15","8","5","5","6","1","1","8","2","21.5","29.5","140","0.325","0.125","0.153571429","6.086956522","5.384615385","0.869565217","0.769230769","0.934782609","0.826923077","0.347826087","0.307692308","14.28571429","72.88135593","88.46153846","9.259259259","10.46698873","30.62678063","34.6215781","11.3960114","12.88244767","42.02279202","47.50402576"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00036","","","","26","21","3","4","4","2","1","21","21","14","49","4","8","6.2","5","6","6","1","3","8","2","12","18.2","63","0.285714286","0.163265306","0.19047619","3","2.423076923","0.666666667","0.538461538","0.571428571","0.461538462","0.295238095","0.238461538","22.22222222","65.93406593","80.76923077","5.698005698","7.054673721","17.09401709","21.16402116","8.831908832","10.93474427","25.92592593","32.09876543"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00037","","","","26","18","6","6","5","2","1","18","18","17","60","1.6","4.8","6","6","6","5","1","3","7","2","6.4","12.4","77","0.094117647","0.08","0.083116883","4.277777778","2.961538462","0.944444444","0.653846154","0.355555556","0.246153846","0.333333333","0.230769231","22.07792208","51.61290323","69.23076923","2.279202279","3.29218107","9.116809117","13.16872428","8.547008547","12.34567901","17.66381766","25.51440329"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00038","","","","26","19","6","9","3","1","1","19","13","6","41","1","2.5","3.8","6","6","4","3","1","8","2","3.5","7.3","47","0.166666667","0.06097561","0.074468085","2.473684211","1.807692308","0.315789474","0.230769231","0.184210526","0.134615385","0.2","0.146153846","12.76595745","47.94520548","73.07692308","1.424501425","1.949317739","4.985754986","6.822612086","5.413105413","7.407407407","10.3988604","14.23001949"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00039","","","","26","12","5","4","7","2","1","12","12","5","49","1.2","1.5","15","7","7","5","3","3","8","2","2.7","17.7","54","0.24","0.030612245","0.05","4.5","2.076923077","0.416666667","0.192307692","0.225","0.103846154","1.25","0.576923077","9.259259259","15.25423729","46.15384615","1.709401709","3.703703704","3.846153846","8.333333333","21.36752137","46.2962963","25.21367521","54.62962963"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00040","","","","26","21","4","5","5","1","1","21","21","11","49","1.2","4.8","1.5","6","7","5","1","1","8","2","6","7.5","60","0.109090909","0.097959184","0.1","2.857142857","2.307692308","0.523809524","0.423076923","0.285714286","0.230769231","0.071428571","0.057692308","18.33333333","80","80.76923077","1.709401709","2.116402116","8.547008547","10.58201058","2.136752137","2.645502646","10.68376068","13.22751323"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00041","","","","26","23","2","8","3","1","1","23","23","9","83","1.8","8","3","6","6","6","1","1","8","2","9.8","12.8","92","0.2","0.096385542","0.106521739","4","3.538461538","0.391304348","0.346153846","0.426086957","0.376923077","0.130434783","0.115384615","9.782608696","76.5625","88.46153846","2.564102564","2.898550725","13.96011396","15.78099839","4.273504274","4.830917874","18.23361823","20.61191626"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00042","","","","26","24","1","1","7","1","1","24","24","59","70","14","9.7","20","6","6","4","1","2","5","2","23.7","43.7","129","0.237288136","0.138571429","0.18372093","5.375","4.961538462","2.458333333","2.269230769","0.9875","0.911538462","0.833333333","0.769230769","45.73643411","54.23340961","92.30769231","19.94301994","21.60493827","33.76068376","36.57407407","28.49002849","30.86419753","62.25071225","67.4382716"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00043","","","","26","18","1","2","6","1","1","18","16","28","99","2","7","12","5","7","5","3","1","7","2","9","21","127","0.071428571","0.070707071","0.070866142","7.055555556","4.884615385","1.555555556","1.076923077","0.5","0.346153846","0.666666667","0.461538462","22.04724409","42.85714286","69.23076923","2.849002849","4.115226337","12.82051282","18.51851852","17.09401709","24.69135802","29.91452991","43.20987654"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00044","","","","26","17","4","6","5","1","1","17","12","0","33","0","4","10","6","7","6","1","1","7","2","4","14","33","","0.121212121","0.121212121","1.941176471","1.269230769","0","0","0.235294118","0.153846154","0.588235294","0.384615385","0","28.57142857","65.38461538","0","0","5.698005698","8.71459695","14.24501425","21.78649237","19.94301994","30.50108932"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00045","","","","26","15","4","5","4","1","1","15","11","12","38","1.8","1.8","5","6","6","4","1","2","9","4","3.6","8.6","50","0.15","0.047368421","0.072","3.333333333","1.923076923","0.8","0.461538462","0.24","0.138461538","0.333333333","0.192307692","24","41.86046512","57.69230769","2.564102564","4.444444444","5.128205128","8.888888889","7.122507123","12.34567901","12.25071225","21.2345679"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00046","","","","26","13","2","4","3","2","1","13","8","12","32","1","2","4.2","6","7","3","1","3","8","2","3","7.2","44","0.083333333","0.0625","0.068181818","3.384615385","1.692307692","0.923076923","0.461538462","0.230769231","0.115384615","0.323076923","0.161538462","27.27272727","41.66666667","50","1.424501425","2.849002849","4.273504274","8.547008547","5.982905983","11.96581197","10.25641026","20.51282051"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00047","","","","26","24","1","6","5","1","1","24","23","26","100","2","6","6.6","5","5","3","1","3","7","2","8","14.6","126","0.076923077","0.06","0.063492063","5.25","4.846153846","1.083333333","1","0.333333333","0.307692308","0.275","0.253846154","20.63492063","54.79452055","92.30769231","2.849002849","3.086419753","11.3960114","12.34567901","9.401709402","10.18518519","20.7977208","22.5308642"
