"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|CO_331:0000198","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00048","","","","26","19","3","2","6","1","1","19","18","11","48","1","4.5","9","6","7","3","1","1","6","2","5.5","14.5","59","0.090909091","0.09375","0.093220339","3.105263158","2.269230769","0.578947368","0.423076923","0.289473684","0.211538462","0.473684211","0.346153846","18.6440678","37.93103448","73.07692308","1.424501425","1.949317739","7.834757835","10.72124756","12.82051282","17.54385965","20.65527066","28.26510721"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00049","","","","26","20","2","2","6","1","1","20","19","20","50","5","5","8","5","5","3","1","3","8","2","10","18","70","0.25","0.1","0.142857143","3.5","2.692307692","1","0.769230769","0.5","0.384615385","0.4","0.307692308","28.57142857","55.55555556","76.92307692","7.122507123","9.259259259","14.24501425","18.51851852","11.3960114","14.81481481","25.64102564","33.33333333"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00050","","","","26","19","4","6","6","1","1","19","19","22","140","7","21.5","9","5","5","3","1","3","7","2","28.5","37.5","162","0.318181818","0.153571429","0.175925926","8.526315789","6.230769231","1.157894737","0.846153846","1.5","1.096153846","0.473684211","0.346153846","13.58024691","76","73.07692308","9.971509972","13.64522417","40.5982906","55.55555556","12.82051282","17.54385965","53.41880342","73.0994152"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00051","","","","26","18","6","3","5","1","1","18","15","4","10","0.5","1","5.8","6","5","3","1","2","7","2","1.5","7.3","14","0.125","0.1","0.107142857","0.777777778","0.538461538","0.222222222","0.153846154","0.083333333","0.057692308","0.322222222","0.223076923","28.57142857","20.54794521","69.23076923","0.712250712","1.028806584","2.136752137","3.086419753","8.262108262","11.93415638","10.3988604","15.02057613"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00052","","","","26","20","1","3","7","1","1","20","20","4","49","0.1","11.5","17","6","7","6","1","3","9","2","11.6","28.6","53","0.025","0.234693878","0.218867925","2.65","2.038461538","0.2","0.153846154","0.58","0.446153846","0.85","0.653846154","7.547169811","40.55944056","76.92307692","0.142450142","0.185185185","16.52421652","21.48148148","24.21652422","31.48148148","40.74074074","52.96296296"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00053","","","","26","17","1","3","7","1","1","17","16","9","58","2","16.4","8","5","5","4","1","3","9","2","18.4","26.4","67","0.222222222","0.282758621","0.274626866","3.941176471","2.576923077","0.529411765","0.346153846","1.082352941","0.707692308","0.470588235","0.307692308","13.43283582","69.6969697","65.38461538","2.849002849","4.357298475","26.21082621","40.08714597","11.3960114","17.4291939","37.60683761","57.51633987"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00054","","","","26","19","4","3","5","1","1","19","18","27","47","5","7","9.6","5","5","5","3","3","7","2","12","21.6","74","0.185185185","0.14893617","0.162162162","3.894736842","2.846153846","1.421052632","1.038461538","0.631578947","0.461538462","0.505263158","0.369230769","36.48648649","55.55555556","73.07692308","7.122507123","9.746588694","17.09401709","23.39181287","13.67521368","18.71345029","30.76923077","42.10526316"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00055","","","","26","23","1","3","7","1","1","23","23","11","80","1.5","18","9.8","6","6","6","3","3","7","2","19.5","29.3","91","0.136363636","0.225","0.214285714","3.956521739","3.5","0.47826087","0.423076923","0.847826087","0.75","0.426086957","0.376923077","12.08791209","66.55290102","88.46153846","2.136752137","2.415458937","27.77777778","31.40096618","13.96011396","15.78099839","41.73789174","47.18196457"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00056","","","","26","20","6","4","4","1","1","20","20","9","100","1","7","6","5","5","4","3","1","8","2","8","14","109","0.111111111","0.07","0.073394495","5.45","4.192307692","0.45","0.346153846","0.4","0.307692308","0.3","0.230769231","8.256880734","57.14285714","76.92307692","1.424501425","1.851851852","11.3960114","14.81481481","8.547008547","11.11111111","19.94301994","25.92592593"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00057","","","","26","18","3","6","4","1","1","18","17","15","39","7","12","5","5","6","4","3","1","5","2","19","24","54","0.466666667","0.307692308","0.351851852","3","2.076923077","0.833333333","0.576923077","1.055555556","0.730769231","0.277777778","0.192307692","27.77777778","79.16666667","69.23076923","9.971509972","14.40329218","27.06552707","39.09465021","7.122507123","10.28806584","34.18803419","49.38271605"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00058","","","","26","21","3","6","7","1","1","21","19","4","19","2.4","4.2","13.5","6","5","3","1","1","8","2","6.6","20.1","23","0.6","0.221052632","0.286956522","1.095238095","0.884615385","0.19047619","0.153846154","0.314285714","0.253846154","0.642857143","0.519230769","17.39130435","32.8358209","80.76923077","3.418803419","4.232804233","9.401709402","11.64021164","19.23076923","23.80952381","28.63247863","35.44973545"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00059","","","","26","16","4","9","1","1","1","16","14","0","39","0","5","1.5","5","5","4","1","1","8","2","5","6.5","39","","0.128205128","0.128205128","2.4375","1.5","0","0","0.3125","0.192307692","0.09375","0.057692308","0","76.92307692","61.53846154","0","0","7.122507123","11.57407407","2.136752137","3.472222222","9.259259259","15.0462963"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00060","","","","26","17","1","6","6","2","1","17","16","26","80","7","11","6.2","7","7","3","3","1","8","2","18","24.2","106","0.269230769","0.1375","0.169811321","6.235294118","4.076923077","1.529411765","1","1.058823529","0.692307692","0.364705882","0.238461538","24.52830189","74.38016529","65.38461538","9.971509972","15.25054466","25.64102564","39.21568627","8.831908832","13.50762527","34.47293447","52.72331155"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00061","","","","26","19","1","1","5","1","1","19","19","11","93","3.2","17","6.5","5","6","5","1","3","7","2","20.2","26.7","104","0.290909091","0.182795699","0.194230769","5.473684211","4","0.578947368","0.423076923","1.063157895","0.776923077","0.342105263","0.25","10.57692308","75.65543071","73.07692308","4.558404558","6.237816764","28.77492877","39.37621832","9.259259259","12.6705653","38.03418803","52.04678363"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00062","","","","26","19","4","6","7","1","1","19","18","9","26","2","5","12","5","5","3","3","3","8","2","7","19","35","0.222222222","0.192307692","0.2","1.842105263","1.346153846","0.473684211","0.346153846","0.368421053","0.269230769","0.631578947","0.461538462","25.71428571","36.84210526","73.07692308","2.849002849","3.898635478","9.971509972","13.64522417","17.09401709","23.39181287","27.06552707","37.03703704"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00063","","","","26","19","4","5","5","2","1","19","19","29","46","3","9.5","11","5","5","4","1","3","8","2","12.5","23.5","75","0.103448276","0.206521739","0.166666667","3.947368421","2.884615385","1.526315789","1.115384615","0.657894737","0.480769231","0.578947368","0.423076923","38.66666667","53.19148936","73.07692308","4.273504274","5.847953216","17.80626781","24.36647173","15.66951567","21.44249513","33.47578348","45.80896686"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00064","","","","26","18","5","5","4","1","1","18","17","3","31","1.2","5.2","7","5","6","3","1","3","8","2","6.4","13.4","34","0.4","0.167741935","0.188235294","1.888888889","1.307692308","0.166666667","0.115384615","0.355555556","0.246153846","0.388888889","0.269230769","8.823529412","47.76119403","69.23076923","1.709401709","2.469135802","9.116809117","13.16872428","9.971509972","14.40329218","19.08831909","27.57201646"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00065","","","","26","19","5","3","7","1","1","19","19","21","120","3","7","9.5","6","5","4","3","1","5","3","10","19.5","141","0.142857143","0.058333333","0.070921986","7.421052632","5.423076923","1.105263158","0.807692308","0.526315789","0.384615385","0.5","0.365384615","14.89361702","51.28205128","73.07692308","4.273504274","5.847953216","14.24501425","19.49317739","13.53276353","18.51851852","27.77777778","38.01169591"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00066","","","","26","14","1","3","6","2","1","14","13","7","49","1.4","7","9","6","5","3","3","1","8","2","8.4","17.4","56","0.2","0.142857143","0.15","4","2.153846154","0.5","0.269230769","0.6","0.323076923","0.642857143","0.346153846","12.5","48.27586207","53.84615385","1.994301994","3.703703704","11.96581197","22.22222222","12.82051282","23.80952381","24.78632479","46.03174603"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00067","","","","26","16","1","2","6","1","1","16","15","2","30","1","3.5","10","6","6","5","1","3","9","1","4.5","14.5","32","0.5","0.116666667","0.140625","2","1.230769231","0.125","0.076923077","0.28125","0.173076923","0.625","0.384615385","6.25","31.03448276","61.53846154","1.424501425","2.314814815","6.41025641","10.41666667","14.24501425","23.14814815","20.65527066","33.56481481"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00068","","","","26","19","6","5","5","1","1","19","11","9","26","1.5","2","4","5","6","3","3","7","7","2","3.5","7.5","35","0.166666667","0.076923077","0.1","1.842105263","1.346153846","0.473684211","0.346153846","0.184210526","0.134615385","0.210526316","0.153846154","25.71428571","46.66666667","73.07692308","2.136752137","2.923976608","4.985754986","6.822612086","5.698005698","7.797270955","10.68376068","14.61988304"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00069","","","","26","20","3","2","7","1","1","20","19","23","43","2.5","2.5","14","6","5","3","1","3","7","2","5","19","66","0.108695652","0.058139535","0.075757576","3.3","2.538461538","1.15","0.884615385","0.25","0.192307692","0.7","0.538461538","34.84848485","26.31578947","76.92307692","3.561253561","4.62962963","7.122507123","9.259259259","19.94301994","25.92592593","27.06552707","35.18518519"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00070","","","","26","22","1","4","5","1","1","22","22","18","67","4","12","8","5","5","4","1","3","7","2","16","24","85","0.222222222","0.179104478","0.188235294","3.863636364","3.269230769","0.818181818","0.692307692","0.727272727","0.615384615","0.363636364","0.307692308","21.17647059","66.66666667","84.61538462","5.698005698","6.734006734","22.79202279","26.93602694","11.3960114","13.46801347","34.18803419","40.4040404"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00071","","","","26","26","1","3","6","1","1","26","26","19","200","3","23","10","5","5","4","1","3","8","2","26","36","219","0.157894737","0.115","0.118721461","8.423076923","8.423076923","0.730769231","0.730769231","1","1","0.384615385","0.384615385","8.675799087","72.22222222","100","4.273504274","4.273504274","37.03703704","37.03703704","14.24501425","14.24501425","51.28205128","51.28205128"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00072","","","","26","24","1","6","4","1","1","24","24","60","120","5.5","17.5","5","5","5","3","2","2","8","2","23","28","180","0.091666667","0.145833333","0.127777778","7.5","6.923076923","2.5","2.307692308","0.958333333","0.884615385","0.208333333","0.192307692","33.33333333","82.14285714","92.30769231","7.834757835","8.487654321","32.76353276","35.49382716","7.122507123","7.716049383","39.88603989","43.20987654"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00073","","","","26","18","3","5","5","3","1","18","18","20","38","4","10","3","6","6","3","1","3","7","3","14","17","58","0.2","0.263157895","0.24137931","3.222222222","2.230769231","1.111111111","0.769230769","0.777777778","0.538461538","0.166666667","0.115384615","34.48275862","82.35294118","69.23076923","5.698005698","8.230452675","19.94301994","28.80658436","4.273504274","6.172839506","24.21652422","34.97942387"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00074","","","","26","18","7","6","4","1","1","18","17","10","32","1.2","4.5","12","6","5","3","1","3","8","2","5.7","17.7","42","0.12","0.140625","0.135714286","2.333333333","1.615384615","0.555555556","0.384615385","0.316666667","0.219230769","0.666666667","0.461538462","23.80952381","32.20338983","69.23076923","1.709401709","2.469135802","8.11965812","11.72839506","17.09401709","24.69135802","25.21367521","36.41975309"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00075","","","","26","22","1","4","5","1","1","22","22","9","118","3","23","11","5","5","5","3","3","8","2","26","37","127","0.333333333","0.194915254","0.204724409","5.772727273","4.884615385","0.409090909","0.346153846","1.181818182","1","0.5","0.423076923","7.086614173","70.27027027","84.61538462","4.273504274","5.050505051","37.03703704","43.77104377","15.66951567","18.51851852","52.70655271","62.28956229"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00076","","","","26","21","3","3","5","1","1","21","20","0","90","0","7","1.2","7","6","5","1","3","8","2","7","8.2","90","","0.077777778","0.077777778","4.285714286","3.461538462","0","0","0.333333333","0.269230769","0.057142857","0.046153846","0","85.36585366","80.76923077","0","0","9.971509972","12.34567901","1.709401709","2.116402116","11.68091168","14.46208113"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00077","","","","26","22","1","2","6","1","1","22","22","7","56","1.5","14","9","5","6","4","1","3","8","2","15.5","24.5","63","0.214285714","0.25","0.246031746","2.863636364","2.423076923","0.318181818","0.269230769","0.704545455","0.596153846","0.409090909","0.346153846","11.11111111","63.26530612","84.61538462","2.136752137","2.525252525","22.07977208","26.09427609","12.82051282","15.15151515","34.9002849","41.24579125"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00078","","","","26","17","1","4","6","1","1","17","16","23","71","3","10","12","6","5","4","3","1","9","2","13","25","94","0.130434783","0.14084507","0.138297872","5.529411765","3.615384615","1.352941176","0.884615385","0.764705882","0.5","0.705882353","0.461538462","24.46808511","52","65.38461538","4.273504274","6.535947712","18.51851852","28.32244009","17.09401709","26.14379085","35.61253561","54.46623094"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00079","","","","26","15","5","7","4","1","1","15","4","2","3","1","1.5","5","7","6","5","3","2","8","2","2.5","7.5","5","0.5","0.5","0.5","0.333333333","0.192307692","0.133333333","0.076923077","0.166666667","0.096153846","0.333333333","0.192307692","40","33.33333333","57.69230769","1.424501425","2.469135802","3.561253561","6.172839506","7.122507123","12.34567901","10.68376068","18.51851852"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00080","","","","26","13","6","8","2","1","1","13","11","4","23","1","3.5","2.8","6","6","3","2","3","7","2","4.5","7.3","27","0.25","0.152173913","0.166666667","2.076923077","1.038461538","0.307692308","0.153846154","0.346153846","0.173076923","0.215384615","0.107692308","14.81481481","61.64383562","50","1.424501425","2.849002849","6.41025641","12.82051282","3.988603989","7.977207977","10.3988604","20.7977208"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00081","","","","26","21","4","5","6","1","1","21","20","18","24","3.2","8","5","6","6","5","3","3","8","2","11.2","16.2","42","0.177777778","0.333333333","0.266666667","2","1.615384615","0.857142857","0.692307692","0.533333333","0.430769231","0.238095238","0.192307692","42.85714286","69.13580247","80.76923077","4.558404558","5.643738977","15.95441595","19.75308642","7.122507123","8.818342152","23.07692308","28.57142857"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00082","","","","26","23","3","6","5","1","1","23","22","0","56","0","8","6","6","5","5","1","3","8","2","8","14","56","","0.142857143","0.142857143","2.434782609","2.153846154","0","0","0.347826087","0.307692308","0.260869565","0.230769231","0","57.14285714","88.46153846","0","0","11.3960114","12.88244767","8.547008547","9.661835749","19.94301994","22.54428341"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00083","","","","26","19","1","4","5","2","1","19","18","10","61","4","11","16","7","6","5","1","3","7","2","15","31","71","0.4","0.180327869","0.211267606","3.736842105","2.730769231","0.526315789","0.384615385","0.789473684","0.576923077","0.842105263","0.615384615","14.08450704","48.38709677","73.07692308","5.698005698","7.797270955","21.36752137","29.23976608","22.79202279","31.18908382","44.15954416","60.4288499"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00084","","","","26","26","1","3","5","1","1","26","26","26","103","3","10","19.5","7","5","3","3","3","3","4","13","32.5","129","0.115384615","0.097087379","0.100775194","4.961538462","4.961538462","1","1","0.5","0.5","0.75","0.75","20.15503876","40","100","4.273504274","4.273504274","18.51851852","18.51851852","27.77777778","27.77777778","46.2962963","46.2962963"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00085","","","","26","18","2","4","5","1","1","18","16","5","39","1.5","7","7","6","7","6","1","3","8","2","8.5","15.5","44","0.3","0.179487179","0.193181818","2.444444444","1.692307692","0.277777778","0.192307692","0.472222222","0.326923077","0.388888889","0.269230769","11.36363636","54.83870968","69.23076923","2.136752137","3.086419753","12.10826211","17.48971193","9.971509972","14.40329218","22.07977208","31.89300412"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00086","","","","26","22","1","2","6","1","1","22","22","23","20","7","10","16","5","6","5","1","3","9","2","17","33","43","0.304347826","0.5","0.395348837","1.954545455","1.653846154","1.045454545","0.884615385","0.772727273","0.653846154","0.727272727","0.615384615","53.48837209","51.51515152","84.61538462","9.971509972","11.78451178","24.21652422","28.61952862","22.79202279","26.93602694","47.00854701","55.55555556"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00087","","","","26","19","1","5","5","1","1","19","18","9","88","2.2","10","15","6","5","4","1","3","8","2","12.2","27.2","97","0.244444444","0.113636364","0.125773196","5.105263158","3.730769231","0.473684211","0.346153846","0.642105263","0.469230769","0.789473684","0.576923077","9.278350515","44.85294118","73.07692308","3.133903134","4.288499025","17.37891738","23.78167641","21.36752137","29.23976608","38.74643875","53.0214425"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00088","","","","26","17","4","8","4","1","1","17","16","8","44","5","7.5","4","5","5","3","1","3","8","2","12.5","16.5","52","0.625","0.170454545","0.240384615","3.058823529","2","0.470588235","0.307692308","0.735294118","0.480769231","0.235294118","0.153846154","15.38461538","75.75757576","65.38461538","7.122507123","10.89324619","17.80626781","27.23311547","5.698005698","8.71459695","23.5042735","35.94771242"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00089","","","","26","13","1","4","6","1","1","13","9","5","28","1","8","12","3","3","2","2","3","8","2","9","21","33","0.2","0.285714286","0.272727273","2.538461538","1.269230769","0.384615385","0.192307692","0.692307692","0.346153846","0.923076923","0.461538462","15.15151515","42.85714286","50","1.424501425","2.849002849","12.82051282","25.64102564","17.09401709","34.18803419","29.91452991","59.82905983"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00090","","","","26","24","3","3","7","1","1","24","24","6","120","2","9","24","4","4","3","2","1","5","2","11","35","126","0.333333333","0.075","0.087301587","5.25","4.846153846","0.25","0.230769231","0.458333333","0.423076923","1","0.923076923","4.761904762","31.42857143","92.30769231","2.849002849","3.086419753","15.66951567","16.97530864","34.18803419","37.03703704","49.85754986","54.01234568"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00091","","","","26","23","4","5","3","1","1","23","23","35","36","4","6","7","1","3","2","1","3","7","2","10","17","71","0.114285714","0.166666667","0.14084507","3.086956522","2.730769231","1.52173913","1.346153846","0.434782609","0.384615385","0.304347826","0.269230769","49.29577465","58.82352941","88.46153846","5.698005698","6.441223833","14.24501425","16.10305958","9.971509972","11.27214171","24.21652422","27.37520129"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00092","","","","26","25","2","4","6","1","1","25","25","35","67","35","8","12","6","6","3","1","3","7","3","43","55","102","1","0.119402985","0.421568627","4.08","3.923076923","1.4","1.346153846","1.72","1.653846154","0.48","0.461538462","34.31372549","78.18181818","96.15384615","49.85754986","51.85185185","61.25356125","63.7037037","17.09401709","17.77777778","78.34757835","81.48148148"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00093","","","","26","23","3","3","7","1","1","23","23","5","40","2","5.5","16","6","7","5","3","2","8","2","7.5","23.5","45","0.4","0.1375","0.166666667","1.956521739","1.730769231","0.217391304","0.192307692","0.326086957","0.288461538","0.695652174","0.615384615","11.11111111","31.91489362","88.46153846","2.849002849","3.220611916","10.68376068","12.07729469","22.79202279","25.76489533","33.47578348","37.84219002"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00094","","","","26","24","1","8","7","1","1","24","24","58","32","5","14","24","1","1","2","1","3","7","1","19","43","90","0.086206897","0.4375","0.211111111","3.75","3.461538462","2.416666667","2.230769231","0.791666667","0.730769231","1","0.923076923","64.44444444","44.18604651","92.30769231","7.122507123","7.716049383","27.06552707","29.32098765","34.18803419","37.03703704","61.25356125","66.35802469"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00095","","","","26","18","3","6","6","1","1","18","18","1","33","0.5","5","9","6","6","2","2","3","8","2","5.5","14.5","34","0.5","0.151515152","0.161764706","1.888888889","1.307692308","0.055555556","0.038461538","0.305555556","0.211538462","0.5","0.346153846","2.941176471","37.93103448","69.23076923","0.712250712","1.028806584","7.834757835","11.31687243","12.82051282","18.51851852","20.65527066","29.83539095"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00096","","","","26","23","3","6","6","1","1","23","23","28","53","4","4","11","5","5","2","2","3","6","4","8","19","81","0.142857143","0.075471698","0.098765432","3.52173913","3.115384615","1.217391304","1.076923077","0.347826087","0.307692308","0.47826087","0.423076923","34.56790123","42.10526316","88.46153846","5.698005698","6.441223833","11.3960114","12.88244767","15.66951567","17.71336554","27.06552707","30.5958132"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00097","","","","26","20","1","4","7","1","1","20","20","15","105","3","16","18","3","3","2","1","1","8","2","19","37","120","0.2","0.152380952","0.158333333","6","4.615384615","0.75","0.576923077","0.95","0.730769231","0.9","0.692307692","12.5","51.35135135","76.92307692","4.273504274","5.555555556","27.06552707","35.18518519","25.64102564","33.33333333","52.70655271","68.51851852"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00098","","","","26","16","7","6","6","1","1","16","5","4","13","0.5","3","5","7","7","2","1","3","7","2","3.5","8.5","17","0.125","0.230769231","0.205882353","1.0625","0.653846154","0.25","0.153846154","0.21875","0.134615385","0.3125","0.192307692","23.52941176","41.17647059","61.53846154","0.712250712","1.157407407","4.985754986","8.101851852","7.122507123","11.57407407","12.10826211","19.67592593"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00099","","","","26","16","4","4","6","1","1","16","16","36","32","10","11","9","5","5","3","2","3","6","5","21","30","68","0.277777778","0.34375","0.308823529","4.25","2.615384615","2.25","1.384615385","1.3125","0.807692308","0.5625","0.346153846","52.94117647","70","61.53846154","14.24501425","23.14814815","29.91452991","48.61111111","12.82051282","20.83333333","42.73504274","69.44444444"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00100","","","","26","17","5","7","3","1","1","17","9","7","13","1","2.2","3","6","6","3","2","3","8","2","3.2","6.2","20","0.142857143","0.169230769","0.16","1.176470588","0.769230769","0.411764706","0.269230769","0.188235294","0.123076923","0.176470588","0.115384615","35","51.61290323","65.38461538","1.424501425","2.178649237","4.558404558","6.97167756","4.273504274","6.535947712","8.831908832","13.50762527"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00101","","","","26","22","1","1","6","1","1","22","22","17","133","4","30","12.5","1","1","2","2","3","8","2","34","46.5","150","0.235294118","0.22556391","0.226666667","6.818181818","5.769230769","0.772727273","0.653846154","1.545454545","1.307692308","0.568181818","0.480769231","11.33333333","73.11827957","84.61538462","5.698005698","6.734006734","48.43304843","57.23905724","17.80626781","21.04377104","66.23931624","78.28282828"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00102","","","","26","22","1","5","5","1","2","22","22","32","52","14","8","5","3","3","2","1","2","8","1","22","27","84","0.4375","0.153846154","0.261904762","3.818181818","3.230769231","1.454545455","1.230769231","1","0.846153846","0.227272727","0.192307692","38.0952381","81.48148148","84.61538462","19.94301994","23.56902357","31.33903134","37.03703704","7.122507123","8.417508418","38.46153846","45.45454545"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00103","","","","26","24","1","3","6","1","1","24","24","34","42","9","8","7","5","6","3","2","2","8","2","17","24","76","0.264705882","0.19047619","0.223684211","3.166666667","2.923076923","1.416666667","1.307692308","0.708333333","0.653846154","0.291666667","0.269230769","44.73684211","70.83333333","92.30769231","12.82051282","13.88888889","24.21652422","26.2345679","9.971509972","10.80246914","34.18803419","37.03703704"
"","","MZP2013UMB-AT02","","","","","","","","","MZP2013UMB-AT02-00104","","","","26","16","4","8","3","1","1","16","16","2","13","1.5","3.5","5","5","6","2","2","1","7","2","5","10","15","0.75","0.269230769","0.333333333","0.9375","0.576923077","0.125","0.076923077","0.3125","0.192307692","0.3125","0.192307692","13.33333333","50","61.53846154","2.136752137","3.472222222","7.122507123","11.57407407","7.122507123","11.57407407","14.24501425","23.14814815"
