"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00003","","","","90","39","31","17","19","2.9","1","18.5","1","3","3.9","22.4","36","0.170588235","0.052631579","0.108333333","0.923076923","0.4","0.435897436","0.188888889","0.1","0.043333333","0.474358974","0.205555556","47.22222222","17.41071429","43.33333333","1.193415638","2.754036087","1.604938272","3.703703704","7.613168724","17.5688509","9.218106996","21.27255461"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00066","","","","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00020","","","","90","15","11","7","10","0.9","0.5","8.3","3","3","1.4","9.7","17","0.128571429","0.05","0.082352941","1.133333333","0.188888889","0.466666667","0.077777778","0.093333333","0.015555556","0.553333333","0.092222222","41.17647059","14.43298969","16.66666667","0.37037037","2.222222222","0.576131687","3.456790123","3.41563786","20.49382716","3.991769547","23.95061728"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00038","","","","90","48","10","5","6","0.6","0.3","22.5","1","7","0.9","23.4","11","0.12","0.05","0.081818182","0.229166667","0.122222222","0.104166667","0.055555556","0.01875","0.01","0.46875","0.25","45.45454545","3.846153846","53.33333333","0.24691358","0.462962963","0.37037037","0.694444444","9.259259259","17.36111111","9.62962963","18.05555556"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00002","","","","90","36","27","34","18","5.4","0.8","18.5","1","3","6.2","24.7","52","0.158823529","0.044444444","0.119230769","1.444444444","0.577777778","0.944444444","0.377777778","0.172222222","0.068888889","0.513888889","0.205555556","65.38461538","25.10121457","40","2.222222222","5.555555556","2.551440329","6.378600823","7.613168724","19.03292181","10.16460905","25.41152263"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00051","","","","90","28","9","8","10","2.4","0.7","26.3","3","3","3.1","29.4","18","0.3","0.07","0.172222222","0.642857143","0.2","0.285714286","0.088888889","0.110714286","0.034444444","0.939285714","0.292222222","44.44444444","10.54421769","31.11111111","0.987654321","3.174603175","1.275720165","4.100529101","10.82304527","34.78835979","12.09876543","38.88888889"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00006","","","","90","22","0","0","0","0","0","11.7","","","0","11.7","0","","","","0","0","0","0","0","0","0.531818182","0.13","","0","24.44444444","0","0","0","0","4.814814815","19.6969697","4.814814815","19.6969697"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00057","","","","90","26","0","0","0","0","0","35.8","","","0","35.8","0","","","","0","0","0","0","0","0","1.376923077","0.397777778","","0","28.88888889","0","0","0","0","14.73251029","50.997151","14.73251029","50.997151"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00031","","","","90","35","23","19","24","2.9","1","56.4","1","3","3.9","60.3","43","0.152631579","0.041666667","0.090697674","1.228571429","0.477777778","0.542857143","0.211111111","0.111428571","0.043333333","1.611428571","0.626666667","44.18604651","6.467661692","38.88888889","1.193415638","3.068783069","1.604938272","4.126984127","23.20987654","59.68253968","24.81481481","63.80952381"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00034","","","","90","22","20","22","9","2.6","0.5","31.9","1","5","3.1","35","31","0.118181818","0.055555556","0.1","1.409090909","0.344444444","1","0.244444444","0.140909091","0.034444444","1.45","0.354444444","70.96774194","8.857142857","24.44444444","1.069958848","4.377104377","1.275720165","5.218855219","13.12757202","53.7037037","14.40329218","58.92255892"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00028","","","","90","38","36","43","49","9.2","3.3","43.4","1","3","12.5","55.9","92","0.213953488","0.067346939","0.135869565","2.421052632","1.022222222","1.131578947","0.477777778","0.328947368","0.138888889","1.142105263","0.482222222","46.73913043","22.36135957","42.22222222","3.78600823","8.966861598","5.144032922","12.18323587","17.8600823","42.30019493","23.00411523","54.4834308"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00048","","","","90","33","29","23","40","5.8","2.7","27.3","1","3","8.5","35.8","63","0.252173913","0.0675","0.134920635","1.909090909","0.7","0.696969697","0.255555556","0.257575758","0.094444444","0.827272727","0.303333333","36.50793651","23.74301676","36.66666667","2.386831276","6.509539843","3.497942387","9.539842873","11.2345679","30.63973064","14.73251029","40.17957351"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00022","","","","90","26","8","3","10","0.3","0.2","6.9","1","9","0.5","7.4","13","0.1","0.02","0.038461538","0.5","0.144444444","0.115384615","0.033333333","0.019230769","0.005555556","0.265384615","0.076666667","23.07692308","6.756756757","28.88888889","0.12345679","0.427350427","0.205761317","0.712250712","2.839506173","9.829059829","3.04526749","10.54131054"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00041","","","","90","23","0","0","0","0","0","1.2","","","0","1.2","0","","","","0","0","0","0","0","0","0.052173913","0.013333333","","0","25.55555556","0","0","0","0","0.49382716","1.93236715","0.49382716","1.93236715"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00016","","","","90","34","8","7","15","0.6","0.5","18.7","1","7","1.1","19.8","22","0.085714286","0.033333333","0.05","0.647058824","0.244444444","0.205882353","0.077777778","0.032352941","0.012222222","0.55","0.207777778","31.81818182","5.555555556","37.77777778","0.24691358","0.653594771","0.452674897","1.198257081","7.695473251","20.37037037","8.148148148","21.56862745"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00046","","","","90","23","3","4","8","0.4","0.2","10.5","1","5","0.6","11.1","12","0.1","0.025","0.05","0.52173913","0.133333333","0.173913043","0.044444444","0.026086957","0.006666667","0.456521739","0.116666667","33.33333333","5.405405405","25.55555556","0.164609053","0.644122383","0.24691358","0.966183575","4.320987654","16.90821256","4.567901235","17.87439614"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00024","","","","90","26","10","14","21","2.1","0.7","19.9","1","3","2.8","22.7","35","0.15","0.033333333","0.08","1.346153846","0.388888889","0.538461538","0.155555556","0.107692308","0.031111111","0.765384615","0.221111111","40","12.33480176","28.88888889","0.864197531","2.991452991","1.152263374","3.988603989","8.189300412","28.34757835","9.341563786","32.33618234"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00045","","","","90","29","9","8","5","1.2","0.3","7.2","1","3","1.5","8.7","13","0.15","0.06","0.115384615","0.448275862","0.144444444","0.275862069","0.088888889","0.051724138","0.016666667","0.248275862","0.08","61.53846154","17.24137931","32.22222222","0.49382716","1.53256705","0.617283951","1.915708812","2.962962963","9.195402299","3.580246914","11.11111111"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00032","","","","90","28","14","31","14","7.8","0.7","9.2","1","5","8.5","17.7","45","0.251612903","0.05","0.188888889","1.607142857","0.5","1.107142857","0.344444444","0.303571429","0.094444444","0.328571429","0.102222222","68.88888889","48.02259887","31.11111111","3.209876543","10.31746032","3.497942387","11.24338624","3.78600823","12.16931217","7.283950617","23.41269841"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00035","","","","90","30","15","15","23","3.6","0.9","21.1","1","3","4.5","25.6","38","0.24","0.039130435","0.118421053","1.266666667","0.422222222","0.5","0.166666667","0.15","0.05","0.703333333","0.234444444","39.47368421","17.578125","33.33333333","1.481481481","4.444444444","1.851851852","5.555555556","8.683127572","26.04938272","10.53497942","31.60493827"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00026","","","","90","30","20","19","15","4.9","1.3","28","1","3","6.2","34.2","34","0.257894737","0.086666667","0.182352941","1.133333333","0.377777778","0.633333333","0.211111111","0.206666667","0.068888889","0.933333333","0.311111111","55.88235294","18.12865497","33.33333333","2.016460905","6.049382716","2.551440329","7.654320988","11.52263374","34.56790123","14.07407407","42.22222222"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00047","","","","90","35","9","13","11","2.2","0.6","19.3","1","3","2.8","22.1","24","0.169230769","0.054545455","0.116666667","0.685714286","0.266666667","0.371428571","0.144444444","0.08","0.031111111","0.551428571","0.214444444","54.16666667","12.66968326","38.88888889","0.905349794","2.328042328","1.152263374","2.962962963","7.942386831","20.42328042","9.094650206","23.38624339"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00033","","","","90","21","20","27","15","7.3","0.7","16.9","1","1","8","24.9","42","0.27037037","0.046666667","0.19047619","2","0.466666667","1.285714286","0.3","0.380952381","0.088888889","0.804761905","0.187777778","64.28571429","32.12851406","23.33333333","3.004115226","12.87477954","3.29218107","14.10934744","6.95473251","29.80599647","10.24691358","43.91534392"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00044","","","","90","30","15","10","15","2","0.7","21.3","1","3","2.7","24","25","0.2","0.046666667","0.108","0.833333333","0.277777778","0.333333333","0.111111111","0.09","0.03","0.71","0.236666667","40","11.25","33.33333333","0.823045267","2.469135802","1.111111111","3.333333333","8.765432099","26.2962963","9.87654321","29.62962963"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00030","","","","90","23","18","13","20","1.7","0.8","29","1","3","2.5","31.5","33","0.130769231","0.04","0.075757576","1.434782609","0.366666667","0.565217391","0.144444444","0.108695652","0.027777778","1.260869565","0.322222222","39.39393939","7.936507937","25.55555556","0.699588477","2.737520129","1.028806584","4.025764895","11.93415638","46.69887279","12.96296296","50.72463768"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00039","","","","90","37","8","4","8","0.3","0.2","17","1","7","0.5","17.5","12","0.075","0.025","0.041666667","0.324324324","0.133333333","0.108108108","0.044444444","0.013513514","0.005555556","0.459459459","0.188888889","33.33333333","2.857142857","41.11111111","0.12345679","0.3003003","0.205761317","0.500500501","6.995884774","17.01701702","7.201646091","17.51751752"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00007","","","","90","46","27","23","11","6.8","1","34.6","1","3","7.8","42.4","34","0.295652174","0.090909091","0.229411765","0.739130435","0.377777778","0.5","0.255555556","0.169565217","0.086666667","0.752173913","0.384444444","67.64705882","18.39622642","51.11111111","2.798353909","5.475040258","3.209876543","6.280193237","14.23868313","27.85829308","17.44855967","34.13848631"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00053","","","","90","33","21","31","12","8","0.9","4.8","5","5","8.9","13.7","43","0.258064516","0.075","0.206976744","1.303030303","0.477777778","0.939393939","0.344444444","0.26969697","0.098888889","0.145454545","0.053333333","72.09302326","64.96350365","36.66666667","3.29218107","8.978675645","3.66255144","9.988776655","1.975308642","5.387205387","5.637860082","15.37598204"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00008","","","","90","63","0","0","0","0","0","13.4","","","0","13.4","0","","","","0","0","0","0","0","0","0.212698413","0.148888889","","0","70","0","0","0","0","5.514403292","7.877718989","5.514403292","7.877718989"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00052","","","","90","28","11","10","4","2","0.4","18.8","1","5","2.4","21.2","14","0.2","0.1","0.171428571","0.5","0.155555556","0.357142857","0.111111111","0.085714286","0.026666667","0.671428571","0.208888889","71.42857143","11.32075472","31.11111111","0.823045267","2.645502646","0.987654321","3.174603175","7.736625514","24.86772487","8.724279835","28.04232804"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00013","","","","90","31","13","18","26","3.2","0.8","18.7","3","3","4","22.7","44","0.177777778","0.030769231","0.090909091","1.419354839","0.488888889","0.580645161","0.2","0.129032258","0.044444444","0.603225806","0.207777778","40.90909091","17.62114537","34.44444444","1.316872428","3.823178017","1.646090535","4.778972521","7.695473251","22.34169654","9.341563786","27.12066906"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00061","","","","90","26","3","5","3","0.6","0.3","3.8","1","5","0.9","4.7","8","0.12","0.1","0.1125","0.307692308","0.088888889","0.192307692","0.055555556","0.034615385","0.01","0.146153846","0.042222222","62.5","19.14893617","28.88888889","0.24691358","0.854700855","0.37037037","1.282051282","1.563786008","5.413105413","1.934156379","6.695156695"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00017","","","","90","40","26","19","17","3.4","0.6","10.1","1","3","4","14.1","36","0.178947368","0.035294118","0.111111111","0.9","0.4","0.475","0.211111111","0.1","0.044444444","0.2525","0.112222222","52.77777778","28.36879433","44.44444444","1.399176955","3.148148148","1.646090535","3.703703704","4.156378601","9.351851852","5.802469136","13.05555556"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00043","","","","90","35","14","15","14","3.4","0.6","8.8","3","5","4","12.8","29","0.226666667","0.042857143","0.137931034","0.828571429","0.322222222","0.428571429","0.166666667","0.114285714","0.044444444","0.251428571","0.097777778","51.72413793","31.25","38.88888889","1.399176955","3.597883598","1.646090535","4.232804233","3.621399177","9.312169312","5.267489712","13.54497354"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00010","","","","90","31","19","31","8","5.3","0.6","19.8","1","3","5.9","25.7","39","0.170967742","0.075","0.151282051","1.258064516","0.433333333","1","0.344444444","0.190322581","0.065555556","0.638709677","0.22","79.48717949","22.95719844","34.44444444","2.181069959","6.33213859","2.427983539","7.048984468","8.148148148","23.65591398","10.57613169","30.70489845"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00060","","","","90","26","8","3","6","0.4","0.2","3.4","1","7","0.6","4","9","0.133333333","0.033333333","0.066666667","0.346153846","0.1","0.115384615","0.033333333","0.023076923","0.006666667","0.130769231","0.037777778","33.33333333","15","28.88888889","0.164609053","0.56980057","0.24691358","0.854700855","1.399176955","4.843304843","1.646090535","5.698005698"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00012","","","","90","16","7","3","7","0.4","0.3","8.2","1","7","0.7","8.9","10","0.133333333","0.042857143","0.07","0.625","0.111111111","0.1875","0.033333333","0.04375","0.007777778","0.5125","0.091111111","30","7.865168539","17.77777778","0.164609053","0.925925926","0.288065844","1.62037037","3.374485597","18.98148148","3.66255144","20.60185185"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00058","","","","90","27","3","3","5","0.3","0.4","21.3","1","7","0.7","22","8","0.1","0.08","0.0875","0.296296296","0.088888889","0.111111111","0.033333333","0.025925926","0.007777778","0.788888889","0.236666667","37.5","3.181818182","30","0.12345679","0.411522634","0.288065844","0.960219479","8.765432099","29.218107","9.053497942","30.17832647"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00009","","","","90","29","1","1","0","0.2","0","19.2","1","5","0.2","19.4","1","0.2","","0.2","0.034482759","0.011111111","0.034482759","0.011111111","0.006896552","0.002222222","0.662068966","0.213333333","100","1.030927835","32.22222222","0.082304527","0.255427842","0.082304527","0.255427842","7.901234568","24.5210728","7.983539095","24.77650064"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00050","","","","90","29","9","12","10","1.5","0.4","12.2","1","5","1.9","14.1","22","0.125","0.04","0.086363636","0.75862069","0.244444444","0.413793103","0.133333333","0.065517241","0.021111111","0.420689655","0.135555556","54.54545455","13.4751773","32.22222222","0.617283951","1.915708812","0.781893004","2.426564496","5.020576132","15.58109834","5.802469136","18.00766284"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00015","","","","90","34","3","2","2","0.2","0.1","20.2","1","9","0.3","20.5","4","0.1","0.05","0.075","0.117647059","0.044444444","0.058823529","0.022222222","0.008823529","0.003333333","0.594117647","0.224444444","50","1.463414634","37.77777778","0.082304527","0.217864924","0.12345679","0.326797386","8.312757202","22.0043573","8.436213992","22.33115468"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00042","","","","90","19","0","0","0","0","0","4.2","","","0","4.2","0","","","","0","0","0","0","0","0","0.221052632","0.046666667","","0","21.11111111","0","0","0","0","1.728395062","8.187134503","1.728395062","8.187134503"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00005","","","","90","31","30","51","42","6.3","1.4","19.5","1","3","7.7","27.2","93","0.123529412","0.033333333","0.082795699","3","1.033333333","1.64516129","0.566666667","0.248387097","0.085555556","0.629032258","0.216666667","54.83870968","28.30882353","34.44444444","2.592592593","7.52688172","3.16872428","9.199522103","8.024691358","23.29749104","11.19341564","32.49701314"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00056","","","","90","37","36","81","60","8.2","2.6","5.4","1","3","10.8","16.2","141","0.101234568","0.043333333","0.076595745","3.810810811","1.566666667","2.189189189","0.9","0.291891892","0.12","0.145945946","0.06","57.44680851","66.66666667","41.11111111","3.374485597","8.208208208","4.444444444","10.81081081","2.222222222","5.405405405","6.666666667","16.21621622"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00011","","","","90","18","2","1","6","0.3","0.2","4.1","1","7","0.5","4.6","7","0.3","0.033333333","0.071428571","0.388888889","0.077777778","0.055555556","0.011111111","0.027777778","0.005555556","0.227777778","0.045555556","14.28571429","10.86956522","20","0.12345679","0.617283951","0.205761317","1.028806584","1.687242798","8.436213992","1.893004115","9.465020576"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00055","","","","90","37","23","14","29","1.8","2.3","14.8","1","3","4.1","18.9","43","0.128571429","0.079310345","0.095348837","1.162162162","0.477777778","0.378378378","0.155555556","0.110810811","0.045555556","0.4","0.164444444","32.55813953","21.69312169","41.11111111","0.740740741","1.801801802","1.687242798","4.104104104","6.090534979","14.81481481","7.777777778","18.91891892"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00004","","","","90","35","23","1","7","1","0.4","22.2","1","5","1.4","23.6","8","1","0.057142857","0.175","0.228571429","0.088888889","0.028571429","0.011111111","0.04","0.015555556","0.634285714","0.246666667","12.5","5.93220339","38.88888889","0.411522634","1.058201058","0.576131687","1.481481481","9.135802469","23.49206349","9.711934156","24.97354497"
"","","MZP2016MAN-ST02","","","","","","","","","MZP2016MAN-ST02-00062","","","","90","34","4","3","5","0.5","0.2","33.6","1","7","0.7","34.3","8","0.166666667","0.04","0.0875","0.235294118","0.088888889","0.088235294","0.033333333","0.020588235","0.007777778","0.988235294","0.373333333","37.5","2.040816327","37.77777778","0.205761317","0.544662309","0.288065844","0.762527233","13.82716049","36.60130719","14.11522634","37.36383442"
