"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012UMB-AT02","","","","","","","","","MZP2012UMB-AT02-00001","","","","26","17","1","1","1","15","15","80","17","15","5.1","17","3","3","3","3","3","3","3","4.7","2.23","1.48","37.18","46.07","5.03","7.93","16.42","0.53","20.1","37.1","97","0.1875","0.3","0.207216495","6.466666667","3.730769231","5.333333333","3.076923077","1.34","0.773076923","1.133333333","0.653846154","82.4742268","54.17789757","57.69230769","21.36752137","37.03703704","28.63247863","49.62962963","24.21652422","41.97530864","52.84900285","91.60493827"
"","","MZP2012UMB-AT02","","","","","","","","","MZP2012UMB-AT02-00002","","","","26","23","6","7","3","11","11","34","36","7","3.1","7","3","3","3","1","1","5","5","4.6","2.1","1.42","33.37","55.54","3","4.7","10.99","0.18","10.1","17.1","70","0.205882353","0.086111111","0.144285714","6.363636364","2.692307692","3.090909091","1.307692308","0.918181818","0.388461538","0.636363636","0.269230769","48.57142857","59.06432749","42.30769231","9.971509972","23.56902357","14.38746439","34.00673401","9.971509972","23.56902357","24.35897436","57.57575758"
"","","MZP2012UMB-AT02","","","","","","","","","MZP2012UMB-AT02-00003","","","","26","25","1","1","3","12","10","25","10","8.7","3.2","18","3","3","3","5","5","1","3","3.79","1.42","1.17","0.4","69.93","1.34","2.98","3.56","0","11.9","29.9","35","0.348","0.32","0.34","2.916666667","1.346153846","2.083333333","0.961538462","0.991666667","0.457692308","1.5","0.692307692","71.42857143","39.7993311","46.15384615","12.39316239","26.85185185","16.95156695","36.72839506","25.64102564","55.55555556","42.59259259","92.28395062"
"","","MZP2012UMB-AT02","","","","","","","","","MZP2012UMB-AT02-00004","","","","26","22","2","4","2","16","15","40","53","9","7","13","3","3","7","5","3","3","3","4.48","2.12","1.44","29.82","53.27","3.34","5.11","11.46","0.32","16","29","93","0.225","0.132075472","0.172043011","5.8125","3.576923077","2.5","1.538461538","1","0.615384615","0.8125","0.5","43.01075269","55.17241379","61.53846154","12.82051282","20.83333333","22.79202279","37.03703704","18.51851852","30.09259259","41.31054131","67.12962963"
"","","MZP2012UMB-AT02","","","","","","","","","MZP2012UMB-AT02-00005","","","","26","20","4","5","4","16","16","36","76","9.2","10","7","3","5","7","3","3","1","1","3.97","1.9","1.22","24.37","55","3.82","5.54","12.63","0.28","19.2","26.2","112","0.255555556","0.131578947","0.171428571","7","4.307692308","2.25","1.384615385","1.2","0.738461538","0.4375","0.269230769","32.14285714","73.28244275","61.53846154","13.10541311","21.2962963","27.35042735","44.44444444","9.971509972","16.2037037","37.32193732","60.64814815"
"","","MZP2012UMB-AT02","","","","","","","","","MZP2012UMB-AT02-00006","","","","26","14","1","4","5","11","11","72","20","15","4.2","7","3","3","7","5","1","3","5","3.94","1.96","1.23","32.16","52.21","3.75","5.8","15.05","0.32","19.2","26.2","92","0.208333333","0.21","0.208695652","8.363636364","3.538461538","6.545454545","2.769230769","1.745454545","0.738461538","0.636363636","0.269230769","78.26086957","73.28244275","42.30769231","21.36752137","50.50505051","27.35042735","64.64646465","9.971509972","23.56902357","37.32193732","88.21548822"
"","","MZP2012UMB-AT02","","","","","","","","","MZP2012UMB-AT02-00007","","","","26","26","8","5","4","13","12","20","24","4.2","2.3","3.2","5","1","3","3","3","1","1","2.59","1.94","1.23","28.05","50.69","8.04","11.16","6.8","0.38","6.5","9.7","44","0.21","0.095833333","0.147727273","3.384615385","1.692307692","1.538461538","0.769230769","0.5","0.25","0.246153846","0.123076923","45.45454545","67.01030928","50","5.982905983","11.96581197","9.259259259","18.51851852","4.558404558","9.116809117","13.81766382","27.63532764"
"","","MZP2012UMB-AT02","","","","","","","","","MZP2012UMB-AT02-00008","","","","26","19","3","3","2","17","16","88","22","8.2","1.9","15","5","3","3","1","1","3","3","2.95","1.52","1.12","13.63","59.64","2.51","3.97","13","0.25","10.1","25.1","110","0.093181818","0.086363636","0.091818182","6.470588235","4.230769231","5.176470588","3.384615385","0.594117647","0.388461538","0.882352941","0.576923077","80","40.23904382","65.38461538","11.68091168","17.86492375","14.38746439","22.0043573","21.36752137","32.67973856","35.75498575","54.68409586"
"","","MZP2012UMB-AT02","","","","","","","","","MZP2012UMB-AT02-00009","","","","26","23","4","5","2","16","16","69","49","10.9","3.4","24","3","1","3","1","3","3","3","3.66","1.84","1.23","26.16","55.21","4.46","6.56","9","0.47","14.3","38.3","118","0.157971014","0.069387755","0.121186441","7.375","4.538461538","4.3125","2.653846154","0.89375","0.55","1.5","0.923076923","58.47457627","37.33681462","61.53846154","15.52706553","25.23148148","20.37037037","33.10185185","34.18803419","55.55555556","54.55840456","88.65740741"
"","","MZP2012UMB-AT02","","","","","","","","","MZP2012UMB-AT02-00010","","","","26","23","3","4","3","16","16","84","91","18.8","6.2","11","3","3","5","1","7","5","1","3.59","1.8","1.22","30.79","50.77","3.66","5.37","18.5","0.26","25","36","175","0.223809524","0.068131868","0.142857143","10.9375","6.730769231","5.25","3.230769231","1.5625","0.961538462","0.6875","0.423076923","48","69.44444444","61.53846154","26.78062678","43.51851852","35.61253561","57.87037037","15.66951567","25.46296296","51.28205128","83.33333333"
