"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013GUR-PT01","","","","","","","","","MZP2013GUR-PT01-00001","","","","26","20","1","3","7","20","20","12","17","3","5.9","10.5","5","1","3","3","7.23","8.9","19.4","29","0.25","0.347058824","0.306896552","1.45","1.115384615","0.6","0.461538462","0.445","0.342307692","0.525","0.403846154","41.37931034","45.87628866","76.92307692","4.273504274","5.555555556","12.67806268","16.48148148","14.95726496","19.44444444","27.63532764","35.92592593"
"","","MZP2013GUR-PT01","","","","","","","","","MZP2013GUR-PT01-00002","","","","26","20","1","3","3","17","17","14","18","3.1","6.8","7.2","6","3","3","3","","9.9","17.1","32","0.221428571","0.377777778","0.309375","1.882352941","1.230769231","0.823529412","0.538461538","0.582352941","0.380769231","0.423529412","0.276923077","43.75","57.89473684","65.38461538","4.415954416","6.753812636","14.1025641","21.56862745","10.25641026","15.68627451","24.35897436","37.25490196"
"","","MZP2013GUR-PT01","","","","","","","","","MZP2013GUR-PT01-00003","","","","26","17","1","5","5","9","9","0","12","0","3","3.5","5","5","5","3","3.03","3","6.5","12","","0.25","0.25","1.333333333","0.461538462","0","0","0.333333333","0.115384615","0.388888889","0.134615385","0","46.15384615","34.61538462","0","0","4.273504274","12.34567901","4.985754986","14.40329218","9.259259259","26.74897119"
"","","MZP2013GUR-PT01","","","","","","","","","MZP2013GUR-PT01-00004","","","","26","16","1","5","3","8","8","9","14","2.3","5.7","5.5","5","5","5","5","7.23","8","13.5","23","0.255555556","0.407142857","0.347826087","2.875","0.884615385","1.125","0.346153846","1","0.307692308","0.6875","0.211538462","39.13043478","59.25925926","30.76923077","3.276353276","10.64814815","11.3960114","37.03703704","7.834757835","25.46296296","19.23076923","62.5"
"","","MZP2013GUR-PT01","","","","","","","","","MZP2013GUR-PT01-00005","","","","26","10","1","5","5","4","4","10","7","2","1","1.5","4","5","5","5","7.23","3","4.5","17","0.2","0.142857143","0.176470588","4.25","0.653846154","2.5","0.384615385","0.75","0.115384615","0.375","0.057692308","58.82352941","66.66666667","15.38461538","2.849002849","18.51851852","4.273504274","27.77777778","2.136752137","13.88888889","6.41025641","41.66666667"
"","","MZP2013GUR-PT01","","","","","","","","","MZP2013GUR-PT01-00006","","","","26","12","1","5","5","11","11","12","15","3.2","5.7","6.5","2","5","5","5","10.5","8.9","15.4","27","0.266666667","0.38","0.32962963","2.454545455","1.038461538","1.090909091","0.461538462","0.809090909","0.342307692","0.590909091","0.25","44.44444444","57.79220779","42.30769231","4.558404558","10.77441077","12.67806268","29.96632997","9.259259259","21.88552189","21.93732194","51.85185185"
"","","MZP2013GUR-PT01","","","","","","","","","MZP2013GUR-PT01-00007","","","","26","21","1","3","5","21","12","14","4","7","1","7.5","6","3","1","1","6.12","8","15.5","18","0.5","0.25","0.444444444","0.857142857","0.692307692","0.666666667","0.538461538","0.380952381","0.307692308","0.357142857","0.288461538","77.77777778","51.61290323","80.76923077","9.971509972","12.34567901","11.3960114","14.10934744","10.68376068","13.22751323","22.07977208","27.33686067"
"","","MZP2013GUR-PT01","","","","","","","","","MZP2013GUR-PT01-00008","","","","26","20","1","3","5","18","18","12","17","4.5","6.5","6.5","6","3","5","5","7.23","11","17.5","29","0.375","0.382352941","0.379310345","1.611111111","1.115384615","0.666666667","0.461538462","0.611111111","0.423076923","0.361111111","0.25","41.37931034","62.85714286","69.23076923","6.41025641","9.259259259","15.66951567","22.63374486","9.259259259","13.3744856","24.92877493","36.00823045"
"","","MZP2013GUR-PT01","","","","","","","","","MZP2013GUR-PT01-00009","","","","26","10","1","3","3","5","5","0","15","0","3","1.6","6","5","5","5","4.41","3","4.6","15","","0.2","0.2","3","0.576923077","0","0","0.6","0.115384615","0.32","0.061538462","0","65.2173913","19.23076923","0","0","4.273504274","22.22222222","2.279202279","11.85185185","6.552706553","34.07407407"
"","","MZP2013GUR-PT01","","","","","","","","","MZP2013GUR-PT01-00010","","","","26","22","1","3","5","22","22","17","25","6.5","8.9","20","2","3","3","3","10.5","15.4","35.4","42","0.382352941","0.356","0.366666667","1.909090909","1.615384615","0.772727273","0.653846154","0.7","0.592307692","0.909090909","0.769230769","40.47619048","43.50282486","84.61538462","9.259259259","10.94276094","21.93732194","25.92592593","28.49002849","33.67003367","50.42735043","59.5959596"
