"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00027","","","","90","55","54","50","48","34","13.6","71.4","1","3","34.79","1.3","56.79","0.69","","47.6","119","98","0.68","0.283333333","0.485714286","1.781818182","1.088888889","0.909090909","0.555555556","0.865454545","0.528888889","1.298181818","0.793333333","51.02040816","40","61.11111111","16.56004","13.99176955","22.8956229","19.58847737","32.05387205","29.38271605","48.08080808","6.814831276","11.15154209","48.97119342","80.13468013"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00061","","","","90","32","32","33","53","13.6","6.4","41.1","1","5","34.69","1.24","66.63","0.76","","20","61.1","86","0.412121212","0.120754717","0.23255814","2.6875","0.955555556","1.03125","0.366666667","0.625","0.222222222","1.284375","0.456666667","38.37209302","32.73322422","35.55555556","6.938","5.596707819","15.74074074","8.230452675","23.14814815","16.91358025","47.56944444","2.855144033","8.030092593","25.14403292","70.71759259"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00003","","","","90","35","0","0","0","0","0","","","","","","","","","0","","0","","","","0","0","0","0","0","0","","","","","38.88888889","","0","0","0","0","","","","","",""
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00037","","","","90","30","10","0","10","0","0.2","33.8","5","7","","","","","1.23","0.2","34","10","","0.02","0.02","0.333333333","0.111111111","0","0","0.006666667","0.002222222","1.126666667","0.375555556","0","0.588235294","33.33333333","","0","0","0.082304527","0.24691358","13.90946502","41.72839506","","","13.99176955","41.97530864"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00024","","","","90","49","47","109","62","35.4","9.8","73","3","3","32.62","1.61","62.17","0.96","6.83","45.2","118.2","171","0.324770642","0.158064516","0.264327485","3.489795918","1.9","2.224489796","1.211111111","0.92244898","0.502222222","1.489795918","0.811111111","63.74269006","38.24027073","54.44444444","14.74424","14.56790123","26.75736961","18.60082305","34.16477702","30.04115226","55.17762661","6.067588477","11.14455026","48.64197531","89.34240363"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00058","","","","90","46","43","46","49","14.5","4.8","44.6","1","3","30.2","1.23","67.85","0.82","3.69","19.3","63.9","95","0.315217391","0.097959184","0.203157895","2.065217391","1.055555556","1","0.511111111","0.419565217","0.214444444","0.969565217","0.495555556","48.42105263","30.20344288","51.11111111","5.8286","5.967078189","11.6747182","7.942386831","15.5394525","18.35390947","35.90982287","2.398600823","4.692914654","26.2962963","51.44927536"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00011","","","","90","25","20","18","18","1.9","0.8","29.1","1","5","33.99","1.37","64.92","0.84","12.32","2.7","31.8","36","0.105555556","0.044444444","0.075","1.44","0.4","0.72","0.2","0.108","0.03","1.164","0.323333333","50","8.490566038","27.77777778","0.91773","0.781893004","2.814814815","1.111111111","4","11.97530864","43.11111111","0.377666667","1.3596","13.08641975","47.11111111"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00065","","","","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00021","","","","90","40","40","79","57","17.4","4.2","45.8","1","3","34.43","1.49","66.68","0.82","12.55","21.6","67.4","136","0.220253165","0.073684211","0.158823529","3.4","1.511111111","1.975","0.877777778","0.54","0.24","1.145","0.508888889","58.08823529","32.04747774","44.44444444","7.43688","7.160493827","16.11111111","8.888888889","20","18.84773663","42.40740741","3.060444444","6.886","27.73662551","62.40740741"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00055","","","","90","24","24","57","106","9.4","4.4","18","1","1","34.66","1.34","68.52","0.87","5.42","13.8","31.8","163","0.164912281","0.041509434","0.084662577","6.791666667","1.811111111","2.375","0.633333333","0.575","0.153333333","0.75","0.2","34.96932515","43.39622642","26.66666667","4.78308","3.868312757","14.50617284","5.679012346","21.2962963","7.407407407","27.77777778","1.968345679","7.381296296","13.08641975","49.07407407"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00023","","","","90","39","36","13","51","5","12.1","48.1","3","5","24.35","1.52","50.72","0.76","14.53","17.1","65.2","64","0.384615385","0.237254902","0.2671875","1.641025641","0.711111111","0.333333333","0.144444444","0.438461538","0.19","1.233333333","0.534444444","20.3125","26.22699387","43.33333333","4.16385","2.057613169","4.748338082","7.037037037","16.23931624","19.79423868","45.67901235","1.713518519","3.954273504","26.83127572","61.91832858"
