"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root dry matter content computing percent|CO_331:0000297","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00011","","","","39","29","3","1","8","19","17","14","13","23","1.5","1.5","3","4","4","30.05","5","4","1","4","3","22","36","0.115384615","0.065217391","0.083333333","2.117647059","0.923076923","0.764705882","0.333333333","0.176470588","0.076923077","1.117647059","0.487179487","36.11111111","13.63636364","43.58974359","0.9015","1.424501425","3.267973856","2.849002849","6.535947712","18.04368471","41.39433551","0.856125356","1.964052288","20.89268756","47.93028322"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00012","","","","39","28","1","1","7","20","26","22","26","44","3.6","2","4","4","4","30.86","4","2","3","3","5.6","25.6","70","0.138461538","0.045454545","0.08","2.692307692","1.794871795","1","0.666666667","0.215384615","0.143589744","0.769230769","0.512820513","37.14285714","21.875","66.66666667","1.72816","3.418803419","5.128205128","5.318138651","7.977207977","18.99335233","28.49002849","1.641177588","2.461766382","24.31149098","36.46723647"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00013","","","","39","33","3","5","7","8.7","19","16","18","59","5.5","6","4","4","3","30.16","5","2","2","4","11.5","20.2","77","0.305555556","0.101694915","0.149350649","4.052631579","1.974358974","0.947368421","0.461538462","0.605263158","0.294871795","0.457894737","0.223076923","23.37662338","56.93069307","48.71794872","3.4684","5.22317189","10.72124756","10.92117759","22.417154","8.262108262","16.95906433","3.29382716","6.761013645","19.18328585","39.37621832"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00014","","","","39","36","3","4","8","11","25","22","49","73","8.5","6.7","4","4","3","30.31","4","4","3","2","15.2","26.2","122","0.173469388","0.091780822","0.124590164","4.88","3.128205128","1.96","1.256410256","0.608","0.38974359","0.44","0.282051282","40.16393443","58.01526718","64.1025641","4.60712","8.072174739","12.59259259","14.43494777","22.51851852","10.44634378","16.2962963","4.375232669","6.825362963","24.88129155","38.81481481"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00015","","","","39","30","1","1","9","17","17","15","7","21","1","2","4","3","4","30.57","5","3","3","2","3","20","28","0.142857143","0.095238095","0.107142857","1.647058824","0.717948718","0.411764706","0.179487179","0.176470588","0.076923077","1","0.435897436","25","15","43.58974359","0.9171","0.949667616","2.178649237","2.849002849","6.535947712","16.14434948","37.03703704","0.870940171","1.998039216","18.99335233","43.57298475"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00016","","","","39","16","1","1","6","8","13","10","8","12","0.9","0.5","3","4","4","30.71","5","4","3","2","1.4","9.4","20","0.1125","0.041666667","0.07","1.538461538","0.512820513","0.615384615","0.205128205","0.107692308","0.035897436","0.615384615","0.205128205","40","14.89361702","33.33333333","0.42994","0.854700855","2.564102564","1.329534663","3.988603989","7.597340931","22.79202279","0.408300095","1.224900285","8.926875594","26.78062678"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00017","","","","39","38","1","1","8","10.2","19","14","11","58","5","1.5","4","4","4","29.64","5","2","3","1","6.5","16.7","69","0.454545455","0.025862069","0.094202899","3.631578947","1.769230769","0.578947368","0.282051282","0.342105263","0.166666667","0.536842105","0.261538462","15.94202899","38.92215569","48.71794872","1.9266","4.748338082","9.746588694","6.172839506","12.6705653","9.686609687","19.88304094","1.82962963","3.755555556","15.85944919","32.55360624"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00018","","","","39","39","1","1","8","22.1","19","16","6","27","1.5","1.5","3","3","5","30.18","","","","","3","25.1","33","0.25","0.055555556","0.090909091","1.736842105","0.846153846","0.315789474","0.153846154","0.157894737","0.076923077","1.163157895","0.566666667","18.18181818","11.95219124","48.71794872","0.9054","1.424501425","2.923976608","2.849002849","5.847953216","20.98765432","43.07992203","0.85982906","1.764912281","23.83665717","48.92787524"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00019","","","","39","39","1","1","8","11","21","16","27","17","3.5","0.5","3","4","5","30.11","5","2","3","4","4","15","44","0.12962963","0.029411765","0.090909091","2.095238095","1.128205128","1.285714286","0.692307692","0.19047619","0.102564103","0.523809524","0.282051282","61.36363636","26.66666667","53.84615385","1.2044","3.323836657","6.172839506","3.798670465","7.054673721","10.44634378","19.40035273","1.143779677","2.124162257","14.24501425","26.45502646"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00020","","","","39","25","1","1","8","4","16","11","19","18","1.5","0.4","3","4","4","30.13","5","3","3","2","1.9","5.9","37","0.078947368","0.022222222","0.051351351","2.3125","0.948717949","1.1875","0.487179487","0.11875","0.048717949","0.25","0.102564103","51.35135135","32.20338983","41.02564103","0.57247","1.424501425","3.472222222","1.804368471","4.398148148","3.798670465","9.259259259","0.54365622","1.325162037","5.603038936","13.65740741"
