"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root dry matter content computing percent|CO_331:0000297","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00042","","","","39","35","1","1","9","6.5","16","14","19","11","2.2","0.5","4","4","4","30.64","5","4","3","2","2.7","9.2","30","0.115789474","0.045454545","0.09","1.875","0.769230769","1.1875","0.487179487","0.16875","0.069230769","0.40625","0.166666667","63.33333333","29.34782609","41.02564103","0.82728","2.089268756","5.092592593","2.564102564","6.25","6.172839506","15.0462963","0.785641026","1.915","8.73694207","21.2962963"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00043","","","","39","39","1","1","9","6.5","20","18","38","90","5.4","2","3","4","4","30.1","5","2","4","4","7.4","13.9","128","0.142105263","0.022222222","0.0578125","6.4","3.282051282","1.9","0.974358974","0.37","0.18974359","0.325","0.166666667","29.6875","53.23741007","51.28205128","2.2274","5.128205128","10","7.027540361","13.7037037","6.172839506","12.03703704","2.115289649","4.124814815","13.20037987","25.74074074"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00044","","","","39","37","1","1","8","12","15","11","15","6","1.3","0.3","3","3","4","30.6","5","2","3","4","1.6","13.6","21","0.086666667","0.05","0.076190476","1.4","0.538461538","1","0.384615385","0.106666667","0.041025641","0.8","0.307692308","71.42857143","11.76470588","38.46153846","0.4896","1.234567901","3.209876543","1.519468186","3.950617284","11.3960114","29.62962963","0.464957265","1.208888889","12.91547958","33.58024691"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00045","","","","39","39","1","1","9","10","20","16","4","22","2.5","11","4","3","3","","","","","","13.5","23.5","26","0.625","0.5","0.519230769","1.3","0.666666667","0.2","0.102564103","0.675","0.346153846","0.5","0.256410256","15.38461538","57.44680851","51.28205128","","2.374169041","4.62962963","12.82051282","25","9.496676163","18.51851852","","","22.31718898","43.51851852"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00046","","","","39","34","1","1","7","20","17","8","7","6","2","0.5","3","4","4","30","5","2","3","4","2.5","22.5","13","0.285714286","0.083333333","0.192307692","0.764705882","0.333333333","0.411764706","0.179487179","0.147058824","0.064102564","1.176470588","0.512820513","53.84615385","11.11111111","43.58974359","0.75","1.899335233","4.357298475","2.374169041","5.446623094","18.99335233","43.57298475","0.712250712","1.633986928","21.36752137","49.01960784"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00047","","","","39","38","1","1","8","10","18","15","20","35","4","2.5","4","4","5","30.37","5","2","3","4","6.5","16.5","55","0.2","0.071428571","0.118181818","3.055555556","1.41025641","1.111111111","0.512820513","0.361111111","0.166666667","0.555555556","0.256410256","36.36363636","39.39393939","46.15384615","1.97405","3.798670465","8.230452675","6.172839506","13.3744856","9.496676163","20.57613169","1.874691358","4.061831276","15.66951567","33.95061728"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00048","","","","39","38","1","1","9","15","17","8","9","5","2","0.5","4","4","5","30.67","","","","","2.5","17.5","14","0.222222222","0.1","0.178571429","0.823529412","0.358974359","0.529411765","0.230769231","0.147058824","0.064102564","0.882352941","0.384615385","64.28571429","14.28571429","43.58974359","0.76675","1.899335233","4.357298475","2.374169041","5.446623094","14.24501425","32.67973856","0.728157645","1.670479303","16.61918329","38.12636166"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00049","","","","39","37","2","5","8","8","16","10","22","12","2","0.4","3","3","5","30.15","","","","","2.4","10.4","34","0.090909091","0.033333333","0.070588235","2.125","0.871794872","1.375","0.564102564","0.15","0.061538462","0.5","0.205128205","64.70588235","23.07692308","41.02564103","0.7236","1.899335233","4.62962963","2.279202279","5.555555556","7.597340931","18.51851852","0.687179487","1.675","9.87654321","24.07407407"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00050","","","","39","39","1","1","8","10","20","19","27","24","5.5","2","4","4","5","30.24","5","4","3","3","7.5","17.5","51","0.203703704","0.083333333","0.147058824","2.55","1.307692308","1.35","0.692307692","0.375","0.192307692","0.5","0.256410256","52.94117647","42.85714286","51.28205128","2.268","5.22317189","10.18518519","7.122507123","13.88888889","9.496676163","18.51851852","2.153846154","4.2","16.61918329","32.40740741"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00051","","","","39","35","1","1","8","8.3","20","18","55","65","9","3.9","5","4","3","30.05","5","3","4","3","12.9","21.2","120","0.163636364","0.06","0.1075","6","3.076923077","2.75","1.41025641","0.645","0.330769231","0.415","0.212820513","45.83333333","60.8490566","51.28205128","3.87645","8.547008547","16.66666667","12.25071225","23.88888889","7.882241216","15.37037037","3.681339031","7.178611111","20.13295347","39.25925926"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00052","","","","39","38","1","1","8","12","19","16","19","55","4.3","4","3","4","5","30.51","5","4","2","2","8.3","20.3","74","0.226315789","0.072727273","0.112162162","3.894736842","1.897435897","1","0.487179487","0.436842105","0.212820513","0.631578947","0.307692308","25.67567568","40.88669951","48.71794872","2.53233","4.08357075","8.382066277","7.882241216","16.17933723","11.3960114","23.39181287","2.404871795","4.936315789","19.27825261","39.5711501"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00053","","","","39","38","1","1","9","12","15","11","19","27","4.5","1","4","3","4","30.21","5","2","4","4","5.5","17.5","46","0.236842105","0.037037037","0.119565217","3.066666667","1.179487179","1.266666667","0.487179487","0.366666667","0.141025641","0.8","0.307692308","41.30434783","31.42857143","38.46153846","1.66155","4.273504274","11.11111111","5.22317189","13.58024691","11.3960114","29.62962963","1.577920228","4.102592593","16.61918329","43.20987654"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00054","","","","39","36","1","1","7","8","22","20","19","46","2.5","1.5","3","4","5","","","","","","4","12","65","0.131578947","0.032608696","0.061538462","2.954545455","1.666666667","0.863636364","0.487179487","0.181818182","0.102564103","0.363636364","0.205128205","29.23076923","33.33333333","56.41025641","","2.374169041","4.208754209","3.798670465","6.734006734","7.597340931","13.46801347","","","11.3960114","20.2020202"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00055","","","","39","39","1","1","8","11","15","12","32","26","5","1.1","3","4","4","30.08","5","2","4","4","6.1","17.1","58","0.15625","0.042307692","0.105172414","3.866666667","1.487179487","2.133333333","0.820512821","0.406666667","0.156410256","0.733333333","0.282051282","55.17241379","35.67251462","38.46153846","1.83488","4.748338082","12.34567901","5.79297246","15.0617284","10.44634378","27.16049383","1.742526116","4.530567901","16.23931624","42.22222222"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00056","","","","39","38","1","1","9","20","19","11","27","9","2","0.3","3","4","5","30.17","5","2","3","2","2.3","22.3","36","0.074074074","0.033333333","0.063888889","1.894736842","0.923076923","1.421052632","0.692307692","0.121052632","0.058974359","1.052631579","0.512820513","75","10.31390135","48.71794872","0.69391","1.899335233","3.898635478","2.184235518","4.483430799","18.99335233","38.98635478","0.658983856","1.352651072","21.17758784","43.46978558"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00057","","","","39","38","1","1","9","27","16","13","20","31","4","3","4","4","5","30.51","5","4","3","2","7","34","51","0.2","0.096774194","0.137254902","3.1875","1.307692308","1.25","0.512820513","0.4375","0.179487179","1.6875","0.692307692","39.21568627","20.58823529","41.02564103","2.1357","3.798670465","9.259259259","6.647673314","16.2037037","25.64102564","62.5","2.028205128","4.94375","32.28869896","78.7037037"
