"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682","treatment_late_season_drought"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00011","","","","75","58","1","1","44","42","103","240","18.2","9.8","124","3","5","5","28","152","0.176699029","2.340909091","1.373333333","0.636363636","0.373333333","2.818181818","1.653333333","18.42105263","58.66666667","8.987654321","15.31986532","13.82716049","23.56902357","61.2345679","104.3771044","75.0617284","127.9461279","343","0.040833333","0.081632653","7.795454545","4.573333333","30.02915452","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00012","","","","75","73","1","1","62","59","320","156","55.4","10.4","46","3","1","1","65.8","111.8","0.173125","5.161290323","4.266666667","1.061290323","0.877333333","0.741935484","0.613333333","58.85509839","82.66666667","27.35802469","33.09438471","32.49382716","39.30704898","22.71604938","27.479092","55.20987654","66.78614098","476","0.066666667","0.138235294","7.677419355","6.346666667","67.22689076","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00013","","","","75","62","5","1","43","39","102","136","16.4","7.8","42","3","5","5","24.2","66.2","0.160784314","2.372093023","1.36","0.562790698","0.322666667","0.976744186","0.56","36.55589124","57.33333333","8.098765432","14.12575366","11.95061728","20.84409991","20.74074074","36.17571059","32.69135802","57.01981051","238","0.057352941","0.101680672","5.534883721","3.173333333","42.85714286","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00014","","","","75","66","3","1","48","46","236","80","42.4","4.4","53","3","5","5","46.8","99.8","0.179661017","4.916666667","3.146666667","0.975","0.624","1.104166667","0.706666667","46.89378758","64","20.9382716","32.71604938","23.11111111","36.11111111","26.17283951","40.89506173","49.28395062","77.00617284","316","0.055","0.148101266","6.583333333","4.213333333","74.6835443","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00015","","","","75","60","3","1","44","44","96","163","13.2","9.1","29","1","5","5","22.3","51.3","0.1375","2.181818182","1.28","0.506818182","0.297333333","0.659090909","0.386666667","43.46978558","58.66666667","6.518518519","11.11111111","11.01234568","18.77104377","14.32098765","24.41077441","25.33333333","43.18181818","259","0.055828221","0.086100386","5.886363636","3.453333333","37.06563707","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00016","","","","75","61","1","1","40","40","68","66","22.4","2.8","32","3","3","5","25.2","57.2","0.329411765","1.7","0.906666667","0.63","0.336","0.8","0.426666667","44.05594406","53.33333333","11.0617284","20.74074074","12.44444444","23.33333333","15.80246914","29.62962963","28.24691358","52.96296296","134","0.042424242","0.188059701","3.35","1.786666667","50.74626866","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00017","","","","75","49","5","1","33","28","87","40","13","1.7","38","7","5","5","14.7","52.7","0.149425287","2.636363636","1.16","0.445454545","0.196","1.151515152","0.506666667","27.89373814","44","6.419753086","14.59034792","7.259259259","16.4983165","18.7654321","42.64870932","26.02469136","59.14702581","127","0.0425","0.115748031","3.848484848","1.693333333","68.50393701","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00018","","","","75","48","5","1","35","31","150","89","21.8","4.5","40","5","5","5","26.3","66.3","0.145333333","4.285714286","2","0.751428571","0.350666667","1.142857143","0.533333333","39.66817496","46.66666667","10.7654321","23.06878307","12.98765432","27.83068783","19.75308642","42.32804233","32.74074074","70.15873016","239","0.050561798","0.110041841","6.828571429","3.186666667","62.76150628","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00019","","","","75","57","3","1","42","38","100","200","37.9","17.8","54","5","7","5","55.7","109.7","0.379","2.380952381","1.333333333","1.326190476","0.742666667","1.285714286","0.72","50.77484047","56","18.71604938","33.42151675","27.50617284","49.11816578","26.66666667","47.61904762","54.17283951","96.7372134","300","0.089","0.185666667","7.142857143","4","33.33333333","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00020","","","","75","57","5","1","38","37","71","155","10.9","5.8","31","5","5","5","16.7","47.7","0.153521127","1.868421053","0.946666667","0.439473684","0.222666667","0.815789474","0.413333333","35.01048218","50.66666667","5.382716049","10.62378168","8.24691358","16.27680312","15.30864198","30.21442495","23.55555556","46.49122807","226","0.037419355","0.073893805","5.947368421","3.013333333","31.4159292","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00021","","","","75","68","1","1","52","45","126","200","33.8","6.6","38","5","3","3","40.4","78.4","0.268253968","2.423076923","1.68","0.776923077","0.538666667","0.730769231","0.506666667","51.53061224","69.33333333","16.69135802","24.07407407","19.95061728","28.77492877","18.7654321","27.06552707","38.71604938","55.84045584","326","0.033","0.12392638","6.269230769","4.346666667","38.65030675","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00022","","","","75","55","3","1","48","42","133","57","35","3.8","52","3","3","5","38.8","90.8","0.263157895","2.770833333","1.773333333","0.808333333","0.517333333","1.083333333","0.693333333","42.73127753","64","17.28395062","27.00617284","19.16049383","29.9382716","25.67901235","40.12345679","44.83950617","70.0617284","190","0.066666667","0.204210526","3.958333333","2.533333333","70","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00023","","","","75","55","3","1","43","33","190","128","63","21.8","68","3","3","3","84.8","152.8","0.331578947","4.418604651","2.533333333","1.972093023","1.130666667","1.581395349","0.906666667","55.4973822","57.33333333","31.11111111","54.26356589","41.87654321","73.04048234","33.58024691","58.57019811","75.45679012","131.6106804","318","0.1703125","0.266666667","7.395348837","4.24","59.74842767","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00024","","","","75","54","3","1","39","39","60","127","6.7","4","76","3","7","7","10.7","86.7","0.111666667","1.538461538","0.8","0.274358974","0.142666667","1.948717949","1.013333333","12.34140715","52","3.308641975","6.362773029","5.283950617","10.16144349","37.5308642","72.17473884","42.81481481","82.33618234","187","0.031496063","0.057219251","4.794871795","2.493333333","32.0855615","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00025","","","","75","30","3","1","30","22","55","105","9.6","4.1","43","3","7","7","13.7","56.7","0.174545455","1.833333333","0.733333333","0.456666667","0.182666667","1.433333333","0.573333333","24.1622575","40","4.740740741","11.85185185","6.765432099","16.91358025","21.2345679","53.08641975","28","70","160","0.039047619","0.085625","5.333333333","2.133333333","34.375","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00026","","","","75","50","7","1","41","36","97","115","16.1","4.3","17","5","3","3","20.4","37.4","0.165979381","2.365853659","1.293333333","0.497560976","0.272","0.414634146","0.226666667","54.54545455","54.66666667","7.950617284","14.5438121","10.07407407","18.42818428","8.395061728","15.35682023","18.4691358","33.78500452","212","0.037391304","0.096226415","5.170731707","2.826666667","45.75471698","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00027","","","","75","51","1","1","42","40","90","136","23.1","2.9","66","3","3","5","26","92","0.256666667","2.142857143","1.2","0.619047619","0.346666667","1.571428571","0.88","28.26086957","56","11.40740741","20.37037037","12.83950617","22.92768959","32.59259259","58.2010582","45.43209877","81.1287478","226","0.021323529","0.115044248","5.380952381","3.013333333","39.82300885","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00028","","","","75","66","1","1","50","31","150","53","30","8","53","1","5","5","38","91","0.2","3","2","0.76","0.506666667","1.06","0.706666667","41.75824176","66.66666667","14.81481481","22.22222222","18.7654321","28.14814815","26.17283951","39.25925926","44.9382716","67.40740741","203","0.150943396","0.187192118","4.06","2.706666667","73.89162562","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00029","","","","75","55","5","1","41","40","113","70","31.4","5.1","47","1","3","3","36.5","83.5","0.277876106","2.756097561","1.506666667","0.890243902","0.486666667","1.146341463","0.626666667","43.71257485","54.66666667","15.50617284","28.36495032","18.02469136","32.97199639","23.20987654","42.45709124","41.2345679","75.42908762","183","0.072857143","0.199453552","4.463414634","2.44","61.74863388","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00030","","","","75","42","7","1","32","31","42","40","4.9","1.4","32","1","7","7","6.3","38.3","0.116666667","1.3125","0.56","0.196875","0.084","1","0.426666667","16.44908616","42.66666667","2.419753086","5.671296296","3.111111111","7.291666667","15.80246914","37.03703704","18.91358025","44.3287037","82","0.035","0.076829268","2.5625","1.093333333","51.2195122","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00031","","","","75","45","1","1","29","25","40","45","5.1","1.9","53","1","3","3","7","60","0.1275","1.379310345","0.533333333","0.24137931","0.093333333","1.827586207","0.706666667","11.66666667","38.66666667","2.518518519","6.513409962","3.456790123","8.939974457","26.17283951","67.68837803","29.62962963","76.62835249","85","0.042222222","0.082352941","2.931034483","1.133333333","47.05882353","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00032","","","","75","46","1","1","25","16","23","33","9.5","2.1","55","1","7","7","11.6","66.6","0.413043478","0.92","0.306666667","0.464","0.154666667","2.2","0.733333333","17.41741742","33.33333333","4.691358025","14.07407407","5.728395062","17.18518519","27.16049383","81.48148148","32.88888889","98.66666667","56","0.063636364","0.207142857","2.24","0.746666667","41.07142857","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00033","","","","75","45","5","1","38","35","101","80","20.9","5","12","7","3","5","25.9","37.9","0.206930693","2.657894737","1.346666667","0.681578947","0.345333333","0.315789474","0.16","68.33773087","50.66666667","10.32098765","20.37037037","12.79012346","25.24366472","5.925925926","11.69590643","18.71604938","36.93957115","181","0.0625","0.143093923","4.763157895","2.413333333","55.80110497","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00034","","","","75","43","5","1","31","17","103","129","11","4.7","37","3","5","5","15.7","52.7","0.106796117","3.322580645","1.373333333","0.506451613","0.209333333","1.193548387","0.493333333","29.79127135","41.33333333","5.432098765","13.14217443","7.75308642","18.75746714","18.27160494","44.20549582","26.02469136","62.96296296","232","0.036434109","0.067672414","7.483870968","3.093333333","44.39655172","1"
