"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00001","","","","39","33","2","2","6","18","13","9","10","1.2","1.9","13","6","6","5","50.3","13.4","51.3","1.24","18.38","4.27","6.77","3.1","16.1","19","0.133333333","0.19","0.163157895","1.055555556","0.487179487","0.5","0.230769231","0.172222222","0.079487179","0.722222222","0.333333333","47.36842105","19.25465839","46.15384615","26.64015905","0.82584493","1.13960114","2.469135802","2.943969611","6.378600823","12.34567901","26.74897119","0.784278187","1.699269404","15.28964862","33.12757202"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00002","","","","39","20","4","2","4","12","5","9","","3.2","","7","7","6","3","50.3","13.9","52.55","1.33","16.32","3.76","6.16","","","","0.355555556","","","","","0.75","0.230769231","","","0.583333333","0.179487179","","","30.76923077","27.63419483","","3.038936372","9.87654321","","","6.647673314","21.60493827","","","",""
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00003","","","","39","34","2","3","6","13","7","8","11","1","0.3","12.5","5","6","1","50.2","15.9","59.31","1.19","15.54","2.61","4.92","1.3","13.8","19","0.125","0.027272727","0.068421053","1.461538462","0.487179487","0.615384615","0.205128205","0.1","0.033333333","0.961538462","0.320512821","42.10526316","9.420289855","33.33333333","31.67330677","0.411752988","0.949667616","2.849002849","1.234567901","3.703703704","11.8708452","35.61253561","0.391028479","1.173085436","13.10541311","39.31623932"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00004","","","","39","22","3","2","4","10","7","6","5","1.6","0.2","5","6","6","2","36.6","10.7","56.73","1.26","11.47","4.45","7.27","1.8","6.8","11","0.266666667","0.04","0.163636364","1.1","0.282051282","0.6","0.153846154","0.18","0.046153846","0.5","0.128205128","54.54545455","26.47058824","25.64102564","29.23497268","0.526229508","1.519468186","5.925925926","1.709401709","6.666666667","4.748338082","18.51851852","0.499743123","1.948998179","6.457739791","25.18518519"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00005","","","","39","34","1","4","7","23","20","24","11","2.1","1.5","18.5","5","6","3","","","","","","","","3.6","22.1","35","0.0875","0.136363636","0.102857143","1.52173913","0.897435897","1.043478261","0.615384615","0.156521739","0.092307692","0.804347826","0.474358974","68.57142857","16.28959276","58.97435897","","","1.994301994","3.381642512","3.418803419","5.797101449","17.5688509","29.79066023","","","20.98765432","35.58776167"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00006","","","","39","22","1","2","6","16","10","7","9","1","0.9","3.8","6","6","4","50.5","12.7","48.58","1.69","15.4","3.35","6.06","1.9","5.7","16","0.142857143","0.1","0.11875","1","0.41025641","0.4375","0.179487179","0.11875","0.048717949","0.2375","0.097435897","43.75","33.33333333","41.02564103","25.14851485","0.477821782","0.949667616","2.314814815","1.804368471","4.398148148","3.608736942","8.796296296","0.453771873","1.10606894","5.413105413","13.19444444"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00007","","","","39","32","1","1","7","17","16","7","25","1.9","3","7.5","6","6","5","50.6","17.4","69.41","1.18","4.68","2.09","3.99","4.9","12.4","32","0.271428571","0.12","0.153125","1.882352941","0.820512821","0.411764706","0.179487179","0.288235294","0.125641026","0.441176471","0.192307692","21.875","39.51612903","43.58974359","34.38735178","1.684980237","1.804368471","4.139433551","4.65337132","10.67538126","7.122507123","16.33986928","1.600171165","3.670980909","11.77587844","27.01525054"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00008","","","","39","29","1","1","7","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.58974359","","","","","","","","","","","",""
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00009","","","","39","30","1","2","9","16","16","24","17","8.2","2.2","9.5","7","6","4","50.5","17.9","70.21","1.05","7.57","2.18","3.83","10.4","19.9","41","0.341666667","0.129411765","0.253658537","2.5625","1.051282051","1.5","0.615384615","0.65","0.266666667","0.59375","0.243589744","58.53658537","52.26130653","41.02564103","35.44554455","3.686336634","7.787274454","18.98148148","9.87654321","24.07407407","9.021842355","21.99074074","3.500794524","8.533186652","18.89838557","46.06481481"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00010","","","","39","26","5","3","7","14","4","9","3","1.2","0.1","26","6","6","5","50.2","15","57.53","1.49","15.57","2.32","4.71","1.3","27.3","12","0.133333333","0.033333333","0.108333333","0.857142857","0.307692308","0.642857143","0.230769231","0.092857143","0.033333333","1.857142857","0.666666667","75","4.761904762","35.8974359","29.88047809","0.388446215","1.13960114","3.174603175","1.234567901","3.439153439","24.69135802","68.78306878","0.368894791","1.02763549","25.92592593","72.22222222"
