"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2014UMB-ST01","","","","","","","","","MZP2014UMB-ST01-00001","","","","5","1","1","1","8","1","","","","","","3.2","","","","","","","","","","","","","","","","","","","","","3.2","0.64","","","20","","","","","23.7037037","118.5185185","",""
"","","MZP2014UMB-ST01","","","","","","","","","MZP2014UMB-ST01-00002","","","","5","2","2","2","7","1","1","5","","2.9","","1","5","3","1","7","3","5","5","10.5","","","","0.58","","","","","5","1","","","1","0.2","","","20","21.48148148","107.4074074","","","7.407407407","37.03703704","",""
"","","MZP2014UMB-ST01","","","","","","","","","MZP2014UMB-ST01-00003","","","","5","3","1","1","9","3","","","","","","1","","","","","","","","","","","","","","","","","","","","","0.333333333","0.2","","","60","","","","","7.407407407","12.34567901","",""
"","","MZP2014UMB-ST01","","","","","","","","","MZP2014UMB-ST01-00004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2014UMB-ST01","","","","","","","","","MZP2014UMB-ST01-00005","","","","5","1","1","1","9","1","1","2","0","1.4","0","1.2","5","5","1","7","3","5","3","0.02","1.4","2.6","2","0.7","","0.7","2","0.4","2","0.4","1.4","0.28","1.2","0.24","100","53.84615385","20","10.37037037","51.85185185","10.37037037","51.85185185","8.888888889","44.44444444","19.25925926","96.2962963"
"","","MZP2014UMB-ST01","","","","","","","","","MZP2014UMB-ST01-00006","","","","5","3","1","1","8","3","3","5","0","1.4","0","4.2","5","5","1","7","3","5","5","0.03","1.4","5.6","5","0.28","","0.28","1.666666667","1","1.666666667","1","0.466666667","0.28","1.4","0.84","100","25","60","10.37037037","17.28395062","10.37037037","17.28395062","31.11111111","51.85185185","41.48148148","69.13580247"
"","","MZP2014UMB-ST01","","","","","","","","","MZP2014UMB-ST01-00007","","","","5","1","4","4","4","1","","","","","","1.2","","","","","","","","","","","","","","","","","","","","","1.2","0.24","","","20","","","","","8.888888889","44.44444444","",""
"","","MZP2014UMB-ST01","","","","","","","","","MZP2014UMB-ST01-00008","","","","5","3","1","1","9","3","3","7","5","2","1","1.4","3","3","3","7","5","3","3","7.23","3","4.4","12","0.285714286","0.2","0.25","4","2.4","2.333333333","1.4","1","0.6","0.466666667","0.28","58.33333333","68.18181818","60","14.81481481","24.69135802","22.22222222","37.03703704","10.37037037","17.28395062","32.59259259","54.32098765"
"","","MZP2014UMB-ST01","","","","","","","","","MZP2014UMB-ST01-00009","","","","5","1","1","1","8","1","1","0","4","0","0.6","0.8","5","5","5","5","5","3","3","0.02","0.6","1.4","4","","0.15","0.15","4","0.8","0","0","0.6","0.12","0.8","0.16","0","42.85714286","20","0","0","4.444444444","22.22222222","5.925925926","29.62962963","10.37037037","51.85185185"
"","","MZP2014UMB-ST01","","","","","","","","","MZP2014UMB-ST01-00010","","","","5","2","1","1","9","2","2","0","2","0","2","1.9","3","3","3","5","3","3","5","1.5","2","3.9","2","","1","1","1","0.4","0","0","1","0.4","0.95","0.38","0","51.28205128","40","0","0","14.81481481","37.03703704","14.07407407","35.18518519","28.88888889","72.22222222"
