"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00011","","","","26","21","1","17","7","4","33","0.9","2","4","50.7","7.6","4","3","1","5","3.43","2.25","1.59","366.71","188.38","56.62","29.98","11.73","17.78","19.77","2.9","6.9","37","0.225","0.060606061","0.078378378","2.176470588","1.423076923","0.235294118","0.153846154","0.170588235","0.111538462","0.235294118","0.153846154","10.81081081","42.02898551","65.38461538","14.99013807","0.434714004","1.282051282","1.960784314","4.131054131","6.318082789","5.698005698","8.71459695","0.619250718","0.947089333","9.829059829","15.03267974"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00012","","","","26","21","1","13","10","4","37","1","5","19","36.7","6.3","5","4","5","6","5.27","2.59","1.77","126.53","162.36","58.33","38.04","5.67","9.19","22.63","6","25","41","0.25","0.135135135","0.146341463","3.153846154","1.576923077","0.307692308","0.153846154","0.461538462","0.230769231","1.461538462","0.730769231","9.756097561","24","50","17.16621253","1.029972752","1.424501425","2.849002849","8.547008547","17.09401709","27.06552707","54.13105413","1.467197652","2.934395305","35.61253561","71.22507123"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00013","","","","26","20","1","18","18","34","64","9.5","10.2","14","50","11.1","7","5","5","6","4.16","2.03","1.43","84.43","127.14","41.87","46.17","5.7","9.16","16.81","19.7","33.7","98","0.279411765","0.159375","0.201020408","5.444444444","3.769230769","1.888888889","1.307692308","1.094444444","0.757692308","0.777777778","0.538461538","34.69387755","58.45697329","69.23076923","22.2","4.3734","13.53276353","19.5473251","28.06267806","40.53497942","19.94301994","28.80658436","6.22991453","8.998765432","48.00569801","69.34156379"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00014","","","","26","22","2","12","3","3","10","0.2","0.3","3.5","","","5","2","1","2","","","","","","","","","","","0.5","4","13","0.066666667","0.03","0.038461538","1.083333333","0.5","0.25","0.115384615","0.041666667","0.019230769","0.291666667","0.134615385","23.07692308","12.5","46.15384615","","","0.284900285","0.617283951","0.712250712","1.543209877","4.985754986","10.80246914","","","5.698005698","12.34567901"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00015","","","","26","21","1","10","8","3","28","0.9","2","13","50.4","15.8","8","4","2","4","5.5","1.7","1.52","112.58","83.04","4.8","65.69","2.07","3.91","4.4","2.9","15.9","31","0.3","0.071428571","0.093548387","3.1","1.192307692","0.3","0.115384615","0.29","0.111538462","1.3","0.5","9.677419355","18.23899371","38.46153846","31.34920635","0.909126984","1.282051282","3.333333333","4.131054131","10.74074074","18.51851852","48.14814815","1.295052684","3.367136978","22.64957265","58.88888889"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00016","","","","26","23","1","10","7","12","29","1.2","0.8","4","","","6","3","1","2","","","","","","","","","","","2","6","41","0.1","0.027586207","0.048780488","4.1","1.576923077","1.2","0.461538462","0.2","0.076923077","0.4","0.153846154","29.26829268","33.33333333","38.46153846","","","1.709401709","4.444444444","2.849002849","7.407407407","5.698005698","14.81481481","","","8.547008547","22.22222222"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00017","","","","26","25","1","13","13","3","23","0.4","4.5","12","50.6","9.3","7","6","3","6","3.19","1.58","1.15","86.36","87.2","38.3","42.18","10.2","14.96","15.33","4.9","16.9","26","0.133333333","0.195652174","0.188461538","2","1","0.230769231","0.115384615","0.376923077","0.188461538","0.923076923","0.461538462","11.53846154","28.99408284","50","18.37944664","0.900592885","0.56980057","1.13960114","6.98005698","13.96011396","17.09401709","34.18803419","1.282895848","2.565791696","24.07407407","48.14814815"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00018","","","","26","21","1","13","13","20","56","10","8.5","5","50.3","12.3","7","6","4","7","3.87","2.05","1.76","197.49","127.69","36.07","53.89","3.4","6.47","14.9","18.5","23.5","76","0.5","0.151785714","0.243421053","5.846153846","2.923076923","1.538461538","0.769230769","1.423076923","0.711538462","0.384615385","0.192307692","26.31578947","78.72340426","50","24.45328032","4.523856859","14.24501425","28.49002849","26.35327635","52.70655271","7.122507123","14.24501425","6.44424054","12.88848108","33.47578348","66.95156695"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00019","","","","26","22","2","20","20","59","82","5.2","4.2","13","50.2","9.9","6","6","2","2","3.98","1.87","1.53","91.06","131.96","59.01","35.48","6.94","11.19","27.03","9.4","22.4","141","0.088135593","0.051219512","0.066666667","7.05","5.423076923","2.95","2.269230769","0.47","0.361538462","0.65","0.5","41.84397163","41.96428571","76.92307692","19.72111554","1.853784861","7.407407407","9.62962963","13.39031339","17.40740741","18.51851852","24.07407407","2.640719175","3.432934927","31.90883191","41.48148148"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00020","","","","26","22","1","17","11","14","41","2.8","2.2","4","49.9","13.1","6","4","2","3","5.56","2.08","1.66","166.07","125.8","31.08","55.5","2.92","5.21","12.96","5","9","55","0.2","0.053658537","0.090909091","3.235294118","2.115384615","0.823529412","0.538461538","0.294117647","0.192307692","0.235294118","0.153846154","25.45454545","55.55555556","65.38461538","26.25250501","1.312625251","3.988603989","6.100217865","7.122507123","10.89324619","5.698005698","8.71459695","1.869836539","2.859750001","12.82051282","19.60784314"
