"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00034","","","","26","24","1","15","15","95","135","16.2","12","6","46.1","12.6","6","5","3","5","4.93","1.82","1.63","47.49","83.56","27.34","55.43","3.56","6.2","13.01","28.2","34.2","230","0.170526316","0.088888889","0.122608696","15.33333333","8.846153846","6.333333333","3.653846154","1.88","1.084615385","0.4","0.230769231","41.30434783","82.45614035","57.69230769","27.3318872","7.707592191","23.07692308","40","40.17094017","69.62962963","8.547008547","14.81481481","10.97947606","19.03109183","48.71794872","84.44444444"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00035","","","","26","22","1","17","17","12","70","1.2","6","6.8","34.1","8.8","5","4","3","4","3.7","1.64","1.54","140.5","106.13","19.43","61.19","4.31","7.07","6.2","7.2","14","82","0.1","0.085714286","0.087804878","4.823529412","3.153846154","0.705882353","0.461538462","0.423529412","0.276923077","0.4","0.261538462","14.63414634","51.42857143","65.38461538","25.80645161","1.858064516","1.709401709","2.614379085","10.25641026","15.68627451","9.686609687","14.81481481","2.64681555","4.048070841","19.94301994","30.50108932"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00036","","","","26","21","1","15","15","3","63","1.3","23.5","12","50.6","9.7","5","3","3","6","5.96","2.61","2.11","110.01","143.76","38.13","47.56","4.04","7.33","17.69","24.8","36.8","66","0.433333333","0.373015873","0.375757576","4.4","2.538461538","0.2","0.115384615","1.653333333","0.953846154","0.8","0.461538462","4.545454545","67.39130435","57.69230769","19.16996047","4.754150198","1.851851852","3.209876543","35.32763533","61.2345679","17.09401709","29.62962963","6.772293729","11.73864246","52.42165242","90.86419753"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00037","","","","26","22","1","18","18","9","21","2.2","4.2","13","27.2","5.8","5","5","4","6","4.38","2.05","1.6","210.53","150.95","50.06","44.95","4.73","8.09","21.72","6.4","19.4","30","0.244444444","0.2","0.213333333","1.666666667","1.153846154","0.5","0.346153846","0.355555556","0.246153846","0.722222222","0.5","30","32.98969072","69.23076923","21.32352941","1.364705882","3.133903134","4.526748971","9.116809117","13.16872428","18.51851852","26.74897119","1.944025473","2.808036795","27.63532764","39.91769547"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00038","","","","26","26","1","25","18","17","66","1.1","2.3","8.5","23.5","5","4","4","3","4","4.8","2.17","1.57","164.64","153.23","30.85","46.89","3.76","6.89","22.24","3.4","11.9","83","0.064705882","0.034848485","0.040963855","3.32","3.192307692","0.68","0.653846154","0.136","0.130769231","0.34","0.326923077","20.48192771","28.57142857","96.15384615","21.27659574","0.723404255","1.566951567","1.62962963","4.843304843","5.037037037","12.10826211","12.59259259","1.030490392","1.071710008","16.95156695","17.62962963"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00039","","","","26","25","1","18","13","24","69","3","5.2","3.8","50.1","16.7","4","4","4","5","4.52","1.87","1.55","127.3","87.44","22","65.77","1.95","3.77","3.97","8.2","12","93","0.125","0.075362319","0.088172043","5.166666667","3.576923077","1.333333333","0.923076923","0.455555556","0.315384615","0.211111111","0.146153846","25.80645161","68.33333333","69.23076923","33.33333333","2.733333333","4.273504274","6.172839506","11.68091168","16.87242798","5.413105413","7.818930041","3.893637227","5.624142661","17.09401709","24.69135802"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00040","","","","26","26","1","23","20","20","46","3.2","7.2","9","50.6","14.5","6","5","3","4","4.59","1.8","1.47","72.47","70.45","21.97","63.5","2.21","4","7.21","10.4","19.4","66","0.16","0.156521739","0.157575758","2.869565217","2.538461538","0.869565217","0.769230769","0.452173913","0.4","0.391304348","0.346153846","30.3030303","53.60824742","88.46153846","28.65612648","2.980237154","4.558404558","5.152979066","14.81481481","16.74718196","12.82051282","14.49275362","4.245352071","4.799093646","27.63532764","31.23993559"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00041","","","","26","26","1","20","20","40","80","8","6","7.5","50.5","12.5","6","5","3","5","5.27","2.02","1.7","102.44","112.54","31.02","55.76","2.52","4.89","13.98","14","21.5","120","0.2","0.075","0.116666667","6","4.615384615","2","1.538461538","0.7","0.538461538","0.375","0.288461538","33.33333333","65.11627907","76.92307692","24.75247525","3.465346535","11.3960114","14.81481481","19.94301994","25.92592593","10.68376068","13.88888889","4.936391075","6.417308398","30.62678063","39.81481481"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00042","","","","26","26","1","21","19","23","58","5.2","11","14","21.6","5","6","5","4","5","4.85","2.04","1.67","82","122.21","30.38","50","2.57","4.85","19.81","16.2","30.2","81","0.226086957","0.189655172","0.2","3.857142857","3.115384615","1.095238095","0.884615385","0.771428571","0.623076923","0.666666667","0.538461538","28.39506173","53.64238411","80.76923077","23.14814815","3.75","7.407407407","9.171075838","23.07692308","28.57142857","19.94301994","24.69135802","5.341880342","6.613756614","43.01994302","53.2627866"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00043","","","","26","23","1","18","18","41","72","4","9","16","30.4","10.8","6","5","3","4","3.38","1.83","1.35","52.66","49.2","28.86","49.88","7.78","11.67","8.79","13","29","113","0.097560976","0.125","0.115044248","6.277777778","4.346153846","2.277777778","1.576923077","0.722222222","0.5","0.888888889","0.615384615","36.28318584","44.82758621","69.23076923","35.52631579","4.618421053","5.698005698","8.230452675","18.51851852","26.74897119","22.79202279","32.9218107","6.578947368","9.502923977","41.31054131","59.67078189"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00044","","","","26","21","2","19","19","7","124","1","13","7","35.3","7.8","6","4","3","6","4.47","1.99","1.55","170.02","118.41","31.61","49.18","4.53","7.68","17.99","14","21","131","0.142857143","0.10483871","0.106870229","6.894736842","5.038461538","0.368421053","0.269230769","0.736842105","0.538461538","0.368421053","0.269230769","5.34351145","66.66666667","73.07692308","22.09631728","3.093484419","1.424501425","1.949317739","19.94301994","27.29044834","9.971509972","13.64522417","4.406672962","6.030184053","29.91452991","40.93567251"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00045","","","","26","22","1","21","21","25","72","4","7.2","15.5","42.8","9.1","5","4","3","4","5.18","2.13","1.62","82.03","123.66","52.96","45.64","3.36","6.18","21.91","11.2","26.7","97","0.16","0.1","0.115463918","4.619047619","3.730769231","1.19047619","0.961538462","0.533333333","0.430769231","0.738095238","0.596153846","25.77319588","41.94756554","80.76923077","21.26168224","2.381308411","5.698005698","7.054673721","15.95441595","19.75308642","22.07977208","27.33686067","3.392177224","4.199838468","38.03418803","47.08994709"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00046","","","","26","21","1","16","12","6","38","1","3","11","50.5","8.2","5","4","3","3","4.14","1.89","1.4","60.71","95.2","5.23","34.8","12.87","19.05","15.44","4","15","44","0.166666667","0.078947368","0.090909091","2.75","1.692307692","0.375","0.230769231","0.25","0.153846154","0.6875","0.423076923","13.63636364","26.66666667","61.53846154","16.23762376","0.64950495","1.424501425","2.314814815","5.698005698","9.259259259","15.66951567","25.46296296","0.925220727","1.503483682","21.36752137","34.72222222"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00047","","","","26","23","1","15","15","6","30","3","11.5","9.2","50.6","14.2","7","6","4","5","6.36","1.8","1.45","72.56","90.7","","59.92","4.54","7.24","3.8","14.5","23.7","36","0.5","0.383333333","0.402777778","2.4","1.384615385","0.4","0.230769231","0.966666667","0.557692308","0.613333333","0.353846154","16.66666667","61.1814346","57.69230769","28.06324111","4.06916996","4.273504274","7.407407407","20.65527066","35.80246914","13.10541311","22.71604938","5.796538405","10.04733324","33.76068376","58.51851852"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00048","","","","26","21","1","13","7","22","14","3","3","32","50.4","15.3","7","5","3","4","3.64","1.54","1.25","110.52","84.91","16.84","58.8","4.96","7.99","8.04","6","38","36","0.136363636","0.214285714","0.166666667","2.769230769","1.384615385","1.692307692","0.846153846","0.461538462","0.230769231","2.461538462","1.230769231","61.11111111","15.78947368","50","30.35714286","1.821428571","4.273504274","8.547008547","8.547008547","17.09401709","45.58404558","91.16809117","2.594627595","5.189255189","54.13105413","108.2621083"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00049","","","","26","23","1","20","20","3","58","0.3","7.5","17","50.3","12.3","6","5","4","6","3.81","1.73","1.43","89.72","90.57","34.75","54.42","4.1","6.87","12.88","7.8","24.8","61","0.1","0.129310345","0.127868852","3.05","2.346153846","0.15","0.115384615","0.39","0.3","0.85","0.653846154","4.918032787","31.4516129","76.92307692","24.45328032","1.907355865","0.427350427","0.555555556","11.11111111","14.44444444","24.21652422","31.48148148","2.717031146","3.53214049","35.32763533","45.92592593"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00050","","","","26","20","5","17","17","40","80","10.2","12.5","10","50.2","10.9","7","7","3","4","5.72","2.2","1.65","119.85","112.42","30.44","49.95","3.06","5.54","17.5","22.7","32.7","120","0.255","0.15625","0.189166667","7.058823529","4.615384615","2.352941176","1.538461538","1.335294118","0.873076923","0.588235294","0.384615385","33.33333333","69.41896024","65.38461538","21.71314741","4.928884462","14.52991453","22.22222222","32.33618234","49.45533769","14.24501425","21.78649237","7.021202938","10.73831038","46.58119658","71.24183007"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00051","","","","26","22","2","19","19","3","148","1","23","26","50.1","14.2","6","6","4","7","4.24","2.07","1.73","164.93","106.43","34.87","55.21","3.58","6.09","12.26","24","50","151","0.333333333","0.155405405","0.158940397","7.947368421","5.807692308","0.157894737","0.115384615","1.263157895","0.923076923","1.368421053","1","1.986754967","48","73.07692308","28.34331337","6.80239521","1.424501425","1.949317739","34.18803419","46.78362573","37.03703704","50.68226121","9.690021666","13.26002965","71.22507123","97.46588694"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00052","","","","26","22","1","16","16","21","225","2.2","13","17","50.7","13.5","6","5","3","4","5.46","2.04","1.64","93.83","94.45","23.01","59.08","2.11","4.52","12.13","15.2","32.2","246","0.104761905","0.057777778","0.061788618","15.375","9.461538462","1.3125","0.807692308","0.95","0.584615385","1.0625","0.653846154","8.536585366","47.20496894","61.53846154","26.62721893","4.047337278","3.133903134","5.092592593","21.65242165","35.18518519","24.21652422","39.35185185","5.765437718","9.368836292","45.86894587","74.53703704"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00053","","","","26","18","1","10","10","26","72","8","14","24","50.8","12.8","7","7","2","4","4.05","1.82","1.48","190.6","118.87","37.87","54.65","3.64","6.41","14.32","22","46","98","0.307692308","0.194444444","0.224489796","9.8","3.769230769","2.6","1","2.2","0.846153846","2.4","0.923076923","26.53061224","47.82608696","38.46153846","25.19685039","5.543307087","11.3960114","29.62962963","31.33903134","81.48148148","34.18803419","88.88888889","7.896448841","20.53076699","65.52706553","170.3703704"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00054","","","","26","21","1","15","15","57","0","19","0","34","37.5","9.3","7","5","4","4","3.94","1.77","1.35","129.24","107.25","28.68","56.91","3.42","6.13","15.16","19","53","57","0.333333333","","0.333333333","3.8","2.192307692","3.8","2.192307692","1.266666667","0.730769231","2.266666667","1.307692308","100","35.8490566","57.69230769","24.8","4.712","27.06552707","46.91358025","27.06552707","46.91358025","48.43304843","83.95061728","6.712250712","11.6345679","75.4985755","130.8641975"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00055","","","","26","23","1","17","17","0","59","0","12","18","47.5","16.2","7","4","3","4","5.94","1.83","1.61","54.17","72.73","0.06","64.86","1.45","3.14","4.94","12","30","59","","0.203389831","0.203389831","3.470588235","2.269230769","0","0","0.705882353","0.461538462","1.058823529","0.692307692","0","40","65.38461538","34.10526316","4.092631579","0","0","17.09401709","26.14379085","25.64102564","39.21568627","5.829959514","8.916408669","42.73504274","65.35947712"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00056","","","","26","22","1","17","17","50","28","4","2.4","7","50.8","10.7","4","3","3","3","3.46","1.67","1.31","74.32","93.33","25.62","41.65","6.56","10.29","21.94","6.4","13.4","78","0.08","0.085714286","0.082051282","4.588235294","3","2.941176471","1.923076923","0.376470588","0.246153846","0.411764706","0.269230769","64.1025641","47.76119403","65.38461538","21.06299213","1.348031496","5.698005698","8.71459695","9.116809117","13.94335512","9.971509972","15.25054466","1.920272786","2.936887791","19.08831909","29.19389978"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00057","","","","26","22","1","15","15","4","79","0.8","6","20","50.8","13.8","6","4","3","3","4","1.69","1.44","43.24","77.53","36.89","58.64","3.89","6.47","8.29","6.8","26.8","83","0.2","0.075949367","0.081927711","5.533333333","3.192307692","0.266666667","0.153846154","0.453333333","0.261538462","1.333333333","0.769230769","4.819277108","25.37313433","57.69230769","27.16535433","1.847244094","1.13960114","1.975308642","9.686609687","16.79012346","28.49002849","49.38271605","2.631401844","4.56109653","38.17663818","66.17283951"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00058","","","","26","22","1","15","15","13","56","3","6","6","50.4","14.5","5","5","3","4","5.05","1.77","1.34","30.18","59.97","33.99","62.42","2.5","4.61","7.49","9","15","69","0.230769231","0.107142857","0.130434783","4.6","2.653846154","0.866666667","0.5","0.6","0.346153846","0.4","0.230769231","18.84057971","60","57.69230769","28.76984127","2.589285714","4.273504274","7.407407407","12.82051282","22.22222222","8.547008547","14.81481481","3.688441188","6.39329806","21.36752137","37.03703704"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00059","","","","26","22","5","15","15","20","78","3","12","4","","","5","5","3","5","","","","","","","","","","","15","19","98","0.15","0.153846154","0.153061224","6.533333333","3.769230769","1.333333333","0.769230769","1","0.576923077","0.266666667","0.153846154","20.40816327","78.94736842","57.69230769","","","4.273504274","7.407407407","21.36752137","37.03703704","5.698005698","9.87654321","","","27.06552707","46.91358025"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00060","","","","26","26","1","26","26","13","304","0.4","15","6","50.9","13.5","6","4","3","3","4.85","1.85","1.52","115.12","102.59","34.43","55.56","3.56","6.57","14.15","15.4","21.4","317","0.030769231","0.049342105","0.048580442","12.19230769","12.19230769","0.5","0.5","0.592307692","0.592307692","0.230769231","0.230769231","4.100946372","71.96261682","100","26.52259332","4.084479371","0.56980057","0.56980057","21.93732194","21.93732194","8.547008547","8.547008547","5.818346683","5.818346683","30.48433048","30.48433048"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00061","","","","26","23","1","15","15","4","28","0.4","3.2","3","44.3","14.2","4","4","2","3","3.98","1.57","1.42","80.65","55.14","0.25","66.84","2.77","4.93","3.21","3.6","6.6","32","0.1","0.114285714","0.1125","2.133333333","1.230769231","0.266666667","0.153846154","0.24","0.138461538","0.2","0.115384615","12.5","54.54545455","57.69230769","32.05417607","1.153950339","0.56980057","0.987654321","5.128205128","8.888888889","4.273504274","7.407407407","1.643803901","2.849260095","9.401709402","16.2962963"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00062","","","","26","26","1","24","22","4","50","0.4","3","8.2","50.3","13.1","4","3","2","3","5.72","2.08","1.53","139.73","103.29","16.13","57.74","3","5.64","9.87","3.4","11.6","54","0.1","0.06","0.062962963","2.25","2.076923077","0.166666667","0.153846154","0.141666667","0.130769231","0.341666667","0.315384615","7.407407407","29.31034483","92.30769231","26.04373757","0.885487078","0.56980057","0.617283951","4.843304843","5.24691358","11.68091168","12.65432099","1.261377603","1.366492404","16.52421652","17.90123457"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00063","","","","26","21","1","16","16","6","14","0.8","3.2","17","50.2","9.8","6","6","3","4","6.61","2.38","1.7","95.93","145.29","36.36","39.69","6.29","10.68","20.33","4","21","20","0.133333333","0.228571429","0.2","1.25","0.769230769","0.375","0.230769231","0.25","0.153846154","1.0625","0.653846154","30","19.04761905","61.53846154","19.52191235","0.780876494","1.13960114","1.851851852","5.698005698","9.259259259","24.21652422","39.35185185","1.112359678","1.807584477","29.91452991","48.61111111"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00064","","","","26","20","1","15","15","29","188","3.2","8.8","8","50.3","16.1","6","6","4","4","5.05","1.93","1.49","111.25","74.37","38.21","64.4","2.29","4.43","4.56","12","20","217","0.110344828","0.046808511","0.055299539","14.46666667","8.346153846","1.933333333","1.115384615","0.8","0.461538462","0.533333333","0.307692308","13.3640553","60","57.69230769","32.00795229","3.840954274","4.558404558","7.901234568","17.09401709","29.62962963","11.3960114","19.75308642","5.471444835","9.483837714","28.49002849","49.38271605"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00065","","","","26","26","1","21","21","55","36","8","5","5","37.1","9.3","6","6","2","3","5.54","2.45","1.93","80.92","110.78","41.53","49.05","3.08","5.75","15.38","13","18","91","0.145454545","0.138888889","0.142857143","4.333333333","3.5","2.619047619","2.115384615","0.619047619","0.5","0.238095238","0.192307692","60.43956044","72.22222222","80.76923077","25.06738544","3.258760108","11.3960114","14.10934744","18.51851852","22.92768959","7.122507123","8.818342152","4.642108416","5.747372324","25.64102564","31.74603175"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00066","","","","26","23","1","18","18","19","59","3.8","7","10","50.5","17.8","6","4","3","3","7.2","2.07","1.8","66.05","82.28","80.02","64.34","1.38","3.42","4.57","10.8","20.8","78","0.2","0.118644068","0.138461538","4.333333333","3","1.055555556","0.730769231","0.6","0.415384615","0.555555556","0.384615385","24.35897436","51.92307692","69.23076923","35.24752475","3.806732673","5.413105413","7.818930041","15.38461538","22.22222222","14.24501425","20.57613169","5.422696116","7.832783278","29.62962963","42.79835391"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00067","","","","26","21","1","15","15","14","72","2.2","9","9","50.3","18.6","5","6","3","4","6.57","1.74","1.84","145.05","84.33","67.49","67.71","1","2.88","3.17","11.2","20.2","86","0.157142857","0.125","0.130232558","5.733333333","3.307692308","0.933333333","0.538461538","0.746666667","0.430769231","0.6","0.346153846","16.27906977","55.44554455","57.69230769","36.97813121","4.141550696","3.133903134","5.432098765","15.95441595","27.65432099","12.82051282","22.22222222","5.899644866","10.2260511","28.77492877","49.87654321"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00068","","","","26","20","1","17","15","19","122","1","7.4","9.5","23.4","8.3","5","4","3","5","5.2","1.69","1.61","120.43","65.97","37.7","70.99","1.43","3.43","0.89","8.4","17.9","141","0.052631579","0.060655738","0.059574468","8.294117647","5.423076923","1.117647059","0.730769231","0.494117647","0.323076923","0.558823529","0.365384615","13.4751773","46.9273743","65.38461538","35.47008547","2.979487179","1.424501425","2.178649237","11.96581197","18.30065359","13.53276353","20.69716776","4.244283731","6.491257472","25.4985755","38.99782135"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00069","","","","26","20","1","10","8","4","33","0.8","3","10.5","","","5","4","3","4","","","","","","","","","","","3.8","14.3","37","0.2","0.090909091","0.102702703","3.7","1.423076923","0.4","0.153846154","0.38","0.146153846","1.05","0.403846154","10.81081081","26.57342657","38.46153846","","","1.13960114","2.962962963","5.413105413","14.07407407","14.95726496","38.88888889","","","20.37037037","52.96296296"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00070","","","","26","21","1","14","14","2","66","0.4","4.5","6","50.9","11.8","4","3","4","5","4.31","1.9","1.67","103.89","119.87","55.21","43.91","3.37","6.13","27.11","4.9","10.9","68","0.2","0.068181818","0.072058824","4.857142857","2.615384615","0.142857143","0.076923077","0.35","0.188461538","0.428571429","0.230769231","2.941176471","44.95412844","53.84615385","23.1827112","1.135952849","0.56980057","1.058201058","6.98005698","12.96296296","8.547008547","15.87301587","1.618166451","3.005166266","15.52706553","28.83597884"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00071","","","","26","22","1","18","18","0","38","0","3.8","4","50.5","16.6","5","4","8","8","5.27","1.71","1.59","153.76","93.03","51.14","65.05","1.53","3.72","6.41","3.8","7.8","38","","0.1","0.1","2.111111111","1.461538462","0","0","0.211111111","0.146153846","0.222222222","0.153846154","0","48.71794872","69.23076923","32.87128713","1.249108911","0","0","5.413105413","7.818930041","5.698005698","8.230452675","1.779357423","2.570182944","11.11111111","16.04938272"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00072","","","","26","25","1","23","23","25","210","5.5","15.2","17","50.5","16.5","6","6","4","5","4.69","1.55","1.6","127.32","86.55","23.79","66.43","1.72","3.54","4.85","20.7","37.7","235","0.22","0.072380952","0.088085106","10.2173913","9.038461538","1.086956522","0.961538462","0.9","0.796153846","0.739130435","0.653846154","10.63829787","54.9071618","88.46153846","32.67326733","6.763366337","7.834757835","8.85668277","29.48717949","33.33333333","24.21652422","27.37520129","9.634424981","10.89108911","53.7037037","60.70853462"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00073","","","","26","18","1","14","14","5","62","0.8","4","17","50.9","18.1","5","3","2","3","5.51","1.58","1.59","142.71","85","79.55","65.08","1.17","3.27","6.81","4.8","21.8","67","0.16","0.064516129","0.071641791","4.785714286","2.576923077","0.357142857","0.192307692","0.342857143","0.184615385","1.214285714","0.653846154","7.462686567","22.01834862","53.84615385","35.55992141","1.706876228","1.13960114","2.116402116","6.837606838","12.6984127","24.21652422","44.97354497","2.431447618","4.515545576","31.05413105","57.67195767"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00074","","","","26","26","1","25","25","21","155","3","16","10","50.3","12.4","6","5","3","4","4.73","1.76","1.41","52.36","64.26","20.2","57.46","4.4","7.13","8.82","19","29","176","0.142857143","0.103225806","0.107954545","7.04","6.769230769","0.84","0.807692308","0.76","0.730769231","0.4","0.384615385","11.93181818","65.51724138","96.15384615","24.65208748","4.68389662","4.273504274","4.444444444","27.06552707","28.14814815","14.24501425","14.81481481","6.672217408","6.939106104","41.31054131","42.96296296"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00075","","","","26","26","1","21","21","28","150","3.4","12.8","16.8","45","12.3","5","4","4","7","5.41","2.07","1.82","64.55","99.62","19.05","56.64","2.95","5.43","9.33","16.2","33","178","0.121428571","0.085333333","0.091011236","8.476190476","6.846153846","1.333333333","1.076923077","0.771428571","0.623076923","0.8","0.646153846","15.73033708","49.09090909","80.76923077","27.33333333","4.428","4.843304843","5.996472663","23.07692308","28.57142857","23.93162393","29.62962963","6.307692308","7.80952381","47.00854701","58.2010582"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00076","","","","26","23","1","17","17","67","67","11","11","13","48.2","11.8","5","4","5","6","4.03","1.77","1.49","172.16","87.59","35.15","57.7","5.87","9.03","7.02","22","35","134","0.164179104","0.164179104","0.164179104","7.882352941","5.153846154","3.941176471","2.576923077","1.294117647","0.846153846","0.764705882","0.5","50","62.85714286","65.38461538","24.4813278","5.385892116","15.66951567","23.96514161","31.33903134","47.93028322","18.51851852","28.32244009","7.672210992","11.73396975","49.85754986","76.25272331"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00077","","","","26","18","1","18","16","2","64","0.3","9","22","42.3","10.5","6","4","5","7","5.81","2.42","1.85","70.55","113.9","48.29","51.51","2.97","5.42","13.49","9.3","31.3","66","0.15","0.140625","0.140909091","3.666666667","2.538461538","0.111111111","0.076923077","0.516666667","0.357692308","1.222222222","0.846153846","3.03030303","29.71246006","69.23076923","24.82269504","2.308510638","0.427350427","0.617283951","13.24786325","19.13580247","31.33903134","45.26748971","3.288476693","4.75002189","44.58689459","64.40329218"
