"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2017NWA-ST01","","","","","","","","","MZP2017NWA-ST01-00025","","","","90","59","22","45","85","6.6","3.8","47.8","5","5","24.74","2.12","62.53","1.31","21.05","10.4","58.2","130","0.146666667","0.044705882","0.08","2.203389831","1.444444444","0.762711864","0.5","0.176271186","0.115555556","0.810169492","0.531111111","34.61538462","17.86941581","65.55555556","2.57296","2.716049383","4.143126177","4.279835391","6.528562461","19.67078189","30.00627746","1.058831276","1.615166353","23.95061728","36.53483992"
"","","MZP2017NWA-ST01","","","","","","","","","MZP2017NWA-ST01-00040","","","","90","39","10","23","30","4.6","1.5","24.3","1","1","21.59","2.5","53.56","1.63","24.64","6.1","30.4","53","0.2","0.05","0.11509434","1.358974359","0.588888889","0.58974359","0.255555556","0.156410256","0.067777778","0.623076923","0.27","43.39622642","20.06578947","43.33333333","1.31699","1.893004115","4.368471035","2.510288066","5.79297246","10","23.07692308","0.541971193","1.250702754","12.51028807","28.86989554"
"","","MZP2017NWA-ST01","","","","","","","","","MZP2017NWA-ST01-00024","","","","90","59","25","20","32","2.8","1.6","76","3","5","28.51","1.94","63.36","1.21","7.35","4.4","80.4","52","0.14","0.05","0.084615385","0.881355932","0.577777778","0.338983051","0.222222222","0.074576271","0.048888889","1.288135593","0.844444444","38.46153846","5.472636816","65.55555556","1.25444","1.152263374","1.757689893","1.810699588","2.762084118","31.27572016","47.70872567","0.516230453","0.787470182","33.08641975","50.47080979"
"","","MZP2017NWA-ST01","","","","","","","","","MZP2017NWA-ST01-00035","","","","90","67","31","27","82","2.7","2.5","84.7","1","5","29.08","1.65","62.45","1.16","4.18","5.2","89.9","109","0.1","0.030487805","0.047706422","1.626865672","1.211111111","0.402985075","0.3","0.07761194","0.057777778","1.264179104","0.941111111","24.7706422","5.784204672","74.44444444","1.51216","1.111111111","1.492537313","2.139917695","2.874516307","34.85596708","46.82144831","0.622288066","0.835909342","36.99588477","49.69596462"
"","","MZP2017NWA-ST01","","","","","","","","","MZP2017NWA-ST01-00003","","","","90","50","27","4","140","0.5","3","36.7","1","9","36.01","1.82","69.13","1.16","2.38","3.5","40.2","144","0.125","0.021428571","0.024305556","2.88","1.6","0.08","0.044444444","0.07","0.038888889","0.734","0.407777778","2.777777778","8.706467662","55.55555556","1.26035","0.205761317","0.37037037","1.440329218","2.592592593","15.10288066","27.18518519","0.518662551","0.933592593","16.54320988","29.77777778"
"","","MZP2017NWA-ST01","","","","","","","","","MZP2017NWA-ST01-00064","","","","90","34","23","7","30","0.6","1.3","33.4","1","9","34.1","2.45","64.96","1.57","6.58","1.9","35.3","37","0.085714286","0.043333333","0.051351351","1.088235294","0.411111111","0.205882353","0.077777778","0.055882353","0.021111111","0.982352941","0.371111111","18.91891892","5.382436261","37.77777778","0.6479","0.24691358","0.653594771","0.781893004","2.069716776","13.74485597","36.38344227","0.266625514","0.70577342","14.52674897","38.45315904"
"","","MZP2017NWA-ST01","","","","","","","","","MZP2017NWA-ST01-00007","","","","90","39","24","52","42","10.8","1.1","20.2","3","3","30.81","2.41","64.98","1.58","12.22","11.9","32.1","94","0.207692308","0.026190476","0.126595745","2.41025641","1.044444444","1.333333333","0.577777778","0.305128205","0.132222222","0.517948718","0.224444444","55.31914894","37.07165109","43.33333333","3.66639","4.444444444","10.25641026","4.897119342","11.30104463","8.312757202","19.18328585","1.508802469","3.481851852","13.20987654","30.48433048"
"","","MZP2017NWA-ST01","","","","","","","","","MZP2017NWA-ST01-00041","","","","90","27","21","42","22","4.9","2.8","21.6","5","5","30.96","2.07","65.89","1.34","15.47","7.7","29.3","64","0.116666667","0.127272727","0.1203125","2.37037037","0.711111111","1.555555556","0.466666667","0.285185185","0.085555556","0.8","0.24","65.625","26.27986348","30","2.38392","2.016460905","6.721536351","3.16872428","10.56241427","8.888888889","29.62962963","0.981037037","3.270123457","12.05761317","40.1920439"
"","","MZP2017NWA-ST01","","","","","","","","","MZP2017NWA-ST01-00012","","","","90","40","18","15","24","1.2","1","47.8","1","7","34.53","1.84","67.18","1.31","","2.2","50","39","0.08","0.041666667","0.056410256","0.975","0.433333333","0.375","0.166666667","0.055","0.024444444","1.195","0.531111111","38.46153846","4.4","44.44444444","0.75966","0.49382716","1.111111111","0.905349794","2.037037037","19.67078189","44.25925926","0.312617284","0.703388889","20.57613169","46.2962963"
"","","MZP2017NWA-ST01","","","","","","","","","MZP2017NWA-ST01-00059","","","","90","36","30","15","50","1.3","0.6","38.2","3","7","34.29","2.18","64.79","1.46","","1.9","40.1","65","0.086666667","0.012","0.029230769","1.805555556","0.722222222","0.416666667","0.166666667","0.052777778","0.021111111","1.061111111","0.424444444","23.07692308","4.738154613","40","0.65151","0.534979424","1.33744856","0.781893004","1.95473251","15.72016461","39.30041152","0.268111111","0.670277778","16.50205761","41.25514403"
