"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00011","","","","39","39","1","1","8","31","32","29","10","91","3.8","24.8","3","2","4","11.03","4","3","4","3","28.6","59.6","101","0.38","0.272527473","0.283168317","3.15625","2.58974359","0.3125","0.256410256","0.89375","0.733333333","0.96875","0.794871795","9.900990099","47.98657718","82.05128205","3.608736942","4.398148148","27.16049383","33.10185185","29.43969611","35.87962963","56.60018993","68.98148148"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00012","","","","39","39","1","1","6","10","28","26","89","150","7","5.5","3","4","4","12.39","4","2","5","4","12.5","22.5","239","0.078651685","0.036666667","0.052301255","8.535714286","6.128205128","3.178571429","2.282051282","0.446428571","0.320512821","0.357142857","0.256410256","37.23849372","55.55555556","71.79487179","6.647673314","9.259259259","11.8708452","16.53439153","9.496676163","13.22751323","21.36752137","29.76190476"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00013","","","","39","39","1","1","6","20","38","38","110","86","13","5","5","4","4","11.03","5","2","4","4","18","38","196","0.118181818","0.058139535","0.091836735","5.157894737","5.025641026","2.894736842","2.820512821","0.473684211","0.461538462","0.526315789","0.512820513","56.12244898","47.36842105","97.43589744","12.34567901","12.6705653","17.09401709","17.54385965","18.99335233","19.49317739","36.08736942","37.03703704"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00014","","","","39","37","1","1","6","7.5","31","29","95","74","8.5","2.2","4","4","4","11.03","4","2","3","4","10.7","18.2","169","0.089473684","0.02972973","0.063313609","5.451612903","4.333333333","3.064516129","2.435897436","0.34516129","0.274358974","0.241935484","0.192307692","56.21301775","58.79120879","79.48717949","8.072174739","10.15531661","10.16144349","12.78375149","7.122507123","8.960573477","17.28395062","21.74432497"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00015","","","","39","39","1","1","9","19","36","36","185","40","41","4","5","5","4","1.76","5","2","3","4","45","64","225","0.221621622","0.1","0.2","6.25","5.769230769","5.138888889","4.743589744","1.25","1.153846154","0.527777778","0.487179487","82.22222222","70.3125","92.30769231","38.93637227","42.18106996","42.73504274","46.2962963","18.04368471","19.5473251","60.77872745","65.8436214"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00016","","","","39","39","1","1","6","6","37","37","220","113","22.5","6","5","5","4","7.76","5","2","4","4","28.5","34.5","333","0.102272727","0.053097345","0.085585586","9","8.538461538","5.945945946","5.641025641","0.77027027","0.730769231","0.162162162","0.153846154","66.06606607","82.60869565","94.87179487","21.36752137","22.52252252","27.06552707","28.52852853","5.698005698","6.006006006","32.76353276","34.53453453"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00017","","","","39","39","1","1","9","27","31","25","60","105","6","4.5","5","4","5","7.76","5","2","5","4","10.5","37.5","165","0.1","0.042857143","0.063636364","5.322580645","4.230769231","1.935483871","1.538461538","0.338709677","0.269230769","0.870967742","0.692307692","36.36363636","28","79.48717949","5.698005698","7.168458781","9.971509972","12.54480287","25.64102564","32.25806452","35.61253561","44.80286738"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00018","","","","39","39","1","1","9","28","37","13","17","20","3","2.5","4","3","5","0.02","5","2","3","4","5.5","33.5","37","0.176470588","0.125","0.148648649","1","0.948717949","0.459459459","0.435897436","0.148648649","0.141025641","0.756756757","0.717948718","45.94594595","16.41791045","94.87179487","2.849002849","3.003003003","5.22317189","5.505505506","26.59069326","28.02802803","31.81386515","33.53353353"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00019","","","","39","39","1","1","7","16.5","29","14","24","45","2.5","1.6","5","4","4","7.76","5","2","4","4","4.1","20.6","69","0.104166667","0.035555556","0.05942029","2.379310345","1.769230769","0.827586207","0.615384615","0.14137931","0.105128205","0.568965517","0.423076923","34.7826087","19.90291262","74.35897436","2.374169041","3.19284802","3.893637227","5.236270754","15.66951567","21.07279693","19.5631529","26.30906769"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00020","","","","39","39","1","1","9","24","26","23","75","67","8","3","4","4","5","7.76","5","2","4","4","11","35","142","0.106666667","0.044776119","0.077464789","5.461538462","3.641025641","2.884615385","1.923076923","0.423076923","0.282051282","0.923076923","0.615384615","52.81690141","31.42857143","66.66666667","7.597340931","11.3960114","10.44634378","15.66951567","22.79202279","34.18803419","33.23836657","49.85754986"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00021","","","","39","37","1","1","8","25","30","12","46","26","5","1.5","4","4","4","4.92","4","2","4","4","6.5","31.5","72","0.108695652","0.057692308","0.090277778","2.4","1.846153846","1.533333333","1.179487179","0.216666667","0.166666667","0.833333333","0.641025641","63.88888889","20.63492063","76.92307692","4.748338082","6.172839506","6.172839506","8.024691358","23.74169041","30.86419753","29.91452991","38.88888889"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00022","","","","39","38","1","1","7","22","31","20","41","63","7","3","4","3","4","11.03","4","2","5","4","10","32","104","0.170731707","0.047619048","0.096153846","3.35483871","2.666666667","1.322580645","1.051282051","0.322580645","0.256410256","0.709677419","0.564102564","39.42307692","31.25","79.48717949","6.647673314","8.363201912","9.496676163","11.9474313","20.89268756","26.28434886","30.38936372","38.23178017"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00023","","","","39","39","1","1","8","17.5","36","26","55","38","12.8","2.5","4","5","4","3.76","5","2","5","4","15.3","32.8","93","0.232727273","0.065789474","0.164516129","2.583333333","2.384615385","1.527777778","1.41025641","0.425","0.392307692","0.486111111","0.448717949","59.13978495","46.64634146","92.30769231","12.15574549","13.16872428","14.52991453","15.74074074","16.61918329","18.00411523","31.14909782","33.74485597"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00024","","","","39","31","1","1","7","8","30","20","72","34","9","2.5","5","5","4","3.76","4","2","5","4","11.5","19.5","106","0.125","0.073529412","0.108490566","3.533333333","2.717948718","2.4","1.846153846","0.383333333","0.294871795","0.266666667","0.205128205","67.9245283","58.97435897","76.92307692","8.547008547","11.11111111","10.92117759","14.19753086","7.597340931","9.87654321","18.51851852","24.07407407"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00025","","","","39","38","1","1","7","20","32","20","17","47","3.2","13","4","4","4","11.03","5","3","3","3","16.2","36.2","64","0.188235294","0.276595745","0.253125","2","1.641025641","0.53125","0.435897436","0.50625","0.415384615","0.625","0.512820513","26.5625","44.75138122","82.05128205","3.038936372","3.703703704","15.38461538","18.75","18.99335233","23.14814815","34.37796771","41.89814815"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00026","","","","39","25","1","1","3","8.5","25","23","40","48","4","1.8","4","4","4","7.76","4","3","4","3","5.8","14.3","88","0.1","0.0375","0.065909091","3.52","2.256410256","1.6","1.025641026","0.232","0.148717949","0.34","0.217948718","45.45454545","40.55944056","64.1025641","3.798670465","5.925925926","5.508072175","8.592592593","8.072174739","12.59259259","13.58024691","21.18518519"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00027","","","","39","38","1","1","7","12","30","23","66","54","7","3","4","4","4","7.76","5","2","3","4","10","22","120","0.106060606","0.055555556","0.083333333","4","3.076923077","2.2","1.692307692","0.333333333","0.256410256","0.4","0.307692308","55","45.45454545","76.92307692","6.647673314","8.641975309","9.496676163","12.34567901","11.3960114","14.81481481","20.89268756","27.16049383"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00028","","","","39","39","1","1","9","19","28","28","64","209","7","11","4","3","4","7.76","5","2","5","4","18","37","273","0.109375","0.052631579","0.065934066","9.75","7","2.285714286","1.641025641","0.642857143","0.461538462","0.678571429","0.487179487","23.44322344","48.64864865","71.79487179","6.647673314","9.259259259","17.09401709","23.80952381","18.04368471","25.13227513","35.1377018","48.94179894"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00029","","","","39","37","1","1","8","17","35","28","50","53","6.5","3","4","4","4","14.37","4","3","3","4","9.5","26.5","103","0.13","0.056603774","0.09223301","2.942857143","2.641025641","1.428571429","1.282051282","0.271428571","0.243589744","0.485714286","0.435897436","48.54368932","35.8490566","89.74358974","6.172839506","6.878306878","9.021842355","10.05291005","16.14434948","17.98941799","25.16619183","28.04232804"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00030","","","","39","39","1","1","8","25","23","18","17","74","6","19.5","3","2","4","11.03","4","3","5","3","25.5","50.5","91","0.352941176","0.263513514","0.28021978","3.956521739","2.333333333","0.739130435","0.435897436","1.108695652","0.653846154","1.086956522","0.641025641","18.68131868","50.4950495","58.97435897","5.698005698","9.661835749","24.21652422","41.06280193","23.74169041","40.25764895","47.95821462","81.32045089"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00031","","","","39","31","1","1","6","10.5","21","16","54","52","5","1.6","5","4","5","11.03","5","2","5","4","6.6","17.1","106","0.092592593","0.030769231","0.062264151","5.047619048","2.717948718","2.571428571","1.384615385","0.314285714","0.169230769","0.5","0.269230769","50.94339623","38.59649123","53.84615385","4.748338082","8.818342152","6.267806268","11.64021164","9.971509972","18.51851852","16.23931624","30.15873016"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00032","","","","39","39","1","1","9","32","39","36","128","20","25","2","4","3","4","11.03","4","2","4","4","27","59","148","0.1953125","0.1","0.182432432","3.794871795","3.794871795","3.282051282","3.282051282","0.692307692","0.692307692","0.820512821","0.820512821","86.48648649","45.76271186","100","23.74169041","23.74169041","25.64102564","25.64102564","30.38936372","30.38936372","56.03038936","56.03038936"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00033","","","","39","35","1","1","8","16","26","26","123","160","13","4.2","5","3","4","12.39","","","","","17.2","33.2","283","0.105691057","0.02625","0.060777385","10.88461538","7.256410256","4.730769231","3.153846154","0.661538462","0.441025641","0.615384615","0.41025641","43.46289753","51.80722892","66.66666667","12.34567901","18.51851852","16.334283","24.5014245","15.19468186","22.79202279","31.52896486","47.29344729"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00034","","","","39","39","1","1","8","13","32","32","188","80","37","8","5","5","4","3.76","3","3","4","3","45","58","268","0.196808511","0.1","0.167910448","8.375","6.871794872","5.875","4.820512821","1.40625","1.153846154","0.40625","0.333333333","70.14925373","77.5862069","82.05128205","35.1377018","42.82407407","42.73504274","52.08333333","12.34567901","15.0462963","55.08072175","67.12962963"
