"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00011","","","","26","26","1","8","13","6","7","54","2.5","1.2","29","7","7","1","100.39","35.16","7","1","1","9","3.7","32.7","61","0.357142857","0.022222222","0.060655738","4.692307692","2.346153846","0.538461538","0.269230769","0.284615385","0.142307692","2.230769231","1.115384615","11.47540984","11.31498471","50","35.02340871","1.295866122","3.561253561","7.122507123","5.270655271","10.54131054","41.31054131","82.62108262","1.845963137","3.691926274","46.58119658","93.16239316"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00012","","","","26","22","1","9","22","22","64","56","11.5","2.5","30","3","3","1","100.62","33.95","1","7","7","3","14","44","120","0.1796875","0.044642857","0.116666667","5.454545455","4.615384615","2.909090909","2.461538462","0.636363636","0.538461538","1.363636364","1.153846154","53.33333333","31.81818182","84.61538462","33.740807","4.72371298","16.38176638","19.36026936","19.94301994","23.56902357","42.73504274","50.50505051","6.728935868","7.952378753","62.67806268","74.07407407"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00013","","","","26","25","3","8","19","18","98","84","13","3","15","3","3","1","100.36","27.8","1","7","7","3","16","31","182","0.132653061","0.035714286","0.087912088","9.578947368","7","5.157894737","3.769230769","0.842105263","0.615384615","0.789473684","0.576923077","53.84615385","51.61290323","73.07692308","27.700279","4.432044639","18.51851852","25.3411306","22.79202279","31.18908382","21.36752137","29.23976608","6.313453902","8.639463235","44.15954416","60.4288499"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00014","","","","26","23","2","7","14","13","69","29","9.5","1.5","15.2","3","3","1","100.04","29.05","1","5","5","5","11","26.2","98","0.137681159","0.051724138","0.112244898","7","3.769230769","4.928571429","2.653846154","0.785714286","0.423076923","1.085714286","0.584615385","70.40816327","41.98473282","53.84615385","29.03838465","3.194222311","13.53276353","25.13227513","15.66951567","29.1005291","21.65242165","40.21164021","4.550174232","8.450323574","37.32193732","69.31216931"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00015","","","","26","22","1","9","18","18","100","134","15","5","37","3","3","1","100.1","35.99","1","5","5","3","20","57","234","0.15","0.037313433","0.085470085","13","9","5.555555556","3.846153846","1.111111111","0.769230769","2.055555556","1.423076923","42.73504274","35.0877193","69.23076923","35.95404595","7.190809191","21.36752137","30.86419753","28.49002849","41.15226337","52.70655271","76.13168724","10.24331794","14.79590368","81.1965812","117.2839506"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00016","","","","26","23","2","8","14","13","103","120","14","4.5","29.6","7","7","3","100.65","33.59","3","7","7","3","18.5","48.1","223","0.13592233","0.0375","0.082959641","15.92857143","8.576923077","7.357142857","3.961538462","1.321428571","0.711538462","2.114285714","1.138461538","46.18834081","38.46153846","53.84615385","33.37307501","6.174018877","19.94301994","37.03703704","26.35327635","48.94179894","42.16524217","78.30687831","8.794898686","16.33338327","68.51851852","127.2486772"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00017","","","","26","22","1","9","12","12","110","130","14.7","5.1","31.7","3","3","1","100.61","35.58","1","7","7","3","19.8","51.5","240","0.133636364","0.039230769","0.0825","20","9.230769231","9.166666667","4.230769231","1.65","0.761538462","2.641666667","1.219230769","45.83333333","38.44660194","46.15384615","35.3642779","7.002127025","20.94017094","45.37037037","28.20512821","61.11111111","45.15669516","97.83950617","9.974539922","21.61150316","73.36182336","158.9506173"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00018","","","","26","22","1","8","11","10","118","156","15.4","5.7","33.8","1","1","1","100.36","27.91","1","7","7","3","21.1","54.9","274","0.130508475","0.036538462","0.077007299","24.90909091","10.53846154","10.72727273","4.538461538","1.918181818","0.811538462","3.072727273","1.3","43.06569343","38.43351548","42.30769231","27.80988442","5.867885612","21.93732194","51.85185185","30.05698006","71.04377104","48.14814815","113.8047138","8.358811413","19.75719061","78.20512821","184.8484848"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00019","","","","26","22","1","7","9","8","126","174","16.1","6.3","36","7","7","1","100.37","38.27","3","9","7","3","22.4","58.4","300","0.127777778","0.036206897","0.074666667","33.33333333","11.53846154","14","4.846153846","2.488888889","0.861538462","4","1.384615385","42","38.35616438","34.61538462","38.12892298","8.540878749","22.93447293","66.25514403","31.90883191","92.18106996","51.28205128","148.1481481","12.16649394","35.14764917","83.19088319","240.3292181"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00020","","","","26","22","1","6","7","7","134","192","16.8","6.9","38.1","5","5","1","100.9","36.68","1","7","7","3","23.7","61.8","326","0.125373134","0.0359375","0.072699387","46.57142857","12.53846154","19.14285714","5.153846154","3.385714286","0.911538462","5.442857143","1.465384615","41.10429448","38.34951456","26.92307692","36.35282458","8.615619425","23.93162393","88.88888889","33.76068376","125.3968254","54.27350427","201.5873016","12.27296214","45.58528796","88.03418803","326.984127"
