"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage roots yield computation tons per ha|CO_331:0000296","Commercial storage root yield tons per ha|CO_331:0000809","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Storage root dry matter content computing percent|CO_331:0000297","Survival index computing percent|CO_331:0000301","Total storage root weight per NET plot in kg|CO_331:0000237","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00001","","","","39","25","5","7","7","5","10","8","19","10","1.5","0.3","3","3","4","30.3","7.5","0.02","5","3","3","3","1.709401709","1.424501425","4.748338082","6.8","26.47058824","24.75247525","25.64102564","1.8","29","0.078947368","0.03","0.062068966","2.9","0.743589744","1.9","0.487179487","0.18","0.046153846","0.5","0.128205128","65.51724138","0.445544554","5.555555556","6.666666667","18.51851852","0.423119235","1.650165017","6.457739791","25.18518519"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00002","","","","39","29","6","6","8","10","6","6","14","21","1.5","0.3","3","3","4","30.13","9.79","1.76","4","2","3","4","1.709401709","1.424501425","9.496676163","11.8","15.25423729","32.49253236","15.38461538","1.8","35","0.107142857","0.014285714","0.051428571","5.833333333","0.897435897","2.333333333","0.358974359","0.3","0.046153846","1.666666667","0.256410256","40","0.584865582","9.259259259","11.11111111","61.72839506","0.555427904","3.610281373","11.20607787","72.83950617"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00003","","","","39","32","4","5","8","11.5","15","9","15","20","2","1.5","3","3","3","28.28","10.26","","5","2","3","4","3.323836657","1.899335233","10.92117759","15","23.33333333","36.28005658","38.46153846","3.5","35","0.133333333","0.075","0.1","2.333333333","0.897435897","1","0.384615385","0.233333333","0.08974359","0.766666667","0.294871795","42.85714286","1.26980198","4.938271605","8.641975309","28.39506173","1.20588982","3.135313531","14.24501425","37.03703704"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00004","","","","39","39","1","1","9","43","15","9","11","14","1.5","0.3","3","3","4","30.47","11.38","0.15","5","2","3","4","1.709401709","1.424501425","40.8357075","44.8","4.017857143","37.34821136","38.46153846","1.8","25","0.136363636","0.021428571","0.072","1.666666667","0.641025641","0.733333333","0.282051282","0.12","0.046153846","2.866666667","1.102564103","44","0.672267804","3.703703704","4.444444444","106.1728395","0.638430963","1.659920505","42.54510921","110.617284"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00005","","","","39","26","1","1","8","7","11","7","4","15","0.5","0.1","3","4","4","30.34","9.22","10.5","5","2","3","4","0.56980057","0.474833808","6.647673314","7.6","7.894736842","30.38892551","28.20512821","0.6","19","0.125","0.006666667","0.031578947","1.727272727","0.487179487","0.363636364","0.102564103","0.054545455","0.015384615","0.636363636","0.179487179","21.05263158","0.182333553","1.683501684","2.02020202","23.56902357","0.173156271","0.613917687","7.217473884","25.58922559"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00006","","","","39","39","1","1","9","11.5","20","19","20","60","3.5","4","4","4","4","30.78","11.4","1.65","5","4","3","2","7.122507123","3.323836657","10.92117759","19","39.47368421","37.03703704","51.28205128","7.5","80","0.175","0.066666667","0.09375","4","2.051282051","1","0.512820513","0.375","0.192307692","0.575","0.294871795","25","2.777777778","6.481481481","13.88888889","21.2962963","2.637965601","5.144032922","18.04368471","35.18518519"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00007","","","","39","38","1","1","9","9","12","10","26","55","3.5","2","3","3","4","30.14","11.18","7.76","5","3","3","4","5.22317189","3.323836657","8.547008547","14.5","37.93103448","37.09356337","30.76923077","5.5","81","0.134615385","0.036363636","0.067901235","6.75","2.076923077","2.166666667","0.666666667","0.458333333","0.141025641","0.75","0.230769231","32.09876543","2.040145985","10.80246914","16.97530864","27.77777778","1.937460575","6.296746869","13.77018044","44.75308642"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00008","","","","39","37","1","1","8","9.5","18","10","18","65","1.5","1.3","2","3","4","30.16","9.42","1.76","5","2","3","5","2.659069326","1.424501425","9.021842355","12.3","22.76422764","31.23342175","46.15384615","2.8","83","0.083333333","0.02","0.03373494","4.611111111","2.128205128","1","0.461538462","0.155555556","0.071794872","0.527777778","0.243589744","21.68674699","0.874535809","3.086419753","5.761316872","19.5473251","0.830518337","1.799456397","11.68091168","25.30864198"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00009","","","","39","32","2","1","8","16.5","12","6","8","17","0.9","0.2","2","2","5","30.66","11.37","7.76","5","2","3","4","1.044634378","0.854700855","15.66951567","17.6","6.25","37.08414873","30.76923077","1.1","25","0.1125","0.011764706","0.044","2.083333333","0.641025641","0.666666667","0.205128205","0.091666667","0.028205128","1.375","0.423076923","32","0.407925636","2.777777778","3.395061728","50.92592593","0.387393766","1.259029741","16.71415005","54.32098765"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00010","","","","39","39","4","5","7","10.5","9","5","6","6","1.5","0.2","2","1","4","30.5","9.1","","5","4","3","3","1.614434948","1.424501425","9.971509972","12.2","13.93442623","29.83606557","23.07692308","1.7","12","0.25","0.033333333","0.141666667","1.333333333","0.307692308","0.666666667","0.153846154","0.188888889","0.043589744","1.166666667","0.269230769","50","0.507213115","6.172839506","6.995884774","43.20987654","0.48168387","2.087296769","11.58594492","50.20576132"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00011","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00012","","","","39","22","1","1","7","2","10","4","5","5","0.5","0.5","2","2","4","20.71","6.56","","5","2","3","4","0.949667616","0.474833808","1.899335233","3","33.33333333","31.67551907","25.64102564","1","10","0.1","0.1","0.1","1","0.256410256","0.5","0.128205128","0.1","0.025641026","0.2","0.051282051","50","0.316755191","1.851851852","3.703703704","7.407407407","0.300812147","1.173167373","2.849002849","11.11111111"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00013","","","","39","35","1","1","8","19.5","17","14","49","60","9","2.9","3","3","4","30.28","11.1","5.46","5","4","4","2","11.30104463","8.547008547","18.51851852","31.4","37.89808917","36.65785997","43.58974359","11.9","109","0.183673469","0.048333333","0.109174312","6.411764706","2.794871795","2.882352941","1.256410256","0.7","0.305128205","1.147058824","0.5","44.95412844","4.362285337","19.60784314","25.92592593","42.48366013","4.142721118","9.503889623","29.81956315","68.40958606"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00014","","","","39","30","1","1","9","7.5","10","4","2","6","0.5","1","3","3","4","","","1.76","5","2","4","5","1.424501425","0.474833808","7.122507123","9","16.66666667","","25.64102564","1.5","8","0.25","0.166666667","0.1875","0.8","0.205128205","0.2","0.051282051","0.15","0.038461538","0.75","0.192307692","25","","1.851851852","5.555555556","27.77777778","","","8.547008547","33.33333333"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00015","","","","39","37","1","1","9","25","21","10","13","18","3","2","3","3","4","30.56","8.94","10.5","5","4","3","2","4.748338082","2.849002849","23.74169041","30","16.66666667","29.2539267","53.84615385","5","31","0.230769231","0.111111111","0.161290323","1.476190476","0.794871795","0.619047619","0.333333333","0.238095238","0.128205128","1.19047619","0.641025641","41.93548387","1.462696335","5.291005291","8.818342152","44.09171076","1.389075342","2.579711349","28.49002849","52.91005291"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00016","","","","39","32","1","1","8","12","17","12","11","24","2","3","3","3","3","30.75","11.23","1.38","5","2","3","3","4.748338082","1.899335233","11.3960114","17","29.41176471","36.5203252","43.58974359","5","35","0.181818182","0.125","0.142857143","2.058823529","0.897435897","0.647058824","0.282051282","0.294117647","0.128205128","0.705882353","0.307692308","31.42857143","1.82601626","4.357298475","10.89324619","26.14379085","1.734108509","3.978248933","16.14434948","37.03703704"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00017","","","","39","34","1","1","8","21.5","18","8","10","21","1.9","2","3","3","4","30.63","6.81","10.5","5","2","1","4","3.703703704","1.804368471","20.41785375","25.4","15.35433071","22.2331048","46.15384615","3.9","31","0.19","0.095238095","0.125806452","1.722222222","0.794871795","0.555555556","0.256410256","0.216666667","0.1","1.194444444","0.551282051","32.25806452","0.867091087","3.909465021","8.024691358","44.23868313","0.823448326","1.784138039","24.12155745","52.26337449"
