"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012GUR-AT07","","","","","","","","","MZP2012GUR-AT07-00001","","","","39","32","1","1","3","26","16","0","18","0","6","4","2","5","7","6.12","6","10","18","","0.333333333","0.333333333","0.692307692","0.461538462","0","0","0.230769231","0.153846154","0.153846154","0.102564103","0","60","66.66666667","0","0","5.698005698","8.547008547","3.798670465","5.698005698","9.496676163","14.24501425"
"","","MZP2012GUR-AT07","","","","","","","","","MZP2012GUR-AT07-00002","","","","39","25","1","1","3","25","20","0","24","0","7","6.5","6","7","7","0.12","7","13.5","24","","0.291666667","0.291666667","0.96","0.615384615","0","0","0.28","0.179487179","0.26","0.166666667","0","51.85185185","64.1025641","0","0","6.647673314","10.37037037","6.172839506","9.62962963","12.82051282","20"
"","","MZP2012GUR-AT07","","","","","","","","","MZP2012GUR-AT07-00003","","","","39","30","1","1","3","30","30","4","27","1.1","7.9","5.5","5","3","5","10.5","9","14.5","31","0.275","0.292592593","0.290322581","1.033333333","0.794871795","0.133333333","0.102564103","0.3","0.230769231","0.183333333","0.141025641","12.90322581","62.06896552","76.92307692","1.044634378","1.358024691","8.547008547","11.11111111","5.22317189","6.790123457","13.77018044","17.90123457"
"","","MZP2012GUR-AT07","","","","","","","","","MZP2012GUR-AT07-00004","","","","39","21","1","1","3","21","18","3","18","1","3","5","8","5","5","","4","9","21","0.333333333","0.166666667","0.19047619","1","0.538461538","0.142857143","0.076923077","0.19047619","0.102564103","0.238095238","0.128205128","14.28571429","44.44444444","53.84615385","0.949667616","1.76366843","3.798670465","7.054673721","4.748338082","8.818342152","8.547008547","15.87301587"
"","","MZP2012GUR-AT07","","","","","","","","","MZP2012GUR-AT07-00005","","","","39","30","1","1","5","30","30","0","34","0","3","7","6","7","3","","3","10","34","","0.088235294","0.088235294","1.133333333","0.871794872","0","0","0.1","0.076923077","0.233333333","0.179487179","0","30","76.92307692","0","0","2.849002849","3.703703704","6.647673314","8.641975309","9.496676163","12.34567901"
"","","MZP2012GUR-AT07","","","","","","","","","MZP2012GUR-AT07-00006","","","","39","30","1","1","3","28","28","3","36","1","3","6.3","6","7","5","","4","10.3","39","0.333333333","0.083333333","0.102564103","1.392857143","1","0.107142857","0.076923077","0.142857143","0.102564103","0.225","0.161538462","7.692307692","38.83495146","71.79487179","0.949667616","1.322751323","3.798670465","5.291005291","5.982905983","8.333333333","9.781576448","13.62433862"
"","","MZP2012GUR-AT07","","","","","","","","","MZP2012GUR-AT07-00007","","","","39","31","1","1","7","23","23","0","43","0","4","7.4","8","3","7","","4","11.4","43","","0.093023256","0.093023256","1.869565217","1.102564103","0","0","0.173913043","0.102564103","0.32173913","0.18974359","0","35.0877193","58.97435897","0","0","3.798670465","6.441223833","7.027540361","11.91626409","10.82621083","18.35748792"
"","","MZP2012GUR-AT07","","","","","","","","","MZP2012GUR-AT07-00008","","","","39","30","2","5","5","7","","","","","","","","","","","","","","","","","","","","","","","","","","","17.94871795","","","","","","","",""
"","","MZP2012GUR-AT07","","","","","","","","","MZP2012GUR-AT07-00009","","","","39","30","1","3","5","23","23","0","47","0","3.5","5","6","5","7","1.5","3.5","8.5","47","","0.074468085","0.074468085","2.043478261","1.205128205","0","0","0.152173913","0.08974359","0.217391304","0.128205128","0","41.17647059","58.97435897","0","0","3.323836657","5.636070853","4.748338082","8.051529791","8.072174739","13.68760064"
"","","MZP2012GUR-AT07","","","","","","","","","MZP2012GUR-AT07-00010","","","","39","35","1","3","5","35","35","5","59","1","4.5","6.6","6","5","3","1.5","5.5","12.1","64","0.2","0.076271186","0.0859375","1.828571429","1.641025641","0.142857143","0.128205128","0.157142857","0.141025641","0.188571429","0.169230769","7.8125","45.45454545","89.74358974","0.949667616","1.058201058","5.22317189","5.82010582","6.267806268","6.984126984","11.49097816","12.8042328"
"","","MZP2012GUR-AT07","","","","","","","","","MZP2012GUR-AT07-00011","","","","39","20","1","1","7","20","","","","","","","","","","","","","","","","","","","","","","","","","","","51.28205128","","","","","","","",""
"","","MZP2012GUR-AT07","","","","","","","","","MZP2012GUR-AT07-00012","","","","39","28","1","3","9","28","22","6","22","1.4","4","7.1","6","3","5","1.65","5.4","12.5","28","0.233333333","0.181818182","0.192857143","1","0.717948718","0.214285714","0.153846154","0.192857143","0.138461538","0.253571429","0.182051282","21.42857143","43.2","71.79487179","1.329534663","1.851851852","5.128205128","7.142857143","6.742640076","9.391534392","11.8708452","16.53439153"
"","","MZP2012GUR-AT07","","","","","","","","","MZP2012GUR-AT07-00013","","","","39","30","1","1","7","30","30","22","58","4.5","5","8.2","6","3","3","0.15","9.5","17.7","80","0.204545455","0.086206897","0.11875","2.666666667","2.051282051","0.733333333","0.564102564","0.316666667","0.243589744","0.273333333","0.21025641","27.5","53.67231638","76.92307692","4.273504274","5.555555556","9.021842355","11.72839506","7.787274454","10.12345679","16.80911681","21.85185185"
