"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","treatment_non_irrigation"
"","","MZP2013UMB-ST01","","","","","","","","","MZP2013UMB-ST01-00001","","","","26","22","1","1","7","9","9","12","16","3.9","1.8","11.2","1","1","1","1","3","5","1","4.54","2.29","1.25","113.63","95.7","32.46","55.71","4.44","6.96","15.57","5.7","16.9","28","0.325","0.1125","0.203571429","3.111111111","1.076923077","1.333333333","0.461538462","0.633333333","0.219230769","1.244444444","0.430769231","42.85714286","33.72781065","34.61538462","5.555555556","16.04938272","8.11965812","23.45679012","15.95441595","46.09053498","24.07407407","69.5473251","1",""
"","","MZP2013UMB-ST01","","","","","","","","","MZP2013UMB-ST01-00002","","","","26","21","1","1","8","10","10","36","24","4.9","2","9.9","3","1","5","1","7","3","1","2.78","1.96","1.1","124.05","83.01","38.29","62.2","5.26","7.35","12.44","6.9","16.8","60","0.136111111","0.083333333","0.115","6","2.307692308","3.6","1.384615385","0.69","0.265384615","0.99","0.380769231","60","41.07142857","38.46153846","6.98005698","18.14814815","9.829059829","25.55555556","14.1025641","36.66666667","23.93162393","62.22222222","1",""
"","","MZP2013UMB-ST01","","","","","","","","","MZP2013UMB-ST01-00003","","","","26","22","1","1","7","15","11","29","5","5","3","6.2","5","5","3","1","1","3","5","4.18","2.45","1.48","227.5","109.81","46.17","46.74","6.09","8.92","15.29","8","14.2","34","0.172413793","0.6","0.235294118","2.266666667","1.307692308","1.933333333","1.115384615","0.533333333","0.307692308","0.413333333","0.238461538","85.29411765","56.33802817","57.69230769","7.122507123","12.34567901","11.3960114","19.75308642","8.831908832","15.30864198","20.22792023","35.0617284","1",""
"","","MZP2013UMB-ST01","","","","","","","","","MZP2013UMB-ST01-00004","","","","26","23","1","1","7","9","7","12","10","2.5","1.2","6.9","1","3","1","1","1","3","5","","","","","","","","","","","3.7","10.6","22","0.208333333","0.12","0.168181818","2.444444444","0.846153846","1.333333333","0.461538462","0.411111111","0.142307692","0.766666667","0.265384615","54.54545455","34.90566038","34.61538462","3.561253561","10.28806584","5.270655271","15.22633745","9.829059829","28.39506173","15.0997151","43.62139918","1",""
"","","MZP2013UMB-ST01","","","","","","","","","MZP2013UMB-ST01-00005","","","","26","17","1","1","5","10","3","2","3","0.2","0.1","4.2","5","5","3","1","3","3","1","3.65","1.86","1","236.99","105.68","41.81","55.76","5.45","7.75","15.89","0.3","4.5","5","0.1","0.033333333","0.06","0.5","0.192307692","0.2","0.076923077","0.03","0.011538462","0.42","0.161538462","40","6.666666667","38.46153846","0.284900285","0.740740741","0.427350427","1.111111111","5.982905983","15.55555556","6.41025641","16.66666667","1",""
"","","MZP2013UMB-ST01","","","","","","","","","MZP2013UMB-ST01-00006","","","","26","21","1","1","5","13","13","18","47","6.1","3.8","5","1","1","3","1","3","3","5","3.5","1.56","0.78","12.81","57.34","17.68","54.03","6.95","9.74","13.32","9.9","14.9","65","0.338888889","0.080851064","0.152307692","5","2.5","1.384615385","0.692307692","0.761538462","0.380769231","0.384615385","0.192307692","27.69230769","66.44295302","50","8.689458689","17.37891738","14.1025641","28.20512821","7.122507123","14.24501425","21.22507123","42.45014245","1",""
"","","MZP2013UMB-ST01","","","","","","","","","MZP2013UMB-ST01-00007","","","","26","24","1","1","8","14","14","32","51","6","5","7","1","3","5","3","3","3","3","5.52","2.06","1.25","98.09","78.1","37.15","61.16","1.99","2.95","10.65","11","18","83","0.1875","0.098039216","0.13253012","5.928571429","3.192307692","2.285714286","1.230769231","0.785714286","0.423076923","0.5","0.269230769","38.55421687","61.11111111","53.84615385","8.547008547","15.87301587","15.66951567","29.1005291","9.971509972","18.51851852","25.64102564","47.61904762","1",""
"","","MZP2013UMB-ST01","","","","","","","","","MZP2013UMB-ST01-00008","","","","26","23","1","1","8","12","12","26","38","5","1.9","5.2","3","3","1","1","5","7","3","3.62","1.78","0.86","75.48","81.56","26.41","52.23","6.08","8.81","17.67","6.9","12.1","64","0.192307692","0.05","0.1078125","5.333333333","2.461538462","2.166666667","1","0.575","0.265384615","0.433333333","0.2","40.625","57.02479339","46.15384615","7.122507123","15.43209877","9.829059829","21.2962963","7.407407407","16.04938272","17.23646724","37.34567901","1",""
"","","MZP2013UMB-ST01","","","","","","","","","MZP2013UMB-ST01-00009","","","","26","18","1","1","5","11","11","11","12","4.4","1.8","3","5","3","3","5","3","1","5","3.1","1.85","1.09","93.12","89.99","28.91","56.51","4.65","6.61","14.31","6.2","9.2","23","0.4","0.15","0.269565217","2.090909091","0.884615385","1","0.423076923","0.563636364","0.238461538","0.272727273","0.115384615","47.82608696","67.39130435","42.30769231","6.267806268","14.81481481","8.831908832","20.87542088","4.273504274","10.1010101","13.10541311","30.97643098","1",""
"","","MZP2013UMB-ST01","","","","","","","","","MZP2013UMB-ST01-00010","","","","26","21","1","1","6","12","9","15","15","3.2","1","5.2","1","5","3","5","3","1","3","3.07","1.85","0.95","134.27","107.44","31.83","57.96","5.13","7.86","15.37","4.2","9.4","30","0.213333333","0.066666667","0.14","2.5","1.153846154","1.25","0.576923077","0.35","0.161538462","0.433333333","0.2","50","44.68085106","46.15384615","4.558404558","9.87654321","5.982905983","12.96296296","7.407407407","16.04938272","13.39031339","29.01234568","1",""
