"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00011","","","","39","21","1","1","3","19","19","0","5","0","1.1","6","4","7","7","9","7.23","1.1","7.1","5","","0.22","0.22","0.263157895","0.128205128","0","0","0.057894737","0.028205128","0.315789474","0.153846154","0","15.49295775","48.71794872","0","0","1.044634378","2.144249513","5.698005698","11.69590643","6.742640076","13.84015595"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00012","","","","39","17","1","1","3","16","16","0","6","0","1.2","6.5","2","9","9","9","6.12","1.2","7.7","6","","0.2","0.2","0.375","0.153846154","0","0","0.075","0.030769231","0.40625","0.166666667","0","15.58441558","41.02564103","0","0","1.13960114","2.777777778","6.172839506","15.0462963","7.312440646","17.82407407"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00013","","","","39","23","3","1","3","4","4","0","10","0","3","1","2","5","5","7","6.12","3","4","10","","0.3","0.3","2.5","0.256410256","0","0","0.75","0.076923077","0.25","0.025641026","0","75","10.25641026","0","0","2.849002849","27.77777778","0.949667616","9.259259259","3.798670465","37.03703704"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00014","","","","39","30","1","1","3","13","13","0","9","0","2.2","5","2","5","5","9","7.23","2.2","7.2","9","","0.244444444","0.244444444","0.692307692","0.230769231","0","0","0.169230769","0.056410256","0.384615385","0.128205128","0","30.55555556","33.33333333","0","0","2.089268756","6.267806268","4.748338082","14.24501425","6.837606838","20.51282051"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00015","","","","39","28","1","1","7","14","14","0","28","0","5.7","3.5","4","5","5","9","7.76","5.7","9.2","28","","0.203571429","0.203571429","2","0.717948718","0","0","0.407142857","0.146153846","0.25","0.08974359","0","61.95652174","35.8974359","0","0","5.413105413","15.07936508","3.323836657","9.259259259","8.73694207","24.33862434"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00016","","","","39","20","1","3","5","20","20","0","14","0","5.5","16","6","5","5","9","","5.5","21.5","14","","0.392857143","0.392857143","0.7","0.358974359","0","0","0.275","0.141025641","0.8","0.41025641","0","25.58139535","51.28205128","0","0","5.22317189","10.18518519","15.19468186","29.62962963","20.41785375","39.81481481"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00017","","","","39","18","1","5","9","18","18","0","48","0","8.5","1.5","8","5","5","9","","8.5","10","48","","0.177083333","0.177083333","2.666666667","1.230769231","0","0","0.472222222","0.217948718","0.083333333","0.038461538","0","85","46.15384615","0","0","8.072174739","17.48971193","1.424501425","3.086419753","9.496676163","20.57613169"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00018","","","","39","25","3","5","7","25","25","0","22","0","7","9","1","5","5","7","0.02","7","16","22","","0.318181818","0.318181818","0.88","0.564102564","0","0","0.28","0.179487179","0.36","0.230769231","0","43.75","64.1025641","0","0","6.647673314","10.37037037","8.547008547","13.33333333","15.19468186","23.7037037"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00019","","","","39","34","1","1","5","12","12","0","16","0","6.1","12.5","6","5","5","7","","6.1","18.6","16","","0.38125","0.38125","1.333333333","0.41025641","0","0","0.508333333","0.156410256","1.041666667","0.320512821","0","32.79569892","30.76923077","0","0","5.79297246","18.82716049","11.8708452","38.58024691","17.66381766","57.40740741"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00020","","","","39","21","1","1","5","13","13","0","42","0","7.2","5","5","5","5","7","7.23","7.2","12.2","42","","0.171428571","0.171428571","3.230769231","1.076923077","0","0","0.553846154","0.184615385","0.384615385","0.128205128","0","59.01639344","33.33333333","0","0","6.837606838","20.51282051","4.748338082","14.24501425","11.58594492","34.75783476"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00021","","","","39","24","1","1","5","5","5","0","44","0","9.9","0.5","4","5","5","9","6.12","9.9","10.4","44","","0.225","0.225","8.8","1.128205128","0","0","1.98","0.253846154","0.1","0.012820513","0","95.19230769","12.82051282","0","0","9.401709402","73.33333333","0.474833808","3.703703704","9.87654321","77.03703704"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00022","","","","39","32","1","1","7","32","32","0","72","0","23.9","26.5","6","3","3","5","3.96","23.9","50.4","72","","0.331944444","0.331944444","2.25","1.846153846","0","0","0.746875","0.612820513","0.828125","0.679487179","0","47.42063492","82.05128205","0","0","22.69705603","27.66203704","25.16619183","30.6712963","47.86324786","58.33333333"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00023","","","","39","30","3","7","5","17","17","0","7","0","2.1","6.5","2","7","7","9","7.23","2.1","8.6","7","","0.3","0.3","0.411764706","0.179487179","0","0","0.123529412","0.053846154","0.382352941","0.166666667","0","24.41860465","43.58974359","0","0","1.994301994","4.575163399","6.172839506","14.16122004","8.1671415","18.73638344"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00024","","","","39","31","1","1","5","11","11","0","18","0","7","13","4","5","5","7","7.23","7","20","18","","0.388888889","0.388888889","1.636363636","0.461538462","0","0","0.636363636","0.179487179","1.181818182","0.333333333","0","35","28.20512821","0","0","6.647673314","23.56902357","12.34567901","43.77104377","18.99335233","67.34006734"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00025","","","","39","22","3","1","3","9","9","0","4","0","1","1","4","7","7","7","7.76","1","2","4","","0.25","0.25","0.444444444","0.102564103","0","0","0.111111111","0.025641026","0.111111111","0.025641026","0","50","23.07692308","0","0","0.949667616","4.115226337","0.949667616","4.115226337","1.899335233","8.230452675"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00026","","","","39","27","1","1","5","10","10","0","66","0","10.5","0.5","4","5","5","7","6.12","10.5","11","66","","0.159090909","0.159090909","6.6","1.692307692","0","0","1.05","0.269230769","0.05","0.012820513","0","95.45454545","25.64102564","0","0","9.971509972","38.88888889","0.474833808","1.851851852","10.44634378","40.74074074"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00027","","","","39","35","1","3","5","11","11","0","14","0","5","4","6","5","5","9","7.23","5","9","14","","0.357142857","0.357142857","1.272727273","0.358974359","0","0","0.454545455","0.128205128","0.363636364","0.102564103","0","55.55555556","28.20512821","0","0","4.748338082","16.83501684","3.798670465","13.46801347","8.547008547","30.3030303"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00028","","","","39","26","1","1","5","16","16","0","11","0","4.5","1","2","5","5","9","5.49","4.5","5.5","11","","0.409090909","0.409090909","0.6875","0.282051282","0","0","0.28125","0.115384615","0.0625","0.025641026","0","81.81818182","41.02564103","0","0","4.273504274","10.41666667","0.949667616","2.314814815","5.22317189","12.73148148"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00029","","","","39","18","5","3","5","5","5","0","10","0","5","2","2","5","5","9","3.96","5","7","10","","0.5","0.5","2","0.256410256","0","0","1","0.128205128","0.4","0.051282051","0","71.42857143","12.82051282","0","0","4.748338082","37.03703704","1.899335233","14.81481481","6.647673314","51.85185185"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00030","","","","39","21","1","1","5","19","19","0","15","0","3.7","1","2","5","5","9","6.12","3.7","4.7","15","","0.246666667","0.246666667","0.789473684","0.384615385","0","0","0.194736842","0.094871795","0.052631579","0.025641026","0","78.72340426","48.71794872","0","0","3.51377018","7.212475634","0.949667616","1.949317739","4.463437797","9.161793372"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00031","","","","39","19","1","5","5","18","18","0","14","0","2.7","3","6","5","5","9","","2.7","5.7","14","","0.192857143","0.192857143","0.777777778","0.358974359","0","0","0.15","0.069230769","0.166666667","0.076923077","0","47.36842105","46.15384615","0","0","2.564102564","5.555555556","2.849002849","6.172839506","5.413105413","11.72839506"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00032","","","","39","28","1","3","5","28","28","0","29","0","8.9","9.5","2","7","7","9","0.02","8.9","18.4","29","","0.306896552","0.306896552","1.035714286","0.743589744","0","0","0.317857143","0.228205128","0.339285714","0.243589744","0","48.36956522","71.79487179","0","0","8.452041785","11.77248677","9.021842355","12.56613757","17.47388414","24.33862434"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00033","","","","39","29","1","1","7","27","27","0","15","0","5.1","18","6","5","5","9","","5.1","23.1","15","","0.34","0.34","0.555555556","0.384615385","0","0","0.188888889","0.130769231","0.666666667","0.461538462","0","22.07792208","69.23076923","0","0","4.843304843","6.995884774","17.09401709","24.69135802","21.93732194","31.6872428"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00034","","","","39","30","1","3","7","30","30","0","45","0","9.9","9","7","5","5","7","","9.9","18.9","45","","0.22","0.22","1.5","1.153846154","0","0","0.33","0.253846154","0.3","0.230769231","0","52.38095238","76.92307692","0","0","9.401709402","12.22222222","8.547008547","11.11111111","17.94871795","23.33333333"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00035","","","","39","23","1","3","5","23","23","0","61","0","16.5","14","7","5","5","3","7.23","16.5","30.5","61","","0.270491803","0.270491803","2.652173913","1.564102564","0","0","0.717391304","0.423076923","0.608695652","0.358974359","0","54.09836066","58.97435897","0","0","15.66951567","26.57004831","13.29534663","22.54428341","28.9648623","49.11433172"
"","","MZP2015GUR-MT09","","","","","","","","","MZP2015GUR-MT09-00036","","","","39","17","1","1","5","17","17","0","27","0","7.5","6","4","5","5","5","10.5","7.5","13.5","27","","0.277777778","0.277777778","1.588235294","0.692307692","0","0","0.441176471","0.192307692","0.352941176","0.153846154","0","55.55555556","43.58974359","0","0","7.122507123","16.33986928","5.698005698","13.07189542","12.82051282","29.41176471"
