"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00001","","","","26","4","1","1","3","4","0","1.5","5.5","4","7.76","1.5","7","0.375","0.057692308","1.375","0.211538462","21.42857143","15.38461538","0","0","2.136752137","13.88888889","7.834757835","50.92592593","9.971509972","64.81481481"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00002","","","","26","23","1","1","9","15","5.6","4","18.4","4","7.76","9.6","28","0.64","0.369230769","1.226666667","0.707692308","34.28571429","57.69230769","7.977207977","13.82716049","13.67521368","23.7037037","26.21082621","45.43209877","39.88603989","69.13580247"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00003","","","","26","15","1","1","4","15","8","8.5","8.5","4","11.03","16.5","25","1.1","0.634615385","0.566666667","0.326923077","66","57.69230769","11.3960114","19.75308642","23.5042735","40.74074074","12.10826211","20.98765432","35.61253561","61.72839506"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00004","","","","26","20","1","1","9","18","7","8","19","4","14.37","15","34","0.833333333","0.576923077","1.055555556","0.730769231","44.11764706","69.23076923","9.971509972","14.40329218","21.36752137","30.86419753","27.06552707","39.09465021","48.43304843","69.95884774"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00005","","","","26","16","1","1","8","16","5","4","17","4","12.39","9","26","0.5625","0.346153846","1.0625","0.653846154","34.61538462","61.53846154","7.122507123","11.57407407","12.82051282","20.83333333","24.21652422","39.35185185","37.03703704","60.18518519"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00006","","","","26","21","1","1","8","21","12","7","18","4","12.39","19","37","0.904761905","0.730769231","0.857142857","0.692307692","51.35135135","80.76923077","17.09401709","21.16402116","27.06552707","33.50970018","25.64102564","31.74603175","52.70655271","65.25573192"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00007","","","","26","22","1","1","9","19","16","7","15","5","6.12","23","38","1.210526316","0.884615385","0.789473684","0.576923077","60.52631579","73.07692308","22.79202279","31.18908382","32.76353276","44.83430799","21.36752137","29.23976608","54.13105413","74.07407407"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00008","","","","26","21","1","1","9","21","25","13","23.5","4","7.76","38","61.5","1.80952381","1.461538462","1.119047619","0.903846154","61.78861789","80.76923077","35.61253561","44.09171076","54.13105413","67.01940035","33.47578348","41.44620811","87.60683761","108.4656085"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00009","","","","26","15","1","1","8","15","7","4.2","16","4","14.37","11.2","27.2","0.746666667","0.430769231","1.066666667","0.615384615","41.17647059","57.69230769","9.971509972","17.28395062","15.95441595","27.65432099","22.79202279","39.50617284","38.74643875","67.16049383"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00010","","","","26","12","1","1","7","9","2.2","2","12.2","4","10.5","4.2","16.4","0.466666667","0.161538462","1.355555556","0.469230769","25.6097561","34.61538462","3.133903134","9.053497942","5.982905983","17.28395062","17.37891738","50.20576132","23.36182336","67.48971193"
