"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT08","","","","","","","","","MZP2013UMB-AT08-00001","","","","26","21","1","1","6","13","13","34","23","12","3.3","17","5","5","1","50.4","10.8","1","7","5","3","2.17","1.62","0.91","25.6695766","6.12","49.87","9.17","13.21","9.81","15.3","32.3","57","0.352941176","0.143478261","0.268421053","4.384615385","2.192307692","2.615384615","1.307692308","1.176923077","0.588461538","1.307692308","0.653846154","59.64912281","47.36842105","50","21.42857143","3.278571429","17.09401709","34.18803419","21.79487179","43.58974359","24.21652422","48.43304843","4.67032967","9.340659341","46.01139601","92.02279202"
"","","MZP2013UMB-AT08","","","","","","","","","MZP2013UMB-AT08-00002","","","","26","25","2","1","6","22","22","57","81","10","4","25","6","5","1","50.8","10.6","1","6","5","3","2.39","1.62","0.92","46.6983147","12.39","40.13","9.03","13.08","19.78","14","39","138","0.175438596","0.049382716","0.101449275","6.272727273","5.307692308","2.590909091","2.192307692","0.636363636","0.538461538","1.136363636","0.961538462","41.30434783","35.8974359","84.61538462","20.86614173","2.921259843","14.24501425","16.83501684","19.94301994","23.56902357","35.61253561","42.08754209","4.161338807","4.917945863","55.55555556","65.65656566"
"","","MZP2013UMB-AT08","","","","","","","","","MZP2013UMB-AT08-00003","","","","26","23","1","1","5","18","18","47","93","14","6","17","3","4","1","50.8","13.2","3","5","9","5","3.29","2","1.17","30.5894489","1.74","52.71","8.78","13.2","7.9","20","37","140","0.29787234","0.064516129","0.142857143","7.777777778","5.384615385","2.611111111","1.807692308","1.111111111","0.769230769","0.944444444","0.653846154","33.57142857","54.05405405","69.23076923","25.98425197","5.196850394","19.94301994","28.80658436","28.49002849","41.15226337","24.21652422","34.97942387","7.402920789","10.69310781","52.70655271","76.13168724"
"","","MZP2013UMB-AT08","","","","","","","","","MZP2013UMB-AT08-00004","","","","26","24","1","1","5","24","24","89","100","20","8.2","7","1","3","1","50.1","10.6","1","3","7","5","2.15","1.62","0.91","23.8533249","12.39","55.44","8.59","11.7","5.11","28.2","35.2","189","0.224719101","0.082","0.149206349","7.875","7.269230769","3.708333333","3.423076923","1.175","1.084615385","0.291666667","0.269230769","47.08994709","80.11363636","92.30769231","21.15768463","5.966467066","28.49002849","30.86419753","40.17094017","43.51851852","9.971509972","10.80246914","8.499240835","9.207510904","50.14245014","54.32098765"
"","","MZP2013UMB-AT08","","","","","","","","","MZP2013UMB-AT08-00005","","","","26","18","1","1","7","18","18","59","68","22","3.4","23","6","6","3","50.6","11.4","3","5","7","5","2.17","1.4","0.95","49.9450226","7.23","51.62","11.18","15.73","4.8","25.4","48.4","127","0.372881356","0.05","0.2","7.055555556","4.884615385","3.277777778","2.269230769","1.411111111","0.976923077","1.277777778","0.884615385","46.45669291","52.47933884","69.23076923","22.52964427","5.722529644","31.33903134","45.26748971","36.18233618","52.26337449","32.76353276","47.32510288","8.15175163","11.77475235","68.94586895","99.58847737"
"","","MZP2013UMB-AT08","","","","","","","","","MZP2013UMB-AT08-00006","","","","26","20","1","1","6","20","20","77","45","21","2","14","3","3","2","51","12.9","2","3","7","5","2.56","1.67","1.12","13.5563793","6.12","49.26","6.46","9.35","16.06","23","37","122","0.272727273","0.044444444","0.18852459","6.1","4.692307692","3.85","2.961538462","1.15","0.884615385","0.7","0.538461538","63.1147541","62.16216216","76.92307692","25.29411765","5.817647059","29.91452991","38.88888889","32.76353276","42.59259259","19.94301994","25.92592593","8.287246523","10.77342048","52.70655271","68.51851852"
"","","MZP2013UMB-AT08","","","","","","","","","MZP2013UMB-AT08-00007","","","","26","22","1","1","6","14","13","30","28","5.2","1.4","21","5","5","3","","","1","5","6","4","","","","","","","","","","6.6","27.6","58","0.173333333","0.05","0.113793103","4.142857143","2.230769231","2.142857143","1.153846154","0.471428571","0.253846154","1.5","0.807692308","51.72413793","23.91304348","53.84615385","","","7.407407407","13.75661376","9.401709402","17.46031746","29.91452991","55.55555556","","","39.31623932","73.01587302"
"","","MZP2013UMB-AT08","","","","","","","","","MZP2013UMB-AT08-00008","","","","26","24","2","3","5","20","19","52","71","13","6","16","3","3","2","50.2","10.9","3","6","6","1","3.09","1.55","0.82","17.5820293","1.74","59.54","9.23","12.89","","19","35","123","0.25","0.084507042","0.154471545","6.15","4.730769231","2.6","2","0.95","0.730769231","0.8","0.615384615","42.27642276","54.28571429","76.92307692","21.71314741","4.125498008","18.51851852","24.07407407","27.06552707","35.18518519","22.79202279","29.62962963","5.876777789","7.639811126","49.85754986","64.81481481"
"","","MZP2013UMB-AT08","","","","","","","","","MZP2013UMB-AT08-00009","","","","26","20","2","1","6","17","17","72","36","21","2.2","11","1","3","3","50.3","11.7","1","7","5","3","2.46","1.71","0.75","30.6458759","14.37","49.41","13.15","18.49","0.86","23.2","34.2","108","0.291666667","0.061111111","0.214814815","6.352941176","4.153846154","4.235294118","2.769230769","1.364705882","0.892307692","0.647058824","0.423076923","66.66666667","67.83625731","65.38461538","23.26043738","5.396421471","29.91452991","45.75163399","33.04843305","50.54466231","15.66951567","23.96514161","7.687210073","11.75690952","48.71794872","74.50980392"
"","","MZP2013UMB-AT08","","","","","","","","","MZP2013UMB-AT08-00010","","","","26","19","1","1","7","13","12","34","40","10","4","23","5","5","1","50.7","17","1","6","8","3","3.28","1.5","0.98","32.5337601","5.49","67.01","2.81","4.57","5.95","14","37","74","0.294117647","0.1","0.189189189","5.692307692","2.846153846","2.615384615","1.307692308","1.076923077","0.538461538","1.769230769","0.884615385","45.94594595","37.83783784","50","33.53057199","4.694280079","14.24501425","28.49002849","19.94301994","39.88603989","32.76353276","65.52706553","6.687008659","13.37401732","52.70655271","105.4131054"
