"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2015GUR-MT02","","","","","","","","","MZP2015GUR-MT02-00001","","","","39","32","3","5","5","32","32","28","49","6.5","10.1","22.5","3","3","7","1","5","5","3","6.12","16.6","39.1","77","0.232142857","0.206122449","0.215584416","2.40625","1.974358974","0.875","0.717948718","0.51875","0.425641026","0.703125","0.576923077","36.36363636","42.45524297","82.05128205","6.172839506","7.523148148","15.76448243","19.21296296","21.36752137","26.04166667","37.1320038","45.25462963"
"","","MZP2015GUR-MT02","","","","","","","","","MZP2015GUR-MT02-00002","","","","39","32","1","5","5","31","31","20","35","5.5","7.5","17.5","3","3","5","1","5","5","3","7.23","13","30.5","55","0.275","0.214285714","0.236363636","1.774193548","1.41025641","0.64516129","0.512820513","0.419354839","0.333333333","0.564516129","0.448717949","36.36363636","42.62295082","79.48717949","5.22317189","6.571087216","12.34567901","15.53166069","16.61918329","20.90800478","28.9648623","36.43966547"
"","","MZP2015GUR-MT02","","","","","","","","","MZP2015GUR-MT02-00003","","","","39","35","1","5","7","35","35","44","78","11","17.6","29.5","1","3","7","1","5","5","3","7.23","28.6","58.1","122","0.25","0.225641026","0.23442623","3.485714286","3.128205128","1.257142857","1.128205128","0.817142857","0.733333333","0.842857143","0.756410256","36.06557377","49.22547332","89.74358974","10.44634378","11.64021164","27.16049383","30.26455026","28.01519468","31.21693122","55.17568851","61.48148148"
"","","MZP2015GUR-MT02","","","","","","","","","MZP2015GUR-MT02-00004","","","","39","30","1","3","5","30","30","20","40","5","10.5","21.7","3","5","5","3","3","3","1","","15.5","37.2","60","0.25","0.2625","0.258333333","2","1.538461538","0.666666667","0.512820513","0.516666667","0.397435897","0.723333333","0.556410256","33.33333333","41.66666667","76.92307692","4.748338082","6.172839506","14.71984805","19.13580247","20.60778727","26.79012346","35.32763533","45.92592593"
"","","MZP2015GUR-MT02","","","","","","","","","MZP2015GUR-MT02-00005","","","","39","28","3","5","5","28","28","25","39","5.5","9.8","24.5","5","5","5","3","3","3","3","3.03","15.3","39.8","64","0.22","0.251282051","0.2390625","2.285714286","1.641025641","0.892857143","0.641025641","0.546428571","0.392307692","0.875","0.628205128","39.0625","38.44221106","71.79487179","5.22317189","7.275132275","14.52991453","20.23809524","23.2668566","32.40740741","37.79677113","52.64550265"
"","","MZP2015GUR-MT02","","","","","","","","","MZP2015GUR-MT02-00006","","","","39","30","3","5","5","30","30","24","37","4","8.5","17.5","5","5","5","3","3","3","1","","12.5","30","61","0.166666667","0.22972973","0.204918033","2.033333333","1.564102564","0.8","0.615384615","0.416666667","0.320512821","0.583333333","0.448717949","39.3442623","41.66666667","76.92307692","3.798670465","4.938271605","11.8708452","15.43209877","16.61918329","21.60493827","28.49002849","37.03703704"
"","","MZP2015GUR-MT02","","","","","","","","","MZP2015GUR-MT02-00007","","","","39","29","3","5","5","29","29","21","35","5","7.6","12.5","5","5","5","1","5","5","3","6.12","12.6","25.1","56","0.238095238","0.217142857","0.225","1.931034483","1.435897436","0.724137931","0.538461538","0.434482759","0.323076923","0.431034483","0.320512821","37.5","50.19920319","74.35897436","4.748338082","6.385696041","11.96581197","16.09195402","11.8708452","15.9642401","23.83665717","32.05619413"
"","","MZP2015GUR-MT02","","","","","","","","","MZP2015GUR-MT02-00008","","","","39","32","1","5","5","32","32","19","34","4.5","7","11","3","5","5","1","7","7","3","10.5","11.5","22.5","53","0.236842105","0.205882353","0.216981132","1.65625","1.358974359","0.59375","0.487179487","0.359375","0.294871795","0.34375","0.282051282","35.8490566","51.11111111","82.05128205","4.273504274","5.208333333","10.92117759","13.31018519","10.44634378","12.73148148","21.36752137","26.04166667"
"","","MZP2015GUR-MT02","","","","","","","","","MZP2015GUR-MT02-00009","","","","39","38","1","3","7","30","30","29","41","6","9.5","10.3","3","3","5","3","3","3","1","","15.5","25.8","70","0.206896552","0.231707317","0.221428571","2.333333333","1.794871795","0.966666667","0.743589744","0.516666667","0.397435897","0.343333333","0.264102564","41.42857143","60.07751938","76.92307692","5.698005698","7.407407407","14.71984805","19.13580247","9.781576448","12.71604938","24.5014245","31.85185185"
"","","MZP2015GUR-MT02","","","","","","","","","MZP2015GUR-MT02-00010","","","","39","28","3","5","5","28","28","18","29","4.5","6.5","9.5","5","5","5","1","9","7","5","11.03","11","20.5","47","0.25","0.224137931","0.234042553","1.678571429","1.205128205","0.642857143","0.461538462","0.392857143","0.282051282","0.339285714","0.243589744","38.29787234","53.65853659","71.79487179","4.273504274","5.952380952","10.44634378","14.55026455","9.021842355","12.56613757","19.46818613","27.11640212"
