"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root dry matter content computing percent|CO_331:0000297","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00011","","","","39","32","3","1","7","19.5","19","4","4","18","0.5","0.6","3","3","4","30.7","3.76","4","2","3","4","1.1","20.6","22","0.125","0.033333333","0.05","1.157894737","0.564102564","0.210526316","0.102564103","0.057894737","0.028205128","1.026315789","0.5","18.18181818","5.339805825","48.71794872","0.3377","0.474833808","0.974658869","1.044634378","2.144249513","18.51851852","38.01169591","0.320702754","0.6582846","19.5631529","40.15594542"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00012","","","","39","30","1","1","8","11","8","4","6","8","1","0.5","3","2","4","30.15","1.38","","","","","1.5","12.5","14","0.166666667","0.0625","0.107142857","1.75","0.358974359","0.75","0.153846154","0.1875","0.038461538","1.375","0.282051282","42.85714286","12","20.51282051","0.45225","0.949667616","4.62962963","1.424501425","6.944444444","10.44634378","50.92592593","0.429487179","2.09375","11.8708452","57.87037037"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00013","","","","39","37","1","1","8","21","15","1","0","9","0","0.2","1","1","4","","0","","","","","0.2","21.2","9","","0.022222222","0.022222222","0.6","0.230769231","0","0","0.013333333","0.005128205","1.4","0.538461538","0","0.943396226","38.46153846","","0","0","0.189933523","0.49382716","19.94301994","51.85185185","","","20.13295347","52.34567901"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00014","","","","39","38","1","1","9","13","18","6","7","20","1","1","3","3","4","30.63","10.5","4","2","4","4","2","15","27","0.142857143","0.05","0.074074074","1.5","0.692307692","0.388888889","0.179487179","0.111111111","0.051282051","0.722222222","0.333333333","25.92592593","13.33333333","46.15384615","0.6126","0.949667616","2.057613169","1.899335233","4.115226337","12.34567901","26.74897119","0.581766382","1.260493827","14.24501425","30.86419753"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00015","","","","39","38","2","1","8","24","10","5","0","13","0","0.5","2","2","4","30.57","10.5","4","3","4","3","0.5","24.5","13","","0.038461538","0.038461538","1.3","0.333333333","0","0","0.05","0.012820513","2.4","0.615384615","0","2.040816327","25.64102564","0.15285","0","0","0.474833808","1.851851852","22.79202279","88.88888889","0.145156695","0.566111111","23.2668566","90.74074074"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00016","","","","39","38","1","1","8","15","18","7","7","7","1.1","1","3","3","4","30.33","7.23","5","2","5","4","2.1","17.1","14","0.157142857","0.142857143","0.15","0.777777778","0.358974359","0.388888889","0.179487179","0.116666667","0.053846154","0.833333333","0.384615385","50","12.28070175","46.15384615","0.63693","1.044634378","2.263374486","1.994301994","4.320987654","14.24501425","30.86419753","0.604871795","1.310555556","16.23931624","35.18518519"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00017","","","","39","37","1","1","9","16","12","9","19","46","1.8","1","3","3","4","27.33","7.76","4","3","3","3","2.8","18.8","65","0.094736842","0.02173913","0.043076923","5.416666667","1.666666667","1.583333333","0.487179487","0.233333333","0.071794872","1.333333333","0.41025641","29.23076923","14.89361702","30.76923077","0.76524","1.709401709","5.555555556","2.659069326","8.641975309","15.19468186","49.38271605","0.726723647","2.361851852","17.85375119","58.02469136"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00018","","","","39","35","3","5","7","14","17","12","13","52","1","3","3","3","4","30.3","7.76","5","2","4","4","4","18","65","0.076923077","0.057692308","0.061538462","3.823529412","1.666666667","0.764705882","0.333333333","0.235294118","0.102564103","0.823529412","0.358974359","20","22.22222222","43.58974359","1.212","0.949667616","2.178649237","3.798670465","8.71459695","13.29534663","30.50108932","1.150997151","2.640522876","17.09401709","39.21568627"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00019","","","","39","35","1","1","9","8","25","20","18","54","3","6","3","3","4","30.04","7.76","5","2","4","4","9","17","72","0.166666667","0.111111111","0.125","2.88","1.846153846","0.72","0.461538462","0.36","0.230769231","0.32","0.205128205","25","52.94117647","64.1025641","2.7036","2.849002849","4.444444444","8.547008547","13.33333333","7.597340931","11.85185185","2.567521368","4.005333333","16.14434948","25.18518519"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00020","","","","39","20","2","4","7","10","15","12","16","25","1.9","1","3","3","1","30.09","10.5","4","2","4","4","2.9","12.9","41","0.11875","0.04","0.070731707","2.733333333","1.051282051","1.066666667","0.41025641","0.193333333","0.074358974","0.666666667","0.256410256","39.02439024","22.48062016","38.46153846","0.87261","1.804368471","4.691358025","2.754036087","7.160493827","9.496676163","24.69135802","0.828689459","2.154592593","12.25071225","31.85185185"
