"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2015GUR-AT01","","","","","","","","","MZP2015GUR-AT01-00001","","","","39","31","1","5","7","13","13","17","23","5","6.5","10.5","8","5","5","5","11.5","22","40","0.294117647","0.282608696","0.2875","3.076923077","1.025641026","1.307692308","0.435897436","0.884615385","0.294871795","0.807692308","0.269230769","42.5","52.27272727","33.33333333","4.748338082","14.24501425","10.92117759","32.76353276","9.971509972","29.91452991","20.89268756","62.67806268"
"","","MZP2015GUR-AT01","","","","","","","","","MZP2015GUR-AT01-00002","","","","39","17","1","3","5","14","10","15","14","4.5","3.5","7.5","5","7","7","5","8","15.5","29","0.3","0.25","0.275862069","2.071428571","0.743589744","1.071428571","0.384615385","0.571428571","0.205128205","0.535714286","0.192307692","51.72413793","51.61290323","35.8974359","4.273504274","11.9047619","7.597340931","21.16402116","7.122507123","19.84126984","14.71984805","41.00529101"
"","","MZP2015GUR-AT01","","","","","","","","","MZP2015GUR-AT01-00003","","","","39","21","3","5","5","15","15","16","21","4.7","5.5","8","2","7","7","5","10.2","18.2","37","0.29375","0.261904762","0.275675676","2.466666667","0.948717949","1.066666667","0.41025641","0.68","0.261538462","0.533333333","0.205128205","43.24324324","56.04395604","38.46153846","4.463437797","11.60493827","9.686609687","25.18518519","7.597340931","19.75308642","17.28395062","44.9382716"
"","","MZP2015GUR-AT01","","","","","","","","","MZP2015GUR-AT01-00004","","","","39","19","3","5","5","17","17","15","21","5","4.5","7","5","5","5","5","9.5","16.5","36","0.333333333","0.214285714","0.263888889","2.117647059","0.923076923","0.882352941","0.384615385","0.558823529","0.243589744","0.411764706","0.179487179","41.66666667","57.57575758","43.58974359","4.748338082","10.89324619","9.021842355","20.69716776","6.647673314","15.25054466","15.66951567","35.94771242"
"","","MZP2015GUR-AT01","","","","","","","","","MZP2015GUR-AT01-00005","","","","39","22","3","5","5","18","18","20","32","5","6.7","6.5","6","5","5","5","11.7","18.2","52","0.25","0.209375","0.225","2.888888889","1.333333333","1.111111111","0.512820513","0.65","0.3","0.361111111","0.166666667","38.46153846","64.28571429","46.15384615","4.748338082","10.28806584","11.11111111","24.07407407","6.172839506","13.3744856","17.28395062","37.44855967"
"","","MZP2015GUR-AT01","","","","","","","","","MZP2015GUR-AT01-00006","","","","39","17","3","5","7","17","17","21","30","5.1","5.3","7","6","5","5","5","10.4","17.4","51","0.242857143","0.176666667","0.203921569","3","1.307692308","1.235294118","0.538461538","0.611764706","0.266666667","0.411764706","0.179487179","41.17647059","59.77011494","43.58974359","4.843304843","11.11111111","9.87654321","22.65795207","6.647673314","15.25054466","16.52421652","37.90849673"
"","","MZP2015GUR-AT01","","","","","","","","","MZP2015GUR-AT01-00007","","","","39","13","3","5","5","13","13","15","25","4.5","5.9","6.5","5","7","5","7","10.4","16.9","40","0.3","0.236","0.26","3.076923077","1.025641026","1.153846154","0.384615385","0.8","0.266666667","0.5","0.166666667","37.5","61.53846154","33.33333333","4.273504274","12.82051282","9.87654321","29.62962963","6.172839506","18.51851852","16.04938272","48.14814815"
"","","MZP2015GUR-AT01","","","","","","","","","MZP2015GUR-AT01-00008","","","","39","21","3","5","5","17","17","19","24","5","5.7","7","2","5","5","7","10.7","17.7","43","0.263157895","0.2375","0.248837209","2.529411765","1.102564103","1.117647059","0.487179487","0.629411765","0.274358974","0.411764706","0.179487179","44.18604651","60.4519774","43.58974359","4.748338082","10.89324619","10.16144349","23.31154684","6.647673314","15.25054466","16.80911681","38.5620915"
"","","MZP2015GUR-AT01","","","","","","","","","MZP2015GUR-AT01-00009","","","","39","29","3","5","5","18","18","20","31","5.5","5.7","7.5","6","5","5","7","11.2","18.7","51","0.275","0.183870968","0.219607843","2.833333333","1.307692308","1.111111111","0.512820513","0.622222222","0.287179487","0.416666667","0.192307692","39.21568627","59.89304813","46.15384615","5.22317189","11.31687243","10.6362773","23.04526749","7.122507123","15.43209877","17.75878443","38.47736626"
"","","MZP2015GUR-AT01","","","","","","","","","MZP2015GUR-AT01-00010","","","","39","31","3","5","5","17","17","19","22","5.5","6.5","8.5","6","5","5","5","12","20.5","41","0.289473684","0.295454545","0.292682927","2.411764706","1.051282051","1.117647059","0.487179487","0.705882353","0.307692308","0.5","0.217948718","46.34146341","58.53658537","43.58974359","5.22317189","11.98257081","11.3960114","26.14379085","8.072174739","18.51851852","19.46818613","44.66230937"
