"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT07","","","","","","","","","MZP2010UMB-AT07-00001","","","","39","23","1","1","6","23","8","17","20","4","1.2","23","5","5","1","50.9","10","4.85","1.97","1.5","124.31","97.92","46.65","43.96","4.2","6.61","23.18","5.2","28.2","37","0.235294118","0.06","0.140540541","1.608695652","0.948717949","0.739130435","0.435897436","0.226086957","0.133333333","1","0.58974359","45.94594595","18.43971631","58.97435897","19.64636542","1.021611002","3.798670465","6.441223833","4.938271605","8.373590982","21.84235518","37.03703704","0.970190885","1.645106283","26.78062678","45.41062802"
"","","MZP2010UMB-AT07","","","","","","","","","MZP2010UMB-AT07-00002","","","","39","23","1","1","6","23","23","16","35","4","7","29","6","5","2","50.3","15.7","3.68","1.41","1.29","166.35","84.43","5.75","68.06","2.38","4.45","4.73","11","40","51","0.25","0.2","0.215686275","2.217391304","1.307692308","0.695652174","0.41025641","0.47826087","0.282051282","1.260869565","0.743589744","31.37254902","27.5","58.97435897","31.21272366","3.433399602","3.798670465","6.441223833","10.44634378","17.71336554","27.54036087","46.69887279","3.260588416","5.528823836","37.98670465","64.41223833"
"","","MZP2010UMB-AT07","","","","","","","","","MZP2010UMB-AT07-00003","","","","39","26","3","1","6","18","18","53","22","13","3","16","7","6","1","50.7","13.2","7.06","2.42","1.83","262.82","145.58","29.37","58.47","2.95","5.8","5.99","16","32","75","0.245283019","0.136363636","0.213333333","4.166666667","1.923076923","2.944444444","1.358974359","0.888888889","0.41025641","0.888888889","0.41025641","70.66666667","50","46.15384615","26.03550296","4.165680473","12.34567901","26.74897119","15.19468186","32.9218107","15.19468186","32.9218107","3.956011846","8.571358999","30.38936372","65.8436214"
"","","MZP2010UMB-AT07","","","","","","","","","MZP2010UMB-AT07-00004","","","","39","16","1","1","5","12","12","13","17","4.4","4.2","15","7","6","3","","","","","","","","","","","","","8.6","23.6","30","0.338461538","0.247058824","0.286666667","2.5","0.769230769","1.083333333","0.333333333","0.716666667","0.220512821","1.25","0.384615385","43.33333333","36.44067797","30.76923077","","","4.178537512","13.58024691","8.1671415","26.54320988","14.24501425","46.2962963","","","22.41215575","72.83950617"
"","","MZP2010UMB-AT07","","","","","","","","","MZP2010UMB-AT07-00005","","","","39","17","1","2","4","9","9","5","18","1.4","1.5","11","6","4","2","","","","","","","","","","","","","2.9","13.9","23","0.28","0.083333333","0.126086957","2.555555556","0.58974359","0.555555556","0.128205128","0.322222222","0.074358974","1.222222222","0.282051282","21.73913043","20.86330935","23.07692308","","","1.329534663","5.761316872","2.754036087","11.93415638","10.44634378","45.26748971","","","13.20037987","57.20164609"
"","","MZP2010UMB-AT07","","","","","","","","","MZP2010UMB-AT07-00006","","","","39","13","2","1","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.128205128","","","","","","","","","","","",""
"","","MZP2010UMB-AT07","","","","","","","","","MZP2010UMB-AT07-00007","","","","39","23","4","4","7","18","5","10","8","3.2","1.8","35","5","5","3","50.5","15.1","3.47","1.55","1.48","200.36","94.87","23.69","63.86","2.67","4.84","5.82","5","40","18","0.32","0.225","0.277777778","1","0.461538462","0.555555556","0.256410256","0.277777778","0.128205128","1.944444444","0.897435897","55.55555556","12.5","46.15384615","29.9009901","1.495049505","3.038936372","6.58436214","4.748338082","10.28806584","33.23836657","72.01646091","1.4198001","3.076233549","37.98670465","82.30452675"
"","","MZP2010UMB-AT07","","","","","","","","","MZP2010UMB-AT07-00008","","","","39","19","3","1","5","14","1","7","5","2","0.5","16","6","6","1","50.5","13","4.3","1.92","1.67","111.26","99.42","33.8","57.82","2.59","4.89","11.06","2.5","18.5","12","0.285714286","0.1","0.208333333","0.857142857","0.307692308","0.5","0.179487179","0.178571429","0.064102564","1.142857143","0.41025641","58.33333333","13.51351351","35.8974359","25.74257426","0.643564356","1.899335233","5.291005291","2.374169041","6.613756614","15.19468186","42.32804233","0.611172228","1.702551208","17.5688509","48.94179894"
"","","MZP2010UMB-AT07","","","","","","","","","MZP2010UMB-AT07-00009","","","","39","23","1","1","4","14","12","25","28","5","0.6","4.5","6","4","2","50.5","13.7","3.9","1.49","1.23","155.26","73.96","25.73","60.45","3.9","6.19","10.56","5.6","10.1","53","0.2","0.021428571","0.105660377","3.785714286","1.358974359","1.785714286","0.641025641","0.4","0.143589744","0.321428571","0.115384615","47.16981132","55.44554455","35.8974359","27.12871287","1.519207921","4.748338082","13.22751323","5.318138651","14.81481481","4.273504274","11.9047619","1.442742565","4.019068574","9.591642925","26.71957672"
"","","MZP2010UMB-AT07","","","","","","","","","MZP2010UMB-AT07-00010","","","","39","22","1","1","4","20","16","20","5","6","0.5","15","5","6","3","50.5","12.2","3.51","1.67","1.36","171.37","82.54","44.64","60.59","3.16","5.18","8.37","6.5","21.5","25","0.3","0.1","0.26","1.25","0.641025641","1","0.512820513","0.325","0.166666667","0.75","0.384615385","80","30.23255814","51.28205128","24.15841584","1.57029703","5.698005698","11.11111111","6.172839506","12.03703704","14.24501425","27.77777778","1.491260237","2.907957462","20.41785375","39.81481481"
