"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_early_season_drought","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00001","","","","84","61","1","9","43","25","17","20","2","1","87","3","3","3","90","0.117647059","0.395348837","0.202380952","0.069767442","0.035714286","2.023255814","1.035714286","3.333333333","51.19047619","0.881834215","1.722652885","1.322751323","2.583979328","38.35978836","74.93540052","39.68253968","77.51937984","1","37","0.05","0.081081081","0.860465116","0.44047619","45.94594595"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00002","","","","84","28","1","5","10","8","7","6","0.4","0.8","16.8","7","9","1.2","18","0.057142857","0.7","0.083333333","0.12","0.014285714","1.68","0.2","6.666666667","11.9047619","0.176366843","1.481481481","0.529100529","4.444444444","7.407407407","62.22222222","7.936507937","66.66666667","1","13","0.133333333","0.092307692","1.3","0.154761905","53.84615385"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00003","","","","84","67","2","9","40","34","60","300","6","8.2","51.2","5","5","14.2","65.4","0.1","1.5","0.714285714","0.355","0.169047619","1.28","0.60952381","21.71253823","47.61904762","2.645502646","5.555555556","6.261022928","13.14814815","22.57495591","47.40740741","28.83597884","60.55555556","1","360","0.027333333","0.039444444","9","4.285714286","16.66666667"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00004","","","","84","69","1","9","48","43","62","94","14.2","4.8","53.6","3","5","19","72.6","0.229032258","1.291666667","0.738095238","0.395833333","0.226190476","1.116666667","0.638095238","26.1707989","57.14285714","6.261022928","10.95679012","8.377425044","14.66049383","23.63315697","41.35802469","32.01058201","56.01851852","1","156","0.05106383","0.121794872","3.25","1.857142857","39.74358974"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00005","","","","84","64","1","7","23","6","15","0","2","0","41","3","5","2","43","0.133333333","0.652173913","0.178571429","0.086956522","0.023809524","1.782608696","0.488095238","4.651162791","27.38095238","0.881834215","3.220611916","0.881834215","3.220611916","18.07760141","66.02254428","18.95943563","69.2431562","1","15","","0.133333333","0.652173913","0.178571429","100"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00006","","","","84","59","1","9","34","32","30","70","3.4","2.4","46","7","7","5.8","51.8","0.113333333","0.882352941","0.357142857","0.170588235","0.069047619","1.352941176","0.547619048","11.1969112","40.47619048","1.499118166","3.703703704","2.557319224","6.318082789","20.28218695","50.10893246","22.83950617","56.42701525","1","100","0.034285714","0.058","2.941176471","1.19047619","30"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00007","","","","84","62","1","9","52","41","60","225","7.8","4.6","77","5","5","12.4","89.4","0.13","1.153846154","0.714285714","0.238461538","0.147619048","1.480769231","0.916666667","13.87024609","61.9047619","3.439153439","5.555555556","5.467372134","8.831908832","33.95061728","54.84330484","39.41798942","63.67521368","1","285","0.020444444","0.043508772","5.480769231","3.392857143","21.05263158"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00008","","","","84","47","1","9","29","18","20","29","5.4","3","45.4","5","5","8.4","53.8","0.27","0.689655172","0.238095238","0.289655172","0.1","1.565517241","0.54047619","15.6133829","34.52380952","2.380952381","6.896551724","3.703703704","10.72796935","20.01763668","57.98212005","23.72134039","68.7100894","1","49","0.103448276","0.171428571","1.689655172","0.583333333","40.81632653"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00009","","","","84","61","1","9","47","21","13","29","1.6","1.2","77.4","3","7","2.8","80.2","0.123076923","0.276595745","0.154761905","0.059574468","0.033333333","1.646808511","0.921428571","3.49127182","55.95238095","0.705467372","1.260835303","1.234567901","2.206461781","34.12698413","60.9929078","35.36155203","63.19936958","1","42","0.04137931","0.066666667","0.893617021","0.5","30.95238095"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00010","","","","84","57","1","9","48","32","64","87","11.4","4.6","88.2","5","3","16","104.2","0.178125","1.333333333","0.761904762","0.333333333","0.19047619","1.8375","1.05","15.35508637","57.14285714","5.026455026","8.796296296","7.054673721","12.34567901","38.88888889","68.05555556","45.94356261","80.40123457","1","151","0.052873563","0.105960265","3.145833333","1.797619048","42.38410596"
