"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of vines per NET plot in kg|CO_331:0000227","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00001","","","","3","2","1","1","7","2","2","2","2","5.5","0.4","0.3","7","7","9","0.7","6.2","4","0.2","0.15","0.175","2","1.333333333","1","0.666666667","0.35","0.233333333","2.75","1.833333333","50","11.29032258","66.66666667","4.938271605","7.407407407","8.641975309","12.96296296","67.90123457","101.8518519","76.54320988","114.8148148"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00002","","","","3","2","1","1","7","2","2","1","3","6.7","0.3","0.5","9","9","9","0.8","7.5","4","0.3","0.166666667","0.2","2","1.333333333","0.5","0.333333333","0.4","0.266666667","3.35","2.233333333","25","10.66666667","66.66666667","3.703703704","5.555555556","9.87654321","14.81481481","82.71604938","124.0740741","92.59259259","138.8888889"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00003","","","","3","2","1","3","7","2","2","0","4","7","0","0.7","7","7","9","0.7","7.7","4","","0.175","0.175","2","1.333333333","0","0","0.35","0.233333333","3.5","2.333333333","0","9.090909091","66.66666667","0","0","8.641975309","12.96296296","86.41975309","129.6296296","95.0617284","142.5925926"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00004","","","","3","3","1","1","5","3","3","3","4","6.5","0.5","0.7","5","7","9","1.2","7.7","7","0.166666667","0.175","0.171428571","2.333333333","2.333333333","1","1","0.4","0.4","2.166666667","2.166666667","42.85714286","15.58441558","100","6.172839506","6.172839506","14.81481481","14.81481481","80.24691358","80.24691358","95.0617284","95.0617284"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00005","","","","3","2","1","1","5","2","2","1","3","7","0.3","0.5","7","7","7","0.8","7.8","4","0.3","0.166666667","0.2","2","1.333333333","0.5","0.333333333","0.4","0.266666667","3.5","2.333333333","25","10.25641026","66.66666667","3.703703704","5.555555556","9.87654321","14.81481481","86.41975309","129.6296296","96.2962963","144.4444444"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00006","","","","3","3","1","3","7","3","2","2","3","9","0.4","0.3","5","5","5","0.7","9.7","5","0.2","0.1","0.14","1.666666667","1.666666667","0.666666667","0.666666667","0.233333333","0.233333333","3","3","40","7.216494845","100","4.938271605","4.938271605","8.641975309","8.641975309","111.1111111","111.1111111","119.7530864","119.7530864"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00007","","","","3","2","1","1","5","2","2","1","4","5","0.2","1","7","1","7","1.2","6.2","5","0.2","0.25","0.24","2.5","1.666666667","0.5","0.333333333","0.6","0.4","2.5","1.666666667","20","19.35483871","66.66666667","2.469135802","3.703703704","14.81481481","22.22222222","61.72839506","92.59259259","76.54320988","114.8148148"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00008","","","","3","2","1","1","5","2","2","2","2","4.5","0.3","0.4","7","7","5","0.7","5.2","4","0.15","0.2","0.175","2","1.333333333","1","0.666666667","0.35","0.233333333","2.25","1.5","50","13.46153846","66.66666667","3.703703704","5.555555556","8.641975309","12.96296296","55.55555556","83.33333333","64.19753086","96.2962963"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00009","","","","3","3","1","1","7","3","3","1","4","5","0.3","0.7","9","7","7","1","6","5","0.3","0.175","0.2","1.666666667","1.666666667","0.333333333","0.333333333","0.333333333","0.333333333","1.666666667","1.666666667","20","16.66666667","100","3.703703704","3.703703704","12.34567901","12.34567901","61.72839506","61.72839506","74.07407407","74.07407407"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00010","","","","3","2","1","1","3","2","2","2","3","3","0.3","0.4","7","7","7","0.7","3.7","5","0.15","0.133333333","0.14","2.5","1.666666667","1","0.666666667","0.35","0.233333333","1.5","1","40","18.91891892","66.66666667","3.703703704","5.555555556","8.641975309","12.96296296","37.03703704","55.55555556","45.67901235","68.51851852"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00011","","","","3","3","1","1","5","3","2","1","4","3.5","0.2","0.5","5","7","7","0.7","4.2","5","0.2","0.125","0.14","1.666666667","1.666666667","0.333333333","0.333333333","0.233333333","0.233333333","1.166666667","1.166666667","20","16.66666667","100","2.469135802","2.469135802","8.641975309","8.641975309","43.20987654","43.20987654","51.85185185","51.85185185"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00012","","","","3","2","1","3","5","2","2","0","3","4.5","0","0.4","5","7","7","0.4","4.9","3","","0.133333333","0.133333333","1.5","1","0","0","0.2","0.133333333","2.25","1.5","0","8.163265306","66.66666667","0","0","4.938271605","7.407407407","55.55555556","83.33333333","60.49382716","90.74074074"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00013","","","","3","2","1","1","7","2","2","1","3","6","0.2","0.3","7","7","7","0.5","6.5","4","0.2","0.1","0.125","2","1.333333333","0.5","0.333333333","0.25","0.166666667","3","2","25","7.692307692","66.66666667","2.469135802","3.703703704","6.172839506","9.259259259","74.07407407","111.1111111","80.24691358","120.3703704"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00014","","","","3","2","1","5","5","2","2","3","5","6.5","0.4","0.7","7","9","9","1.1","7.6","8","0.133333333","0.14","0.1375","4","2.666666667","1.5","1","0.55","0.366666667","3.25","2.166666667","37.5","14.47368421","66.66666667","4.938271605","7.407407407","13.58024691","20.37037037","80.24691358","120.3703704","93.82716049","140.7407407"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00015","","","","3","3","1","5","5","3","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","",""
