"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010GUR-AT14","","","","","","","","","MZP2010GUR-AT14-00001","","","","39","38","1","2","5","31","30","14","75","8","16","8","4","1","3","3","1","3","5","5","12.39","24","32","89","0.571428571","0.213333333","0.269662921","2.870967742","2.282051282","0.451612903","0.358974359","0.774193548","0.615384615","0.258064516","0.205128205","15.73033708","75","79.48717949","7.597340931","9.557945042","22.79202279","28.67383513","7.597340931","9.557945042","30.38936372","38.23178017"
"","","MZP2010GUR-AT14","","","","","","","","","MZP2010GUR-AT14-00002","","","","39","35","2","3","6","24","20","0","47","0","9","5.6","6","3","7","7","5","3","3","3","7.76","9","14.6","47","","0.191489362","0.191489362","1.958333333","1.205128205","0","0","0.375","0.230769231","0.233333333","0.143589744","0","61.64383562","61.53846154","0","0","8.547008547","13.88888889","5.318138651","8.641975309","13.8651472","22.5308642"
"","","MZP2010GUR-AT14","","","","","","","","","MZP2010GUR-AT14-00003","","","","39","30","1","2","5","25","17","3","19","1","6","3","5","3","5","7","1","7","5","5","14.37","7","10","22","0.333333333","0.315789474","0.318181818","0.88","0.564102564","0.12","0.076923077","0.28","0.179487179","0.12","0.076923077","13.63636364","70","64.1025641","0.949667616","1.481481481","6.647673314","10.37037037","2.849002849","4.444444444","9.496676163","14.81481481"
"","","MZP2010GUR-AT14","","","","","","","","","MZP2010GUR-AT14-00004","","","","39","39","1","1","6","32","8","0","11","0","1","8","5","9","9","7","1","5","5","5","14.37","1","9","11","","0.090909091","0.090909091","0.34375","0.282051282","0","0","0.03125","0.025641026","0.25","0.205128205","0","11.11111111","82.05128205","0","0","0.949667616","1.157407407","7.597340931","9.259259259","8.547008547","10.41666667"
"","","MZP2010GUR-AT14","","","","","","","","","MZP2010GUR-AT14-00005","","","","39","38","1","2","6","37","30","0","36","0","3","7.8","3","5","5","7","1","5","3","3","12.39","3","10.8","36","","0.083333333","0.083333333","0.972972973","0.923076923","0","0","0.081081081","0.076923077","0.210810811","0.2","0","27.77777778","94.87179487","0","0","2.849002849","3.003003003","7.407407407","7.807807808","10.25641026","10.81081081"
"","","MZP2010GUR-AT14","","","","","","","","","MZP2010GUR-AT14-00006","","","","39","31","2","4","7","31","31","9","82","2","10","3.6","2","3","3","9","1","3","3","3","11.03","12","15.6","91","0.222222222","0.12195122","0.131868132","2.935483871","2.333333333","0.290322581","0.230769231","0.387096774","0.307692308","0.116129032","0.092307692","9.89010989","76.92307692","79.48717949","1.899335233","2.38948626","11.3960114","14.33691756","3.418803419","4.301075269","14.81481481","18.63799283"
"","","MZP2010GUR-AT14","","","","","","","","","MZP2010GUR-AT14-00007","","","","39","30","1","3","5","26","21","0","24","0","3","3","5","5","7","9","1","5","5","3","14.37","3","6","24","","0.125","0.125","0.923076923","0.615384615","0","0","0.115384615","0.076923077","0.115384615","0.076923077","0","50","66.66666667","0","0","2.849002849","4.273504274","2.849002849","4.273504274","5.698005698","8.547008547"
"","","MZP2010GUR-AT14","","","","","","","","","MZP2010GUR-AT14-00008","","","","39","34","1","2","5","34","34","9","48","2.4","12.3","7.6","5","1","5","7","1","3","5","3","14.37","14.7","22.3","57","0.266666667","0.25625","0.257894737","1.676470588","1.461538462","0.264705882","0.230769231","0.432352941","0.376923077","0.223529412","0.194871795","15.78947368","65.91928251","87.17948718","2.279202279","2.614379085","13.96011396","16.0130719","7.217473884","8.278867102","21.17758784","24.291939"
"","","MZP2010GUR-AT14","","","","","","","","","MZP2010GUR-AT14-00009","","","","39","33","2","4","5","33","33","11","94","5","16","5.5","4","1","3","7","3","3","3","1","6.12","21","26.5","105","0.454545455","0.170212766","0.2","3.181818182","2.692307692","0.333333333","0.282051282","0.636363636","0.538461538","0.166666667","0.141025641","10.47619048","79.24528302","84.61538462","4.748338082","5.611672278","19.94301994","23.56902357","5.22317189","6.172839506","25.16619183","29.74186308"
"","","MZP2010GUR-AT14","","","","","","","","","MZP2010GUR-AT14-00010","","","","39","30","1","4","5","22","22","0","34","0","3.4","4.2","4","5","5","7","1","5","3","3","11.03","3.4","7.6","34","","0.1","0.1","1.545454545","0.871794872","0","0","0.154545455","0.087179487","0.190909091","0.107692308","0","44.73684211","56.41025641","0","0","3.228869896","5.723905724","3.988603989","7.070707071","7.217473884","12.79461279"
