"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","treatment_non_irrigation"
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00001","","","","26","18","1","1","6","15","0","0","0","0","0","1","","","","","","","","","","","","","","","","0","1","0","","","","0","0","0","0","0","0","0.066666667","0.038461538","","0","57.69230769","0","0","0","0","1.424501425","2.469135802","1.424501425","2.469135802","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00002","","","","26","23","1","1","8","22","11","14","17","2","0.9","8.5","4","5","2","1","5","7","3","2.45","1.26","0.69","0","63.17","3.78","5.03","10.14","2.9","11.4","31","0.142857143","0.052941176","0.093548387","1.409090909","1.192307692","0.636363636","0.538461538","0.131818182","0.111538462","0.386363636","0.326923077","45.16129032","25.43859649","84.61538462","2.849002849","3.367003367","4.131054131","4.882154882","12.10826211","14.30976431","16.23931624","19.19191919","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00003","","","","26","24","1","1","8","18","10","5","20","1.1","1","8.8","5","6","1","1","5","7","3","","","","","","","","","2.1","10.9","25","0.22","0.05","0.084","1.388888889","0.961538462","0.277777778","0.192307692","0.116666667","0.080769231","0.488888889","0.338461538","20","19.26605505","69.23076923","1.566951567","2.263374486","2.991452991","4.320987654","12.53561254","18.10699588","15.52706553","22.42798354","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00004","","","","26","23","1","3","9","22","14","35","67","1.2","1.4","15.2","6","7","1","1","7","5","3","","","","","","","","","2.6","17.8","102","0.034285714","0.020895522","0.025490196","4.636363636","3.923076923","1.590909091","1.346153846","0.118181818","0.1","0.690909091","0.584615385","34.31372549","14.60674157","84.61538462","1.709401709","2.02020202","3.703703704","4.377104377","21.65242165","25.58922559","25.35612536","29.96632997","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00005","","","","26","25","1","2","7","9","3","7","15","0.2","0.1","0.2","5","7","1","3","5","7","3","","","","","","","","","0.3","0.5","22","0.028571429","0.006666667","0.013636364","2.444444444","0.846153846","0.777777778","0.269230769","0.033333333","0.011538462","0.022222222","0.007692308","31.81818182","60","34.61538462","0.284900285","0.823045267","0.427350427","1.234567901","0.284900285","0.823045267","0.712250712","2.057613169","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00006","","","","26","25","1","1","6","11","2","0","7","0","0.2","1.2","8","7","1","1","5","5","3","","","","","","","","","0.2","1.4","7","","0.028571429","0.028571429","0.636363636","0.269230769","0","0","0.018181818","0.007692308","0.109090909","0.046153846","0","14.28571429","42.30769231","0","0","0.284900285","0.673400673","1.709401709","4.04040404","1.994301994","4.713804714","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00007","","","","26","24","1","1","7","19","11","17","20","1.4","0.4","7","3","4","1","1","5","7","3","1.94","1.45","0.68","20.731","48.44","9.96","13.25","8.32","1.8","8.8","37","0.082352941","0.02","0.048648649","1.947368421","1.423076923","0.894736842","0.653846154","0.094736842","0.069230769","0.368421053","0.269230769","45.94594595","20.45454545","73.07692308","1.994301994","2.729044834","2.564102564","3.50877193","9.971509972","13.64522417","12.53561254","17.1539961","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00008","","","","26","26","1","1","9","20","5","0","22","0","0.4","10.5","8","8","1","3","7","7","1","","","","","","","","","0.4","10.9","22","","0.018181818","0.018181818","1.1","0.846153846","0","0","0.02","0.015384615","0.525","0.403846154","0","3.669724771","76.92307692","0","0","0.56980057","0.740740741","14.95726496","19.44444444","15.52706553","20.18518519","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00009","","","","26","25","1","1","9","24","7","5","17","0.2","0.9","19.5","6","7","1","1","9","9","1","3.79","1.54","0.81","10.049","69.61","0.63","2.44","15.61","1.1","20.6","22","0.04","0.052941176","0.05","0.916666667","0.846153846","0.208333333","0.192307692","0.045833333","0.042307692","0.8125","0.75","22.72727273","5.339805825","92.30769231","0.284900285","0.308641975","1.566951567","1.697530864","27.77777778","30.09259259","29.34472934","31.79012346","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00010","","","","26","25","1","2","8","19","18","23","25","4","1.2","17","3","3","1","1","5","7","1","4.61","1.6","0.85","2.801","62.75","2.29","3.58","11.08","5.2","22.2","48","0.173913043","0.048","0.108333333","2.526315789","1.846153846","1.210526316","0.884615385","0.273684211","0.2","0.894736842","0.653846154","47.91666667","23.42342342","73.07692308","5.698005698","7.797270955","7.407407407","10.13645224","24.21652422","33.13840156","31.62393162","43.2748538","1",""
