"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00011","","","","39","30","1","1","5","29","11","20","3.5","5.7","25.7","5","7","7","1","7.23","9.2","34.9","31","0.318181818","0.285","0.296774194","1.068965517","0.794871795","0.379310345","0.282051282","0.317241379","0.235897436","0.886206897","0.658974359","35.48387097","26.36103152","74.35897436","3.323836657","4.469987229","8.73694207","11.74968072","24.40645774","32.82247765","33.14339981","44.57215837"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00012","","","","39","38","1","3","7","35","29","43","7.5","10.7","28.5","6","3","3","3","7.23","18.2","46.7","72","0.25862069","0.248837209","0.252777778","2.057142857","1.846153846","0.828571429","0.743589744","0.52","0.466666667","0.814285714","0.730769231","40.27777778","38.97216274","89.74358974","7.122507123","7.936507937","17.28395062","19.25925926","27.06552707","30.15873016","44.34947768","49.41798942"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00013","","","","39","35","1","1","5","34","12","27","3.7","6.7","21","2","5","5","1","10.5","10.4","31.4","39","0.308333333","0.248148148","0.266666667","1.147058824","1","0.352941176","0.307692308","0.305882353","0.266666667","0.617647059","0.538461538","30.76923077","33.12101911","87.17948718","3.51377018","4.030501089","9.87654321","11.32897603","19.94301994","22.87581699","29.81956315","34.20479303"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00014","","","","39","36","1","1","5","31","14","26","3.9","7","19.5","6","5","5","1","10.5","10.9","30.4","40","0.278571429","0.269230769","0.2725","1.290322581","1.025641026","0.451612903","0.358974359","0.351612903","0.279487179","0.629032258","0.5","35","35.85526316","79.48717949","3.703703704","4.659498208","10.35137702","13.02270012","18.51851852","23.29749104","28.86989554","36.32019116"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00015","","","","39","35","1","1","5","34","27","49","8","12","27.1","2","3","3","3","11.03","20","47.1","76","0.296296296","0.244897959","0.263157895","2.235294118","1.948717949","0.794117647","0.692307692","0.588235294","0.512820513","0.797058824","0.694871795","35.52631579","42.46284501","87.17948718","7.597340931","8.71459695","18.99335233","21.78649237","25.7359924","29.52069717","44.72934473","51.30718954"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00016","","","","39","33","1","1","5","32","33","51","8","13.7","24.5","2","1","1","1","7.76","21.7","46.2","84","0.242424242","0.268627451","0.258333333","2.625","2.153846154","1.03125","0.846153846","0.678125","0.556410256","0.765625","0.628205128","39.28571429","46.96969697","82.05128205","7.597340931","9.259259259","20.60778727","25.11574074","23.2668566","28.35648148","43.87464387","53.47222222"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00017","","","","39","32","1","1","5","32","39","62","9.9","14.7","32.1","8","3","5","1","10.5","24.6","56.7","101","0.253846154","0.237096774","0.243564356","3.15625","2.58974359","1.21875","1","0.76875","0.630769231","1.003125","0.823076923","38.61386139","43.38624339","82.05128205","9.401709402","11.45833333","23.36182336","28.47222222","30.48433048","37.15277778","53.84615385","65.625"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00018","","","","39","33","1","1","5","32","47","77","10.5","15.7","28.3","4","3","3","1","11.03","26.2","54.5","124","0.223404255","0.203896104","0.211290323","3.875","3.179487179","1.46875","1.205128205","0.81875","0.671794872","0.884375","0.725641026","37.90322581","48.0733945","82.05128205","9.971509972","12.15277778","24.88129155","30.32407407","26.87559354","32.75462963","51.75688509","63.0787037"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00019","","","","39","35","1","1","7","34","46","79","11","16.9","31.1","5","1","1","1","10.5","27.9","59","125","0.239130435","0.213924051","0.2232","3.676470588","3.205128205","1.352941176","1.179487179","0.820588235","0.715384615","0.914705882","0.797435897","36.8","47.28813559","87.17948718","10.44634378","11.98257081","26.4957265","30.39215686","29.53466287","33.87799564","56.03038936","64.27015251"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00020","","","","39","36","1","1","5","35","41","67","10.1","14","28.1","7","1","1","1","14.37","24.1","52.2","108","0.246341463","0.208955224","0.223148148","3.085714286","2.769230769","1.171428571","1.051282051","0.688571429","0.617948718","0.802857143","0.720512821","37.96296296","46.16858238","89.74358974","9.591642925","10.68783069","22.88698955","25.5026455","26.68566002","29.73544974","49.57264957","55.23809524"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00021","","","","39","38","3","5","5","25","20","37","5","6.7","16.1","8","3","3","3","","11.7","27.8","57","0.25","0.181081081","0.205263158","2.28","1.461538462","0.8","0.512820513","0.468","0.3","0.644","0.412820513","35.0877193","42.08633094","64.1025641","4.748338082","7.407407407","11.11111111","17.33333333","15.28964862","23.85185185","26.40075973","41.18518519"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00022","","","","39","30","1","1","5","27","39","57","8.5","12.8","15.5","4","3","3","3","7.23","21.3","36.8","96","0.217948718","0.224561404","0.221875","3.555555556","2.461538462","1.444444444","1","0.788888889","0.546153846","0.574074074","0.397435897","40.625","57.88043478","69.23076923","8.072174739","11.65980796","20.22792023","29.218107","14.71984805","21.26200274","34.94776828","50.48010974"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00023","","","","39","32","1","3","5","31","19","26","5","7","13.5","5","5","5","5","11.03","12","25.5","45","0.263157895","0.269230769","0.266666667","1.451612903","1.153846154","0.612903226","0.487179487","0.387096774","0.307692308","0.435483871","0.346153846","42.22222222","47.05882353","79.48717949","4.748338082","5.973715651","11.3960114","14.33691756","12.82051282","16.12903226","24.21652422","30.46594982"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00024","","","","39","31","1","1","5","30","29","39","7","7.9","19.5","7","3","5","1","7.23","14.9","34.4","68","0.24137931","0.202564103","0.219117647","2.266666667","1.743589744","0.966666667","0.743589744","0.496666667","0.382051282","0.65","0.5","42.64705882","43.31395349","76.92307692","6.647673314","8.641975309","14.15004748","18.39506173","18.51851852","24.07407407","32.668566","42.4691358"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00025","","","","39","30","1","1","5","29","15","22","4","6","23.3","4","5","5","3","7.23","10","33.3","37","0.266666667","0.272727273","0.27027027","1.275862069","0.948717949","0.517241379","0.384615385","0.344827586","0.256410256","0.803448276","0.597435897","40.54054054","30.03003003","74.35897436","3.798670465","5.108556833","9.496676163","12.77139208","22.12725546","29.75734355","31.62393162","42.52873563"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00026","","","","39","29","1","1","7","28","33","47","8.7","11.5","24.5","4","3","3","1","11.03","20.2","44.7","80","0.263636364","0.244680851","0.2525","2.857142857","2.051282051","1.178571429","0.846153846","0.721428571","0.517948718","0.875","0.628205128","41.25","45.1901566","71.79487179","8.262108262","11.50793651","19.18328585","26.71957672","23.2668566","32.40740741","42.45014245","59.12698413"
