"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00011","","","","39","28","1","3","5","27","27","19","22","4","5","17","6","5","5","1","9","26","41","0.210526316","0.227272727","0.219512195","1.518518519","1.051282051","0.703703704","0.487179487","0.333333333","0.230769231","0.62962963","0.435897436","46.34146341","34.61538462","69.23076923","3.798670465","5.48696845","8.547008547","12.34567901","16.14434948","23.31961591","24.69135802","35.66529492"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00012","","","","39","32","1","3","5","31","30","29","30","7.1","6.5","14.3","8","5","5","5","13.6","27.9","59","0.244827586","0.216666667","0.230508475","1.903225806","1.512820513","0.935483871","0.743589744","0.438709677","0.348717949","0.461290323","0.366666667","49.15254237","48.74551971","79.48717949","6.742640076","8.482676225","12.91547958","16.24850657","13.58024691","17.08482676","26.4957265","33.33333333"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00013","","","","39","25","1","1","5","25","25","42","31","9.5","5.9","7.7","6","5","5","1","15.4","23.1","73","0.226190476","0.190322581","0.210958904","2.92","1.871794872","1.68","1.076923077","0.616","0.394871795","0.308","0.197435897","57.53424658","66.66666667","64.1025641","9.021842355","14.07407407","14.62488129","22.81481481","7.312440646","11.40740741","21.93732194","34.22222222"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00014","","","","39","30","1","1","5","30","30","50","32","11.5","6.3","5.5","6","3","3","1","17.8","23.3","82","0.23","0.196875","0.217073171","2.733333333","2.102564103","1.666666667","1.282051282","0.593333333","0.456410256","0.183333333","0.141025641","60.97560976","76.39484979","76.92307692","10.92117759","14.19753086","16.90408357","21.97530864","5.22317189","6.790123457","22.12725546","28.7654321"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00015","","","","39","31","1","3","7","29","28","22","32","5","6.5","10.3","6","5","5","1","11.5","21.8","54","0.227272727","0.203125","0.212962963","1.862068966","1.384615385","0.75862069","0.564102564","0.396551724","0.294871795","0.355172414","0.264102564","40.74074074","52.75229358","74.35897436","4.748338082","6.385696041","10.92117759","14.68710089","9.781576448","13.15453384","20.70275404","27.84163474"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00016","","","","39","29","1","1","7","27","26","19","30","4.2","6.7","9.4","8","3","3","3","10.9","20.3","49","0.221052632","0.223333333","0.22244898","1.814814815","1.256410256","0.703703704","0.487179487","0.403703704","0.279487179","0.348148148","0.241025641","38.7755102","53.69458128","69.23076923","3.988603989","5.761316872","10.35137702","14.95198903","8.926875594","12.89437586","19.27825261","27.84636488"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00017","","","","39","37","1","1","5","35","33","27","32","7.5","6.5","17.3","8","5","5","3","14","31.3","59","0.277777778","0.203125","0.237288136","1.685714286","1.512820513","0.771428571","0.692307692","0.4","0.358974359","0.494285714","0.443589744","45.76271186","44.7284345","89.74358974","7.122507123","7.936507937","13.29534663","14.81481481","16.42924976","18.30687831","29.72459639","33.12169312"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00018","","","","39","32","1","1","5","31","31","31","40","8.1","7.9","13","4","3","3","3","16","29","71","0.261290323","0.1975","0.225352113","2.290322581","1.820512821","1","0.794871795","0.516129032","0.41025641","0.419354839","0.333333333","43.66197183","55.17241379","79.48717949","7.692307692","9.677419355","15.19468186","19.11589008","12.34567901","15.53166069","27.54036087","34.64755078"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00019","","","","39","33","1","1","5","30","30","24","31","6.8","6.5","6.7","4","3","3","3","13.3","20","55","0.283333333","0.209677419","0.241818182","1.833333333","1.41025641","0.8","0.615384615","0.443333333","0.341025641","0.223333333","0.171794872","43.63636364","66.5","76.92307692","6.457739791","8.395061728","12.6305793","16.41975309","6.362773029","8.271604938","18.99335233","24.69135802"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00020","","","","39","29","1","1","5","27","27","27","20","6.6","5.1","8.5","5","3","5","3","11.7","20.2","47","0.244444444","0.255","0.24893617","1.740740741","1.205128205","1","0.692307692","0.433333333","0.3","0.314814815","0.217948718","57.44680851","57.92079208","69.23076923","6.267806268","9.053497942","11.11111111","16.04938272","8.072174739","11.65980796","19.18328585","27.70919067"
