"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682","treatment_irrigation"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00001","","","","75","42","5","1","28","23","61","45","10.36","1.14","20","3","3","3","11.5","31.5","0.169836066","2.178571429","0.813333333","0.410714286","0.153333333","0.714285714","0.266666667","36.50793651","37.33333333","5.116049383","13.7037037","5.679012346","15.21164021","9.87654321","26.45502646","15.55555556","41.66666667","106","0.025333333","0.108490566","3.785714286","1.413333333","57.54716981","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00002","","","","75","64","3","1","49","45","204","125","21.9","3.96","42","1","5","3","25.86","67.86","0.107352941","4.163265306","2.72","0.527755102","0.3448","0.857142857","0.56","38.10786914","65.33333333","10.81481481","16.55328798","12.77037037","19.54648526","20.74074074","31.74603175","33.51111111","51.29251701","329","0.03168","0.078601824","6.714285714","4.386666667","62.00607903","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00003","","","","75","65","5","1","53","49","153","145","23.16","3.5","16.6","5","3","3","26.66","43.26","0.151372549","2.886792453","2.04","0.503018868","0.355466667","0.313207547","0.221333333","61.62736939","70.66666667","11.43703704","16.18448637","13.1654321","18.63032844","8.197530864","11.60027952","21.36296296","30.23060797","298","0.024137931","0.089463087","5.622641509","3.973333333","51.34228188","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00004","","","","75","58","1","1","45","42","85","150","13.1","6.58","52.8","1","5","3","19.68","72.48","0.154117647","1.888888889","1.133333333","0.437333333","0.2624","1.173333333","0.704","27.15231788","60","6.469135802","10.781893","9.718518519","16.19753086","26.07407407","43.45679012","35.79259259","59.65432099","235","0.043866667","0.083744681","5.222222222","3.133333333","36.17021277","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00005","","","","75","39","5","1","21","21","44","20","9.66","0.96","27.2","5","3","5","10.62","37.82","0.219545455","2.095238095","0.586666667","0.505714286","0.1416","1.295238095","0.362666667","28.08038075","28","4.77037037","17.03703704","5.244444444","18.73015873","13.43209877","47.97178131","18.67654321","66.70194004","64","0.048","0.1659375","3.047619048","0.853333333","68.75","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00006","","","","75","57","3","1","44","42","74","207","7.28","6.7","51.6","1","5","5","13.98","65.58","0.098378378","1.681818182","0.986666667","0.317727273","0.1864","1.172727273","0.688","21.31747484","58.66666667","3.595061728","6.127946128","6.903703704","11.76767677","25.48148148","43.43434343","32.38518519","55.2020202","281","0.03236715","0.04975089","6.386363636","3.746666667","26.33451957","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00007","","","","75","57","5","1","43","43","100","62","31.82","12.32","32.6","3","1","5","44.14","76.74","0.3182","2.325581395","1.333333333","1.026511628","0.588533333","0.758139535","0.434666667","57.51889497","57.33333333","15.71358025","27.40740741","21.79753086","38.01894918","16.09876543","28.07924203","37.8962963","66.09819121","162","0.198709677","0.272469136","3.76744186","2.16","61.72839506","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00008","","","","75","48","3","1","25","24","35","50","8.86","2","66.8","1","3","5","10.86","77.66","0.253142857","1.4","0.466666667","0.4344","0.1448","2.672","0.890666667","13.98403296","33.33333333","4.375308642","13.12592593","5.362962963","16.08888889","32.98765432","98.96296296","38.35061728","115.0518519","85","0.04","0.127764706","3.4","1.133333333","41.17647059","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00009","","","","75","40","3","1","27","27","100","110","24.48","8.62","35.6","3","3","3","33.1","68.7","0.2448","3.703703704","1.333333333","1.225925926","0.441333333","1.318518519","0.474666667","48.18049491","36","12.08888889","33.58024691","16.34567901","45.40466392","17.58024691","48.8340192","33.92592593","94.23868313","210","0.078363636","0.157619048","7.777777778","2.8","47.61904762","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00010","","","","75","63","3","1","48","47","130","140","36.22","22.68","45.4","3","1","1","58.9","104.3","0.278615385","2.708333333","1.733333333","1.227083333","0.785333333","0.945833333","0.605333333","56.4717162","64","17.88641975","27.94753086","29.08641975","45.44753086","22.41975309","35.0308642","51.50617284","80.47839506","270","0.162","0.218148148","5.625","3.6","48.14814815","1"
