"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-AT02","","","","","","","","","MZP2018GUR-AT02-00001","","","","39","39","1","1","7","37","19","22","5","5.7","23.5","8","5","5","1","10.7","34.2","41","0.263157895","0.259090909","0.26097561","1.108108108","1.051282051","0.513513514","0.487179487","0.289189189","0.274358974","0.635135135","0.602564103","46.34146341","31.28654971","94.87179487","4.748338082","5.005005005","10.16144349","10.71071071","22.31718898","23.52352352","32.47863248","34.23423423"
"","","MZP2018GUR-AT02","","","","","","","","","MZP2018GUR-AT02-00002","","","","39","30","1","3","5","30","8","17","2","5","9.5","8","7","7","3","7","16.5","25","0.25","0.294117647","0.28","0.833333333","0.641025641","0.266666667","0.205128205","0.233333333","0.179487179","0.316666667","0.243589744","32","42.42424242","76.92307692","1.899335233","2.469135802","6.647673314","8.641975309","9.021842355","11.72839506","15.66951567","20.37037037"
"","","MZP2018GUR-AT02","","","","","","","","","MZP2018GUR-AT02-00003","","","","39","28","1","5","5","27","21","37","6","10.5","17","5","3","3","3","16.5","33.5","58","0.285714286","0.283783784","0.284482759","2.148148148","1.487179487","0.777777778","0.538461538","0.611111111","0.423076923","0.62962963","0.435897436","36.20689655","49.25373134","69.23076923","5.698005698","8.230452675","15.66951567","22.63374486","16.14434948","23.31961591","31.81386515","45.95336077"
"","","MZP2018GUR-AT02","","","","","","","","","MZP2018GUR-AT02-00004","","","","39","25","1","1","5","24","18","39","5","9.5","24","8","3","5","1","14.5","38.5","57","0.277777778","0.243589744","0.254385965","2.375","1.461538462","0.75","0.461538462","0.604166667","0.371794872","1","0.615384615","31.57894737","37.66233766","61.53846154","4.748338082","7.716049383","13.77018044","22.37654321","22.79202279","37.03703704","36.56220323","59.41358025"
"","","MZP2018GUR-AT02","","","","","","","","","MZP2018GUR-AT02-00005","","","","39","35","1","1","7","35","11","18","3.5","6.5","17.5","8","5","5","1","10","27.5","29","0.318181818","0.361111111","0.344827586","0.828571429","0.743589744","0.314285714","0.282051282","0.285714286","0.256410256","0.5","0.448717949","37.93103448","36.36363636","89.74358974","3.323836657","3.703703704","9.496676163","10.58201058","16.61918329","18.51851852","26.11585945","29.1005291"
"","","MZP2018GUR-AT02","","","","","","","","","MZP2018GUR-AT02-00006","","","","39","30","1","1","5","30","0","12","0","5","6","8","7","7","5","5","11","12","","0.416666667","0.416666667","0.4","0.307692308","0","0","0.166666667","0.128205128","0.2","0.153846154","0","45.45454545","76.92307692","0","0","4.748338082","6.172839506","5.698005698","7.407407407","10.44634378","13.58024691"
"","","MZP2018GUR-AT02","","","","","","","","","MZP2018GUR-AT02-00007","","","","39","39","1","1","7","38","18","29","5","8.5","19.5","7","3","3","1","13.5","33","47","0.277777778","0.293103448","0.287234043","1.236842105","1.205128205","0.473684211","0.461538462","0.355263158","0.346153846","0.513157895","0.5","38.29787234","40.90909091","97.43589744","4.748338082","4.873294347","12.82051282","13.15789474","18.51851852","19.00584795","31.33903134","32.16374269"
"","","MZP2018GUR-AT02","","","","","","","","","MZP2018GUR-AT02-00008","","","","39","18","1","5","5","17","8","13","2","4","7","6","7","7","7","6","13","21","0.25","0.307692308","0.285714286","1.235294118","0.538461538","0.470588235","0.205128205","0.352941176","0.153846154","0.411764706","0.179487179","38.0952381","46.15384615","43.58974359","1.899335233","4.357298475","5.698005698","13.07189542","6.647673314","15.25054466","12.34567901","28.32244009"
"","","MZP2018GUR-AT02","","","","","","","","","MZP2018GUR-AT02-00009","","","","39","25","1","1","7","25","19","32","5","8","19.5","6","5","5","3","13","32.5","51","0.263157895","0.25","0.254901961","2.04","1.307692308","0.76","0.487179487","0.52","0.333333333","0.78","0.5","37.25490196","40","64.1025641","4.748338082","7.407407407","12.34567901","19.25925926","18.51851852","28.88888889","30.86419753","48.14814815"
"","","MZP2018GUR-AT02","","","","","","","","","MZP2018GUR-AT02-00010","","","","39","29","1","1","5","28","17","35","5","8.2","15.3","7","5","3","1","13.2","28.5","52","0.294117647","0.234285714","0.253846154","1.857142857","1.333333333","0.607142857","0.435897436","0.471428571","0.338461538","0.546428571","0.392307692","32.69230769","46.31578947","71.79487179","4.748338082","6.613756614","12.53561254","17.46031746","14.52991453","20.23809524","27.06552707","37.6984127"
