"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|CO_331:0000198","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00001","","","","26","25","3","3","6","1","1","14","14","18","29","4","1","5.2","3","3","1","50.2","12.4","1","3","7","5","3.64","1.73","1.02","29.97","69.65","45.44","57.38","4.07","5.65","14.66","0.39","5","10.2","47","0.222222222","0.034482759","0.106382979","3.357142857","1.807692308","1.285714286","0.692307692","0.357142857","0.192307692","0.371428571","0.2","38.29787234","49.01960784","53.84615385","24.70119522","1.235059761","5.698005698","10.58201058","7.122507123","13.22751323","7.407407407","13.75661376","1.759344389","3.267353865","14.52991453","26.98412698"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00002","","","","26","3","2","8","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00003","","","","26","20","1","1","9","1","1","13","12","16","17","5","2.4","8","1","5","1","47","15.7","","","","","3.2","1.6","0.87","91.05","79.45","34.31","60.18","5.61","7.48","6.38","1.09","7.4","15.4","33","0.3125","0.141176471","0.224242424","2.538461538","1.269230769","1.230769231","0.615384615","0.569230769","0.284615385","0.615384615","0.307692308","48.48484848","48.05194805","50","33.40425532","2.471914894","7.122507123","14.24501425","10.54131054","21.08262108","11.3960114","22.79202279","3.521246287","7.042492574","21.93732194","43.87464387"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00004","","","","26","17","3","3","5","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.692307692","","","","","","","","","","","",""
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00005","","","","26","18","2","3","6","1","1","8","7","6","7","2.2","0.4","2","3","3","1","45.8","14","5","5","5","3","2.83","1.38","0.85","103.87","85.68","16.53","62.28","4.96","6.69","7.56","0.4","2.6","4.6","13","0.366666667","0.057142857","0.2","1.625","0.5","0.75","0.230769231","0.325","0.1","0.25","0.076923077","46.15384615","56.52173913","30.76923077","30.56768559","0.794759825","3.133903134","10.18518519","3.703703704","12.03703704","2.849002849","9.259259259","1.132136503","3.679443636","6.552706553","21.2962963"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00006","","","","26","19","4","6","4","1","1","4","4","2","2","0.2","0.1","0.3","1","3","1","","","3","7","9","1","","","","","","","","","","","","0.3","0.6","4","0.1","0.05","0.075","1","0.153846154","0.5","0.076923077","0.075","0.011538462","0.075","0.011538462","50","50","15.38461538","","","0.284900285","1.851851852","0.427350427","2.777777778","0.427350427","2.777777778","","","0.854700855","5.555555556"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00007","","","","26","23","3","5","6","1","1","10","9","20","37","4","2.4","2","3","3","1","50.3","11.1","1","7","9","5","4.39","2.26","1.45","165.58","146.11","52.1","45.2","3.95","6.11","22.38","0.95","6.4","8.4","57","0.2","0.064864865","0.112280702","5.7","2.192307692","2","0.769230769","0.64","0.246153846","0.2","0.076923077","35.0877193","76.19047619","38.46153846","22.06759443","1.412326044","5.698005698","14.81481481","9.116809117","23.7037037","2.849002849","7.407407407","2.011860461","5.230837199","11.96581197","31.11111111"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00008","","","","26","18","1","7","5","1","1","10","9","21","14","3.2","0.6","3.5","5","3","1","50.2","19.2","1","3","9","5","2.46","0.83","0.57","","29.78","39.41","74.76","2.27","3.09","5.17","0.28","3.8","7.3","35","0.152380952","0.042857143","0.108571429","3.5","1.346153846","2.1","0.807692308","0.38","0.146153846","0.35","0.134615385","60","52.05479452","38.46153846","38.24701195","1.453386454","4.558404558","11.85185185","5.413105413","14.07407407","4.985754986","12.96296296","2.070351074","5.382912793","10.3988604","27.03703704"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00009","","","","26","22","1","7","8","1","1","16","16","40","55","5.8","2.2","8","3","3","1","","","1","5","5","5","","","","","","","","","","","","8","16","95","0.145","0.04","0.084210526","5.9375","3.653846154","2.5","1.538461538","0.5","0.307692308","0.5","0.307692308","42.10526316","50","61.53846154","","","8.262108262","13.42592593","11.3960114","18.51851852","11.3960114","18.51851852","","","22.79202279","37.03703704"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00010","","","","26","24","1","1","7","1","1","18","18","26","17","4.6","1","3","1","3","1","","","1","7","9","1","","","","","","","","","","","","5.6","8.6","43","0.176923077","0.058823529","0.130232558","2.388888889","1.653846154","1.444444444","1","0.311111111","0.215384615","0.166666667","0.115384615","60.46511628","65.11627907","69.23076923","","","6.552706553","9.465020576","7.977207977","11.52263374","4.273504274","6.172839506","","","12.25071225","17.69547325"
