"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00001","","","","39","28","1","1","5","28","28","26","76","6.5","10.5","11","2","3","5","7","1","5","5","3","17","28","102","0.25","0.138157895","0.166666667","3.642857143","2.615384615","0.928571429","0.666666667","0.607142857","0.435897436","0.392857143","0.282051282","25.49019608","60.71428571","71.79487179","6.172839506","8.597883598","16.14434948","22.48677249","10.44634378","14.55026455","26.59069326","37.03703704"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00002","","","","39","35","1","1","5","35","35","16","25","3","7.5","12.2","5","5","5","5","1","5","5","3","10.5","22.7","41","0.1875","0.3","0.256097561","1.171428571","1.051282051","0.457142857","0.41025641","0.3","0.269230769","0.348571429","0.312820513","39.02439024","46.25550661","89.74358974","2.849002849","3.174603175","9.971509972","11.11111111","11.58594492","12.91005291","21.55745489","24.02116402"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00003","","","","39","36","1","5","5","24","24","41","55","7","7.5","10.5","4","5","5","3","1","7","7","5","14.5","25","96","0.170731707","0.136363636","0.151041667","4","2.461538462","1.708333333","1.051282051","0.604166667","0.371794872","0.4375","0.269230769","42.70833333","58","61.53846154","6.647673314","10.80246914","13.77018044","22.37654321","9.971509972","16.2037037","23.74169041","38.58024691"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00004","","","","39","35","1","1","5","31","31","36","103","8.5","17.9","7.5","2","3","3","3","1","5","5","3","26.4","33.9","139","0.236111111","0.173786408","0.189928058","4.483870968","3.564102564","1.161290323","0.923076923","0.851612903","0.676923077","0.241935484","0.192307692","25.89928058","77.87610619","79.48717949","8.072174739","10.15531661","25.07122507","31.54121864","7.122507123","8.960573477","32.19373219","40.50179211"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00005","","","","39","34","1","1","5","30","30","20","44","6.5","11.5","18.5","4","3","3","3","1","5","5","3","18","36.5","64","0.325","0.261363636","0.28125","2.133333333","1.641025641","0.666666667","0.512820513","0.6","0.461538462","0.616666667","0.474358974","31.25","49.31506849","76.92307692","6.172839506","8.024691358","17.09401709","22.22222222","17.5688509","22.83950617","34.662868","45.0617284"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00006","","","","39","25","1","1","5","25","25","40","82","12.5","12.7","14.4","6","3","3","3","1","7","7","3","25.2","39.6","122","0.3125","0.154878049","0.206557377","4.88","3.128205128","1.6","1.025641026","1.008","0.646153846","0.576","0.369230769","32.78688525","63.63636364","64.1025641","11.8708452","18.51851852","23.93162393","37.33333333","13.67521368","21.33333333","37.60683761","58.66666667"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00007","","","","39","30","1","1","5","30","30","37","61","15.7","14.5","19","6","1","1","3","1","5","5","3","30.2","49.2","98","0.424324324","0.237704918","0.308163265","3.266666667","2.512820513","1.233333333","0.948717949","1.006666667","0.774358974","0.633333333","0.487179487","37.75510204","61.38211382","76.92307692","14.90978158","19.38271605","28.67996201","37.28395062","18.04368471","23.45679012","46.72364672","60.74074074"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00008","","","","39","31","1","3","5","31","31","11","74","3.5","10.5","18.8","6","5","5","3","1","5","5","3","14","32.8","85","0.318181818","0.141891892","0.164705882","2.741935484","2.179487179","0.35483871","0.282051282","0.451612903","0.358974359","0.606451613","0.482051282","12.94117647","42.68292683","79.48717949","3.323836657","4.181600956","13.29534663","16.72640382","17.85375119","22.46117085","31.14909782","39.18757467"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00009","","","","39","32","1","5","5","29","29","22","58","13.5","7.5","20.2","6","1","1","1","1","5","5","3","21","41.2","80","0.613636364","0.129310345","0.2625","2.75862069","2.051282051","0.75862069","0.564102564","0.724137931","0.538461538","0.696551724","0.517948718","27.5","50.97087379","74.35897436","12.82051282","17.24137931","19.94301994","26.81992337","19.18328585","25.79821201","39.12630579","52.61813538"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00010","","","","39","36","1","3","5","33","33","25","99","8.5","14.9","15.1","6","5","3","3","1","7","3","5","23.4","38.5","124","0.34","0.150505051","0.188709677","3.757575758","3.179487179","0.757575758","0.641025641","0.709090909","0.6","0.457575758","0.387179487","20.16129032","60.77922078","84.61538462","8.072174739","9.539842873","22.22222222","26.26262626","14.33998101","16.94725028","36.56220323","43.20987654"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00011","","","","39","31","1","5","5","31","31","15","78","4.5","16.5","26","8","3","3","5","1","9","3","5","21","47","93","0.3","0.211538462","0.225806452","3","2.384615385","0.483870968","0.384615385","0.677419355","0.538461538","0.838709677","0.666666667","16.12903226","44.68085106","79.48717949","4.273504274","5.376344086","19.94301994","25.08960573","24.69135802","31.06332139","44.63437797","56.15292712"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00012","","","","39","33","1","5","7","33","33","16","68","5.8","11.9","22","5","3","3","3","1","9","5","5","17.7","39.7","84","0.3625","0.175","0.210714286","2.545454545","2.153846154","0.484848485","0.41025641","0.536363636","0.453846154","0.666666667","0.564102564","19.04761905","44.58438287","84.61538462","5.508072175","6.509539843","16.80911681","19.86531987","20.89268756","24.69135802","37.70180437","44.55667789"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00013","","","","39","27","1","3","5","25","25","14","95","4.9","17.3","25","2","3","5","3","1","3","7","3","22.2","47.2","109","0.35","0.182105263","0.203669725","4.36","2.794871795","0.56","0.358974359","0.888","0.569230769","1","0.641025641","12.8440367","47.03389831","64.1025641","4.65337132","7.259259259","21.08262108","32.88888889","23.74169041","37.03703704","44.82431149","69.92592593"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00014","","","","39","27","1","1","7","27","27","13","94","4.3","13.5","21.5","2","5","5","3","1","5","5","3","17.8","39.3","107","0.330769231","0.143617021","0.16635514","3.962962963","2.743589744","0.481481481","0.333333333","0.659259259","0.456410256","0.796296296","0.551282051","12.14953271","45.29262087","69.23076923","4.08357075","5.898491084","16.90408357","24.4170096","20.41785375","29.49245542","37.32193732","53.90946502"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00015","","","","39","31","1","3","5","31","31","10","42","3.7","13.5","31","8","5","5","3","1","3","7","1","17.2","48.2","52","0.37","0.321428571","0.330769231","1.677419355","1.333333333","0.322580645","0.256410256","0.55483871","0.441025641","1","0.794871795","19.23076923","35.6846473","79.48717949","3.51377018","4.420549582","16.334283","20.54958184","29.43969611","37.03703704","45.77397911","57.58661888"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00016","","","","39","35","1","1","5","34","34","10","78","3","23.5","10.3","8","1","1","1","1","3","7","1","26.5","36.8","88","0.3","0.301282051","0.301136364","2.588235294","2.256410256","0.294117647","0.256410256","0.779411765","0.679487179","0.302941176","0.264102564","11.36363636","72.01086957","87.17948718","2.849002849","3.267973856","25.16619183","28.8671024","9.781576448","11.22004357","34.94776828","40.08714597"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00017","","","","39","36","1","1","5","35","35","18","72","7","10.9","24","1","3","3","3","1","3","7","1","17.9","41.9","90","0.388888889","0.151388889","0.198888889","2.571428571","2.307692308","0.514285714","0.461538462","0.511428571","0.458974359","0.685714286","0.615384615","20","42.72076372","89.74358974","6.647673314","7.407407407","16.99905033","18.94179894","22.79202279","25.3968254","39.79107312","44.33862434"
"","","MZP2014GUR-AT02","","","","","","","","","MZP2014GUR-AT02-00018","","","","39","31","1","1","5","31","31","9","26","4","11.6","32.5","6","5","5","3","3","3","9","1","15.6","48.1","35","0.444444444","0.446153846","0.445714286","1.129032258","0.897435897","0.290322581","0.230769231","0.503225806","0.4","1.048387097","0.833333333","25.71428571","32.43243243","79.48717949","3.798670465","4.778972521","14.81481481","18.63799283","30.86419753","38.82915173","45.67901235","57.46714456"
