"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00019","","","","","","","","","5","1","10","1","1","1","1","2","","","","4","","7","","3","5","","8","1","3","0.5","0.2","3.5","0.7","4.2","3","0.5","0.1","0.233333333","3","1","0.7","3.5","33.33333333","16.66666667","","16.66666667","23.33333333","116.6666667","","140","0.3","0.1","0.07","0.35","10","1.666666667","2.333333333","11.66666667","","14"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00002","","","","","","","","","5","1","10","1","1","1","3","4","","","","4","","7","","4","5","","6","3","6","0.8","0.1","2.5","0.9","3.4","7","0.266666667","0.025","0.128571429","7","3","0.9","2.5","42.85714286","26.47058824","","26.66666667","30","83.33333333","","113.3333333","0.7","0.3","0.09","0.25","10","2.666666667","3","8.333333333","","11.33333333"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00020","","","","0","1.529665","0.771051","1.063885","2.5272529","5","1","10","8","8","8","15","4","3","7","3.345022","5","72.9636154","6","36.97078116","4","3","14.7837343","6","3","6","6.7","0.3","5.5","7","12.5","19","0.446666667","0.075","0.368421053","2.375","1.875","0.875","0.6875","78.94736842","56","2.587954681","27.91666667","29.16666667","22.91666667","10.78314451","52.08333333","1.9","1.5","0.7","0.55","80","22.33333333","23.33333333","18.33333333","8.626515604","41.66666667"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00021","","","","0","1.488826","0.890744","1.046997","2.2856569","5","1","10","10","10","10","19","32","5","4","3.5497551","5","74.224472","7","35.84271883","4","5","13.2743015","5","3","6","3.4","1.2","1","4.6","5.6","51","0.178947368","0.0375","0.090196078","5.1","1.9","0.46","0.1","37.25490196","82.14285714","1.648765066","11.33333333","15.33333333","3.333333333","5.495883554","18.66666667","5.1","1.9","0.46","0.1","100","11.33333333","15.33333333","3.333333333","5.495883554","18.66666667"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00022","","","","7.8978138","2.1184869","1.1303689","3.0458469","5.2059569","3","1","10","10","8","8","29","26","6","8","4.5148468","5","65.2204285","7","29.82351775","3","5","13.1705399","6","3","5","4.8","0.9","3","5.7","8.7","55","0.165517241","0.034615385","0.103636364","6.875","3.625","0.7125","0.375","52.72727273","65.51724138","1.699940512","20","23.75","12.5","7.083085466","36.25","5.5","2.9","0.57","0.3","80","16","19","10","5.666468373","29"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00023","","","","0","1.66713","0.994688","0","1.119313","5","1","10","10","9","9","28","20","5","2","3.622366","5","76.6905594","6","44.21446876","3","5","13.9207935","7","1","4","4.6","0.7","10.5","5.3","15.8","48","0.164285714","0.035","0.110416667","5.333333333","3.111111111","0.588888889","1.166666667","58.33333333","33.5443038","2.343366844","17.03703704","19.62962963","38.88888889","8.67913646","58.51851852","4.8","2.8","0.53","1.05","90","15.33333333","17.66666667","35","7.811222814","52.66666667"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00024","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00025","","","","0","2.1139159","1.0481631","0.58222","1.912919","7","1","10","10","8","8","25","21","3","5","4.1045632","5","69.4016571","6","36.66137356","3","5","16.2242088","6","3","6","5","0.8","4","5.8","9.8","46","0.2","0.038095238","0.126086957","5.75","3.125","0.725","0.5","54.34782609","59.18367347","2.126359666","20.83333333","24.16666667","16.66666667","8.859831944","40.83333333","4.6","2.5","0.58","0.4","80","16.66666667","19.33333333","13.33333333","7.087865555","32.66666667"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00026","","","","15.2865944","1.972587","1.125548","3.7862229","5.8774428","5","3","10","10","10","10","44","42","6","5","3.9804969","5","61.0321999","7","27.949075","4","5","15.2277613","5","4","6","7.2","1.6","4.5","8.8","13.3","86","0.163636364","0.038095238","0.102325581","8.6","4.4","0.88","0.45","51.1627907","66.16541353","2.4595186","24","29.33333333","15","8.198395333","44.33333333","8.6","4.4","0.88","0.45","100","24","29.33333333","15","8.198395333","44.33333333"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00027","","","","0","1.755415","1.0683579","0.978961","2.881278","3","3","10","10","8","8","26","20","5","5","3.8826749","5","70.7464676","7","30.72012767","3","5","14.5657539","6","3","6","5.8","0.7","5","6.5","11.5","46","0.223076923","0.035","0.141304348","5.75","3.25","0.8125","0.625","56.52173913","56.52173913","1.996808299","24.16666667","27.08333333","20.83333333","8.320034577","47.91666667","4.6","2.6","0.65","0.5","80","19.33333333","21.66666667","16.66666667","6.656027662","38.33333333"
