"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00001","","","","1","14.2","50.7","1","13","22","10","10","10","10","5","3","4","6","6","8","2","3","2.3","1.1","4.3","3.4","7.7","35","0.176923077","0.05","0.097142857","3.5","3.5","1.3","1.3","0.34","0.34","0.43","0.43","37.14285714","44.15584416","100","28.00788955","0.952268245","7.666666667","7.666666667","11.33333333","11.33333333","14.33333333","14.33333333","3.174227482","3.174227482","25.66666667","25.66666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00002","","","","2","12.4","50.1","2","15","38","10","10","10","10","5","4","2","6","7","9","1","3","12.5","2.3","26.3","14.8","41.1","53","0.833333333","0.060526316","0.279245283","5.3","5.3","1.5","1.5","1.48","1.48","2.63","2.63","28.30188679","36.00973236","100","24.750499","3.663073852","41.66666667","41.66666667","49.33333333","49.33333333","87.66666667","87.66666667","12.21024617","12.21024617","137","137"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00003","","","","1","16","50.1","3","17","34","10","10","10","10","7","7","1","7","6","9","3","3","3.1","1.8","4.3","4.9","9.2","51","0.182352941","0.052941176","0.096078431","5.1","5.1","1.7","1.7","0.49","0.49","0.43","0.43","33.33333333","53.26086957","100","31.93612774","1.564870259","10.33333333","10.33333333","16.33333333","16.33333333","14.33333333","14.33333333","5.216234198","5.216234198","30.66666667","30.66666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00004","","","","1","","","1","0","6","10","10","10","2","","","1","2","2","9","4","2","0","0.4","15.7","0.4","16.1","6","","0.066666667","0.066666667","0.6","0.6","0","0","0.04","0.04","1.57","1.57","0","2.48447205","100","","","0","0","1.333333333","1.333333333","52.33333333","52.33333333","","","53.66666667","53.66666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00005","","","","1","17.6","50.5","3","15","15","10","10","10","9","4","3","3","7","7","9","3","3","2.8","0.8","10.8","3.6","14.4","30","0.186666667","0.053333333","0.12","3","3","1.5","1.5","0.36","0.36","1.08","1.08","50","25","100","34.85148515","1.254653465","9.333333333","9.333333333","12","12","36","36","4.182178218","4.182178218","48","48"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00006","","","","1","","","","0","0","10","10","10","0","","","","","","6","5","5","0","0","4.2","0","4.2","0","","","","0","0","0","0","0","0","0.42","0.42","","0","100","","","0","0","0","0","14","14","","","14","14"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00007","","","","1","17.9","50.5","1","8","15","10","10","10","8","3","8","1","6","6","9","3","4","8","0.4","12.1","8.4","20.5","23","1","0.026666667","0.365217391","2.3","2.3","0.8","0.8","0.84","0.84","1.21","1.21","34.7826087","40.97560976","100","35.44554455","2.977425743","26.66666667","26.66666667","28","28","40.33333333","40.33333333","9.924752475","9.924752475","68.33333333","68.33333333"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00008","","","","1","","","1","4","4","10","10","10","5","","","1","5","5","9","3","3","5","0.2","22.5","5.2","27.7","8","1.25","0.05","0.65","0.8","0.8","0.4","0.4","0.52","0.52","2.25","2.25","50","18.77256318","100","","","16.66666667","16.66666667","17.33333333","17.33333333","75","75","","","92.33333333","92.33333333"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00009","","","","1","17.6","50.7","1","8","8","10","10","10","8","3","2","2","4","6","8","4","4","0.8","0.2","7.2","1","8.2","16","0.1","0.025","0.0625","1.6","1.6","0.8","0.8","0.1","0.1","0.72","0.72","50","12.19512195","100","34.71400394","0.347140039","2.666666667","2.666666667","3.333333333","3.333333333","24","24","1.157133465","1.157133465","27.33333333","27.33333333"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00010","","","","1","15.7","50.7","3","6","12","10","10","10","10","5","3","1","5","5","6","5","5","0.7","0.7","1.8","1.4","3.2","18","0.116666667","0.058333333","0.077777778","1.8","1.8","0.6","0.6","0.14","0.14","0.18","0.18","33.33333333","43.75","100","30.96646943","0.433530572","2.333333333","2.333333333","4.666666667","4.666666667","6","6","1.445101907","1.445101907","10.66666667","10.66666667"
