"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014KMD-AT03","","","","","","","","","GHP2014KMD-AT03-00022","","","","2","14.92","2.16","1.06","16.19","2","50.49","1.84","2.7","2","38","77","28","28","30","28","8","7","5.08","3","62.92","5","32.0657556","6","7","9.16","8","3","6.1","5","9","11.1","20.1","115","0.160526316","0.064935065","0.096521739","4.107142857","3.833333333","1.357142857","1.266666667","0.396428571","0.37","0.321428571","0.3","33.04347826","55.2238806","93.33333333","3.559298871","6.777777778","7.261904762","12.33333333","13.21428571","10","10.71428571","3.954776523","4.237260561","22.33333333","23.92857143"
"","","GHP2014KMD-AT03","","","","","","","","","GHP2014KMD-AT03-00023","","","","4","34.98","2.34","1.13","10.67","3","50.68","8.68","11.86","2","34","50","27","27","30","27","8","6","2.92","5","45.97","3","21.05367009","5","6","11.27","5","3","8.4","2.6","2.8","11","13.8","84","0.247058824","0.052","0.130952381","3.111111111","2.8","1.259259259","1.133333333","0.407407407","0.366666667","0.103703704","0.093333333","40.47619048","79.71014493","90","2.31590371","9.333333333","10.37037037","12.22222222","13.58024691","3.111111111","3.456790123","2.573226344","2.859140382","15.33333333","17.03703704"
"","","GHP2014KMD-AT03","","","","","","","","","GHP2014KMD-AT03-00024","","","","3","0","1.65","0.95","17.69","2","50.68","2.16","3.49","1","25","56","27","27","30","24","4","6","3.33","3","72.06","5","34.90528808","5","7","1.44","7","4","7","1.7","5.4","8.7","14.1","81","0.28","0.030357143","0.107407407","3","2.7","0.925925926","0.833333333","0.322222222","0.29","0.2","0.18","30.86419753","61.70212766","90","3.036760063","7.777777778","8.641975309","9.666666667","10.74074074","6","6.666666667","3.374177848","3.749086498","15.66666667","17.40740741"
"","","GHP2014KMD-AT03","","","","","","","","","GHP2014KMD-AT03-00003","","","","3","0","2.22","0.92","17.21","3","50.78","3.55","5.06","1","26","36","25","25","30","21","9","9","4.05","3","61.14","3","33.89129579","5","5","9.75","6","3","4.5","1.7","3.2","6.2","9.4","62","0.173076923","0.047222222","0.1","2.48","2.066666667","1.04","0.866666667","0.248","0.206666667","0.128","0.106666667","41.93548387","65.95744681","83.33333333","2.101260339","5","6","6.888888889","8.266666667","3.555555556","4.266666667","2.33473371","2.801680452","10.44444444","12.53333333"
"","","GHP2014KMD-AT03","","","","","","","","","GHP2014KMD-AT03-00004","","","","4","0","1.6","0.74","19.75","4","50.49","1.11","1.8","1","42","39","28","28","30","26","1","8","2.88","2","74.34","3","39.11665676","5","8","3.9","7","3","11","2","18.4","13","31.4","81","0.261904762","0.051282051","0.160493827","2.892857143","2.7","1.5","1.4","0.464285714","0.433333333","0.657142857","0.613333333","51.85185185","41.40127389","93.33333333","5.085165379","12.22222222","13.0952381","14.44444444","15.47619048","20.44444444","21.9047619","5.650183755","6.053768309","34.88888889","37.38095238"
"","","GHP2014KMD-AT03","","","","","","","","","GHP2014KMD-AT03-00005","","","","4","0","1.95","1","18.52","3","50.15","1.16","2.28","1","5","15","10","10","30","8","5","3","4.27","3","69.87","8","36.92921236","6","8","5.77","6","7","3.2","1","3.4","4.2","7.6","20","0.64","0.066666667","0.21","2","0.666666667","0.5","0.166666667","0.42","0.14","0.34","0.113333333","25","55.26315789","33.33333333","1.551026919","3.555555556","10.66666667","4.666666667","14","3.777777778","11.33333333","1.723363244","5.170089731","8.444444444","25.33333333"
"","","GHP2014KMD-AT03","","","","","","","","","GHP2014KMD-AT03-00006","","","","3","0","1.59","0.86","18.09","2","50.77","2.01","3.14","1","30","25","23","23","30","21","4","6","2.72","4","72.17","5","35.63127831","4","6","2.97","7","4","7.6","1.5","7.2","9.1","16.3","55","0.253333333","0.06","0.165454545","2.391304348","1.833333333","1.304347826","1","0.395652174","0.303333333","0.313043478","0.24","54.54545455","55.82822086","76.66666667","3.242446327","8.444444444","11.01449275","10.11111111","13.1884058","8","10.43478261","3.602718141","4.699197575","18.11111111","23.62318841"
"","","GHP2014KMD-AT03","","","","","","","","","GHP2014KMD-AT03-00007","","","","2","13.67","2.59","1.13","15.2","2","50.19","3.79","5.41","1","35","42","25","25","30","25","7","3","6.36","4","62.23","1","30.28491731","5","5","4.9","6","7","6","2.4","5.2","8.4","13.6","77","0.171428571","0.057142857","0.109090909","3.08","2.566666667","1.4","1.166666667","0.336","0.28","0.208","0.173333333","45.45454545","61.76470588","83.33333333","2.543933054","6.666666667","8","9.333333333","11.2","5.777777778","6.933333333","2.826592283","3.391910739","15.11111111","18.13333333"
"","","GHP2014KMD-AT03","","","","","","","","","GHP2014KMD-AT03-00008","","","","1","15.4","2.5","1.12","15.16","2","50.65","2.71","3.78","1","64","90","27","27","30","27","8","7","6.82","2","58.5","5","29.93089832","6","7","9.98","8","4","13","5","12","18","30","154","0.203125","0.055555556","0.116883117","5.703703704","5.133333333","2.37037037","2.133333333","0.666666667","0.6","0.444444444","0.4","41.55844156","60","90","5.387561698","14.44444444","16.04938272","20","22.22222222","13.33333333","14.81481481","5.986179664","6.651310738","33.33333333","37.03703704"
"","","GHP2014KMD-AT03","","","","","","","","","GHP2014KMD-AT03-00009","","","","4","0.16","2.07","1.05","18.69","2","50.14","0.96","1.83","1","1","19","12","12","30","8","5","3","4.71","3","68.98","8","37.27562824","5","5","6.45","4","7","0.4","1","0.8","1.4","2.2","20","0.4","0.052631579","0.07","1.666666667","0.666666667","0.083333333","0.033333333","0.116666667","0.046666667","0.066666667","0.026666667","5","63.63636364","40","0.521858795","0.444444444","1.111111111","1.555555556","3.888888889","0.888888889","2.222222222","0.579843106","1.449607765","2.444444444","6.111111111"
