"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018OHW-PT01","","","","","","","","","GHP2018OHW-PT01-00001","","","","3","1","7","1","10","10","10","1","3","3","5","2.4","0.8","3.5","3.2","6.7","8","0.342857143","0.8","0.4","0.8","0.8","0.7","0.7","0.32","0.32","0.35","0.35","87.5","47.76119403","100","8","8","10.66666667","10.66666667","11.66666667","11.66666667","22.33333333","22.33333333"
"","","GHP2018OHW-PT01","","","","","","","","","GHP2018OHW-PT01-00010","","","","3","1","5","3","9","10","5","1","3","3","6","1.9","0.4","1.2","2.3","3.5","8","0.38","0.133333333","0.2875","0.888888889","0.8","0.555555556","0.5","0.255555556","0.23","0.133333333","0.12","62.5","65.71428571","90","6.333333333","7.037037037","7.666666667","8.518518519","4","4.444444444","11.66666667","12.96296296"
"","","GHP2018OHW-PT01","","","","","","","","","GHP2018OHW-PT01-00011","","","","1","1","0","","9","10","9","1","5","5","4","0","0.6","6","0.6","6.6","","","","","","","0","0","0.066666667","0.06","0.666666667","0.6","","9.090909091","90","0","0","2","2.222222222","20","22.22222222","22","24.44444444"
"","","GHP2018OHW-PT01","","","","","","","","","GHP2018OHW-PT01-00012","","","","3","1","7","8","8","10","5","1","4","5","3","1.7","0.4","8.8","2.1","10.9","15","0.242857143","0.05","0.14","1.875","1.5","0.875","0.7","0.2625","0.21","1.1","0.88","46.66666667","19.26605505","80","5.666666667","7.083333333","7","8.75","29.33333333","36.66666667","36.33333333","45.41666667"
"","","GHP2018OHW-PT01","","","","","","","","","GHP2018OHW-PT01-00013","","","","3","1","0","4","6","10","1","1","5","7","4","0","0.7","4.5","0.7","5.2","4","","0.175","0.175","0.666666667","0.4","0","0","0.116666667","0.07","0.75","0.45","0","13.46153846","60","0","0","2.333333333","3.888888889","15","25","17.33333333","28.88888889"
"","","GHP2018OHW-PT01","","","","","","","","","GHP2018OHW-PT01-00014","","","","3","1","2","1","10","10","8","1","5","5","4","0.8","0.5","5.5","1.3","6.8","3","0.4","0.5","0.433333333","0.3","0.3","0.2","0.2","0.13","0.13","0.55","0.55","66.66666667","19.11764706","100","2.666666667","2.666666667","4.333333333","4.333333333","18.33333333","18.33333333","22.66666667","22.66666667"
"","","GHP2018OHW-PT01","","","","","","","","","GHP2018OHW-PT01-00015","","","","3","1","4","3","9","10","7","1","4","3","4","1.7","0.5","4.5","2.2","6.7","7","0.425","0.166666667","0.314285714","0.777777778","0.7","0.444444444","0.4","0.244444444","0.22","0.5","0.45","57.14285714","32.8358209","90","5.666666667","6.296296296","7.333333333","8.148148148","15","16.66666667","22.33333333","24.81481481"
"","","GHP2018OHW-PT01","","","","","","","","","GHP2018OHW-PT01-00016","","","","3","1","11","2","10","10","10","1","4","3","5","0.4","0.4","0.8","0.8","1.6","13","0.036363636","0.2","0.061538462","1.3","1.3","1.1","1.1","0.08","0.08","0.08","0.08","84.61538462","50","100","1.333333333","1.333333333","2.666666667","2.666666667","2.666666667","2.666666667","5.333333333","5.333333333"
"","","GHP2018OHW-PT01","","","","","","","","","GHP2018OHW-PT01-00017","","","","3","1","1","3","7","10","1","1","4","7","6","0.2","0.1","2.5","0.3","2.8","4","0.2","0.033333333","0.075","0.571428571","0.4","0.142857143","0.1","0.042857143","0.03","0.357142857","0.25","25","10.71428571","70","0.666666667","0.952380952","1","1.428571429","8.333333333","11.9047619","9.333333333","13.33333333"
"","","GHP2018OHW-PT01","","","","","","","","","GHP2018OHW-PT01-00018","","","","3","1","7","6","10","10","8","1","3","3","5","0.9","0.2","4.5","1.1","5.6","13","0.128571429","0.033333333","0.084615385","1.3","1.3","0.7","0.7","0.11","0.11","0.45","0.45","53.84615385","19.64285714","100","3","3","3.666666667","3.666666667","15","15","18.66666667","18.66666667"
