"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00076","","","","14.46","50.6","2.7835441","5.102726","1","1","14","26","7","10","7","1","64.4231796","7","9","3","3.4","1.1","6.4","4.5","10.9","40","0.242857143","0.042307692","0.1125","5.714285714","4","2","1.4","0.642857143","0.45","0.914285714","0.64","35","41.28440367","70","28.5770751","1.285968379","11.33333333","16.19047619","15","21.42857143","21.33333333","30.47619048","4.286561265","6.12365895","36.33333333","51.9047619"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00077","","","","","","","","","","0","0","0","10","0","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00078","","","","","","","","","","0","0","3","10","0","","","","1","9","0","0","0.5","0","0.5","0","","","","0","0","0","0","0","0","0.166666667","0.05","","0","30","","","0","0","0","0","1.666666667","5.555555556","","","1.666666667","5.555555556"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00079","","","","","","","","1","1","0","12","3","10","3","1","","4","1","9","0","0.9","1","0.9","1.9","12","","0.075","0.075","4","1.2","0","0","0.3","0.09","0.333333333","0.1","0","47.36842105","30","","","0","0","3","10","3.333333333","11.11111111","","","6.333333333","21.11111111"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00008","","","","","","","","2","1","0","1","3","10","1","1","","2","4","7","0","0.1","2.8","0.1","2.9","1","","0.1","0.1","0.333333333","0.1","0","0","0.033333333","0.01","0.933333333","0.28","0","3.448275862","30","","","0","0","0.333333333","1.111111111","9.333333333","31.11111111","","","9.666666667","32.22222222"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00080","","","","","","","","","","0","0","2","10","0","","","","4","7","0","0","0.5","0","0.5","0","","","","0","0","0","0","0","0","0.25","0.05","","0","20","","","0","0","0","0","1.666666667","8.333333333","","","1.666666667","8.333333333"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00081","","","","","","","","1","1","0","12","2","10","1","1","","2","5","7","0","0.1","1.7","0.1","1.8","12","","0.008333333","0.008333333","6","1.2","0","0","0.05","0.01","0.85","0.17","0","5.555555556","20","","","0","0","0.333333333","1.666666667","5.666666667","28.33333333","","","6","30"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00082","","","","","","","","","","0","0","0","10","0","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00083","","","","","","","","1","1","0","12","5","10","3","1","","2","5","7","0","0.1","7.5","0.1","7.6","12","","0.008333333","0.008333333","2.4","1.2","0","0","0.02","0.01","1.5","0.75","0","1.315789474","50","","","0","0","0.333333333","0.666666667","25","50","","","25.33333333","50.66666667"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00084","","","","","","","","1","1","3","49","10","10","10","1","","6","8","4","0.5","1.9","9.2","2.4","11.6","52","0.166666667","0.03877551","0.046153846","5.2","5.2","0.3","0.3","0.24","0.24","0.92","0.92","5.769230769","20.68965517","100","","","1.666666667","1.666666667","8","8","30.66666667","30.66666667","","","38.66666667","38.66666667"
