"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00147","","","","3","1","4","","3","3","2","2","3","3","3","6","4","5","0.55","","0.3","","","","0.1375","","","","2","","0.15","","","9.166666667","","5","","","1.333333333","","0.1","66.66666667","6.111111111","","3.333333333",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00148","","","","","","","","3","3","3","1","","","","7","4","4","","","1.45","","","","","","","","","","0.483333333","","","","","16.11111111","","","","","0.483333333","100","","","16.11111111",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00149","","","","2","1","1","5","3","3","2","","3","5","7","6","4","6","0.15","0.2","0.6","0.35","0.95","6","0.15","0.04","0.058333333","3","0.5","0.175","0.3","16.66666667","36.84210526","2.5","5.833333333","10","15.83333333","2","0.333333333","0.116666667","0.2","66.66666667","1.666666667","3.888888889","6.666666667","10.55555556"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00015","","","","2","2","1","","3","3","3","1","4","5","7","6","3","5","0.2","","0.8","","","","0.2","","","","0.333333333","","0.266666667","","","2.222222222","","8.888888889","","","0.333333333","","0.266666667","100","2.222222222","","8.888888889",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00150","","","","2","1","2","2","3","2","2","1","2","5","5","5","4","5","0.25","0.15","0.35","0.4","0.75","4","0.125","0.075","0.1","2","1","0.2","0.175","50","53.33333333","4.166666667","6.666666667","5.833333333","12.5","1.333333333","0.666666667","0.133333333","0.116666667","66.66666667","2.777777778","4.444444444","3.888888889","8.333333333"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00151","","","","2","1","5","3","3","3","2","2","3","3","1","6","3","6","1.15","0.2","0.7","1.35","2.05","8","0.23","0.066666667","0.16875","4","2.5","0.675","0.35","62.5","65.85365854","19.16666667","22.5","11.66666667","34.16666667","2.666666667","1.666666667","0.45","0.233333333","66.66666667","12.77777778","15","7.777777778","22.77777778"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00152","","","","","","","","3","2","2","2","","","","6","4","5","","","0.55","","","","","","","","","","0.275","","","","","9.166666667","","","","","0.183333333","66.66666667","","","6.111111111",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00153","","","","2","1","1","","3","3","2","1","2","3","5","6","3","5","0.2","","0.4","","","","0.2","","","","0.5","","0.2","","","3.333333333","","6.666666667","","","0.333333333","","0.133333333","66.66666667","2.222222222","","4.444444444",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00154","","","","2","1","2","2","3","3","2","2","2","5","5","5","5","6","0.15","0.1","0.3","0.25","0.55","4","0.075","0.05","0.0625","2","1","0.125","0.15","50","45.45454545","2.5","4.166666667","5","9.166666667","1.333333333","0.666666667","0.083333333","0.1","66.66666667","1.666666667","2.777777778","3.333333333","6.111111111"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00155","","","","2","1","6","7","3","3","3","3","3","3","3","6","3","5","0.85","0.25","0.7","1.1","1.8","13","0.141666667","0.035714286","0.084615385","4.333333333","2","0.366666667","0.233333333","46.15384615","61.11111111","9.444444444","12.22222222","7.777777778","20","4.333333333","2","0.366666667","0.233333333","100","9.444444444","12.22222222","7.777777778","20"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00156","","","","","","","","3","1","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00157","","","","","","","","3","3","2","","","","","6","3","5","","","0.55","","","","","","","","","","0.275","","","","","9.166666667","","","","","0.183333333","66.66666667","","","6.111111111",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00158","","","","2","1","3","3","3","3","3","3","3","5","5","5","4","5","0.3","0.2","0.2","0.5","0.7","6","0.1","0.066666667","0.083333333","2","1","0.166666667","0.066666667","50","71.42857143","3.333333333","5.555555556","2.222222222","7.777777778","2","1","0.166666667","0.066666667","100","3.333333333","5.555555556","2.222222222","7.777777778"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00159","","","","3","1","3","3","3","3","2","2","3","5","7","5","4","5","0.25","0.15","0.3","0.4","0.7","6","0.083333333","0.05","0.066666667","3","1.5","0.2","0.15","50","57.14285714","4.166666667","6.666666667","5","11.66666667","2","1","0.133333333","0.1","66.66666667","2.777777778","4.444444444","3.333333333","7.777777778"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00016","","","","","","1","2","3","2","","","","","","","3","","0.5","0.1","","0.6","","3","0.5","0.05","0.2","","","","","33.33333333","","","","","","1","0.333333333","0.2","","","5.555555556","6.666666667","",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00160","","","","1","1","3","","3","3","3","1","2","5","7","7","1","5","0.25","","0.65","","","","0.083333333","","","","1","","0.216666667","","","2.777777778","","7.222222222","","","1","","0.216666667","100","2.777777778","","7.222222222",""
